,MNG
2013-12-06,79.88999938964844
2013-12-09,80.25
2013-12-10,80.13999938964844
2013-12-11,78.61000061035156
2013-12-12,79.04000091552734
2013-12-13,78.83000183105469
2013-12-16,79.01000213623047
2013-12-17,79.0
2013-12-18,79.23999786376953
2013-12-19,80.26000213623047
2013-12-20,80.80000305175781
2013-12-23,81.38999938964844
2013-12-24,81.72000122070312
2013-12-26,81.47000122070312
2013-12-27,81.75
2013-12-30,81.48999786376953
2013-12-31,81.70999908447266
2014-01-02,80.56999969482422
2014-01-03,80.16000366210938
2014-01-06,79.94999694824219
2014-01-07,80.66000366210938
2014-01-08,80.2699966430664
2014-01-09,79.54000091552734
2014-01-10,79.94000244140625
2014-01-13,78.62000274658203
2014-01-14,79.75
2014-01-15,79.88999938964844
2014-01-16,80.70999908447266
2014-01-17,80.08999633789062
2014-01-21,81.5999984741211
2014-01-22,82.97000122070312
2014-01-23,82.83000183105469
2014-01-24,81.9000015258789
2014-01-27,80.98999786376953
2014-01-28,82.11000061035156
2014-01-29,81.9000015258789
2014-01-30,82.06999969482422
2014-01-31,81.9800033569336
2014-02-03,80.58000183105469
2014-02-04,82.23999786376953
2014-02-05,81.48999786376953
2014-02-06,82.04000091552734
2014-02-07,82.0999984741211
2014-02-10,81.80000305175781
2014-02-11,82.08999633789062
2014-02-12,81.79000091552734
2014-02-13,82.36000061035156
2014-02-14,82.6500015258789
2014-02-18,83.47000122070312
2014-02-19,83.80999755859375
2014-02-20,83.62000274658203
2014-02-21,83.45999908447266
2014-02-24,84.22000122070312
2014-02-25,83.55999755859375
2014-02-26,82.0199966430664
2014-02-27,82.19000244140625
2014-02-28,82.5
2014-03-03,81.88999938964844
2014-03-04,82.88999938964844
2014-03-05,82.47000122070312
2014-03-06,82.91000366210938
2014-03-07,83.19000244140625
2014-03-10,83.25
2014-03-11,82.4000015258789
2014-03-12,82.19000244140625
2014-03-13,81.97000122070312
2014-03-14,82.63999938964844
2014-03-17,82.83000183105469
2014-03-18,83.61000061035156
2014-03-19,82.83000183105469
2014-03-20,82.81999969482422
2014-03-21,82.8499984741211
2014-03-24,82.69000244140625
2014-03-25,82.8499984741211
2014-03-26,82.16999816894531
2014-03-27,83.36000061035156
2014-03-28,84.0
2014-03-31,84.05999755859375
2014-04-01,84.75
2014-04-02,85.47000122070312
2014-04-03,87.11000061035156
2014-04-04,87.0
2014-04-07,85.73999786376953
2014-04-08,87.05000305175781
2014-04-09,87.08000183105469
2014-04-10,86.0999984741211
2014-04-11,85.51000213623047
2014-04-14,86.05000305175781
2014-04-15,86.76000213623047
2014-04-16,88.08999633789062
2014-04-17,89.37999725341797
2014-04-21,89.48999786376953
2014-04-22,89.80000305175781
2014-04-23,90.3499984741211
2014-04-24,90.7300033569336
2014-04-25,89.69999694824219
2014-04-28,89.97000122070312
2014-04-29,90.58999633789062
2014-04-30,90.43000030517578
2014-05-01,90.3499984741211
2014-05-02,89.9800033569336
2014-05-05,90.08999633789062
2014-05-06,90.22000122070312
2014-05-07,91.18000030517578
2014-05-08,89.76000213623047
2014-05-09,89.44999694824219
2014-05-12,89.80999755859375
2014-05-13,89.9000015258789
2014-05-14,89.76000213623047
2014-05-15,89.6500015258789
2014-05-16,89.0999984741211
2014-05-19,89.33999633789062
2014-05-20,89.33999633789062
2014-05-21,90.16000366210938
2014-05-22,89.70999908447266
2014-05-23,89.33999633789062
2014-05-27,89.91999816894531
2014-05-28,90.43000030517578
2014-05-29,91.04000091552734
2014-05-30,91.11000061035156
2014-06-02,90.94999694824219
2014-06-03,91.16000366210938
2014-06-04,91.26000213623047
2014-06-05,91.91999816894531
2014-06-06,92.02999877929688
2014-06-09,91.83999633789062
2014-06-10,91.2699966430664
2014-06-11,91.61000061035156
2014-06-12,92.33000183105469
2014-06-13,93.06999969482422
2014-06-16,94.23999786376953
2014-06-17,94.4800033569336
2014-06-18,95.16999816894531
2014-06-19,95.86000061035156
2014-06-20,96.20999908447266
2014-06-23,96.41999816894531
2014-06-24,94.69000244140625
2014-06-25,95.62000274658203
2014-06-26,95.41000366210938
2014-06-27,95.45999908447266
2014-06-30,96.13999938964844
2014-07-01,95.72000122070312
2014-07-02,95.19000244140625
2014-07-03,94.9000015258789
2014-07-07,93.31999969482422
2014-07-08,93.7300033569336
2014-07-09,94.33000183105469
2014-07-10,93.77999877929688
2014-07-11,92.69000244140625
2014-07-14,93.13999938964844
2014-07-15,92.58999633789062
2014-07-16,93.79000091552734
2014-07-17,91.36000061035156
2014-07-18,92.19000244140625
2014-07-21,91.72000122070312
2014-07-22,91.91000366210938
2014-07-23,92.62000274658203
2014-07-24,92.8499984741211
2014-07-25,91.66999816894531
2014-07-28,91.5
2014-07-29,91.66999816894531
2014-07-30,90.6500015258789
2014-07-31,89.01000213623047
2014-08-01,88.38999938964844
2014-08-04,89.87999725341797
2014-08-05,88.36000061035156
2014-08-06,88.69999694824219
2014-08-07,88.33000183105469
2014-08-08,90.23999786376953
2014-08-11,90.44999694824219
2014-08-12,89.44000244140625
2014-08-13,89.63999938964844
2014-08-14,90.1500015258789
2014-08-15,91.16000366210938
2014-08-18,91.23999786376953
2014-08-19,92.41999816894531
2014-08-20,92.61000061035156
2014-08-21,92.94000244140625
2014-08-22,92.3499984741211
2014-08-25,93.58000183105469
2014-08-26,93.52999877929688
2014-08-27,94.0
2014-08-28,94.30000305175781
2014-08-29,95.08999633789062
2014-09-02,94.0199966430664
