,CTBI
1988-09-19,5.701756954193115
1988-09-20,5.701756954193115
1988-09-21,5.701756954193115
1988-09-22,5.701756954193115
1988-09-23,5.701756954193115
1988-09-26,5.701756954193115
1988-09-27,5.701756954193115
1988-09-28,5.701756954193115
1988-09-29,5.701756954193115
1988-09-30,5.701756954193115
1988-10-03,5.701756954193115
1988-10-04,5.701756954193115
1988-10-05,5.701756954193115
1988-10-06,5.701756954193115
1988-10-07,5.701756954193115
1988-10-10,5.701756954193115
1988-10-11,5.701756954193115
1988-10-12,5.701756954193115
1988-10-13,5.701756954193115
1988-10-14,5.701756954193115
1988-10-17,5.701756954193115
1988-10-18,5.701756954193115
1988-10-19,5.701756954193115
1988-10-20,5.701756954193115
1988-10-21,5.701756954193115
1988-10-24,5.701756954193115
1988-10-25,5.701756954193115
