,BTRS
2020-04-24,9.850000381469727
2020-04-27,9.800000190734863
2020-04-28,9.899999618530273
2020-04-29,9.826000213623047
2020-04-30,9.826000213623047
2020-05-01,9.826000213623047
2020-05-04,9.800000190734863
2020-05-05,9.800000190734863
2020-05-06,9.90999984741211
2020-05-07,9.90999984741211
2020-05-08,9.800000190734863
2020-05-11,9.800000190734863
2020-05-12,9.800000190734863
2020-05-13,9.800000190734863
2020-05-14,9.800000190734863
2020-05-15,9.920000076293945
2020-05-18,9.920000076293945
2020-05-19,9.920000076293945
2020-05-20,9.920000076293945
2020-05-21,9.920000076293945
2020-05-22,9.920000076293945
2020-05-26,9.920000076293945
2020-05-27,9.920000076293945
2020-05-28,9.920000076293945
2020-05-29,9.920000076293945
2020-06-01,9.920000076293945
2020-06-02,9.869999885559082
2020-06-03,9.869999885559082
2020-06-04,9.869999885559082
2020-06-05,9.920000076293945
2020-06-08,9.920000076293945
2020-06-09,9.880000114440918
2020-06-10,9.930000305175781
2020-06-11,9.9399995803833
2020-06-12,9.949999809265137
2020-06-15,9.949999809265137
2020-06-16,9.989999771118164
2020-06-17,10.0
2020-06-18,10.0
2020-06-19,10.079999923706055
2020-06-22,10.119999885559082
2020-06-23,10.130000114440918
2020-06-24,10.109999656677246
2020-06-25,10.130000114440918
2020-06-26,10.079999923706055
2020-06-29,10.15999984741211
2020-06-30,10.1899995803833
2020-07-01,10.229999542236328
2020-07-02,10.175000190734863
2020-07-06,10.25
2020-07-07,10.25
2020-07-08,10.229999542236328
2020-07-09,10.199999809265137
2020-07-10,10.199999809265137
2020-07-13,10.199999809265137
2020-07-14,10.229999542236328
2020-07-15,10.270000457763672
2020-07-16,10.25
2020-07-17,10.3100004196167
2020-07-20,10.354999542236328
2020-07-21,10.399999618530273
2020-07-22,10.300000190734863
2020-07-23,10.350000381469727
2020-07-24,10.350000381469727
2020-07-27,10.300000190734863
2020-07-28,10.300000190734863
2020-07-29,10.359999656677246
2020-07-30,10.359999656677246
2020-07-31,10.149999618530273
2020-08-03,10.248000144958496
2020-08-04,10.199999809265137
2020-08-05,10.199999809265137
2020-08-06,10.104999542236328
2020-08-07,10.109999656677246
2020-08-10,10.199999809265137
2020-08-11,10.130000114440918
2020-08-12,10.020000457763672
2020-08-13,10.020000457763672
2020-08-14,10.050000190734863
2020-08-17,10.100000381469727
2020-08-18,10.149999618530273
2020-08-19,10.100000381469727
2020-08-20,10.0600004196167
2020-08-21,10.0600004196167
2020-08-24,10.100000381469727
2020-08-25,10.109999656677246
2020-08-26,10.380000114440918
2020-08-27,10.25
2020-08-28,10.109999656677246
2020-08-31,10.239999771118164
2020-09-01,10.380000114440918
2020-09-02,10.34000015258789
2020-09-03,10.399999618530273
2020-09-04,10.529999732971191
2020-09-08,10.479999542236328
2020-09-09,10.510000228881836
2020-09-10,10.550000190734863
2020-09-11,10.550000190734863
2020-09-14,10.510000228881836
2020-09-15,10.600000381469727
2020-09-16,10.550000190734863
2020-09-17,10.699999809265137
2020-09-18,10.75
2020-09-21,10.680000305175781
2020-09-22,10.609999656677246
2020-09-23,10.59000015258789
2020-09-24,10.319999694824219
2020-09-25,10.319999694824219
2020-09-28,10.399999618530273
2020-09-29,10.449999809265137
2020-09-30,10.449999809265137
2020-10-01,10.449999809265137
2020-10-02,10.4399995803833
2020-10-05,10.376999855041504
2020-10-06,10.369999885559082
2020-10-07,10.300000190734863
2020-10-08,10.289999961853027
2020-10-09,10.199999809265137
2020-10-12,10.324999809265137
2020-10-13,10.15999984741211
2020-10-14,10.199999809265137
2020-10-15,10.149999618530273
2020-10-16,10.350000381469727
2020-10-19,11.960000038146973
2020-10-20,11.65999984741211
2020-10-21,11.359999656677246
2020-10-22,11.220000267028809
2020-10-23,11.300000190734863
2020-10-26,11.350000381469727
2020-10-27,11.119999885559082
2020-10-28,11.25
2020-10-29,11.449999809265137
2020-10-30,11.229999542236328
2020-11-02,11.0
2020-11-03,11.199999809265137
2020-11-04,12.0
2020-11-05,12.15999984741211
2020-11-06,12.399999618530273
2020-11-09,12.444999694824219
2020-11-10,12.199999809265137
2020-11-11,12.25
2020-11-12,11.90999984741211
2020-11-13,12.1899995803833
2020-11-16,12.020000457763672
2020-11-17,12.0
2020-11-18,12.149999618530273
2020-11-19,12.210000038146973
2020-11-20,12.5
2020-11-23,12.600000381469727
2020-11-24,12.880000114440918
2020-11-25,12.800000190734863
2020-11-27,12.609999656677246
2020-11-30,12.899999618530273
2020-12-01,13.399999618530273
2020-12-02,14.100000381469727
2020-12-03,14.0600004196167
2020-12-04,14.59000015258789
2020-12-07,15.460000038146973
2020-12-08,15.149999618530273
2020-12-09,14.899999618530273
2020-12-10,15.0
2020-12-11,14.510000228881836
2020-12-14,13.829999923706055
2020-12-15,14.569999694824219
2020-12-16,14.5600004196167
2020-12-17,14.5
2020-12-18,15.460000038146973
2020-12-21,15.279999732971191
2020-12-22,16.25
2020-12-23,15.9399995803833
2020-12-24,16.600000381469727
2020-12-28,17.0
2020-12-29,16.020000457763672
2020-12-30,16.450000762939453
2020-12-31,16.1299991607666
2021-01-04,16.09000015258789
2021-01-05,16.700000762939453
2021-01-06,16.920000076293945
2021-01-07,17.459999084472656
2021-01-08,16.899999618530273
2021-01-11,17.020000457763672
2021-01-12,16.799999237060547
2021-01-13,16.600000381469727
2021-01-14,16.600000381469727
2021-01-15,16.75
2021-01-19,16.75
2021-01-20,17.3700008392334
2021-01-21,17.450000762939453
2021-01-22,16.6200008392334
2021-01-25,16.229999542236328
2021-01-26,15.989999771118164
2021-01-27,15.399999618530273
2021-01-28,16.06999969482422
2021-01-29,16.200000762939453
2021-02-01,16.360000610351562
2021-02-02,16.8799991607666
2021-02-03,16.709999084472656
2021-02-04,16.6299991607666
2021-02-05,17.0
2021-02-08,17.670000076293945
2021-02-09,17.860000610351562
2021-02-10,17.549999237060547
2021-02-11,17.440000534057617
2021-02-12,17.729999542236328
2021-02-16,19.329999923706055
2021-02-17,19.1200008392334
2021-02-18,18.799999237060547
2021-02-19,19.0
2021-02-22,18.700000762939453
2021-02-23,18.56999969482422
2021-02-24,18.3700008392334
2021-02-25,17.5
2021-02-26,16.899999618530273
2021-03-01,17.850000381469727
2021-03-02,17.649999618530273
2021-03-03,16.979999542236328
2021-03-04,15.380000114440918
2021-03-05,15.050000190734863
2021-03-08,14.510000228881836
2021-03-09,15.479999542236328
2021-03-10,15.8100004196167
2021-03-11,16.34000015258789
2021-03-12,17.09000015258789
2021-03-15,17.719999313354492
2021-03-16,17.850000381469727
2021-03-17,17.65999984741211
2021-03-18,16.420000076293945
2021-03-19,16.18000030517578
2021-03-22,16.200000762939453
2021-03-23,15.600000381469727
2021-03-24,14.729999542236328
2021-03-25,14.40999984741211
2021-03-26,14.40999984741211
2021-03-29,14.09000015258789
2021-03-30,14.0
2021-03-31,14.470000267028809
2021-04-01,14.640000343322754
2021-04-05,15.15999984741211
2021-04-06,15.319999694824219
2021-04-07,15.079999923706055
2021-04-08,14.960000038146973
2021-04-09,15.09000015258789
2021-04-12,15.0
2021-04-13,15.399999618530273
2021-04-14,15.270000457763672
2021-04-15,15.489999771118164
2021-04-16,15.300000190734863
2021-04-19,14.789999961853027
2021-04-20,14.279999732971191
2021-04-21,14.770000457763672
2021-04-22,14.770000457763672
2021-04-23,15.010000228881836
2021-04-26,15.430000305175781
2021-04-27,15.84000015258789
2021-04-28,16.190000534057617
2021-04-29,16.239999771118164
2021-04-30,15.800000190734863
2021-05-03,15.65999984741211
2021-05-04,15.460000038146973
2021-05-05,15.1899995803833
2021-05-06,14.8100004196167
2021-05-07,14.699999809265137
2021-05-10,14.0600004196167
2021-05-11,13.40999984741211
2021-05-12,12.529999732971191
2021-05-13,11.869999885559082
2021-05-14,12.34000015258789
