,FDT
2015-07-09,49.290000915527344
2015-07-10,49.95000076293945
2015-07-13,50.43000030517578
2015-07-14,50.59000015258789
2015-07-15,50.45000076293945
2015-07-16,50.709999084472656
2015-07-17,50.720001220703125
2015-07-20,50.70000076293945
2015-07-21,50.7400016784668
2015-07-22,50.45000076293945
2015-07-23,50.45000076293945
2015-07-24,49.91999816894531
2015-07-27,49.40999984741211
2015-07-28,49.91999816894531
2015-07-29,50.290000915527344
2015-07-30,49.880001068115234
2015-07-31,49.970001220703125
2015-08-03,49.900001525878906
2015-08-04,50.02000045776367
2015-08-05,50.0
2015-08-06,50.0099983215332
2015-08-07,49.84000015258789
2015-08-10,50.689998626708984
2015-08-11,49.720001220703125
2015-08-12,49.2599983215332
2015-08-13,49.38999938964844
2015-08-14,49.54999923706055
2015-08-17,49.470001220703125
2015-08-18,49.099998474121094
2015-08-19,48.34000015258789
2015-08-20,47.09000015258789
2015-08-21,46.060001373291016
2015-08-24,44.439998626708984
2015-08-25,44.63999938964844
2015-08-26,46.13999938964844
2015-08-27,47.290000915527344
2015-08-28,47.290000915527344
2015-08-31,46.91999816894531
2015-09-01,45.2400016784668
2015-09-02,45.650001525878906
2015-09-03,46.02000045776367
2015-09-04,44.88999938964844
2015-09-08,45.790000915527344
2015-09-09,46.0
2015-09-10,46.08000183105469
2015-09-11,46.18000030517578
2015-09-14,46.029998779296875
2015-09-15,46.380001068115234
2015-09-16,47.04999923706055
2015-09-17,47.2599983215332
2015-09-18,46.13999938964844
2015-09-21,45.9900016784668
2015-09-22,45.150001525878906
2015-09-23,44.70000076293945
2015-09-24,44.529998779296875
2015-09-25,45.08000183105469
2015-09-28,44.02000045776367
2015-09-29,43.849998474121094
2015-09-30,44.81999969482422
2015-10-01,45.029998779296875
2015-10-02,45.77000045776367
2015-10-05,46.95000076293945
2015-10-06,46.900001525878906
2015-10-07,47.27000045776367
2015-10-08,47.689998626708984
2015-10-09,47.61000061035156
2015-10-12,47.68000030517578
2015-10-13,47.380001068115234
2015-10-14,47.29999923706055
2015-10-15,48.08000183105469
2015-10-16,48.11000061035156
2015-10-19,48.18000030517578
2015-10-20,48.04999923706055
2015-10-21,48.060001373291016
2015-10-22,48.70000076293945
2015-10-23,48.79999923706055
2015-10-26,48.720001220703125
2015-10-27,48.189998626708984
2015-10-28,48.279998779296875
2015-10-29,48.09000015258789
2015-10-30,48.20000076293945
2015-11-02,48.400001525878906
2015-11-03,48.61000061035156
2015-11-04,47.95000076293945
2015-11-05,48.130001068115234
2015-11-06,47.86000061035156
2015-11-09,47.5
2015-11-10,47.47999954223633
2015-11-11,47.470001220703125
2015-11-12,46.93000030517578
2015-11-13,46.459999084472656
2015-11-16,47.119998931884766
2015-11-17,47.31999969482422
2015-11-18,47.529998779296875
2015-11-19,47.79999923706055
2015-11-20,47.97999954223633
2015-11-23,47.7400016784668
2015-11-24,47.86000061035156
2015-11-25,47.93000030517578
2015-11-27,47.86000061035156
2015-11-30,47.91999816894531
2015-12-01,48.560001373291016
2015-12-02,48.08000183105469
2015-12-03,47.869998931884766
2015-12-04,48.209999084472656
2015-12-07,47.869998931884766
