,ADAP
2016-02-02,7.929999828338623
2016-02-03,7.400000095367432
2016-02-04,7.550000190734863
2016-02-05,7.119999885559082
2016-02-08,7.150000095367432
2016-02-09,6.519999980926514
2016-02-10,7.050000190734863
2016-02-11,7.5
2016-02-12,7.849999904632568
2016-02-16,8.34000015258789
2016-02-17,8.529999732971191
2016-02-18,8.270000457763672
2016-02-19,8.220000267028809
2016-02-22,8.390000343322754
2016-02-23,7.630000114440918
2016-02-24,7.380000114440918
2016-02-25,7.670000076293945
2016-02-26,7.820000171661377
2016-02-29,7.190000057220459
2016-03-01,7.449999809265137
2016-03-02,8.380000114440918
2016-03-03,8.329999923706055
2016-03-04,8.239999771118164
2016-03-07,9.0600004196167
2016-03-08,8.920000076293945
2016-03-09,8.34000015258789
2016-03-10,7.760000228881836
