,AVGOP
2020-03-09,991.2000122070312
2020-03-10,1018.8200073242188
2020-03-11,982.0
2020-03-12,870.280029296875
2020-03-13,890.0
2020-03-16,762.0399780273438
2020-03-17,779.0
2020-03-18,647.2899780273438
2020-03-19,740.3499755859375
2020-03-20,790.0
2020-03-23,783.5399780273438
2020-03-24,838.0800170898438
2020-03-25,874.1799926757812
2020-03-26,944.7130126953125
2020-03-27,940.510009765625
2020-03-30,941.0800170898438
2020-03-31,934.3599853515625
2020-04-01,887.7100219726562
2020-04-02,924.510009765625
2020-04-03,914.4299926757812
2020-04-06,971.6400146484375
2020-04-07,981.2230224609375
2020-04-08,1000.0599975585938
2020-04-09,982.4299926757812
2020-04-13,1005.4400024414062
2020-04-14,1025.1400146484375
2020-04-15,1002.0
2020-04-16,994.7899780273438
2020-04-17,1028.050048828125
2020-04-20,992.5
2020-04-21,957.0
2020-04-22,986.1599731445312
2020-04-23,993.8499755859375
2020-04-24,1007.1500244140625
2020-04-27,1014.0399780273438
2020-04-28,1014.0399780273438
2020-04-29,1030.7769775390625
2020-04-30,1017.4400024414062
2020-05-01,981.0
2020-05-04,985.530029296875
2020-05-05,1000.0
2020-05-06,1007.25
2020-05-07,1009.4199829101562
2020-05-08,1020.0700073242188
2020-05-11,1026.969970703125
2020-05-12,1012.1400146484375
2020-05-13,979.5499877929688
2020-05-14,986.1199951171875
2020-05-15,983.6500244140625
2020-05-18,1016.2999877929688
2020-05-19,1011.0599975585938
2020-05-20,1031.0400390625
2020-05-21,1019.4000244140625
2020-05-22,1031.27001953125
2020-05-26,1047.739990234375
2020-05-27,1047.2900390625
2020-05-28,1057.0
2020-05-29,1085.949951171875
2020-06-01,1065.050048828125
2020-06-02,1088.300048828125
2020-06-03,1122.2099609375
2020-06-04,1116.510009765625
2020-06-05,1143.0799560546875
2020-06-08,1143.3499755859375
2020-06-09,1139.8299560546875
2020-06-10,1142.27001953125
2020-06-11,1080.5400390625
2020-06-12,1058.3399658203125
2020-06-15,1069.449951171875
2020-06-16,1089.39599609375
2020-06-17,1098.949951171875
2020-06-18,1106.760009765625
2020-06-19,1087.81005859375
2020-06-22,1104.7900390625
2020-06-23,1105.6600341796875
2020-06-24,1088.135009765625
2020-06-25,1097.0799560546875
2020-06-26,1092.300048828125
2020-06-29,1098.780029296875
2020-06-30,1114.3499755859375
2020-07-01,1114.1500244140625
2020-07-02,1120.5999755859375
2020-07-06,1130.0699462890625
2020-07-07,1119.3199462890625
2020-07-08,1138.3599853515625
2020-07-09,1151.4100341796875
2020-07-10,1142.6650390625
2020-07-13,1123.280029296875
2020-07-14,1127.9300537109375
2020-07-15,1127.9300537109375
2020-07-16,1115.0
2020-07-17,1131.1099853515625
2020-07-20,1135.3499755859375
2020-07-21,1130.0
2020-07-22,1126.739990234375
2020-07-23,1122.010009765625
2020-07-24,1111.4200439453125
2020-07-27,1115.949951171875
2020-07-28,1115.1300048828125
2020-07-29,1115.1300048828125
2020-07-30,1121.699951171875
2020-07-31,1140.9100341796875
2020-08-03,1154.3699951171875
2020-08-04,1165.0
2020-08-05,1168.030029296875
2020-08-06,1174.1800537109375
2020-08-07,1155.1700439453125
2020-08-10,1160.5
2020-08-11,1160.5
2020-08-12,1187.5699462890625
2020-08-13,1187.5699462890625
2020-08-14,1165.1300048828125
2020-08-17,1186.0400390625
2020-08-18,1184.5799560546875
2020-08-19,1188.280029296875
2020-08-20,1187.780029296875
2020-08-21,1181.3199462890625
2020-08-24,1196.010009765625
2020-08-25,1207.56005859375
2020-08-26,1218.75
2020-08-27,1216.0
2020-08-28,1226.739990234375
2020-08-31,1230.199951171875
2020-09-01,1269.8900146484375
2020-09-02,1315.22998046875
2020-09-03,1254.56005859375
2020-09-04,1292.3299560546875
2020-09-08,1248.905029296875
2020-09-09,1262.0
2020-09-10,1260.0
2020-09-11,1257.530029296875
2020-09-14,1252.050048828125
2020-09-15,1267.52001953125
2020-09-16,1264.3299560546875
2020-09-17,1244.0
2020-09-18,1236.3699951171875
2020-09-21,1218.280029296875
2020-09-22,1242.8680419921875
2020-09-23,1222.8699951171875
2020-09-24,1232.14599609375
2020-09-25,1232.14599609375
2020-09-28,1267.550048828125
2020-09-29,1252.25
2020-09-30,1246.75
2020-10-01,1266.43994140625
2020-10-02,1235.02001953125
2020-10-05,1256.8900146484375
2020-10-06,1254.8299560546875
2020-10-07,1261.5899658203125
2020-10-08,1274.4000244140625
2020-10-09,1280.0
2020-10-12,1305.8699951171875
2020-10-13,1298.489990234375
2020-10-14,1295.010009765625
2020-10-15,1280.010009765625
2020-10-16,1269.1300048828125
2020-10-19,1270.3299560546875
2020-10-20,1260.010009765625
2020-10-21,1250.81005859375
2020-10-22,1250.5
2020-10-23,1248.8399658203125
2020-10-26,1220.93994140625
2020-10-27,1216.7220458984375
2020-10-28,1180.5899658203125
2020-10-29,1211.5799560546875
2020-10-30,1189.989990234375
2020-11-02,1187.280029296875
2020-11-03,1200.8199462890625
2020-11-04,1229.0
2020-11-05,1267.010009765625
2020-11-06,1275.3800048828125
2020-11-09,1270.72998046875
2020-11-10,1223.72998046875
2020-11-11,1264.5799560546875
2020-11-12,1253.0999755859375
2020-11-13,1258.550048828125
2020-11-16,1277.050048828125
2020-11-17,1274.5
2020-11-18,1280.300048828125
2020-11-19,1264.780029296875
2020-11-20,1298.1080322265625
2020-11-23,1297.9000244140625
2020-11-24,1298.0
2020-11-25,1306.72998046875
2020-11-27,1319.4100341796875
2020-11-30,1330.7099609375
2020-12-01,1343.6600341796875
2020-12-02,1338.5550537109375
2020-12-03,1326.3389892578125
2020-12-04,1363.1800537109375
2020-12-07,1382.5799560546875
2020-12-08,1397.0799560546875
2020-12-09,1376.219970703125
2020-12-10,1358.5400390625
2020-12-11,1337.5
2020-12-14,1342.7900390625
2020-12-15,1357.0899658203125
2020-12-16,1379.800048828125
2020-12-17,1382.0999755859375
2020-12-18,1410.72998046875
2020-12-21,1393.239990234375
2020-12-22,1413.449951171875
2020-12-23,1392.949951171875
2020-12-24,1399.280029296875
2020-12-28,1410.5999755859375
2020-12-29,1402.5
2020-12-30,1419.280029296875
2020-12-31,1422.469970703125
2021-01-04,1392.800048828125
2021-01-05,1386.989990234375
2021-01-06,1393.1800537109375
2021-01-07,1423.0
