,EDOC
2020-11-25,17.764999389648438
2020-11-27,18.299999237060547
2020-11-30,18.43000030517578
2020-12-01,18.520000457763672
2020-12-02,18.280000686645508
2020-12-03,18.360000610351562
2020-12-04,18.5
2020-12-07,18.420000076293945
2020-12-08,18.670000076293945
2020-12-09,18.56999969482422
2020-12-10,18.969999313354492
2020-12-11,18.801000595092773
2020-12-14,18.709999084472656
2020-12-15,18.969999313354492
2020-12-16,18.829999923706055
2020-12-17,19.1200008392334
2020-12-18,19.1200008392334
2020-12-21,19.139999389648438
2020-12-22,19.600000381469727
2020-12-23,19.719999313354492
2020-12-24,19.469999313354492
2020-12-28,19.25
2020-12-29,19.200000762939453
2020-12-30,19.329999923706055
2020-12-31,19.280000686645508
2021-01-04,19.229999542236328
2021-01-05,19.420000076293945
2021-01-06,19.709999084472656
2021-01-07,20.139999389648438
2021-01-08,20.299999237060547
2021-01-11,20.1200008392334
2021-01-12,20.3799991607666
2021-01-13,20.479999542236328
2021-01-14,20.65999984741211
2021-01-15,20.520000457763672
2021-01-19,21.09000015258789
2021-01-20,21.6200008392334
2021-01-21,21.479999542236328
2021-01-22,21.670000076293945
2021-01-25,21.889999389648438
2021-01-26,21.520000457763672
2021-01-27,20.899999618530273
2021-01-28,21.049999237060547
2021-01-29,20.479999542236328
2021-02-01,20.989999771118164
2021-02-02,21.43000030517578
2021-02-03,21.43000030517578
2021-02-04,21.559999465942383
2021-02-05,21.729999542236328
2021-02-08,21.959999084472656
2021-02-09,22.15999984741211
2021-02-10,22.09000015258789
2021-02-11,22.34000015258789
2021-02-12,22.6299991607666
2021-02-16,22.540000915527344
2021-02-17,22.290000915527344
2021-02-18,21.93000030517578
2021-02-19,22.1200008392334
2021-02-22,21.079999923706055
2021-02-23,20.8700008392334
2021-02-24,20.829999923706055
2021-02-25,20.15999984741211
2021-02-26,20.149999618530273
2021-03-01,20.670000076293945
2021-03-02,20.25
2021-03-03,19.3700008392334
2021-03-04,18.479999542236328
2021-03-05,18.600000381469727
2021-03-08,18.100000381469727
2021-03-09,18.889999389648438
2021-03-10,18.700000762939453
2021-03-11,19.59000015258789
2021-03-12,19.420000076293945
2021-03-15,19.65999984741211
2021-03-16,19.540000915527344
2021-03-17,19.639999389648438
2021-03-18,19.1200008392334
2021-03-19,19.420000076293945
2021-03-22,19.6299991607666
2021-03-23,19.309999465942383
2021-03-24,18.719999313354492
2021-03-25,18.709999084472656
2021-03-26,18.940000534057617
2021-03-29,18.549999237060547
2021-03-30,18.719999313354492
2021-03-31,19.1200008392334
2021-04-01,19.56999969482422
2021-04-05,19.639999389648438
2021-04-06,19.639999389648438
2021-04-07,19.25
2021-04-08,19.549999237060547
2021-04-09,19.65999984741211
2021-04-12,19.59000015258789
2021-04-13,19.739999771118164
2021-04-14,19.81999969482422
2021-04-15,20.06999969482422
2021-04-16,19.959999084472656
2021-04-19,19.639999389648438
2021-04-20,19.3700008392334
2021-04-21,19.780000686645508
2021-04-22,19.889999389648438
2021-04-23,20.06999969482422
2021-04-26,20.219999313354492
2021-04-27,20.259000778198242
2021-04-28,20.229999542236328
2021-04-29,19.93000030517578
2021-04-30,19.75
2021-05-03,19.469999313354492
2021-05-04,19.010000228881836
2021-05-05,18.90999984741211
2021-05-06,18.59000015258789
2021-05-07,18.68000030517578
2021-05-10,17.959999084472656
2021-05-11,18.06999969482422
2021-05-12,17.639999389648438
2021-05-13,17.5
2021-05-14,17.8700008392334
