,EDSA
2012-07-31,163.8000030517578
2012-08-01,159.60000610351562
2012-08-02,159.60000610351562
2012-08-03,159.60000610351562
2012-08-06,159.60000610351562
2012-08-07,159.60000610351562
2012-08-08,168.0
2012-08-09,159.60000610351562
2012-08-10,159.60000610351562
2012-08-13,159.60000610351562
2012-08-14,159.60000610351562
2012-08-15,159.60000610351562
2012-08-16,159.60000610351562
2012-08-17,159.60000610351562
2012-08-20,159.60000610351562
2012-08-21,159.60000610351562
2012-08-22,159.60000610351562
2012-08-23,159.60000610351562
2012-08-24,159.60000610351562
2012-08-27,159.60000610351562
2012-08-28,159.60000610351562
2012-08-29,159.60000610351562
2012-08-30,117.5999984741211
2012-08-31,142.8000030517578
2012-09-04,142.8000030517578
2012-09-05,142.8000030517578
2012-09-06,147.0
2012-09-07,147.0
2012-09-10,147.0
2012-09-11,147.0
2012-09-12,147.0
2012-09-13,151.1999969482422
2012-09-14,126.0
2012-09-17,121.80000305175781
2012-09-18,126.0
2012-09-19,121.80000305175781
2012-09-20,126.0
2012-09-21,126.0
2012-09-24,142.8000030517578
2012-09-25,142.8000030517578
2012-09-26,142.8000030517578
2012-09-27,117.5999984741211
2012-09-28,117.5999984741211
2012-10-01,117.5999984741211
2012-10-02,117.5999984741211
2012-10-03,117.5999984741211
2012-10-04,117.5999984741211
2012-10-05,117.5999984741211
2012-10-08,117.5999984741211
2012-10-09,117.5999984741211
2012-10-10,117.5999984741211
2012-10-11,117.5999984741211
2012-10-12,117.5999984741211
2012-10-15,117.5999984741211
2012-10-16,117.5999984741211
2012-10-17,117.5999984741211
2012-10-18,121.80000305175781
2012-10-19,121.80000305175781
2012-10-22,121.80000305175781
2012-10-23,117.5999984741211
2012-10-24,117.5999984741211
2012-10-25,117.5999984741211
2012-10-26,113.4000015258789
2012-10-31,113.4000015258789
2012-11-01,113.4000015258789
2012-11-02,105.0
2012-11-05,126.0
2012-11-06,105.0
2012-11-07,109.19999694824219
2012-11-08,109.19999694824219
2012-11-09,109.19999694824219
2012-11-12,105.0
2012-11-13,96.5999984741211
2012-11-14,96.5999984741211
2012-11-15,100.80000305175781
2012-11-16,100.80000305175781
2012-11-19,117.5999984741211
2012-11-20,117.5999984741211
2012-11-21,105.0
2012-11-23,105.0
2012-11-26,92.4000015258789
2012-11-27,92.4000015258789
2012-11-28,92.4000015258789
2012-11-29,92.4000015258789
2012-11-30,88.19999694824219
2012-12-03,96.5999984741211
2012-12-04,84.0
2012-12-05,105.0
2012-12-06,105.0
2012-12-07,96.5999984741211
2012-12-10,96.5999984741211
2012-12-11,96.5999984741211
2012-12-12,96.5999984741211
2012-12-13,96.5999984741211
2012-12-14,96.5999984741211
2012-12-17,126.0
2012-12-18,130.1999969482422
2012-12-19,121.80000305175781
2012-12-20,121.80000305175781
2012-12-21,121.80000305175781
2012-12-24,121.80000305175781
2012-12-26,126.0
2012-12-27,121.80000305175781
2012-12-28,121.80000305175781
2012-12-31,121.80000305175781
2013-01-02,126.0
2013-01-03,126.0
2013-01-04,126.0
2013-01-07,138.60000610351562
2013-01-08,138.60000610351562
2013-01-09,151.1999969482422
2013-01-10,151.1999969482422
2013-01-11,142.8000030517578
2013-01-14,142.8000030517578
2013-01-15,151.1999969482422
2013-01-16,151.1999969482422
2013-01-17,151.1999969482422
2013-01-18,168.0
2013-01-22,180.60000610351562
2013-01-23,184.8000030517578
2013-01-24,184.8000030517578
2013-01-25,176.39999389648438
2013-01-28,176.39999389648438
2013-01-29,168.0
2013-01-30,168.0
2013-01-31,159.60000610351562
2013-02-01,155.39999389648438
2013-02-04,155.39999389648438
2013-02-05,147.0
2013-02-06,163.8000030517578
2013-02-07,172.1999969482422
2013-02-08,176.39999389648438
2013-02-11,184.8000030517578
2013-02-12,184.8000030517578
2013-02-13,193.1999969482422
2013-02-14,201.60000610351562
2013-02-15,210.0
2013-02-19,235.1999969482422
2013-02-20,256.20001220703125
2013-02-21,264.6000061035156
2013-02-22,252.0
2013-02-25,247.8000030517578
2013-02-26,226.8000030517578
2013-02-27,239.39999389648438
2013-02-28,260.3999938964844
2013-03-01,243.60000610351562
2013-03-04,235.1999969482422
2013-03-05,243.60000610351562
2013-03-06,243.60000610351562
2013-03-07,247.8000030517578
2013-03-08,226.8000030517578
2013-03-11,222.60000610351562
2013-03-12,226.8000030517578
2013-03-13,222.60000610351562
2013-03-14,252.0
2013-03-15,247.8000030517578
2013-03-18,243.60000610351562
2013-03-19,252.0
2013-03-20,247.8000030517578
2013-03-21,256.20001220703125
2013-03-22,264.6000061035156
2013-03-25,252.0
2013-03-26,252.0
2013-03-27,252.0
2013-03-28,264.6000061035156
2013-04-01,268.79998779296875
2013-04-02,277.20001220703125
2013-04-03,268.79998779296875
2013-04-04,264.6000061035156
2013-04-05,260.3999938964844
2013-04-08,247.8000030517578
2013-04-09,239.39999389648438
2013-04-10,252.0
2013-04-11,252.0
2013-04-12,256.20001220703125
2013-04-15,247.8000030517578
2013-04-16,247.8000030517578
2013-04-17,231.0
2013-04-18,226.8000030517578
2013-04-19,247.8000030517578
2013-04-22,243.60000610351562
2013-04-23,243.60000610351562
2013-04-24,247.8000030517578
2013-04-25,247.8000030517578
2013-04-26,239.39999389648438
2013-04-29,264.6000061035156
2013-04-30,260.3999938964844
2013-05-01,252.0
2013-05-02,256.20001220703125
2013-05-03,247.8000030517578
2013-05-06,247.8000030517578
2013-05-07,239.39999389648438
2013-05-08,243.60000610351562
2013-05-09,243.60000610351562
2013-05-10,231.0
2013-05-13,252.0
2013-05-14,218.39999389648438
2013-05-15,210.0
2013-05-16,218.39999389648438
2013-05-17,231.0
2013-05-20,252.0
2013-05-21,268.79998779296875
2013-05-22,273.0
2013-05-23,277.20001220703125
2013-05-24,268.79998779296875
2013-05-28,281.3999938964844
2013-05-29,285.6000061035156
2013-05-30,310.79998779296875
2013-05-31,302.3999938964844
2013-06-03,289.79998779296875
2013-06-04,260.3999938964844
2013-06-05,268.79998779296875
2013-06-06,294.0
2013-06-07,336.0
2013-06-10,331.79998779296875
2013-06-11,327.6000061035156
2013-06-12,281.3999938964844
2013-06-13,306.6000061035156
2013-06-14,294.0
2013-06-17,306.6000061035156
2013-06-18,306.6000061035156
2013-06-19,306.6000061035156
2013-06-20,294.0
2013-06-21,302.3999938964844
2013-06-24,306.6000061035156
2013-06-25,319.20001220703125
2013-06-26,306.6000061035156
2013-06-27,306.6000061035156
2013-06-28,310.79998779296875
2013-07-01,315.0
2013-07-02,306.6000061035156
2013-07-03,302.3999938964844
2013-07-05,302.3999938964844
2013-07-08,315.0
2013-07-09,310.79998779296875
2013-07-10,302.3999938964844
2013-07-11,294.0
2013-07-12,298.20001220703125
2013-07-15,315.0
2013-07-16,327.6000061035156
2013-07-17,348.6000061035156
2013-07-18,390.6000061035156
2013-07-19,428.3999938964844
2013-07-22,441.0
2013-07-23,378.0
2013-07-24,390.6000061035156
2013-07-25,390.6000061035156
2013-07-26,399.0
2013-07-29,420.0
2013-07-30,449.3999938964844
2013-07-31,441.0
2013-08-01,445.20001220703125
2013-08-02,411.6000061035156
