,FCRD
2015-05-12,11.979999542236328
2015-05-13,11.890000343322754
2015-05-14,12.020000457763672
2015-05-15,12.09000015258789
2015-05-18,12.260000228881836
2015-05-19,12.390000343322754
2015-05-20,12.5
2015-05-21,12.420000076293945
2015-05-22,12.489999771118164
2015-05-26,12.5600004196167
2015-05-27,12.550000190734863
2015-05-28,12.680000305175781
2015-05-29,12.5600004196167
2015-06-01,12.460000038146973
2015-06-02,12.600000381469727
2015-06-03,12.630000114440918
2015-06-04,12.619999885559082
2015-06-05,12.670000076293945
2015-06-08,12.529999732971191
2015-06-09,12.5
2015-06-10,12.470000267028809
2015-06-11,12.109999656677246
2015-06-12,12.1899995803833
2015-06-15,12.180000305175781
2015-06-16,12.09000015258789
2015-06-17,12.180000305175781
2015-06-18,12.199999809265137
2015-06-19,12.039999961853027
2015-06-22,11.989999771118164
2015-06-23,12.039999961853027
2015-06-24,12.050000190734863
2015-06-25,12.050000190734863
2015-06-26,11.930000305175781
2015-06-29,11.65999984741211
2015-06-30,11.550000190734863
2015-07-01,11.539999961853027
2015-07-02,11.470000267028809
2015-07-06,11.420000076293945
2015-07-07,11.380000114440918
2015-07-08,11.239999771118164
2015-07-09,11.25
2015-07-10,11.25
2015-07-13,11.220000267028809
2015-07-14,11.609999656677246
2015-07-15,11.600000381469727
2015-07-16,11.739999771118164
2015-07-17,11.640000343322754
2015-07-20,11.4399995803833
2015-07-21,11.470000267028809
2015-07-22,11.430000305175781
2015-07-23,11.359999656677246
2015-07-24,11.069999694824219
2015-07-27,10.970000267028809
2015-07-28,11.130000114440918
2015-07-29,11.850000381469727
2015-07-30,11.970000267028809
2015-07-31,11.970000267028809
2015-08-03,11.770000457763672
2015-08-04,11.920000076293945
2015-08-05,11.880000114440918
2015-08-06,11.920000076293945
2015-08-07,12.079999923706055
2015-08-10,12.430000305175781
2015-08-11,12.40999984741211
2015-08-12,12.329999923706055
2015-08-13,12.1899995803833
2015-08-14,12.210000038146973
2015-08-17,12.199999809265137
2015-08-18,12.279999732971191
2015-08-19,12.25
2015-08-20,12.149999618530273
2015-08-21,11.989999771118164
2015-08-24,11.800000190734863
2015-08-25,11.979999542236328
2015-08-26,12.25
2015-08-27,12.300000190734863
2015-08-28,12.399999618530273
2015-08-31,12.460000038146973
2015-09-01,12.369999885559082
2015-09-02,12.40999984741211
2015-09-03,12.380000114440918
2015-09-04,12.380000114440918
2015-09-08,12.229999542236328
2015-09-09,12.180000305175781
2015-09-10,12.220000267028809
2015-09-11,11.819999694824219
2015-09-14,11.579999923706055
2015-09-15,11.5600004196167
2015-09-16,11.65999984741211
2015-09-17,11.5600004196167
2015-09-18,11.050000190734863
2015-09-21,11.25
2015-09-22,11.279999732971191
2015-09-23,11.229999542236328
2015-09-24,11.210000038146973
2015-09-25,11.34000015258789
2015-09-28,10.970000267028809
2015-09-29,10.779999732971191
2015-09-30,10.920000076293945
2015-10-01,11.4399995803833
2015-10-02,11.029999732971191
2015-10-05,11.170000076293945
2015-10-06,11.539999961853027
2015-10-07,11.609999656677246
2015-10-08,11.699999809265137
2015-10-09,11.649999618530273
2015-10-12,11.760000228881836
2015-10-13,11.800000190734863
2015-10-14,11.670000076293945
2015-10-15,11.819999694824219
2015-10-16,11.949999809265137
2015-10-19,11.989999771118164
2015-10-20,12.079999923706055
2015-10-21,11.949999809265137
2015-10-22,12.069999694824219
2015-10-23,12.029999732971191
2015-10-26,11.90999984741211
2015-10-27,11.579999923706055
2015-10-28,11.5
2015-10-29,11.489999771118164
2015-10-30,11.460000038146973
2015-11-02,11.369999885559082
2015-11-03,11.369999885559082
2015-11-04,11.390000343322754
2015-11-05,11.420000076293945
2015-11-06,11.460000038146973
2015-11-09,11.399999618530273
2015-11-10,11.399999618530273
2015-11-11,11.300000190734863
2015-11-12,11.279999732971191
2015-11-13,11.270000457763672
2015-11-16,11.430000305175781
2015-11-17,11.399999618530273
2015-11-18,11.460000038146973
2015-11-19,11.479999542236328
2015-11-20,11.569999694824219
2015-11-23,11.720000267028809
2015-11-24,11.600000381469727
2015-11-25,11.829999923706055
2015-11-27,11.720000267028809
2015-11-30,11.770000457763672
2015-12-01,11.890000343322754
2015-12-02,11.710000038146973
2015-12-03,11.550000190734863
2015-12-04,11.579999923706055
2015-12-07,11.420000076293945
2015-12-08,11.289999961853027
2015-12-09,11.170000076293945
2015-12-10,11.130000114440918
2015-12-11,10.529999732971191
2015-12-14,10.039999961853027
2015-12-15,11.050000190734863
2015-12-16,11.1899995803833
2015-12-17,11.069999694824219
2015-12-18,11.170000076293945
2015-12-21,10.920000076293945
2015-12-22,10.979999542236328
2015-12-23,11.199999809265137
2015-12-24,11.239999771118164
2015-12-28,10.970000267028809
2015-12-29,11.069999694824219
2015-12-30,10.880000114440918
2015-12-31,10.699999809265137
2016-01-04,10.770000457763672
2016-01-05,10.819999694824219
2016-01-06,10.760000228881836
2016-01-07,10.609999656677246
2016-01-08,10.430000305175781
2016-01-11,10.15999984741211
2016-01-12,10.119999885559082
2016-01-13,9.789999961853027
2016-01-14,9.880000114440918
2016-01-15,9.550000190734863
2016-01-19,9.470000267028809
2016-01-20,9.15999984741211
2016-01-21,9.420000076293945
2016-01-22,9.460000038146973
2016-01-25,9.460000038146973
2016-01-26,9.529999732971191
2016-01-27,9.600000381469727
2016-01-28,9.649999618530273
2016-01-29,9.699999809265137
2016-02-01,9.600000381469727
2016-02-02,9.270000457763672
2016-02-03,9.180000305175781
2016-02-04,9.149999618530273
2016-02-05,9.220000267028809
2016-02-08,9.079999923706055
2016-02-09,8.819999694824219
2016-02-10,8.739999771118164
2016-02-11,8.670000076293945
2016-02-12,8.890000343322754
2016-02-16,8.970000267028809
2016-02-17,9.119999885559082
2016-02-18,9.09000015258789
2016-02-19,9.1899995803833
2016-02-22,9.270000457763672
2016-02-23,9.289999961853027
2016-02-24,9.369999885559082
2016-02-25,9.430000305175781
2016-02-26,9.460000038146973
2016-02-29,9.829999923706055
2016-03-01,9.829999923706055
2016-03-02,9.890000343322754
2016-03-03,10.09000015258789
2016-03-04,10.149999618530273
2016-03-07,10.239999771118164
2016-03-08,10.0600004196167
2016-03-09,10.069999694824219
2016-03-10,10.079999923706055
2016-03-11,10.170000076293945
2016-03-14,10.470000267028809
2016-03-15,10.34000015258789
2016-03-16,10.430000305175781
2016-03-17,10.59000015258789
2016-03-18,10.869999885559082
2016-03-21,10.739999771118164
2016-03-22,10.609999656677246
2016-03-23,10.430000305175781
2016-03-24,10.529999732971191
2016-03-28,10.880000114440918
2016-03-29,10.890000343322754
2016-03-30,10.819999694824219
2016-03-31,10.829999923706055
