,AOSL
2015-08-24,7.260000228881836
2015-08-25,7.230000019073486
2015-08-26,7.21999979019165
2015-08-27,7.21999979019165
2015-08-28,7.309999942779541
2015-08-31,7.650000095367432
2015-09-01,7.349999904632568
2015-09-02,8.039999961853027
2015-09-03,7.940000057220459
2015-09-04,8.100000381469727
2015-09-08,8.3100004196167
2015-09-09,8.140000343322754
2015-09-10,7.909999847412109
2015-09-11,7.889999866485596
2015-09-14,7.760000228881836
2015-09-15,7.900000095367432
2015-09-16,8.0
2015-09-17,8.119999885559082
2015-09-18,8.0
2015-09-21,7.900000095367432
2015-09-22,7.659999847412109
2015-09-23,7.75
2015-09-24,7.800000190734863
2015-09-25,7.760000228881836
2015-09-28,7.880000114440918
2015-09-29,7.840000152587891
2015-09-30,7.789999961853027
2015-10-01,7.880000114440918
2015-10-02,8.149999618530273
2015-10-05,8.350000381469727
2015-10-06,8.449999809265137
2015-10-07,8.699999809265137
2015-10-08,8.989999771118164
2015-10-09,8.789999961853027
2015-10-12,8.789999961853027
2015-10-13,8.670000076293945
2015-10-14,8.829999923706055
2015-10-15,8.800000190734863
2015-10-16,8.800000190734863
2015-10-19,8.789999961853027
2015-10-20,8.789999961853027
2015-10-21,8.729999542236328
2015-10-22,8.770000457763672
2015-10-23,8.800000190734863
2015-10-26,8.75
2015-10-27,8.670000076293945
2015-10-28,8.75
2015-10-29,8.760000228881836
2015-10-30,8.880000114440918
2015-11-02,9.109999656677246
2015-11-03,9.34000015258789
2015-11-04,9.479999542236328
2015-11-05,9.390000343322754
2015-11-06,9.5
2015-11-09,9.430000305175781
2015-11-10,9.3100004196167
2015-11-11,9.300000190734863
2015-11-12,9.25
2015-11-13,9.270000457763672
2015-11-16,9.09000015258789
2015-11-17,9.15999984741211
2015-11-18,9.420000076293945
2015-11-19,9.489999771118164
2015-11-20,9.619999885559082
2015-11-23,9.470000267028809
2015-11-24,9.550000190734863
2015-11-25,9.420000076293945
2015-11-27,9.449999809265137
2015-11-30,9.739999771118164
2015-12-01,9.720000267028809
2015-12-02,9.739999771118164
2015-12-03,9.670000076293945
2015-12-04,9.880000114440918
2015-12-07,9.579999923706055
2015-12-08,9.460000038146973
2015-12-09,9.170000076293945
2015-12-10,9.210000038146973
2015-12-11,9.050000190734863
2015-12-14,8.920000076293945
2015-12-15,8.960000038146973
2015-12-16,9.0
2015-12-17,9.039999961853027
2015-12-18,9.170000076293945
2015-12-21,9.390000343322754
2015-12-22,9.4399995803833
2015-12-23,9.5
2015-12-24,9.529999732971191
2015-12-28,9.390000343322754
