,SDP
2008-10-03,1946.8800048828125
2008-10-06,2157.60009765625
2008-10-07,2322.0
2008-10-08,2406.9599609375
2008-10-09,2707.43994140625
2008-10-10,2946.239990234375
2008-10-13,2129.760009765625
2008-10-14,2192.639892578125
2008-10-15,2545.919921875
2008-10-16,2398.800048828125
2008-10-17,2298.0
2008-10-20,1951.43994140625
2008-10-21,2068.320068359375
2008-10-22,2301.1201171875
2008-10-23,2142.9599609375
2008-10-24,2208.0
2008-10-27,2395.43994140625
2008-10-28,1956.0
2008-10-29,2006.4000244140625
2008-10-30,1848.0
2008-10-31,1893.5999755859375
2008-11-03,1879.199951171875
2008-11-04,1816.56005859375
2008-11-05,1942.800048828125
2008-11-06,2098.800048828125
2008-11-07,1908.0
2008-11-10,1987.43994140625
2008-11-11,1997.52001953125
2008-11-12,2113.919921875
2008-11-13,1834.0799560546875
2008-11-14,1903.6800537109375
2008-11-17,1921.6800537109375
2008-11-18,1924.56005859375
2008-11-19,2052.0
2008-11-20,2292.0
2008-11-21,1915.6800537109375
2008-11-24,1804.0799560546875
2008-11-25,1788.9599609375
2008-11-26,1735.6800537109375
2008-11-28,1703.280029296875
2008-12-01,1920.0
2008-12-02,1831.43994140625
2008-12-03,1824.0
2008-12-04,1916.8800048828125
2008-12-05,1831.9200439453125
2008-12-08,1800.0
2008-12-09,1848.0
2008-12-10,1776.0
2008-12-11,1815.1199951171875
2008-12-12,1797.8399658203125
2008-12-15,1842.47998046875
2008-12-16,1708.56005859375
2008-12-17,1807.9200439453125
2008-12-18,1797.8399658203125
2008-12-19,1789.9200439453125
2008-12-22,1818.719970703125
2008-12-23,1156.800048828125
2008-12-24,1145.0400390625
2008-12-26,1118.8800048828125
2008-12-29,1129.6800537109375
2008-12-30,1090.0799560546875
2008-12-31,1046.1600341796875
2009-01-02,995.760009765625
2009-01-05,971.280029296875
2009-01-06,994.3200073242188
2009-01-07,1029.5999755859375
2009-01-08,1022.1599731445312
2009-01-09,1039.9200439453125
2009-01-12,1041.3599853515625
2009-01-13,1075.43994140625
2009-01-14,1113.1199951171875
2009-01-15,1101.8399658203125
2009-01-16,1050.239990234375
2009-01-20,1098.0
2009-01-21,1061.280029296875
2009-01-22,1068.719970703125
2009-01-23,1063.6800537109375
2009-01-26,1018.3200073242188
2009-01-27,1009.4400024414062
2009-01-28,995.760009765625
2009-01-29,1005.5999755859375
2009-01-30,1054.0799560546875
2009-02-02,1039.199951171875
2009-02-03,1022.4000244140625
2009-02-04,1002.9600219726562
2009-02-05,988.7999877929688
2009-02-06,971.760009765625
2009-02-09,988.3200073242188
2009-02-10,1044.0
2009-02-11,1060.56005859375
2009-02-12,1074.47998046875
2009-02-13,1079.280029296875
2009-02-17,1184.1600341796875
2009-02-18,1212.0
2009-02-19,1209.3599853515625
2009-02-20,1268.4000244140625
2009-02-23,1332.0
2009-02-24,1249.43994140625
2009-02-25,1269.8399658203125
2009-02-26,1310.1600341796875
2009-02-27,1346.1600341796875
2009-03-02,1452.0
2009-03-03,1548.9599609375
2009-03-04,1492.800048828125
2009-03-05,1604.8800048828125
2009-03-06,1587.8399658203125
2009-03-09,1666.800048828125
2009-03-10,1588.56005859375
2009-03-11,1595.52001953125
2009-03-12,1537.9200439453125
2009-03-13,1500.719970703125
2009-03-16,1433.52001953125
2009-03-17,1380.0
2009-03-18,1301.52001953125
2009-03-19,1258.800048828125
