,CYCC
2005-10-05,7560.0
2005-10-06,8064.0
2005-10-07,7224.0
2005-10-10,7560.0
2005-10-11,7560.0
2005-10-12,7560.0
2005-10-13,7560.0
2005-10-14,7728.0
2005-10-17,7728.0
2005-10-18,7896.0
2005-10-19,7056.0
2005-10-20,6720.0
2005-10-21,6384.0
2005-10-24,6888.0
2005-10-25,6720.0
2005-10-26,6720.0
2005-10-27,6720.0
2005-10-28,7224.0
2005-10-31,6384.0
2005-11-01,6552.0
2005-11-02,6048.0
2005-11-03,6384.0
2005-11-04,6216.0
2005-11-07,6552.0
2005-11-08,6216.0
2005-11-09,5712.0
2005-11-10,5712.0
2005-11-11,5544.0
2005-11-14,4872.0
2005-11-15,5376.0
2005-11-16,5544.0
2005-11-17,5040.0
2005-11-18,4872.0
2005-11-21,4704.0
2005-11-22,4536.0
2005-11-23,5208.0
2005-11-25,4704.0
2005-11-28,5712.0
2005-11-29,6384.0
2005-11-30,7560.0
2005-12-01,6552.0
2005-12-02,6384.0
2005-12-05,6720.0
2005-12-06,6048.0
2005-12-07,6720.0
2005-12-08,6888.0
2005-12-09,6552.0
2005-12-12,6048.0
2005-12-13,5712.0
2005-12-14,5376.0
2005-12-15,8568.0
2005-12-16,8064.0
2005-12-19,9072.0
2005-12-20,9912.0
2005-12-21,9072.0
2005-12-22,9576.0
2005-12-23,9744.0
2005-12-27,11928.0
2005-12-28,10248.0
2005-12-29,10248.0
2005-12-30,11256.0
2006-01-03,11760.0
2006-01-04,12600.0
2006-01-05,12432.0
2006-01-06,13608.0
2006-01-09,14112.0
2006-01-10,13944.0
2006-01-11,13440.0
2006-01-12,13272.0
2006-01-13,12264.0
2006-01-17,11256.0
2006-01-18,11760.0
2006-01-19,11928.0
2006-01-20,12432.0
2006-01-23,12768.0
2006-01-24,12936.0
2006-01-25,13104.0
2006-01-26,12264.0
2006-01-27,11592.0
2006-01-30,12600.0
2006-01-31,13272.0
2006-02-01,12600.0
2006-02-02,12600.0
2006-02-03,12432.0
2006-02-06,11928.0
2006-02-07,12600.0
2006-02-08,11928.0
2006-02-09,11424.0
2006-02-10,11424.0
2006-02-13,11760.0
2006-02-14,12096.0
2006-02-15,12264.0
2006-02-16,12768.0
2006-02-17,12600.0
2006-02-21,11760.0
2006-02-22,11760.0
2006-02-23,12264.0
2006-02-24,11592.0
2006-02-27,11592.0
2006-02-28,13104.0
2006-03-01,12264.0
2006-03-02,11928.0
2006-03-03,12432.0
2006-03-06,12264.0
2006-03-07,12600.0
2006-03-08,12264.0
2006-03-09,11760.0
2006-03-10,11928.0
2006-03-13,12096.0
2006-03-14,11928.0
2006-03-15,12096.0
2006-03-16,11760.0
2006-03-17,11760.0
2006-03-20,12096.0
2006-03-21,11928.0
2006-03-22,11928.0
2006-03-23,12264.0
2006-03-24,12432.0
2006-03-27,13423.2001953125
2006-03-28,13440.0
2006-03-29,13154.400390625
2006-03-30,13154.400390625
2006-03-31,13406.400390625
2006-04-03,13272.0
2006-04-04,13608.0
2006-04-05,13809.599609375
2006-04-06,13440.0
2006-04-07,12146.400390625
2006-04-10,11928.0
2006-04-11,12012.0
2006-04-12,13104.0
2006-04-13,11793.599609375
2006-04-17,12600.0
2006-04-18,12230.400390625
2006-04-19,11928.0
2006-04-20,12096.0
2006-04-21,11760.0
2006-04-24,12264.0
2006-04-25,11760.0
2006-04-26,11760.0
2006-04-27,12902.400390625
2006-04-28,12751.2001953125
2006-05-01,12364.7998046875
2006-05-02,12684.0
2006-05-03,12180.0
2006-05-04,12180.0
2006-05-05,12600.0
2006-05-08,12516.0
2006-05-09,12516.0
2006-05-10,11726.400390625
2006-05-11,11776.7998046875
2006-05-12,10836.0
2006-05-15,11760.0
2006-05-16,12600.0
2006-05-17,12499.2001953125
2006-05-18,11760.0
2006-05-19,11760.0
2006-05-22,12062.400390625
2006-05-23,11928.0
2006-05-24,11894.400390625
2006-05-25,11894.400390625
2006-05-26,11676.0
2006-05-30,11457.599609375
2006-05-31,12012.0
2006-06-01,11676.0
2006-06-02,11760.0
2006-06-05,11172.0
2006-06-06,11172.0
2006-06-07,11088.0
2006-06-08,10920.0
2006-06-09,10416.0
2006-06-12,10920.0
2006-06-13,10483.2001953125
2006-06-14,10752.0
2006-06-15,10819.2001953125
2006-06-16,10382.400390625
2006-06-19,10012.7998046875
2006-06-20,10197.599609375
2006-06-21,10483.2001953125
2006-06-22,10483.2001953125
2006-06-23,10668.0
2006-06-26,10920.0
2006-06-27,10500.0
2006-06-28,10920.0
2006-06-29,10752.0
2006-06-30,11340.0
2006-07-03,10752.0
2006-07-05,10785.599609375
2006-07-06,11004.0
2006-07-07,10936.7998046875
2006-07-10,10617.599609375
2006-07-11,10483.2001953125
2006-07-12,10819.2001953125
2006-07-13,10920.0
2006-07-14,10903.2001953125
2006-07-17,10903.2001953125
2006-07-18,10365.599609375
2006-07-19,10164.0
2006-07-20,10080.0
2006-07-21,10584.0
2006-07-24,10584.0
2006-07-25,10080.0
2006-07-26,9744.0
2006-07-27,10180.7998046875
2006-07-28,10920.0
2006-07-31,10382.400390625
2006-08-01,10214.400390625
2006-08-02,10214.400390625
2006-08-03,10416.0
2006-08-04,10080.0
2006-08-07,10080.0
2006-08-08,9744.0
2006-08-09,8568.0
2006-08-10,8803.2001953125
2006-08-11,8803.2001953125
2006-08-14,8820.0
2006-08-15,8820.0
2006-08-16,9088.7998046875
2006-08-17,9088.7998046875
2006-08-18,8584.7998046875
2006-08-21,8652.0
2006-08-22,8803.2001953125
2006-08-23,8736.0
2006-08-24,8232.0
2006-08-25,8232.0
2006-08-28,8114.39990234375
2006-08-29,8114.39990234375
2006-08-30,8114.39990234375
2006-08-31,7812.0
2006-09-01,7812.0
2006-09-05,7761.60009765625
2006-09-06,8232.0
2006-09-07,9240.0
2006-09-08,9660.0
2006-09-11,10080.0
2006-09-12,10080.0
2006-09-13,10080.0
2006-09-14,9895.2001953125
2006-09-15,8836.7998046875
2006-09-18,8383.2001953125
2006-09-19,8904.0
2006-09-20,9240.0
2006-09-21,9139.2001953125
2006-09-22,8400.0
2006-09-25,8820.0
2006-09-26,8820.0
2006-09-27,8820.0
2006-09-28,8534.400390625
2006-09-29,8064.0
2006-10-02,8400.0
2006-10-03,8232.0
2006-10-04,9223.2001953125
2006-10-05,8232.0
2006-10-06,8131.2001953125
2006-10-09,7980.0
2006-10-10,9458.400390625
2006-10-11,9828.0
2006-10-12,9072.0
2006-10-13,8820.0
2006-10-16,9828.0
2006-10-17,9828.0
2006-10-18,10046.400390625
2006-10-19,10248.0
2006-10-20,10231.2001953125
2006-10-23,10550.400390625
2006-10-24,10046.400390625
2006-10-25,10046.400390625
2006-10-26,9576.0
2006-10-27,9811.2001953125
2006-10-30,9592.7998046875
2006-10-31,9542.400390625
2006-11-01,9542.400390625
2006-11-02,9256.7998046875
2006-11-03,8820.0
2006-11-06,8836.7998046875
2006-11-07,8467.2001953125
2006-11-08,8400.0
2006-11-09,8887.2001953125
2006-11-10,9038.400390625
2006-11-13,8484.0
2006-11-14,8601.599609375
2006-11-15,8400.0
2006-11-16,8484.0
2006-11-17,8904.0
2006-11-20,8904.0
2006-11-21,9088.7998046875
2006-11-22,9559.2001953125
2006-11-24,10416.0
2006-11-27,10500.0
2006-11-28,10920.0
2006-11-29,10701.599609375
2006-11-30,10164.0
2006-12-01,10768.7998046875
2006-12-04,10466.400390625
2006-12-05,10550.400390625
2006-12-06,10752.0
2006-12-07,11323.2001953125
2006-12-08,11608.7998046875
2006-12-11,12768.0
2006-12-12,12784.7998046875
2006-12-13,12650.400390625
2006-12-14,12583.2001953125
2006-12-15,11323.2001953125
2006-12-18,11793.599609375
2006-12-19,11306.400390625
2006-12-20,11424.0
2006-12-21,11692.7998046875
2006-12-22,11407.2001953125
2006-12-26,11440.7998046875
2006-12-27,11256.0
2006-12-28,11575.2001953125
2006-12-29,11524.7998046875
2007-01-03,11692.7998046875
2007-01-04,11692.7998046875
2007-01-05,11558.400390625
2007-01-08,13977.599609375
2007-01-09,13305.599609375
2007-01-10,13406.400390625
2007-01-11,13356.0
2007-01-12,13440.0
2007-01-16,13574.400390625
2007-01-17,13927.2001953125
2007-01-18,14212.7998046875
2007-01-19,14280.0
2007-01-22,14313.599609375
2007-01-23,14280.0
2007-01-24,13893.599609375
2007-01-25,13372.7998046875
2007-01-26,13120.7998046875
2007-01-29,13137.599609375
2007-01-30,12717.599609375
2007-01-31,13020.0
2007-02-01,13440.0
2007-02-02,13490.400390625
2007-02-05,12986.400390625
2007-02-06,13406.400390625
2007-02-07,13188.0
2007-02-08,14128.7998046875
2007-02-09,13641.599609375
2007-02-12,14280.0
2007-02-13,13608.0
2007-02-14,13776.0
2007-02-15,13826.400390625
2007-02-16,13759.2001953125
2007-02-20,13372.7998046875
2007-02-21,13574.400390625
2007-02-22,13440.0
2007-02-23,13272.0
2007-02-26,13104.0
2007-02-27,13020.0
2007-02-28,13440.0
2007-03-01,13440.0
2007-03-02,13255.2001953125
2007-03-05,12768.0
2007-03-06,12499.2001953125
2007-03-07,12700.7998046875
2007-03-08,12684.0
2007-03-09,13104.0
2007-03-12,13524.0
2007-03-13,13776.0
2007-03-14,13843.2001953125
2007-03-15,13423.2001953125
2007-03-16,13440.0
2007-03-19,13490.400390625
2007-03-20,13440.0
2007-03-21,13440.0
2007-03-22,13238.400390625
2007-03-23,13003.2001953125
2007-03-26,12583.2001953125
2007-03-27,12600.0
2007-03-28,12684.0
2007-03-29,12902.400390625
2007-03-30,13020.0
2007-04-02,13020.0
2007-04-03,13087.2001953125
2007-04-04,13020.0
2007-04-05,13020.0
2007-04-09,12969.599609375
2007-04-10,13104.0
2007-04-11,12684.0
2007-04-12,12583.2001953125
2007-04-13,13003.2001953125
2007-04-16,12936.0
2007-04-17,12751.2001953125
2007-04-18,12751.2001953125
2007-04-19,12684.0
2007-04-20,12936.0
2007-04-23,13087.2001953125
2007-04-24,12852.0
2007-04-25,13305.599609375
2007-04-26,13423.2001953125
2007-04-27,13339.2001953125
2007-04-30,13104.0
2007-05-01,13104.0
2007-05-02,13440.0
2007-05-03,13221.599609375
2007-05-04,13104.0
2007-05-07,13070.400390625
2007-05-08,12885.599609375
2007-05-09,12852.0
2007-05-10,12936.0
2007-05-11,12936.0
2007-05-14,12751.2001953125
2007-05-15,12600.0
2007-05-16,12432.0
2007-05-17,12364.7998046875
2007-05-18,12852.0
2007-05-21,13204.7998046875
2007-05-22,13322.400390625
2007-05-23,13356.0
2007-05-24,13440.0
2007-05-25,13389.599609375
2007-05-29,13624.7998046875
2007-05-30,13776.0
2007-05-31,14246.400390625
2007-06-01,14733.599609375
2007-06-04,14952.0
2007-06-05,14061.599609375
2007-06-06,14145.599609375
2007-06-07,14044.7998046875
2007-06-08,14044.7998046875
2007-06-11,13944.0
2007-06-12,13389.599609375
2007-06-13,13104.0
2007-06-14,13036.7998046875
2007-06-15,12768.0
2007-06-18,12482.400390625
2007-06-19,12432.0
2007-06-20,12247.2001953125
2007-06-21,12079.2001953125
2007-06-22,11524.7998046875
2007-06-25,11608.7998046875
2007-06-26,11474.400390625
2007-06-27,11440.7998046875
2007-06-28,11306.400390625
2007-06-29,10920.0
2007-07-02,10836.0
2007-07-03,10920.0
2007-07-05,10819.2001953125
2007-07-06,10785.599609375
2007-07-09,10701.599609375
2007-07-10,10298.400390625
2007-07-11,10180.7998046875
2007-07-12,9727.2001953125
2007-07-13,9912.0
2007-07-16,10147.2001953125
2007-07-17,9945.599609375
2007-07-18,10080.0
2007-07-19,10130.400390625
2007-07-20,10046.400390625
2007-07-23,9962.400390625
2007-07-24,9626.400390625
2007-07-25,9643.2001953125
2007-07-26,9592.7998046875
2007-07-27,9240.0
2007-07-30,8887.2001953125
2007-07-31,9240.0
2007-08-01,9038.400390625
2007-08-02,9189.599609375
2007-08-03,9088.7998046875
2007-08-06,9172.7998046875
2007-08-07,9307.2001953125
2007-08-08,9206.400390625
2007-08-09,8904.0
2007-08-10,8685.599609375
2007-08-13,8971.2001953125
2007-08-14,8904.0
2007-08-15,8618.400390625
2007-08-16,8702.400390625
2007-08-17,8820.0
2007-08-20,8853.599609375
2007-08-21,8853.599609375
2007-08-22,8853.599609375
2007-08-23,8820.0
2007-08-24,8853.599609375
2007-08-27,8736.0
2007-08-28,8736.0
2007-08-29,8668.7998046875
2007-08-30,8853.599609375
2007-08-31,8904.0
2007-09-04,8988.0
2007-09-05,8988.0
2007-09-06,8820.0
2007-09-07,8820.0
2007-09-10,8752.7998046875
2007-09-11,8685.599609375
2007-09-12,8752.7998046875
2007-09-13,8719.2001953125
2007-09-14,8517.599609375
2007-09-17,8433.599609375
2007-09-18,8433.599609375
2007-09-19,8433.599609375
2007-09-20,8400.0
2007-09-21,8450.400390625
2007-09-24,8433.599609375
2007-09-25,8467.2001953125
2007-09-26,8635.2001953125
2007-09-27,8887.2001953125
2007-09-28,9357.599609375
2007-10-01,9458.400390625
2007-10-02,9576.0
2007-10-03,9492.0
2007-10-04,9643.2001953125
2007-10-05,9760.7998046875
2007-10-08,9710.400390625
2007-10-09,9609.599609375
2007-10-10,9660.0
2007-10-11,9626.400390625
2007-10-12,9660.0
2007-10-15,9609.599609375
2007-10-16,9156.0
2007-10-17,9240.0
2007-10-18,9240.0
2007-10-19,9240.0
2007-10-22,9240.0
2007-10-23,9240.0
2007-10-24,9156.0
2007-10-25,9156.0
2007-10-26,9021.599609375
2007-10-29,8937.599609375
2007-10-30,8836.7998046875
2007-10-31,9240.0
2007-11-01,9072.0
2007-11-02,9156.0
2007-11-05,9038.400390625
2007-11-06,9072.0
2007-11-07,8752.7998046875
2007-11-08,8719.2001953125
2007-11-09,8769.599609375
2007-11-12,8836.7998046875
2007-11-13,8484.0
2007-11-14,8400.0
2007-11-15,8316.0
2007-11-16,8400.0
2007-11-19,8820.0
2007-11-20,8853.599609375
2007-11-21,8820.0
2007-11-23,8836.7998046875
2007-11-26,8920.7998046875
2007-11-27,9408.0
2007-11-28,9643.2001953125
2007-11-29,9055.2001953125
2007-11-30,9324.0
2007-12-03,9240.0
2007-12-04,9290.400390625
2007-12-05,9240.0
2007-12-06,9290.400390625
2007-12-07,9273.599609375
2007-12-10,9273.599609375
2007-12-11,9290.400390625
2007-12-12,9240.0
2007-12-13,9273.599609375
2007-12-14,9290.400390625
2007-12-17,9240.0
2007-12-18,9223.2001953125
2007-12-19,9240.0
2007-12-20,9156.0
2007-12-21,8904.0
2007-12-24,9240.0
2007-12-26,9206.400390625
2007-12-27,9072.0
2007-12-28,9072.0
2007-12-31,9206.400390625
2008-01-02,9038.400390625
2008-01-03,8786.400390625
2008-01-04,8904.0
2008-01-07,8904.0
2008-01-08,8820.0
2008-01-09,8836.7998046875
2008-01-10,8988.0
2008-01-11,8920.7998046875
2008-01-14,8904.0
2008-01-15,8904.0
2008-01-16,8904.0
2008-01-17,8853.599609375
2008-01-18,8904.0
2008-01-22,8568.0
2008-01-23,8652.0
2008-01-24,8719.2001953125
2008-01-25,8568.0
2008-01-28,8400.0
2008-01-29,7660.7998046875
2008-01-30,7324.7998046875
2008-01-31,7560.0
2008-02-01,7560.0
2008-02-04,7560.0
2008-02-05,7560.0
2008-02-06,7392.0
2008-02-07,7274.39990234375
2008-02-08,7341.60009765625
2008-02-11,7308.0
2008-02-12,7257.60009765625
2008-02-13,7274.39990234375
2008-02-14,7240.7998046875
2008-02-15,7224.0
2008-02-19,7240.7998046875
2008-02-20,7140.0
2008-02-21,7089.60009765625
2008-02-22,6720.0
2008-02-25,6787.2001953125
2008-02-26,6921.60009765625
2008-02-27,7022.39990234375
2008-02-28,6972.0
2008-02-29,6972.0
2008-03-03,6854.39990234375
2008-03-04,6400.7998046875
2008-03-05,6400.7998046875
2008-03-06,6535.2001953125
2008-03-07,6300.0
2008-03-10,5661.60009765625
2008-03-11,5258.39990234375
2008-03-12,4972.7998046875
2008-03-13,5006.39990234375
2008-03-14,4485.60009765625
2008-03-17,4552.7998046875
2008-03-18,4788.0
2008-03-19,4888.7998046875
2008-03-20,4939.2001953125
2008-03-24,4905.60009765625
2008-03-25,4872.0
2008-03-26,5090.39990234375
2008-03-27,5124.0
2008-03-28,5056.7998046875
2008-03-31,5006.39990234375
2008-04-01,5695.2001953125
2008-04-02,5628.0
2008-04-03,5644.7998046875
2008-04-04,6031.2001953125
2008-04-07,5628.0
2008-04-08,5544.0
2008-04-09,5107.2001953125
2008-04-10,4855.2001953125
2008-04-11,4888.7998046875
2008-04-14,4872.0
2008-04-15,4653.60009765625
2008-04-16,5023.2001953125
2008-04-17,4922.39990234375
2008-04-18,4939.2001953125
2008-04-21,5308.7998046875
2008-04-22,5208.0
2008-04-23,5308.7998046875
2008-04-24,5090.39990234375
2008-04-25,4922.39990234375
2008-04-28,4855.2001953125
2008-04-29,4905.60009765625
2008-04-30,4939.2001953125
2008-05-01,4704.0
2008-05-02,4855.2001953125
2008-05-05,4670.39990234375
2008-05-06,4485.60009765625
2008-05-07,4653.60009765625
2008-05-08,4452.0
2008-05-09,4250.39990234375
2008-05-12,4250.39990234375
2008-05-13,4082.39990234375
2008-05-14,4216.7998046875
2008-05-15,4183.2001953125
2008-05-16,4233.60009765625
2008-05-19,4015.199951171875
2008-05-20,3948.0
2008-05-21,3780.0
2008-05-22,3780.0
2008-05-23,3696.0
2008-05-27,3460.800048828125
2008-05-28,3511.199951171875
2008-05-29,3494.39990234375
2008-05-30,3511.199951171875
2008-06-02,3343.199951171875
2008-06-03,3444.0
2008-06-04,3360.0
2008-06-05,3360.0
2008-06-06,3494.39990234375
2008-06-09,3746.39990234375
2008-06-10,3746.39990234375
2008-06-11,3931.199951171875
2008-06-12,4216.7998046875
2008-06-13,4200.0
2008-06-16,4200.0
2008-06-17,4099.2001953125
2008-06-18,3964.800048828125
2008-06-19,3864.0
2008-06-20,3729.60009765625
2008-06-23,3612.0
2008-06-24,3326.39990234375
2008-06-25,3259.199951171875
2008-06-26,3326.39990234375
2008-06-27,3141.60009765625
2008-06-30,3208.800048828125
2008-07-01,3326.39990234375
2008-07-02,3225.60009765625
2008-07-03,3024.0
2008-07-07,2956.800048828125
2008-07-08,3074.39990234375
2008-07-09,3040.800048828125
2008-07-10,2990.39990234375
2008-07-11,3074.39990234375
2008-07-14,3024.0
2008-07-15,3024.0
2008-07-16,3091.199951171875
2008-07-17,2990.39990234375
2008-07-18,3124.800048828125
