,FCNCP
2020-06-30,24.670000076293945
2020-07-01,24.899999618530273
2020-07-02,25.0
2020-07-06,25.020000457763672
2020-07-07,25.0
2020-07-08,24.81999969482422
2020-07-09,25.0
2020-07-10,25.03499984741211
2020-07-13,24.917999267578125
2020-07-14,24.989999771118164
2020-07-15,25.0
2020-07-16,24.959999084472656
2020-07-17,25.0
2020-07-20,25.0
2020-07-21,25.049999237060547
2020-07-22,25.09000015258789
2020-07-23,25.100000381469727
2020-07-24,25.100000381469727
2020-07-27,25.149999618530273
2020-07-28,25.09000015258789
2020-07-29,25.149999618530273
2020-07-30,25.149999618530273
2020-07-31,25.25
2020-08-03,25.389999389648438
2020-08-04,25.440000534057617
2020-08-05,25.389999389648438
2020-08-06,25.3700008392334
2020-08-07,25.399999618530273
2020-08-10,25.399999618530273
2020-08-11,25.434999465942383
2020-08-12,25.420000076293945
2020-08-13,25.5
2020-08-14,25.4950008392334
2020-08-17,25.59000015258789
2020-08-18,25.690000534057617
2020-08-19,25.690000534057617
2020-08-20,25.94499969482422
2020-08-21,26.25
2020-08-24,26.290000915527344
2020-08-25,26.440000534057617
2020-08-26,26.5
2020-08-27,26.700000762939453
2020-08-28,26.149999618530273
2020-08-31,26.329999923706055
2020-09-01,26.329999923706055
2020-09-02,26.40999984741211
2020-09-03,26.34000015258789
2020-09-04,26.299999237060547
2020-09-08,26.15999984741211
2020-09-09,26.34000015258789
2020-09-10,26.420000076293945
2020-09-11,26.43600082397461
2020-09-14,26.42799949645996
2020-09-15,26.209999084472656
2020-09-16,26.25
2020-09-17,26.5
2020-09-18,26.489999771118164
2020-09-21,26.450000762939453
2020-09-22,26.649999618530273
2020-09-23,26.56999969482422
2020-09-24,26.5
2020-09-25,26.600000381469727
2020-09-28,26.690000534057617
2020-09-29,26.704999923706055
2020-09-30,26.700000762939453
2020-10-01,27.020000457763672
2020-10-02,27.030000686645508
2020-10-05,27.0
2020-10-06,27.440000534057617
2020-10-07,27.600000381469727
2020-10-08,27.75
2020-10-09,27.729999542236328
2020-10-12,27.790000915527344
2020-10-13,27.700000762939453
2020-10-14,27.579999923706055
2020-10-15,27.780000686645508
2020-10-16,27.0
2020-10-19,26.649999618530273
2020-10-20,26.75
2020-10-21,26.530000686645508
2020-10-22,26.780000686645508
2020-10-23,26.739999771118164
2020-10-26,26.770000457763672
2020-10-27,26.690000534057617
2020-10-28,26.59000015258789
2020-10-29,26.549999237060547
2020-10-30,26.829999923706055
2020-11-02,26.780000686645508
2020-11-03,26.729999542236328
2020-11-04,26.799999237060547
2020-11-05,26.709999084472656
2020-11-06,26.559999465942383
2020-11-09,26.709999084472656
2020-11-10,26.889999389648438
2020-11-11,26.81999969482422
2020-11-12,26.799999237060547
2020-11-13,26.770000457763672
2020-11-16,26.770000457763672
2020-11-17,26.790000915527344
2020-11-18,26.780000686645508
2020-11-19,26.81999969482422
2020-11-20,26.889999389648438
2020-11-23,26.90999984741211
2020-11-24,26.8799991607666
2020-11-25,26.809999465942383
2020-11-27,26.479999542236328
2020-11-30,26.18000030517578
2020-12-01,26.360000610351562
2020-12-02,26.350000381469727
2020-12-03,26.3700008392334
2020-12-04,26.360000610351562
2020-12-07,26.329999923706055
2020-12-08,26.389999389648438
2020-12-09,26.440000534057617
2020-12-10,26.31999969482422
2020-12-11,26.3799991607666
2020-12-14,26.459999084472656
2020-12-15,26.579999923706055
2020-12-16,26.770000457763672
2020-12-17,26.989999771118164
2020-12-18,27.1200008392334
2020-12-21,27.100000381469727
2020-12-22,27.110000610351562
2020-12-23,26.969999313354492
2020-12-24,26.92799949645996
2020-12-28,27.010000228881836
2020-12-29,27.079999923706055
2020-12-30,27.1299991607666
2020-12-31,27.040000915527344
2021-01-04,27.020000457763672
2021-01-05,27.139999389648438
2021-01-06,26.8799991607666
2021-01-07,26.510000228881836
2021-01-08,26.639999389648438
2021-01-11,26.459999084472656
2021-01-12,26.030000686645508
2021-01-13,26.510000228881836
2021-01-14,26.864999771118164
2021-01-15,26.5
2021-01-19,26.469999313354492
2021-01-20,26.299999237060547
2021-01-21,26.399999618530273
2021-01-22,26.520000457763672
2021-01-25,26.549999237060547
2021-01-26,26.510000228881836
2021-01-27,26.25
2021-01-28,26.489999771118164
2021-01-29,26.65999984741211
2021-02-01,26.670000076293945
2021-02-02,26.969999313354492
2021-02-03,26.889999389648438
2021-02-04,26.84000015258789
2021-02-05,26.920000076293945
2021-02-08,26.850000381469727
2021-02-09,27.149999618530273
2021-02-10,26.989999771118164
2021-02-11,26.924999237060547
2021-02-12,26.799999237060547
2021-02-16,26.530000686645508
2021-02-17,26.729999542236328
2021-02-18,26.68000030517578
2021-02-19,26.739999771118164
2021-02-22,26.520000457763672
2021-02-23,26.510000228881836
2021-02-24,26.29599952697754
2021-02-25,25.479999542236328
2021-02-26,26.0
2021-03-01,26.200000762939453
2021-03-02,26.260000228881836
2021-03-03,26.59000015258789
2021-03-04,26.540000915527344
2021-03-05,26.56999969482422
2021-03-08,26.719999313354492
2021-03-09,26.81999969482422
2021-03-10,26.850000381469727
2021-03-11,26.889999389648438
2021-03-12,26.93000030517578
2021-03-15,26.923999786376953
2021-03-16,26.940000534057617
2021-03-17,26.920000076293945
2021-03-18,26.649999618530273
2021-03-19,26.65999984741211
2021-03-22,26.899999618530273
2021-03-23,26.889999389648438
2021-03-24,27.010000228881836
2021-03-25,26.969999313354492
2021-03-26,26.950000762939453
2021-03-29,26.889999389648438
2021-03-30,26.889999389648438
2021-03-31,26.950000762939453
2021-04-01,26.969999313354492
2021-04-05,27.0
2021-04-06,26.979999542236328
2021-04-07,27.09000015258789
2021-04-08,27.0
2021-04-09,27.0
2021-04-12,26.959999084472656
2021-04-13,27.0
2021-04-14,27.040000915527344
2021-04-15,27.059999465942383
2021-04-16,26.850000381469727
2021-04-19,27.013999938964844
2021-04-20,26.924999237060547
2021-04-21,26.979999542236328
2021-04-22,26.979999542236328
2021-04-23,27.049999237060547
2021-04-26,26.93000030517578
2021-04-27,26.948999404907227
2021-04-28,26.899999618530273
2021-04-29,26.8700008392334
2021-04-30,26.8700008392334
2021-05-03,26.895999908447266
2021-05-04,26.969999313354492
2021-05-05,26.81999969482422
2021-05-06,26.809999465942383
2021-05-07,26.81999969482422
2021-05-10,26.780000686645508
2021-05-11,26.770000457763672
2021-05-12,26.219999313354492
2021-05-13,26.450000762939453
2021-05-14,26.520000457763672
