,EVER
2020-08-26,37.20000076293945
2020-08-27,36.779998779296875
2020-08-28,35.880001068115234
2020-08-31,35.5
2020-09-01,38.88999938964844
2020-09-02,41.040000915527344
2020-09-03,38.40999984741211
2020-09-04,37.65999984741211
2020-09-08,40.709999084472656
2020-09-09,40.20000076293945
2020-09-10,40.02000045776367
2020-09-11,40.540000915527344
2020-09-14,40.65999984741211
2020-09-15,38.599998474121094
2020-09-16,38.130001068115234
2020-09-17,37.47999954223633
2020-09-18,39.11000061035156
2020-09-21,40.599998474121094
2020-09-22,42.060001373291016
2020-09-23,40.470001220703125
2020-09-24,37.41999816894531
2020-09-25,40.43000030517578
2020-09-28,37.689998626708984
2020-09-29,38.4900016784668
2020-09-30,38.63999938964844
2020-10-01,40.290000915527344
2020-10-02,39.04999923706055
2020-10-05,38.810001373291016
2020-10-06,39.400001525878906
2020-10-07,39.08000183105469
2020-10-08,38.36000061035156
2020-10-09,38.7400016784668
2020-10-12,37.939998626708984
2020-10-13,40.59000015258789
2020-10-14,39.70000076293945
2020-10-15,38.029998779296875
2020-10-16,36.52000045776367
2020-10-19,36.459999084472656
2020-10-20,37.22999954223633
2020-10-21,37.79999923706055
2020-10-22,37.650001525878906
2020-10-23,36.650001525878906
2020-10-26,35.61000061035156
2020-10-27,35.2400016784668
2020-10-28,34.70000076293945
2020-10-29,35.4900016784668
2020-10-30,33.4900016784668
2020-11-02,34.58000183105469
2020-11-03,36.869998931884766
2020-11-04,39.20000076293945
2020-11-05,39.83000183105469
2020-11-06,39.7599983215332
2020-11-09,39.47999954223633
2020-11-10,40.220001220703125
2020-11-11,40.81999969482422
2020-11-12,40.95000076293945
2020-11-13,40.31999969482422
2020-11-16,39.34000015258789
2020-11-17,38.84000015258789
2020-11-18,39.04999923706055
2020-11-19,40.54999923706055
2020-11-20,41.0
2020-11-23,41.5099983215332
2020-11-24,41.06999969482422
2020-11-25,40.810001373291016
2020-11-27,40.959999084472656
2020-11-30,37.65999984741211
2020-12-01,36.84000015258789
2020-12-02,36.70000076293945
2020-12-03,35.95000076293945
2020-12-04,34.709999084472656
2020-12-07,33.22999954223633
2020-12-08,33.849998474121094
2020-12-09,32.45000076293945
2020-12-10,32.9900016784668
2020-12-11,33.72999954223633
2020-12-14,36.279998779296875
2020-12-15,35.599998474121094
2020-12-16,36.22999954223633
2020-12-17,37.709999084472656
2020-12-18,38.18000030517578
2020-12-21,38.25
2020-12-22,39.540000915527344
2020-12-23,40.099998474121094
2020-12-24,39.900001525878906
2020-12-28,37.90999984741211
2020-12-29,37.380001068115234
2020-12-30,37.04999923706055
2020-12-31,37.349998474121094
2021-01-04,36.97999954223633
2021-01-05,37.41999816894531
2021-01-06,37.720001220703125
2021-01-07,39.220001220703125
2021-01-08,37.9900016784668
2021-01-11,38.40999984741211
2021-01-12,38.869998931884766
2021-01-13,38.36000061035156
2021-01-14,39.5099983215332
2021-01-15,38.16999816894531
2021-01-19,39.90999984741211
2021-01-20,40.470001220703125
2021-01-21,40.349998474121094
2021-01-22,40.630001068115234
2021-01-25,40.25
2021-01-26,42.34000015258789
2021-01-27,46.52000045776367
2021-01-28,45.72999954223633
2021-01-29,45.060001373291016
2021-02-01,46.86000061035156
2021-02-02,47.599998474121094
2021-02-03,48.040000915527344
2021-02-04,49.310001373291016
2021-02-05,48.31999969482422
2021-02-08,48.630001068115234
2021-02-09,50.0
2021-02-10,49.290000915527344
2021-02-11,49.869998931884766
2021-02-12,50.939998626708984
2021-02-16,50.61000061035156
2021-02-17,48.810001373291016
2021-02-18,47.189998626708984
2021-02-19,48.150001525878906
2021-02-22,44.529998779296875
2021-02-23,49.75
2021-02-24,51.81999969482422
2021-02-25,49.81999969482422
2021-02-26,48.97999954223633
2021-03-01,49.56999969482422
2021-03-02,47.41999816894531
2021-03-03,44.09000015258789
2021-03-04,40.810001373291016
2021-03-05,40.939998626708984
2021-03-08,38.779998779296875
2021-03-09,41.25
2021-03-10,40.130001068115234
2021-03-11,41.869998931884766
2021-03-12,41.099998474121094
2021-03-15,40.529998779296875
2021-03-16,39.0099983215332
2021-03-17,39.81999969482422
2021-03-18,38.16999816894531
2021-03-19,37.88999938964844
2021-03-22,37.619998931884766
2021-03-23,37.83000183105469
2021-03-24,35.04999923706055
2021-03-25,34.5099983215332
2021-03-26,34.349998474121094
2021-03-29,34.09000015258789
2021-03-30,34.70000076293945
2021-03-31,36.290000915527344
2021-04-01,38.52000045776367
2021-04-05,36.95000076293945
2021-04-06,36.7599983215332
2021-04-07,36.439998626708984
2021-04-08,36.849998474121094
2021-04-09,36.33000183105469
2021-04-12,35.52000045776367
2021-04-13,36.25
2021-04-14,35.25
2021-04-15,36.7599983215332
2021-04-16,35.77000045776367
2021-04-19,34.56999969482422
2021-04-20,33.0
2021-04-21,33.43000030517578
2021-04-22,32.709999084472656
2021-04-23,33.599998474121094
2021-04-26,35.11000061035156
2021-04-27,35.2599983215332
2021-04-28,36.0099983215332
2021-04-29,35.58000183105469
2021-04-30,33.869998931884766
2021-05-03,34.41999816894531
2021-05-04,33.36000061035156
2021-05-05,33.20000076293945
2021-05-06,31.299999237060547
2021-05-07,31.899999618530273
2021-05-10,31.010000228881836
2021-05-11,32.5
2021-05-12,30.770000457763672
2021-05-13,29.399999618530273
2021-05-14,29.649999618530273
