,ARQT
2021-02-17,35.040000915527344
2021-02-18,34.97999954223633
2021-02-19,36.13999938964844
2021-02-22,35.65999984741211
2021-02-23,35.849998474121094
2021-02-24,35.0
2021-02-25,34.2400016784668
2021-02-26,34.16999816894531
2021-03-01,34.970001220703125
2021-03-02,35.040000915527344
2021-03-03,32.439998626708984
2021-03-04,30.690000534057617
2021-03-05,31.25
2021-03-08,30.280000686645508
2021-03-09,33.02000045776367
2021-03-10,32.20000076293945
2021-03-11,32.84000015258789
2021-03-12,32.54999923706055
2021-03-15,32.540000915527344
2021-03-16,30.920000076293945
2021-03-17,32.34000015258789
2021-03-18,30.290000915527344
2021-03-19,30.829999923706055
2021-03-22,31.489999771118164
2021-03-23,29.829999923706055
2021-03-24,28.469999313354492
2021-03-25,28.190000534057617
2021-03-26,28.1299991607666
2021-03-29,26.610000610351562
2021-03-30,26.920000076293945
2021-03-31,28.93000030517578
2021-04-01,29.739999771118164
2021-04-05,27.760000228881836
2021-04-06,27.860000610351562
2021-04-07,27.989999771118164
2021-04-08,27.549999237060547
2021-04-09,26.6200008392334
2021-04-12,27.100000381469727
2021-04-13,27.809999465942383
2021-04-14,28.09000015258789
2021-04-15,28.68000030517578
2021-04-16,27.520000457763672
2021-04-19,27.90999984741211
2021-04-20,28.65999984741211
2021-04-21,30.260000228881836
2021-04-22,30.56999969482422
2021-04-23,28.969999313354492
2021-04-26,30.540000915527344
2021-04-27,30.329999923706055
2021-04-28,30.100000381469727
2021-04-29,30.549999237060547
2021-04-30,33.5
2021-05-03,34.75
2021-05-04,33.22999954223633
2021-05-05,33.56999969482422
2021-05-06,32.619998931884766
2021-05-07,34.130001068115234
2021-05-10,32.54999923706055
2021-05-11,29.6200008392334
2021-05-12,27.2549991607666
2021-05-13,25.549999237060547
2021-05-14,25.75
