,FLWS
2000-09-18,5.4375
2000-09-19,5.5625
2000-09-20,5.375
2000-09-21,4.5
2000-09-22,5.4375
2000-09-25,5.5625
2000-09-26,5.625
2000-09-27,5.03125
2000-09-28,4.9375
2000-09-29,4.984375
2000-10-02,4.9375
2000-10-03,4.9375
2000-10-04,4.8125
2000-10-05,4.75
2000-10-06,4.625
2000-10-09,4.875
2000-10-10,4.5625
2000-10-11,4.40625
2000-10-12,4.25
2000-10-13,4.1875
2000-10-16,4.125
2000-10-17,4.375
2000-10-18,4.25
2000-10-19,4.1875
2000-10-20,4.0625
2000-10-23,4.3125
2000-10-24,4.28125
2000-10-25,4.21875
2000-10-26,3.5625
2000-10-27,3.75
2000-10-30,3.75
2000-10-31,3.90625
2000-11-01,3.515625
2000-11-02,3.5
2000-11-03,3.515625
2000-11-06,3.3125
2000-11-07,3.375
2000-11-08,3.3125
2000-11-09,3.0
2000-11-10,2.875
2000-11-13,2.8125
2000-11-14,3.125
2000-11-15,3.375
2000-11-16,3.3125
2000-11-17,3.75
2000-11-20,3.75
2000-11-21,3.75
2000-11-22,4.0
2000-11-24,3.9375
2000-11-27,4.0
2000-11-28,3.875
2000-11-29,3.875
2000-11-30,3.75
2000-12-01,3.5625
2000-12-04,3.6875
2000-12-05,3.8125
2000-12-06,3.65625
2000-12-07,3.75
2000-12-08,3.75
2000-12-11,3.625
2000-12-12,4.0
2000-12-13,3.875
2000-12-14,4.1875
2000-12-15,4.03125
2000-12-18,4.125
2000-12-19,4.125
2000-12-20,4.25
2000-12-21,4.4375
2000-12-22,4.4375
2000-12-26,4.375
2000-12-27,4.3125
2000-12-28,4.375
2000-12-29,4.125
2001-01-02,4.4375
2001-01-03,4.5
2001-01-04,4.75
2001-01-05,4.8125
2001-01-08,5.0
2001-01-09,5.0
2001-01-10,4.75
2001-01-11,4.875
2001-01-12,4.875
2001-01-16,4.921875
2001-01-17,4.875
2001-01-18,5.0
2001-01-19,4.9375
2001-01-22,5.25
2001-01-23,5.6875
2001-01-24,5.5
2001-01-25,5.4375
2001-01-26,5.5
2001-01-29,6.0
2001-01-30,5.9375
2001-01-31,6.375
2001-02-01,6.125
2001-02-02,6.21875
2001-02-05,5.875
2001-02-06,5.875
2001-02-07,6.1875
2001-02-08,6.125
2001-02-09,6.0
2001-02-12,6.0625
2001-02-13,6.125
2001-02-14,6.0625
2001-02-15,5.875
2001-02-16,6.0
2001-02-20,5.9375
2001-02-21,5.96875
2001-02-22,6.0
2001-02-23,6.0
2001-02-26,6.0
2001-02-27,5.9375
2001-02-28,5.9375
2001-03-01,6.0
2001-03-02,5.9375
2001-03-05,5.8125
2001-03-06,6.0
2001-03-07,6.0
2001-03-08,6.0
2001-03-09,6.0
2001-03-12,5.9375
2001-03-13,5.9375
2001-03-14,5.9375
2001-03-15,6.03125
2001-03-16,6.0
2001-03-19,6.125
2001-03-20,6.0625
2001-03-21,6.125
2001-03-22,6.125
2001-03-23,6.0625
2001-03-26,6.9375
2001-03-27,7.375
2001-03-28,7.5
2001-03-29,7.4375
2001-03-30,8.0
2001-04-02,7.6875
2001-04-03,7.4375
2001-04-04,6.71875
2001-04-05,6.9375
2001-04-06,6.734375
2001-04-09,6.409999847412109
2001-04-10,6.570000171661377
2001-04-11,6.340000152587891
2001-04-12,6.150000095367432
2001-04-16,6.289999961853027
2001-04-17,7.0
2001-04-18,8.050000190734863
2001-04-19,8.319999694824219
2001-04-20,7.599999904632568
2001-04-23,7.150000095367432
2001-04-24,7.079999923706055
2001-04-25,8.100000381469727
2001-04-26,8.170000076293945
2001-04-27,8.199999809265137
2001-04-30,8.039999961853027
2001-05-01,8.0
2001-05-02,8.199999809265137
2001-05-03,8.970000267028809
2001-05-04,9.050000190734863
2001-05-07,9.100000381469727
2001-05-08,9.029999732971191
2001-05-09,9.0
2001-05-10,8.970000267028809
2001-05-11,8.899999618530273
2001-05-14,9.199999809265137
2001-05-15,9.539999961853027
2001-05-16,9.399999618530273
2001-05-17,9.300000190734863
2001-05-18,9.399999618530273
2001-05-21,9.630000114440918
2001-05-22,9.84000015258789
2001-05-23,9.75
2001-05-24,9.729999542236328
2001-05-25,9.890000343322754
2001-05-29,10.25
2001-05-30,10.149999618530273
2001-05-31,9.899999618530273
2001-06-01,9.850000381469727
2001-06-04,9.880000114440918
2001-06-05,10.100000381469727
2001-06-06,10.1899995803833
2001-06-07,10.300000190734863
2001-06-08,10.399999618530273
2001-06-11,9.899999618530273
2001-06-12,10.600000381469727
2001-06-13,10.899999618530273
2001-06-14,11.0
2001-06-15,10.90999984741211
2001-06-18,11.300000190734863
2001-06-19,11.050000190734863
2001-06-20,11.300000190734863
2001-06-21,11.569999694824219
2001-06-22,11.670000076293945
2001-06-25,11.600000381469727
2001-06-26,12.0
2001-06-27,12.550000190734863
2001-06-28,14.010000228881836
2001-06-29,14.84000015258789
2001-07-02,13.899999618530273
2001-07-03,12.90999984741211
2001-07-05,12.699999809265137
2001-07-06,13.0
2001-07-09,13.5
2001-07-10,12.949999809265137
2001-07-11,13.800000190734863
2001-07-12,13.300000190734863
2001-07-13,13.300000190734863
2001-07-16,13.25
2001-07-17,12.289999961853027
2001-07-18,12.350000381469727
2001-07-19,13.039999961853027
2001-07-20,13.079999923706055
2001-07-23,13.010000228881836
2001-07-24,13.010000228881836
2001-07-25,13.300000190734863
2001-07-26,11.880000114440918
2001-07-27,12.220000267028809
2001-07-30,11.949999809265137
2001-07-31,12.0
2001-08-01,11.600000381469727
2001-08-02,11.579999923706055
2001-08-03,11.949999809265137
2001-08-06,12.069999694824219
2001-08-07,12.0
2001-08-08,12.449999809265137
2001-08-09,12.760000228881836
2001-08-10,12.979999542236328
2001-08-13,13.0
2001-08-14,12.949999809265137
2001-08-15,13.350000381469727
2001-08-16,12.90999984741211
2001-08-17,12.800000190734863
2001-08-20,13.350000381469727
2001-08-21,12.5
2001-08-22,12.1899995803833
2001-08-23,13.25
2001-08-24,12.819999694824219
2001-08-27,13.039999961853027
2001-08-28,13.050000190734863
2001-08-29,13.010000228881836
2001-08-30,12.960000038146973
2001-08-31,12.800000190734863
2001-09-04,12.850000381469727
2001-09-05,12.850000381469727
2001-09-06,12.630000114440918
2001-09-07,12.800000190734863
2001-09-10,10.5
2001-09-17,10.739999771118164
2001-09-18,10.850000381469727
2001-09-19,10.619999885559082
2001-09-20,10.600000381469727
2001-09-21,10.010000228881836
2001-09-24,10.890000343322754
2001-09-25,11.449999809265137
2001-09-26,10.550000190734863
2001-09-27,10.890000343322754
2001-09-28,12.0600004196167
2001-10-01,12.100000381469727
2001-10-02,12.859999656677246
2001-10-03,12.699999809265137
2001-10-04,12.5
2001-10-05,12.0
2001-10-08,11.770000457763672
2001-10-09,11.850000381469727
2001-10-10,12.0
2001-10-11,12.489999771118164
2001-10-12,12.0
2001-10-15,12.0
2001-10-16,11.949999809265137
2001-10-17,11.649999618530273
2001-10-18,11.100000381469727
2001-10-19,10.949999809265137
2001-10-22,11.15999984741211
2001-10-23,11.25
2001-10-24,10.970000267028809
2001-10-25,9.0
2001-10-26,9.869999885559082
2001-10-29,10.050000190734863
2001-10-30,10.069999694824219
2001-10-31,10.199999809265137
2001-11-01,10.399999618530273
2001-11-02,10.609999656677246
2001-11-05,10.470000267028809
2001-11-06,10.460000038146973
2001-11-07,10.529999732971191
2001-11-08,10.069999694824219
2001-11-09,10.470000267028809
2001-11-12,10.279999732971191
2001-11-13,10.15999984741211
2001-11-14,10.65999984741211
2001-11-15,10.699999809265137
2001-11-16,11.960000038146973
2001-11-19,12.869999885559082
2001-11-20,12.949999809265137
2001-11-21,13.0
2001-11-23,12.970000267028809
2001-11-26,13.039999961853027
2001-11-27,13.0
2001-11-28,13.069999694824219
2001-11-29,13.25
2001-11-30,14.460000038146973
2001-12-03,14.100000381469727
2001-12-04,14.34000015258789
2001-12-05,15.100000381469727
2001-12-06,16.110000610351562
2001-12-07,15.0
2001-12-10,14.949999809265137
2001-12-11,14.949999809265137
2001-12-12,15.119999885559082
2001-12-13,14.949999809265137
2001-12-14,14.850000381469727
2001-12-17,14.4399995803833
2001-12-18,15.65999984741211
2001-12-19,16.25
2001-12-20,15.479999542236328
2001-12-21,16.030000686645508
2001-12-24,14.899999618530273
2001-12-26,15.390000343322754
2001-12-27,15.699999809265137
2001-12-28,15.729999542236328
2001-12-31,15.600000381469727
2002-01-02,15.770000457763672
2002-01-03,17.399999618530273
2002-01-04,17.110000610351562
2002-01-07,17.3799991607666
2002-01-08,14.619999885559082
2002-01-09,14.270000457763672
2002-01-10,12.989999771118164
2002-01-11,12.869999885559082
2002-01-14,12.949999809265137
2002-01-15,12.84000015258789
2002-01-16,13.010000228881836
2002-01-17,12.859999656677246
2002-01-18,13.1899995803833
2002-01-22,13.979999542236328
2002-01-23,13.289999961853027
2002-01-24,13.25
2002-01-25,13.75
2002-01-28,12.829999923706055
2002-01-29,12.979999542236328
2002-01-30,12.300000190734863
2002-01-31,13.050000190734863
2002-02-01,13.350000381469727
2002-02-04,13.079999923706055
2002-02-05,12.65999984741211
2002-02-06,12.180000305175781
2002-02-07,12.010000228881836
2002-02-08,12.050000190734863
2002-02-11,11.640000343322754
2002-02-12,11.550000190734863
2002-02-13,12.020000457763672
2002-02-14,12.229999542236328
2002-02-15,11.960000038146973
2002-02-19,12.109999656677246
2002-02-20,12.100000381469727
2002-02-21,12.149999618530273
2002-02-22,13.050000190734863
2002-02-25,13.050000190734863
2002-02-26,13.149999618530273
2002-02-27,13.0
2002-02-28,12.979999542236328
2002-03-01,13.100000381469727
2002-03-04,13.930000305175781
2002-03-05,13.869999885559082
2002-03-06,13.84000015258789
2002-03-07,13.699999809265137
2002-03-08,13.600000381469727
2002-03-11,13.34000015258789
2002-03-12,13.319999694824219
2002-03-13,13.09000015258789
2002-03-14,13.359999656677246
2002-03-15,13.289999961853027
2002-03-18,13.100000381469727
2002-03-19,13.550000190734863
2002-03-20,13.640000343322754
2002-03-21,13.510000228881836
2002-03-22,13.5600004196167
2002-03-25,13.25
2002-03-26,13.75
2002-03-27,13.600000381469727
2002-03-28,13.619999885559082
2002-04-01,13.34000015258789
2002-04-02,13.300000190734863
2002-04-03,13.25
2002-04-04,13.3100004196167
2002-04-05,13.0
2002-04-08,13.350000381469727
2002-04-09,13.380000114440918
2002-04-10,13.0
2002-04-11,12.970000267028809
2002-04-12,13.520000457763672
2002-04-15,13.649999618530273
2002-04-16,14.399999618530273
2002-04-17,13.880000114440918
2002-04-18,13.75
2002-04-19,13.720000267028809
2002-04-22,13.75
2002-04-23,13.899999618530273
2002-04-24,13.899999618530273
2002-04-25,13.779999732971191
2002-04-26,13.380000114440918
2002-04-29,13.079999923706055
2002-04-30,13.789999961853027
2002-05-01,13.970000267028809
2002-05-02,14.010000228881836
2002-05-03,14.0
2002-05-06,14.5
2002-05-07,14.25
2002-05-08,14.399999618530273
2002-05-09,13.880000114440918
2002-05-10,13.390000343322754
2002-05-13,13.5
2002-05-14,13.40999984741211
2002-05-15,13.529999732971191
2002-05-16,13.619999885559082
2002-05-17,13.0
2002-05-20,13.0
2002-05-21,12.350000381469727
2002-05-22,11.979999542236328
2002-05-23,11.649999618530273
2002-05-24,11.600000381469727
2002-05-28,11.5
2002-05-29,11.65999984741211
2002-05-30,11.619999885559082
2002-05-31,11.239999771118164
2002-06-03,11.100000381469727
2002-06-04,10.25
2002-06-05,10.949999809265137
2002-06-06,10.649999618530273
2002-06-07,10.880000114440918
2002-06-10,10.899999618530273
2002-06-11,10.899999618530273
2002-06-12,10.899999618530273
2002-06-13,10.760000228881836
2002-06-14,10.5
2002-06-17,10.220000267028809
2002-06-18,10.289999961853027
2002-06-19,10.579999923706055
2002-06-20,10.25
2002-06-21,10.300000190734863
2002-06-24,10.569999694824219
2002-06-25,10.720000267028809
2002-06-26,10.829999923706055
2002-06-27,10.970000267028809
2002-06-28,11.15999984741211
2002-07-01,10.890000343322754
2002-07-02,10.0
2002-07-03,9.949999809265137
2002-07-05,10.199999809265137
2002-07-08,9.90999984741211
2002-07-09,9.890000343322754
2002-07-10,9.75
2002-07-11,9.550000190734863
2002-07-12,9.789999961853027
2002-07-15,9.819999694824219
2002-07-16,9.869999885559082
2002-07-17,10.470000267028809
2002-07-18,10.399999618530273
2002-07-19,10.079999923706055
2002-07-22,9.899999618530273
2002-07-23,9.520000457763672
2002-07-24,9.100000381469727
2002-07-25,8.899999618530273
2002-07-26,8.550000190734863
2002-07-29,8.0
2002-07-30,7.650000095367432
2002-07-31,7.110000133514404
2002-08-01,6.460000038146973
2002-08-02,5.940000057220459
2002-08-05,5.449999809265137
2002-08-06,5.380000114440918
2002-08-07,5.900000095367432
2002-08-08,6.099999904632568
2002-08-09,6.599999904632568
2002-08-12,6.760000228881836
2002-08-13,6.25
2002-08-14,6.489999771118164
2002-08-15,6.510000228881836
2002-08-16,6.880000114440918
2002-08-19,7.269999980926514
2002-08-20,7.860000133514404
2002-08-21,8.0
2002-08-22,7.940000057220459
2002-08-23,7.940000057220459
2002-08-26,7.820000171661377
2002-08-27,7.769999980926514
2002-08-28,8.470000267028809
2002-08-29,9.5
2002-08-30,9.899999618530273
2002-09-03,8.699999809265137
2002-09-04,9.010000228881836
2002-09-05,8.199999809265137
2002-09-06,8.34000015258789
2002-09-09,7.869999885559082
2002-09-10,8.0
2002-09-11,8.15999984741211
2002-09-12,8.09000015258789
2002-09-13,8.5600004196167
2002-09-16,8.569999694824219
2002-09-17,8.420000076293945
2002-09-18,7.889999866485596
2002-09-19,6.949999809265137
2002-09-20,6.71999979019165
2002-09-23,6.420000076293945
2002-09-24,6.900000095367432
2002-09-25,7.099999904632568
2002-09-26,7.0
2002-09-27,7.110000133514404
2002-09-30,7.0
2002-10-01,6.75
2002-10-02,6.900000095367432
2002-10-03,6.199999809265137
2002-10-04,6.039999961853027
2002-10-07,6.050000190734863
2002-10-08,6.300000190734863
2002-10-09,6.28000020980835
2002-10-10,6.150000095367432
2002-10-11,6.340000152587891
2002-10-14,6.349999904632568
2002-10-15,6.909999847412109
2002-10-16,7.110000133514404
2002-10-17,7.650000095367432
2002-10-18,7.449999809265137
2002-10-21,7.349999904632568
2002-10-22,7.5
2002-10-23,7.440000057220459
2002-10-24,7.329999923706055
2002-10-25,7.5
2002-10-28,7.420000076293945
2002-10-29,7.150000095367432
2002-10-30,7.0
2002-10-31,6.900000095367432
2002-11-01,7.090000152587891
2002-11-04,7.650000095367432
2002-11-05,7.840000152587891
2002-11-06,8.199999809265137
2002-11-07,7.909999847412109
2002-11-08,7.820000171661377
2002-11-11,7.800000190734863
2002-11-12,8.100000381469727
2002-11-13,7.380000114440918
2002-11-14,7.900000095367432
2002-11-15,8.25
2002-11-18,8.850000381469727
2002-11-19,8.079999923706055
2002-11-20,8.199999809265137
2002-11-21,8.170000076293945
2002-11-22,8.949999809265137
2002-11-25,9.210000038146973
2002-11-26,9.020000457763672
2002-11-27,9.930000305175781
2002-11-29,10.399999618530273
2002-12-02,10.329999923706055
2002-12-03,10.850000381469727
2002-12-04,10.460000038146973
2002-12-05,9.960000038146973
2002-12-06,9.829999923706055
2002-12-09,9.210000038146973
2002-12-10,9.40999984741211
2002-12-11,9.180000305175781
2002-12-12,9.039999961853027
2002-12-13,8.65999984741211
2002-12-16,8.40999984741211
2002-12-17,8.170000076293945
2002-12-18,7.389999866485596
2002-12-19,7.150000095367432
2002-12-20,7.0
2002-12-23,6.679999828338623
2002-12-24,6.309999942779541
2002-12-26,6.420000076293945
2002-12-27,6.099999904632568
2002-12-30,5.949999809265137
2002-12-31,6.25
2003-01-02,6.409999847412109
2003-01-03,6.389999866485596
2003-01-06,5.949999809265137
2003-01-07,6.360000133514404
2003-01-08,6.389999866485596
2003-01-09,6.619999885559082
2003-01-10,7.010000228881836
2003-01-13,7.429999828338623
2003-01-14,7.25
2003-01-15,6.889999866485596
2003-01-16,6.860000133514404
2003-01-17,7.039999961853027
2003-01-21,6.809999942779541
2003-01-22,6.349999904632568
2003-01-23,6.769999980926514
2003-01-24,6.679999828338623
2003-01-27,6.579999923706055
2003-01-28,6.579999923706055
2003-01-29,6.75
2003-01-30,6.539999961853027
2003-01-31,6.539999961853027
2003-02-03,6.53000020980835
2003-02-04,6.380000114440918
2003-02-05,6.400000095367432
2003-02-06,6.449999809265137
2003-02-07,6.400000095367432
2003-02-10,6.449999809265137
2003-02-11,6.25
2003-02-12,6.260000228881836
2003-02-13,6.380000114440918
2003-02-14,6.25
2003-02-18,6.300000190734863
2003-02-19,6.369999885559082
2003-02-20,6.340000152587891
2003-02-21,6.489999771118164
2003-02-24,6.260000228881836
2003-02-25,6.400000095367432
2003-02-26,6.360000133514404
2003-02-27,6.5
2003-02-28,6.300000190734863
2003-03-03,6.369999885559082
2003-03-04,6.489999771118164
2003-03-05,6.380000114440918
2003-03-06,6.389999866485596
2003-03-07,6.349999904632568
2003-03-10,6.389999866485596
2003-03-11,6.409999847412109
2003-03-12,6.5
2003-03-13,6.5
2003-03-14,6.519999980926514
2003-03-17,6.440000057220459
2003-03-18,6.550000190734863
2003-03-19,6.789999961853027
2003-03-20,7.039999961853027
2003-03-21,7.179999828338623
2003-03-24,6.699999809265137
2003-03-25,6.949999809265137
2003-03-26,7.25
2003-03-27,6.989999771118164
2003-03-28,6.880000114440918
2003-03-31,6.71999979019165
2003-04-01,6.579999923706055
2003-04-02,6.699999809265137
2003-04-03,6.900000095367432
2003-04-04,6.900000095367432
2003-04-07,7.199999809265137
2003-04-08,7.349999904632568
2003-04-09,7.139999866485596
2003-04-10,7.019999980926514
2003-04-11,7.0
2003-04-14,7.099999904632568
2003-04-15,7.0
2003-04-16,6.96999979019165
2003-04-17,7.25
2003-04-21,7.690000057220459
2003-04-22,7.400000095367432
2003-04-23,7.400000095367432
2003-04-24,7.510000228881836
2003-04-25,7.760000228881836
2003-04-28,8.010000228881836
2003-04-29,7.889999866485596
2003-04-30,7.610000133514404
2003-05-01,7.679999828338623
2003-05-02,7.800000190734863
2003-05-05,8.369999885559082
2003-05-06,8.3100004196167
2003-05-07,8.489999771118164
2003-05-08,8.5
2003-05-09,8.449999809265137
2003-05-12,8.210000038146973
2003-05-13,8.170000076293945
2003-05-14,8.229999542236328
2003-05-15,8.079999923706055
2003-05-16,8.0
2003-05-19,7.71999979019165
2003-05-20,7.460000038146973
2003-05-21,7.449999809265137
2003-05-22,7.400000095367432
2003-05-23,7.449999809265137
2003-05-27,7.960000038146973
2003-05-28,8.180000305175781
2003-05-29,8.300000190734863
2003-05-30,8.350000381469727
2003-06-02,8.149999618530273
2003-06-03,8.170000076293945
2003-06-04,8.170000076293945
2003-06-05,8.350000381469727
2003-06-06,8.069999694824219
2003-06-09,8.079999923706055
2003-06-10,8.25
2003-06-11,8.25
2003-06-12,8.25
2003-06-13,8.029999732971191
2003-06-16,8.15999984741211
2003-06-17,8.079999923706055
2003-06-18,8.890000343322754
2003-06-19,8.5
2003-06-20,8.65999984741211
2003-06-23,8.029999732971191
2003-06-24,8.600000381469727
2003-06-25,8.300000190734863
2003-06-26,8.600000381469727
2003-06-27,8.239999771118164
2003-06-30,8.390000343322754
2003-07-01,8.109999656677246
2003-07-02,8.359999656677246
2003-07-03,8.380000114440918
2003-07-07,8.640000343322754
2003-07-08,9.25
2003-07-09,9.229999542236328
2003-07-10,9.0
2003-07-11,9.149999618530273
2003-07-14,9.100000381469727
2003-07-15,9.65999984741211
2003-07-16,9.739999771118164
2003-07-17,9.479999542236328
2003-07-18,9.399999618530273
2003-07-21,9.25
2003-07-22,8.930000305175781
2003-07-23,9.399999618530273
2003-07-24,9.100000381469727
2003-07-25,9.210000038146973
2003-07-28,9.600000381469727
2003-07-29,9.5
2003-07-30,9.319999694824219
2003-07-31,9.319999694824219
2003-08-01,9.399999618530273
2003-08-04,9.180000305175781
2003-08-05,9.069999694824219
2003-08-06,8.59000015258789
2003-08-07,8.680000305175781
2003-08-08,8.470000267028809
2003-08-11,8.739999771118164
2003-08-12,8.449999809265137
2003-08-13,7.96999979019165
2003-08-14,8.020000457763672
2003-08-15,7.840000152587891
2003-08-18,8.4399995803833
2003-08-19,8.829999923706055
2003-08-20,9.020000457763672
2003-08-21,9.119999885559082
2003-08-22,9.210000038146973
2003-08-25,9.210000038146973
2003-08-26,9.100000381469727
2003-08-27,9.239999771118164
2003-08-28,9.329999923706055
2003-08-29,9.479999542236328
2003-09-02,9.489999771118164
2003-09-03,9.25
2003-09-04,9.25
2003-09-05,9.039999961853027
2003-09-08,9.25
2003-09-09,8.949999809265137
2003-09-10,8.869999885559082
2003-09-11,8.899999618530273
2003-09-12,8.75
2003-09-15,9.050000190734863
2003-09-16,8.880000114440918
2003-09-17,8.899999618530273
2003-09-18,8.949999809265137
2003-09-19,8.949999809265137
2003-09-22,8.680000305175781
2003-09-23,8.930000305175781
2003-09-24,8.539999961853027
2003-09-25,8.279999732971191
2003-09-26,7.760000228881836
2003-09-29,7.849999904632568
2003-09-30,7.519999980926514
2003-10-01,7.699999809265137
2003-10-02,8.119999885559082
2003-10-03,8.539999961853027
2003-10-06,8.800000190734863
2003-10-07,9.149999618530273
2003-10-08,9.15999984741211
2003-10-09,9.350000381469727
2003-10-10,9.270000457763672
2003-10-13,9.270000457763672
2003-10-14,9.699999809265137
