,SRE
2000-12-28,23.0625
2000-12-29,23.25
2001-01-02,22.5
2001-01-03,22.0
2001-01-04,19.4375
2001-01-05,19.5625
2001-01-08,19.6875
2001-01-09,19.875
2001-01-10,19.75
2001-01-11,18.1875
2001-01-12,18.375
2001-01-16,18.375
2001-01-17,18.75
2001-01-18,19.0
2001-01-19,18.9375
2001-01-22,19.0625
2001-01-23,18.9375
2001-01-24,20.0
2001-01-25,20.4375
2001-01-26,20.25
2001-01-29,20.709999084472656
2001-01-30,20.6200008392334
2001-01-31,20.3700008392334
2001-02-01,20.1299991607666
2001-02-02,20.850000381469727
2001-02-05,21.290000915527344
2001-02-06,21.190000534057617
2001-02-07,21.959999084472656
2001-02-08,21.760000228881836
2001-02-09,22.5
2001-02-12,22.299999237060547
2001-02-13,22.09000015258789
2001-02-14,21.709999084472656
2001-02-15,21.729999542236328
2001-02-16,21.969999313354492
2001-02-20,21.799999237060547
2001-02-21,21.940000534057617
2001-02-22,21.920000076293945
2001-02-23,22.100000381469727
2001-02-26,22.219999313354492
2001-02-27,22.309999465942383
2001-02-28,22.350000381469727
2001-03-01,22.190000534057617
2001-03-02,22.65999984741211
2001-03-05,22.639999389648438
2001-03-06,22.649999618530273
2001-03-07,23.600000381469727
2001-03-08,23.739999771118164
2001-03-09,23.149999618530273
2001-03-12,23.09000015258789
2001-03-13,23.030000686645508
2001-03-14,22.84000015258789
2001-03-15,23.110000610351562
2001-03-16,22.260000228881836
2001-03-19,22.989999771118164
2001-03-20,22.40999984741211
2001-03-21,22.25
2001-03-22,21.719999313354492
2001-03-23,21.06999969482422
2001-03-26,23.0
2001-03-27,22.899999618530273
2001-03-28,23.049999237060547
2001-03-29,23.190000534057617
2001-03-30,23.280000686645508
2001-04-02,23.299999237060547
2001-04-03,23.239999771118164
2001-04-04,23.239999771118164
2001-04-05,24.149999618530273
2001-04-06,22.299999237060547
2001-04-09,23.170000076293945
2001-04-10,24.15999984741211
2001-04-11,23.850000381469727
2001-04-12,23.75
2001-04-16,25.049999237060547
2001-04-17,26.09000015258789
2001-04-18,25.93000030517578
2001-04-19,25.100000381469727
2001-04-20,24.450000762939453
2001-04-23,25.709999084472656
2001-04-24,26.8700008392334
2001-04-25,26.40999984741211
2001-04-26,27.149999618530273
2001-04-27,28.219999313354492
2001-04-30,27.670000076293945
2001-05-01,27.639999389648438
2001-05-02,27.6200008392334
2001-05-03,27.1299991607666
2001-05-04,27.299999237060547
2001-05-07,27.709999084472656
2001-05-08,28.030000686645508
2001-05-09,28.239999771118164
2001-05-10,28.190000534057617
2001-05-11,28.389999389648438
2001-05-14,28.100000381469727
2001-05-15,27.739999771118164
2001-05-16,27.700000762939453
2001-05-17,27.5
2001-05-18,27.3700008392334
2001-05-21,28.270000457763672
2001-05-22,28.31999969482422
2001-05-23,27.989999771118164
2001-05-24,27.709999084472656
2001-05-25,26.8700008392334
2001-05-29,26.520000457763672
2001-05-30,27.0
2001-05-31,27.299999237060547
2001-06-01,27.139999389648438
2001-06-04,27.34000015258789
2001-06-05,26.90999984741211
2001-06-06,26.709999084472656
2001-06-07,26.579999923706055
2001-06-08,26.5
2001-06-11,26.719999313354492
2001-06-12,27.200000762939453
2001-06-13,26.360000610351562
2001-06-14,25.43000030517578
2001-06-15,25.799999237060547
2001-06-18,26.309999465942383
2001-06-19,27.270000457763672
2001-06-20,27.5
2001-06-21,26.739999771118164
2001-06-22,26.75
2001-06-25,26.940000534057617
2001-06-26,27.270000457763672
2001-06-27,27.079999923706055
2001-06-28,27.479999542236328
2001-06-29,27.34000015258789
2001-07-02,27.600000381469727
2001-07-03,27.690000534057617
2001-07-05,27.920000076293945
2001-07-06,27.729999542236328
2001-07-09,27.520000457763672
2001-07-10,27.670000076293945
2001-07-11,27.489999771118164
2001-07-12,27.489999771118164
2001-07-13,27.5
2001-07-16,27.610000610351562
2001-07-17,27.360000610351562
2001-07-18,26.469999313354492
2001-07-19,27.1200008392334
2001-07-20,26.290000915527344
2001-07-23,25.200000762939453
2001-07-24,24.260000228881836
2001-07-25,25.31999969482422
2001-07-26,25.489999771118164
2001-07-27,25.690000534057617
2001-07-30,25.450000762939453
2001-07-31,25.3799991607666
2001-08-01,25.729999542236328
2001-08-02,26.100000381469727
2001-08-03,26.350000381469727
2001-08-06,26.149999618530273
2001-08-07,26.770000457763672
2001-08-08,26.389999389648438
2001-08-09,26.600000381469727
2001-08-10,26.6200008392334
2001-08-13,26.709999084472656
2001-08-14,26.729999542236328
2001-08-15,26.3799991607666
2001-08-16,26.450000762939453
2001-08-17,26.3700008392334
2001-08-20,26.479999542236328
2001-08-21,26.34000015258789
2001-08-22,26.579999923706055
2001-08-23,26.75
2001-08-24,27.270000457763672
2001-08-27,27.489999771118164
2001-08-28,27.399999618530273
2001-08-29,27.440000534057617
2001-08-30,27.3700008392334
2001-08-31,27.09000015258789
2001-09-04,27.18000030517578
2001-09-05,27.40999984741211
2001-09-06,27.5
2001-09-07,27.299999237060547
2001-09-10,26.90999984741211
2001-09-17,26.309999465942383
2001-09-18,25.790000915527344
2001-09-19,25.219999313354492
2001-09-20,24.809999465942383
2001-09-21,24.299999237060547
2001-09-24,23.969999313354492
2001-09-25,24.100000381469727
2001-09-26,23.809999465942383
2001-09-27,23.93000030517578
2001-09-28,24.75
2001-10-01,24.90999984741211
2001-10-02,25.75
2001-10-03,26.18000030517578
2001-10-04,26.1299991607666
2001-10-05,26.280000686645508
2001-10-08,26.239999771118164
2001-10-09,25.1200008392334
2001-10-10,25.719999313354492
2001-10-11,25.1299991607666
2001-10-12,24.520000457763672
2001-10-15,24.200000762939453
2001-10-16,24.950000762939453
2001-10-17,24.65999984741211
2001-10-18,23.84000015258789
2001-10-19,24.299999237060547
2001-10-22,24.739999771118164
2001-10-23,24.1299991607666
2001-10-24,23.1299991607666
2001-10-25,23.110000610351562
2001-10-26,22.270000457763672
2001-10-29,22.420000076293945
2001-10-30,22.549999237060547
2001-10-31,23.399999618530273
2001-11-01,23.5
2001-11-02,23.06999969482422
2001-11-05,23.700000762939453
2001-11-06,23.860000610351562
2001-11-07,23.520000457763672
2001-11-08,23.950000762939453
2001-11-09,24.0
2001-11-12,24.049999237060547
2001-11-13,23.770000457763672
2001-11-14,23.149999618530273
2001-11-15,23.1200008392334
2001-11-16,23.290000915527344
2001-11-19,23.479999542236328
2001-11-20,23.559999465942383
2001-11-21,23.110000610351562
2001-11-23,23.479999542236328
2001-11-26,23.1299991607666
2001-11-27,23.049999237060547
2001-11-28,22.700000762939453
2001-11-29,22.799999237060547
2001-11-30,23.15999984741211
2001-12-03,23.239999771118164
2001-12-04,23.600000381469727
2001-12-05,23.770000457763672
2001-12-06,23.489999771118164
2001-12-07,24.399999618530273
2001-12-10,23.81999969482422
2001-12-11,23.079999923706055
2001-12-12,23.399999618530273
2001-12-13,23.520000457763672
2001-12-14,23.719999313354492
2001-12-17,23.81999969482422
2001-12-18,24.110000610351562
2001-12-19,24.75
2001-12-20,24.899999618530273
2001-12-21,24.079999923706055
2001-12-24,24.15999984741211
2001-12-26,24.40999984741211
2001-12-27,24.709999084472656
2001-12-28,24.610000610351562
2001-12-31,24.549999237060547
2002-01-02,24.770000457763672
2002-01-03,24.760000228881836
2002-01-04,24.940000534057617
2002-01-07,24.989999771118164
2002-01-08,25.139999389648438
2002-01-09,25.059999465942383
2002-01-10,25.040000915527344
2002-01-11,24.979999542236328
2002-01-14,25.270000457763672
2002-01-15,25.649999618530273
2002-01-16,25.450000762939453
2002-01-17,25.420000076293945
2002-01-18,25.270000457763672
2002-01-22,25.010000228881836
2002-01-23,25.270000457763672
2002-01-24,25.0
2002-01-25,24.760000228881836
2002-01-28,24.649999618530273
2002-01-29,24.0
2002-01-30,23.860000610351562
2002-01-31,23.950000762939453
2002-02-01,24.010000228881836
2002-02-04,23.5
2002-02-05,23.329999923706055
2002-02-06,22.760000228881836
2002-02-07,22.739999771118164
2002-02-08,23.030000686645508
2002-02-11,23.399999618530273
2002-02-12,23.440000534057617
2002-02-13,23.510000228881836
2002-02-14,23.610000610351562
2002-02-15,23.479999542236328
2002-02-19,23.260000228881836
2002-02-20,23.5
2002-02-21,23.149999618530273
2002-02-22,23.3700008392334
2002-02-25,22.780000686645508
2002-02-26,22.790000915527344
2002-02-27,22.540000915527344
2002-02-28,22.31999969482422
2002-03-01,22.68000030517578
2002-03-04,23.209999084472656
2002-03-05,23.739999771118164
2002-03-06,24.25
2002-03-07,24.079999923706055
2002-03-08,24.18000030517578
2002-03-11,24.469999313354492
2002-03-12,24.239999771118164
2002-03-13,24.100000381469727
2002-03-14,23.940000534057617
2002-03-15,24.149999618530273
2002-03-18,24.020000457763672
2002-03-19,24.1200008392334
2002-03-20,24.059999465942383
2002-03-21,24.780000686645508
2002-03-22,24.889999389648438
2002-03-25,24.799999237060547
2002-03-26,24.639999389648438
2002-03-27,24.790000915527344
2002-03-28,25.149999618530273
2002-04-01,25.149999618530273
2002-04-02,26.010000228881836
2002-04-03,25.579999923706055
2002-04-04,25.049999237060547
2002-04-05,24.829999923706055
2002-04-08,25.270000457763672
2002-04-09,25.020000457763672
2002-04-10,25.739999771118164
2002-04-11,24.899999618530273
2002-04-12,24.989999771118164
2002-04-15,25.059999465942383
2002-04-16,25.6200008392334
2002-04-17,25.889999389648438
2002-04-18,25.950000762939453
2002-04-19,25.889999389648438
2002-04-22,25.559999465942383
2002-04-23,25.059999465942383
2002-04-24,25.020000457763672
2002-04-25,25.40999984741211
2002-04-26,25.959999084472656
2002-04-29,25.709999084472656
2002-04-30,25.56999969482422
2002-05-01,25.81999969482422
2002-05-02,25.979999542236328
2002-05-03,25.889999389648438
2002-05-06,25.799999237060547
2002-05-07,24.899999618530273
2002-05-08,25.1200008392334
2002-05-09,24.93000030517578
2002-05-10,24.309999465942383
2002-05-13,24.280000686645508
2002-05-14,24.809999465942383
2002-05-15,24.700000762939453
2002-05-16,24.3799991607666
2002-05-17,24.280000686645508
2002-05-20,24.479999542236328
2002-05-21,24.739999771118164
2002-05-22,25.209999084472656
2002-05-23,25.299999237060547
2002-05-24,25.3700008392334
2002-05-28,25.469999313354492
2002-05-29,24.950000762939453
2002-05-30,24.8799991607666
2002-05-31,25.010000228881836
2002-06-03,24.610000610351562
2002-06-04,24.8700008392334
2002-06-05,24.280000686645508
2002-06-06,23.56999969482422
2002-06-07,23.920000076293945
2002-06-10,23.93000030517578
2002-06-11,23.549999237060547
2002-06-12,23.739999771118164
2002-06-13,23.989999771118164
2002-06-14,23.719999313354492
2002-06-17,24.219999313354492
2002-06-18,24.360000610351562
2002-06-19,23.65999984741211
2002-06-20,23.700000762939453
2002-06-21,23.739999771118164
2002-06-24,23.420000076293945
2002-06-25,22.959999084472656
2002-06-26,22.389999389648438
2002-06-27,21.700000762939453
2002-06-28,22.1299991607666
2002-07-01,22.1299991607666
2002-07-02,21.360000610351562
2002-07-03,20.299999237060547
2002-07-05,20.3799991607666
2002-07-08,20.18000030517578
2002-07-09,19.040000915527344
2002-07-10,18.6200008392334
2002-07-11,18.899999618530273
2002-07-12,18.81999969482422
2002-07-15,19.719999313354492
2002-07-16,19.06999969482422
2002-07-17,19.260000228881836
2002-07-18,18.90999984741211
2002-07-19,17.600000381469727
2002-07-22,16.950000762939453
2002-07-23,16.0
2002-07-24,17.5
2002-07-25,18.600000381469727
2002-07-26,19.059999465942383
2002-07-29,19.739999771118164
2002-07-30,20.760000228881836
2002-07-31,21.200000762939453
2002-08-01,21.139999389648438
2002-08-02,20.56999969482422
2002-08-05,21.1299991607666
2002-08-06,20.81999969482422
2002-08-07,21.1200008392334
2002-08-08,21.579999923706055
2002-08-09,21.770000457763672
2002-08-12,22.139999389648438
2002-08-13,21.190000534057617
2002-08-14,22.209999084472656
2002-08-15,22.540000915527344
2002-08-16,21.559999465942383
2002-08-19,22.399999618530273
2002-08-20,22.040000915527344
2002-08-21,22.600000381469727
2002-08-22,23.389999389648438
2002-08-23,22.780000686645508
2002-08-26,23.31999969482422
2002-08-27,23.360000610351562
2002-08-28,23.1299991607666
2002-08-29,23.079999923706055
2002-08-30,24.010000228881836
2002-09-03,23.399999618530273
2002-09-04,23.389999389648438
2002-09-05,22.40999984741211
2002-09-06,22.559999465942383
2002-09-09,22.450000762939453
2002-09-10,21.479999542236328
2002-09-11,21.959999084472656
2002-09-12,21.329999923706055
2002-09-13,21.709999084472656
2002-09-16,21.3700008392334
2002-09-17,20.649999618530273
2002-09-18,20.700000762939453
2002-09-19,20.1200008392334
2002-09-20,19.809999465942383
2002-09-23,19.139999389648438
2002-09-24,18.399999618530273
2002-09-25,19.0
2002-09-26,19.600000381469727
2002-09-27,19.350000381469727
2002-09-30,19.649999618530273
2002-10-01,20.34000015258789
2002-10-02,20.329999923706055
2002-10-03,19.850000381469727
2002-10-04,19.260000228881836
2002-10-07,19.200000762939453
2002-10-08,18.549999237060547
2002-10-09,17.030000686645508
2002-10-10,18.399999618530273
2002-10-11,18.450000762939453
2002-10-14,18.450000762939453
2002-10-15,18.399999618530273
2002-10-16,17.770000457763672
2002-10-17,18.139999389648438
2002-10-18,17.940000534057617
2002-10-21,19.559999465942383
2002-10-22,20.209999084472656
2002-10-23,20.56999969482422
2002-10-24,20.600000381469727
2002-10-25,20.540000915527344
2002-10-28,21.360000610351562
2002-10-29,21.489999771118164
2002-10-30,22.06999969482422
