,CSGS
1997-01-14,8.75
1997-01-15,8.75
1997-01-16,9.25
1997-01-17,9.25
1997-01-20,9.25
1997-01-21,9.625
1997-01-22,9.75
1997-01-23,9.625
1997-01-24,9.6875
1997-01-27,9.6875
1997-01-28,9.6875
1997-01-29,9.875
1997-01-30,9.6875
1997-01-31,9.375
1997-02-03,9.8125
1997-02-04,9.507813453674316
1997-02-05,9.25
1997-02-06,9.375
1997-02-07,9.375
1997-02-10,8.875
1997-02-11,8.875
1997-02-12,9.0
1997-02-13,9.125
1997-02-14,9.125
1997-02-18,9.25
1997-02-19,9.25
1997-02-20,8.875
1997-02-21,9.125
1997-02-24,8.9375
1997-02-25,8.9375
1997-02-26,8.9375
1997-02-27,9.3125
1997-02-28,9.3125
1997-03-03,9.9375
1997-03-04,10.125
1997-03-05,9.8125
1997-03-06,9.4375
1997-03-07,9.5625
1997-03-10,9.25
1997-03-11,9.4375
1997-03-12,9.3125
1997-03-13,9.375
1997-03-14,9.5
1997-03-17,9.5
1997-03-18,9.5
1997-03-19,9.0
1997-03-20,9.0
1997-03-21,8.625
1997-03-24,8.5625
1997-03-25,8.4375
1997-03-26,8.5
1997-03-27,8.375
1997-03-31,8.4375
1997-04-01,7.875
1997-04-02,7.75
1997-04-03,7.5625
1997-04-04,7.5625
1997-04-07,8.5
1997-04-08,8.875
1997-04-09,8.875
1997-04-10,8.75
1997-04-11,8.625
1997-04-14,8.4375
1997-04-15,8.4375
1997-04-16,8.75
1997-04-17,8.75
1997-04-18,8.1875
1997-04-21,8.21875
1997-04-22,8.1875
1997-04-23,8.375
1997-04-24,8.6875
1997-04-25,8.75
1997-04-28,9.125
1997-04-29,9.0
1997-04-30,8.875
1997-05-01,8.875
1997-05-02,9.75
1997-05-05,9.5
1997-05-06,9.5625
1997-05-07,9.5625
1997-05-08,9.5
1997-05-09,9.53125
1997-05-12,9.5
1997-05-13,9.375
1997-05-14,9.3125
1997-05-15,9.25
1997-05-16,9.25
1997-05-19,9.0
1997-05-20,8.875
1997-05-21,8.8125
1997-05-22,9.75
1997-05-23,10.5
1997-05-27,12.0
1997-05-28,11.9375
1997-05-29,11.75
1997-05-30,11.875
1997-06-02,11.6875
1997-06-03,12.1875
1997-06-04,13.0625
1997-06-05,13.375
1997-06-06,13.375
1997-06-09,13.375
1997-06-10,13.3125
1997-06-11,13.1875
1997-06-12,12.625
1997-06-13,12.65625
1997-06-16,12.0625
1997-06-17,12.0
1997-06-18,12.125
1997-06-19,12.6875
1997-06-20,12.625
1997-06-23,12.1875
1997-06-24,12.1875
1997-06-25,12.1875
1997-06-26,12.25
1997-06-27,12.25
1997-06-30,15.4375
1997-07-01,15.0
1997-07-02,14.125
1997-07-03,14.0
1997-07-07,15.125
1997-07-08,15.375
1997-07-09,15.875
1997-07-10,16.0
1997-07-11,15.875
1997-07-14,15.8125
1997-07-15,16.0
1997-07-16,15.75
1997-07-17,15.0
1997-07-18,15.125
1997-07-21,14.75
1997-07-22,14.625
1997-07-23,14.1875
1997-07-24,13.5625
1997-07-25,13.75
1997-07-28,14.34375
1997-07-29,11.71875
1997-07-30,11.4375
1997-07-31,11.5
1997-08-01,12.0
1997-08-04,12.0
1997-08-05,12.0
1997-08-06,12.0
1997-08-07,11.9375
1997-08-08,11.5625
1997-08-11,13.1875
1997-08-12,13.0
1997-08-13,14.8125
1997-08-14,14.84375
1997-08-15,14.6875
1997-08-18,14.9375
1997-08-19,15.1875
1997-08-20,14.9375
1997-08-21,14.375
1997-08-22,14.1875
1997-08-25,14.25
1997-08-26,14.25
1997-08-27,14.6875
1997-08-28,14.625
1997-08-29,13.8125
1997-09-02,14.5625
1997-09-03,14.1875
1997-09-04,14.1875
1997-09-05,14.5
1997-09-08,15.375
1997-09-09,16.5625
1997-09-10,18.0
1997-09-11,17.78125
1997-09-12,18.1875
1997-09-15,18.0
1997-09-16,18.625
1997-09-17,18.75
1997-09-18,18.9375
1997-09-19,18.9375
1997-09-22,19.75
1997-09-23,19.25
1997-09-24,19.75
1997-09-25,19.625
1997-09-26,19.0
1997-09-29,19.34375
1997-09-30,18.90625
1997-10-01,19.59375
1997-10-02,19.53125
1997-10-03,21.6875
1997-10-06,22.1875
1997-10-07,23.625
1997-10-08,24.375
1997-10-09,23.0
1997-10-10,21.8125
1997-10-13,21.15625
1997-10-14,21.5
1997-10-15,22.25
1997-10-16,22.375
1997-10-17,21.9375
1997-10-20,23.375
1997-10-21,24.5
1997-10-22,24.25
1997-10-23,23.59375
1997-10-24,22.3125
1997-10-27,20.1875
1997-10-28,19.6875
1997-10-29,18.5625
1997-10-30,18.8125
1997-10-31,19.59375
1997-11-03,19.5625
1997-11-04,19.125
1997-11-05,18.875
1997-11-06,18.71875
1997-11-07,18.5
1997-11-10,17.5
1997-11-11,17.8125
1997-11-12,17.4375
1997-11-13,17.40625
1997-11-14,17.3125
1997-11-17,18.75
1997-11-18,19.0625
1997-11-19,19.0625
1997-11-20,19.0
1997-11-21,19.1875
1997-11-24,18.75
1997-11-25,18.96875
1997-11-26,18.46875
1997-11-28,18.5
1997-12-01,17.625
1997-12-02,16.78125
1997-12-03,16.8125
1997-12-04,15.6875
1997-12-05,17.75
1997-12-08,18.6875
1997-12-09,17.8125
1997-12-10,16.5
1997-12-11,16.0625
1997-12-12,16.25
1997-12-15,17.0
1997-12-16,18.09375
1997-12-17,18.0
1997-12-18,17.4375
1997-12-19,17.75
1997-12-22,17.96875
1997-12-23,18.1875
1997-12-24,18.1875
1997-12-26,18.34375
1997-12-29,19.5
1997-12-30,19.4375
1997-12-31,20.0
1998-01-02,20.28125
1998-01-05,20.21875
1998-01-06,20.125
1998-01-07,20.0625
1998-01-08,20.4375
1998-01-09,19.875
1998-01-12,19.875
1998-01-13,21.0625
1998-01-14,21.0625
1998-01-15,21.1875
1998-01-16,21.0625
1998-01-20,21.125
1998-01-21,21.125
1998-01-22,21.0625
1998-01-23,21.0625
1998-01-26,21.1875
1998-01-27,21.0
1998-01-28,21.6875
1998-01-29,21.8125
1998-01-30,20.71875
1998-02-02,19.96875
1998-02-03,19.5
1998-02-04,19.1875
1998-02-05,19.15625
1998-02-06,19.3125
1998-02-09,19.46875
1998-02-10,19.375
1998-02-11,19.125
1998-02-12,19.125
1998-02-13,19.875
1998-02-17,20.09375
1998-02-18,19.6875
1998-02-19,19.671875
1998-02-20,19.6875
1998-02-23,19.78125
1998-02-24,19.15625
1998-02-25,18.5625
1998-02-26,19.40625
1998-02-27,19.375
1998-03-02,20.125
1998-03-03,19.625
1998-03-04,19.5625
1998-03-05,19.15625
1998-03-06,19.3125
1998-03-09,18.4375
1998-03-10,19.078125
1998-03-11,19.0625
1998-03-12,18.75
1998-03-13,19.0625
1998-03-16,19.875
1998-03-17,20.1875
1998-03-18,20.34375
1998-03-19,20.953125
1998-03-20,21.546875
1998-03-23,22.5625
1998-03-24,22.171875
1998-03-25,22.5
1998-03-26,22.4375
1998-03-27,22.46875
1998-03-30,22.5625
1998-03-31,22.625
1998-04-01,24.5
1998-04-02,24.0
1998-04-03,23.75
1998-04-06,23.59375
1998-04-07,23.75
1998-04-08,23.625
1998-04-09,23.59375
1998-04-13,23.625
1998-04-14,23.59375
1998-04-15,23.625
1998-04-16,23.75
1998-04-17,23.75
1998-04-20,23.671875
1998-04-21,23.75
1998-04-22,23.609375
1998-04-23,23.59375
1998-04-24,23.59375
1998-04-27,23.4375
1998-04-28,21.78125
1998-04-29,22.6875
1998-04-30,22.75
1998-05-01,21.625
1998-05-04,21.9375
1998-05-05,21.65625
1998-05-06,21.25
1998-05-07,20.4375
1998-05-08,21.21875
1998-05-11,21.6875
1998-05-12,21.8125
1998-05-13,21.5625
1998-05-14,21.59375
1998-05-15,21.75
1998-05-18,20.6875
1998-05-19,20.65625
1998-05-20,20.78125
1998-05-21,21.25
1998-05-22,21.15625
1998-05-26,21.28125
1998-05-27,21.5
1998-05-28,21.328125
1998-05-29,21.359375
1998-06-01,20.8125
1998-06-02,20.8125
1998-06-03,20.75
1998-06-04,20.5
1998-06-05,19.4375
1998-06-08,20.125
1998-06-09,21.34375
1998-06-10,20.75
1998-06-11,20.0625
1998-06-12,19.75
1998-06-15,19.625
1998-06-16,18.90625
1998-06-17,19.0
1998-06-18,19.40625
1998-06-19,19.0
1998-06-22,19.0
1998-06-23,19.0625
1998-06-24,21.25
1998-06-25,21.875
1998-06-26,21.625
1998-06-29,22.09375
1998-06-30,23.4375
1998-07-01,22.75
1998-07-02,22.5625
1998-07-06,22.8125
1998-07-07,22.75
1998-07-08,23.0625
1998-07-09,23.5625
1998-07-10,22.6875
1998-07-13,22.0625
1998-07-14,23.0
1998-07-15,23.0625
1998-07-16,23.0
1998-07-17,22.875
1998-07-20,23.3125
1998-07-21,23.8125
1998-07-22,22.9375
1998-07-23,22.5
1998-07-24,22.1875
1998-07-27,21.9375
1998-07-28,22.125
1998-07-29,21.0
1998-07-30,22.0625
1998-07-31,21.375
1998-08-03,20.75
1998-08-04,20.375
1998-08-05,19.25
1998-08-06,21.25
1998-08-07,21.0625
1998-08-10,20.25
1998-08-11,19.65625
1998-08-12,20.5
1998-08-13,20.125
1998-08-14,20.25
1998-08-17,20.5625
1998-08-18,21.0
1998-08-19,20.5
1998-08-20,19.375
1998-08-21,20.25
1998-08-24,21.0
1998-08-25,20.5
1998-08-26,20.75
1998-08-27,19.53125
1998-08-28,19.75
1998-08-31,18.375
1998-09-01,20.3125
1998-09-02,21.0
1998-09-03,21.5859375
1998-09-04,20.75
1998-09-08,21.65625
1998-09-09,21.15625
1998-09-10,20.5
1998-09-11,21.0625
1998-09-14,21.125
1998-09-15,21.0
1998-09-16,22.0
1998-09-17,21.3125
1998-09-18,21.53125
1998-09-21,22.4375
1998-09-22,23.3125
1998-09-23,24.625
1998-09-24,23.9375
1998-09-25,23.625
1998-09-28,23.3125
1998-09-29,22.90625
1998-09-30,22.125
1998-10-01,20.375
1998-10-02,21.1875
1998-10-05,20.125
1998-10-06,19.125
1998-10-07,19.4375
1998-10-08,19.875
1998-10-09,20.1875
1998-10-12,20.5
1998-10-13,19.9375
1998-10-14,20.625
1998-10-15,20.9375
1998-10-16,23.0
1998-10-19,23.5625
1998-10-20,25.625
1998-10-21,26.1875
1998-10-22,27.3125
1998-10-23,26.875
1998-10-26,26.0
1998-10-27,27.0
1998-10-28,28.46875
1998-10-29,28.46875
1998-10-30,27.25
1998-11-02,30.0625
1998-11-03,28.5
1998-11-04,28.5625
1998-11-05,28.0
1998-11-06,28.0
1998-11-09,27.96875
1998-11-10,27.625
1998-11-11,27.40625
1998-11-12,28.5
1998-11-13,27.8125
1998-11-16,27.53125
1998-11-17,26.71875
1998-11-18,29.0
1998-11-19,28.5625
1998-11-20,28.6875
1998-11-23,30.75
1998-11-24,30.3125
1998-11-25,30.625
1998-11-27,30.9375
1998-11-30,31.375
1998-12-01,32.3125
1998-12-02,31.5625
1998-12-03,30.5
1998-12-04,30.03125
1998-12-07,33.8125
1998-12-08,36.0625
1998-12-09,35.125
1998-12-10,33.625
1998-12-11,34.28125
1998-12-14,33.78125
1998-12-15,33.5
1998-12-16,32.9375
1998-12-17,34.375
1998-12-18,34.75
1998-12-21,36.1875
1998-12-22,35.375
1998-12-23,36.0
1998-12-24,35.125
1998-12-28,35.875
1998-12-29,37.1875
1998-12-30,37.5
1998-12-31,39.5
1999-01-04,35.625
1999-01-05,34.1875
1999-01-06,34.234375
1999-01-07,33.84375
1999-01-08,34.0
1999-01-11,34.0
1999-01-12,33.9375
1999-01-13,35.84375
1999-01-14,35.875
1999-01-15,36.40625
1999-01-19,37.375
1999-01-20,36.125
1999-01-21,33.625
1999-01-22,34.9375
1999-01-25,34.8125
1999-01-26,36.03125
1999-01-27,37.125
1999-01-28,37.0625
1999-01-29,37.4375
1999-02-01,39.5
1999-02-02,39.5
1999-02-03,41.625
1999-02-04,40.875
1999-02-05,38.8125
1999-02-08,38.3125
1999-02-09,37.40625
1999-02-10,38.1875
1999-02-11,40.0625
1999-02-12,37.9375
1999-02-16,38.5
1999-02-17,38.03125
1999-02-18,39.875
1999-02-19,38.96875
1999-02-22,39.125
1999-02-23,39.5
1999-02-24,37.875
1999-02-25,36.3125
1999-02-26,35.625
1999-03-01,35.875
1999-03-02,36.125
1999-03-03,34.5
1999-03-04,36.125
1999-03-05,35.0625
1999-03-08,35.5
1999-03-09,36.25
1999-03-10,36.25
1999-03-11,36.25
1999-03-12,35.5
1999-03-15,35.3125
1999-03-16,33.375
1999-03-17,34.09375
1999-03-18,36.375
1999-03-19,33.6875
1999-03-22,32.875
1999-03-23,31.75
1999-03-24,32.75
1999-03-25,36.0
1999-03-26,35.25
1999-03-29,36.625
1999-03-30,39.9375
1999-03-31,39.4375
1999-04-01,45.0
1999-04-05,42.125
1999-04-06,45.0
1999-04-07,40.0
1999-04-08,37.03125
1999-04-09,39.375
1999-04-12,38.625
1999-04-13,35.15625
1999-04-14,37.0
1999-04-15,37.5
1999-04-16,37.75
1999-04-19,35.59375
1999-04-20,37.0
1999-04-21,38.4375
1999-04-22,34.5
1999-04-23,39.5625
1999-04-26,41.0
1999-04-27,41.25
1999-04-28,40.5
1999-04-29,39.1875
1999-04-30,38.625
1999-05-03,37.5
1999-05-04,36.625
1999-05-05,37.0625
1999-05-06,37.75
1999-05-07,41.625
1999-05-10,37.75
1999-05-11,37.75
1999-05-12,37.375
1999-05-13,38.5
1999-05-14,37.625
1999-05-17,37.25
1999-05-18,38.125
1999-05-19,39.625
1999-05-20,38.25
1999-05-21,37.0
1999-05-24,34.5
1999-05-25,33.5625
1999-05-26,33.75
1999-05-27,31.5
1999-05-28,31.9375
1999-06-01,25.5
1999-06-02,28.3125
1999-06-03,27.75
1999-06-04,25.3125
1999-06-07,26.25
1999-06-08,23.75
1999-06-09,25.875
1999-06-10,24.75
1999-06-11,25.375
1999-06-14,24.5
1999-06-15,25.0
1999-06-16,25.25
1999-06-17,25.5625
1999-06-18,25.875
1999-06-21,26.125
1999-06-22,27.375
1999-06-23,26.0
1999-06-24,24.0
1999-06-25,23.4375
1999-06-28,24.125
1999-06-29,26.6875
1999-06-30,26.1875
1999-07-01,28.1875
1999-07-02,28.5
1999-07-06,28.625
1999-07-07,29.125
1999-07-08,29.9375
1999-07-09,29.125
1999-07-12,27.625
1999-07-13,27.8125
1999-07-14,26.875
1999-07-15,26.9375
1999-07-16,27.875
1999-07-19,27.75
1999-07-20,28.0625
1999-07-21,29.25
1999-07-22,26.625
1999-07-23,25.0
1999-07-26,24.75
1999-07-27,24.75
1999-07-28,23.25
1999-07-29,22.625
1999-07-30,22.25
1999-08-02,20.9375
1999-08-03,21.4375
1999-08-04,20.3125
1999-08-05,21.0
1999-08-06,21.25
1999-08-09,21.5625
1999-08-10,20.9375
1999-08-11,22.1875
1999-08-12,23.125
1999-08-13,24.75
1999-08-16,25.625
1999-08-17,27.375
1999-08-18,25.71875
1999-08-19,24.875
1999-08-20,25.0625
1999-08-23,24.65625
1999-08-24,23.25
1999-08-25,23.0
1999-08-26,23.6875
1999-08-27,23.4375
1999-08-30,23.375
1999-08-31,22.5625
1999-09-01,22.4375
1999-09-02,22.0
1999-09-03,23.0
1999-09-07,23.0
1999-09-08,23.375
1999-09-09,23.875
1999-09-10,24.3125
1999-09-13,24.0
1999-09-14,24.625
1999-09-15,23.25
1999-09-16,22.875
1999-09-17,23.0
1999-09-20,22.8125
1999-09-21,22.25
1999-09-22,22.0
1999-09-23,22.9375
1999-09-24,24.0
1999-09-27,24.375
1999-09-28,25.34375
1999-09-29,25.375
1999-09-30,27.40625
1999-10-01,24.625
1999-10-04,25.0
1999-10-05,23.9375
1999-10-06,24.0625
1999-10-07,24.0625
1999-10-08,24.1875
1999-10-11,26.75
1999-10-12,27.75
1999-10-13,25.9375
1999-10-14,27.375
1999-10-15,27.4375
1999-10-18,26.3125
1999-10-19,26.9375
1999-10-20,30.4375
1999-10-21,29.8125
1999-10-22,29.6875
1999-10-25,30.25
1999-10-26,29.625
1999-10-27,29.875
1999-10-28,35.75
1999-10-29,34.3125
1999-11-01,34.625
1999-11-02,35.125
1999-11-03,36.625
1999-11-04,38.4375
1999-11-05,37.125
1999-11-08,35.9375
1999-11-09,38.9375
1999-11-10,38.6875
1999-11-11,37.375
1999-11-12,36.1875
1999-11-15,37.75
1999-11-16,38.5
1999-11-17,39.0
1999-11-18,39.75
1999-11-19,40.5
1999-11-22,43.6875
1999-11-23,44.125
1999-11-24,43.0
1999-11-26,43.0625
1999-11-29,44.6875
1999-11-30,43.625
1999-12-01,41.5625
1999-12-02,41.8125
1999-12-03,42.046875
1999-12-06,41.3125
1999-12-07,42.5625
1999-12-08,44.1875
1999-12-09,44.75
1999-12-10,43.125
1999-12-13,42.875
1999-12-14,41.125
1999-12-15,38.75
1999-12-16,41.6875
1999-12-17,41.5
1999-12-20,41.625
1999-12-21,41.0
1999-12-22,40.125
1999-12-23,38.75
1999-12-27,38.5
1999-12-28,38.5
1999-12-29,40.0
1999-12-30,40.0
1999-12-31,39.875
2000-01-03,41.9375
2000-01-04,40.9375
2000-01-05,40.8125
2000-01-06,38.75
2000-01-07,38.4375
2000-01-10,41.625
2000-01-11,39.8125
2000-01-12,39.3125
2000-01-13,43.5
2000-01-14,44.625
2000-01-18,47.5
2000-01-19,47.625
2000-01-20,48.5
2000-01-21,47.5625
2000-01-24,44.0625
2000-01-25,42.25
2000-01-26,40.875
2000-01-27,40.875
2000-01-28,38.9375
2000-01-31,37.8125
2000-02-01,41.75
2000-02-02,42.3125
2000-02-03,42.375
2000-02-04,42.0
2000-02-07,41.25
2000-02-08,41.875
2000-02-09,41.6875
2000-02-10,43.1875
2000-02-11,43.75
2000-02-14,43.5
2000-02-15,43.5
2000-02-16,46.5625
2000-02-17,50.25
2000-02-18,48.5
2000-02-22,46.8125
2000-02-23,47.75
2000-02-24,46.125
2000-02-25,46.3125
2000-02-28,47.9375
2000-02-29,51.375
2000-03-01,52.0
2000-03-02,57.375
2000-03-03,58.4375
2000-03-06,59.375
2000-03-07,61.9375
2000-03-08,59.75
2000-03-09,62.234375
2000-03-10,61.125
2000-03-13,64.6875
2000-03-14,59.8125
2000-03-15,66.9375
2000-03-16,64.625
2000-03-17,73.6875
2000-03-20,65.875
2000-03-21,61.75
2000-03-22,65.125
2000-03-23,65.75
2000-03-24,65.125
2000-03-27,66.5
2000-03-28,61.9375
2000-03-29,55.0
2000-03-30,49.875
2000-03-31,48.8125
2000-04-03,50.4375
2000-04-04,48.6875
2000-04-05,53.875
2000-04-06,58.5625
2000-04-07,60.0
2000-04-10,56.75
2000-04-11,53.625
2000-04-12,49.4375
2000-04-13,48.8125
2000-04-14,45.703125
2000-04-17,46.125
2000-04-18,56.5
2000-04-19,52.0
2000-04-20,50.125
2000-04-24,47.9375
2000-04-25,52.75
2000-04-26,47.25
2000-04-27,46.25
2000-04-28,46.125
2000-05-01,45.0
2000-05-02,43.375
2000-05-03,43.0
2000-05-04,43.25
2000-05-05,43.125
2000-05-08,42.0625
2000-05-09,43.25
2000-05-10,40.875
2000-05-11,45.375
2000-05-12,47.0
2000-05-15,45.3125
2000-05-16,46.5625
2000-05-17,46.75
2000-05-18,49.8125
2000-05-19,48.625
2000-05-22,47.8125
2000-05-23,50.1875
2000-05-24,51.5
2000-05-25,51.5
2000-05-26,51.0
2000-05-30,51.0625
2000-05-31,49.75
2000-06-01,57.1875
2000-06-02,57.375
2000-06-05,56.125
2000-06-06,56.5
2000-06-07,58.75
2000-06-08,55.6875
2000-06-09,55.1875
2000-06-12,54.625
2000-06-13,51.9375
2000-06-14,46.75
2000-06-15,44.4375
2000-06-16,50.8125
2000-06-19,48.875
2000-06-20,52.8125
2000-06-21,51.8125
2000-06-22,51.8125
2000-06-23,50.75
2000-06-26,48.5
2000-06-27,49.6875
2000-06-28,49.625
2000-06-29,57.0625
2000-06-30,56.0625
2000-07-03,57.0
2000-07-05,55.9375
2000-07-06,56.0
2000-07-07,55.0
2000-07-10,60.0
2000-07-11,57.0
2000-07-12,57.4375
2000-07-13,58.3125
2000-07-14,58.5
2000-07-17,56.125
2000-07-18,56.3125
2000-07-19,51.5
2000-07-20,53.25
2000-07-21,48.015625
2000-07-24,50.6875
2000-07-25,49.375
2000-07-26,49.1875
2000-07-27,56.25
2000-07-28,54.6875
2000-07-31,53.1875
2000-08-01,52.5625
2000-08-02,51.625
2000-08-03,52.75
2000-08-04,54.3125
2000-08-07,53.046875
2000-08-08,52.0625
2000-08-09,49.5625
2000-08-10,47.5625
2000-08-11,46.0
2000-08-14,42.3125
2000-08-15,45.25
2000-08-16,47.4375
2000-08-17,49.1875
2000-08-18,47.3125
2000-08-21,47.8125
2000-08-22,48.5
2000-08-23,48.5
2000-08-24,48.5
2000-08-25,47.5
2000-08-28,44.9375
2000-08-29,44.625
2000-08-30,44.125
2000-08-31,45.1875
2000-09-01,47.0625
2000-09-05,46.375
2000-09-06,44.078125
2000-09-07,45.9375
2000-09-08,44.375
2000-09-11,46.0
2000-09-12,49.6875
2000-09-13,48.6875
2000-09-14,49.8125
2000-09-15,48.625
2000-09-18,45.8125
2000-09-19,49.5625
2000-09-20,50.0
2000-09-21,48.0
2000-09-22,49.1875
2000-09-25,50.8125
2000-09-26,49.75
2000-09-27,49.5
2000-09-28,29.9375
2000-09-29,29.0
2000-10-02,29.875
2000-10-03,29.625
2000-10-04,31.3125
2000-10-05,30.4375
2000-10-06,29.625
2000-10-09,29.25
2000-10-10,27.9375
2000-10-11,46.625
2000-10-12,43.8125
2000-10-13,42.3125
2000-10-16,44.4375
2000-10-17,44.5
2000-10-18,45.4375
2000-10-19,48.0
2000-10-20,47.421875
2000-10-23,45.8125
2000-10-24,48.0
2000-10-25,46.125
2000-10-26,49.75
2000-10-27,50.0
2000-10-30,48.5
2000-10-31,46.4375
2000-11-01,47.6875
2000-11-02,49.0
2000-11-03,48.9375
2000-11-06,49.625
2000-11-07,50.25
2000-11-08,49.125
2000-11-09,49.375
2000-11-10,47.875
2000-11-13,44.8125
2000-11-14,46.5
2000-11-15,43.75
2000-11-16,43.375
2000-11-17,45.6875
2000-11-20,43.875
2000-11-21,40.625
2000-11-22,45.0625
2000-11-24,45.75
2000-11-27,44.9375
2000-11-28,42.375
2000-11-29,42.0
2000-11-30,45.4375
2000-12-01,44.25
2000-12-04,43.75
2000-12-05,49.9375
2000-12-06,48.875
2000-12-07,45.9375
2000-12-08,48.3125
2000-12-11,48.5625
2000-12-12,48.1875
2000-12-13,47.0625
2000-12-14,46.625
2000-12-15,47.4375
2000-12-18,46.25
2000-12-19,47.4375
2000-12-20,43.0
2000-12-21,43.4375
2000-12-22,48.0625
2000-12-26,47.0
2000-12-27,46.9375
2000-12-28,46.9375
2000-12-29,46.9375
2001-01-02,44.75
2001-01-03,45.0
