,DGE
2005-03-29,389.25
2005-03-30,394.8500061035156
2005-03-31,393.45001220703125
2005-04-01,389.989990234375
2005-04-04,389.2200012207031
2005-04-05,396.57000732421875
2005-04-06,394.1400146484375
2005-04-07,396.9800109863281
2005-04-08,395.239990234375
2005-04-11,397.7200012207031
2005-04-12,396.7799987792969
2005-04-13,403.04998779296875
2005-04-14,404.82000732421875
2005-04-15,407.9599914550781
2005-04-18,405.1000061035156
2005-04-19,405.55999755859375
2005-04-20,400.5199890136719
2005-04-21,405.3500061035156
2005-04-22,403.94000244140625
2005-04-25,404.1700134277344
2005-04-26,402.1499938964844
2005-04-27,404.5199890136719
2005-04-28,405.760009765625
2005-04-29,410.8999938964844
2005-05-02,412.6499938964844
2005-05-03,415.79998779296875
2005-05-04,419.30999755859375
2005-05-05,417.57000732421875
2005-05-06,415.2300109863281
2005-05-09,416.6700134277344
2005-05-10,414.45001220703125
2005-05-11,415.2300109863281
2005-05-12,414.3999938964844
2005-05-13,412.4100036621094
2005-05-16,416.0400085449219
2005-05-17,415.9100036621094
2005-05-18,416.67999267578125
2005-05-19,414.82000732421875
2005-05-20,414.0299987792969
2005-05-23,414.7099914550781
2005-05-24,416.30999755859375
2005-05-25,415.19000244140625
2005-05-26,416.57000732421875
2005-05-27,416.0899963378906
2005-05-31,413.7300109863281
2005-06-01,415.6199951171875
2005-06-02,415.489990234375
2005-06-03,411.30999755859375
2005-06-06,412.0199890136719
2005-06-07,413.44000244140625
2005-06-08,410.6499938964844
2005-06-09,411.80999755859375
2005-06-10,410.5199890136719
2005-06-13,412.44000244140625
2005-06-14,413.6400146484375
2005-06-15,412.6300048828125
2005-06-16,412.510009765625
2005-06-17,415.7300109863281
2005-06-20,417.0400085449219
2005-06-21,417.7900085449219
2005-06-22,417.1700134277344
2005-06-23,414.8500061035156
2005-06-24,412.2099914550781
2005-06-27,408.70001220703125
2005-06-28,413.29998779296875
2005-06-29,412.8900146484375
2005-06-30,410.67999267578125
2005-07-01,409.79998779296875
2005-07-05,411.1199951171875
2005-07-06,408.8299865722656
2005-07-07,409.7900085449219
2005-07-08,416.8699951171875
2005-07-11,418.510009765625
2005-07-12,421.5899963378906
2005-07-13,420.29998779296875
2005-07-14,424.19000244140625
2005-07-15,424.29998779296875
2005-07-18,422.2200012207031
2005-07-19,421.4800109863281
2005-07-20,428.5899963378906
2005-07-21,426.5899963378906
2005-07-22,424.07000732421875
2005-07-25,425.5899963378906
2005-07-26,426.3399963378906
2005-07-27,430.7200012207031
2005-07-28,433.79998779296875
2005-07-29,432.2699890136719
2005-08-01,434.739990234375
2005-08-02,436.6099853515625
2005-08-03,437.6300048828125
2005-08-04,435.1700134277344
2005-08-05,433.04998779296875
2005-08-08,430.5
2005-08-09,439.1199951171875
2005-08-10,436.55999755859375
2005-08-11,442.1300048828125
2005-08-12,441.17999267578125
2005-08-15,441.8699951171875
2005-08-16,440.4700012207031
2005-08-17,441.7699890136719
2005-08-18,440.760009765625
2005-08-19,437.7200012207031
2005-08-22,439.0299987792969
2005-08-23,437.0799865722656
2005-08-24,435.510009765625
2005-08-25,438.2900085449219
2005-08-26,435.3800048828125
2005-08-29,439.55999755859375
2005-08-30,439.989990234375
2005-08-31,442.2300109863281
2005-09-01,443.2300109863281
2005-09-02,444.95001220703125
2005-09-06,450.2099914550781
2005-09-07,452.5899963378906
2005-09-08,452.04998779296875
2005-09-09,455.8999938964844
2005-09-12,453.92999267578125
2005-09-13,449.8599853515625
2005-09-14,448.2200012207031
2005-09-15,446.6400146484375
2005-09-16,448.1099853515625
2005-09-19,445.0799865722656
2005-09-20,441.7200012207031
2005-09-21,439.3900146484375
2005-09-22,440.57000732421875
2005-09-23,439.8299865722656
2005-09-26,439.1199951171875
2005-09-27,436.9100036621094
2005-09-28,437.75
2005-09-29,436.2200012207031
2005-09-30,437.92999267578125
2005-10-03,437.3500061035156
2005-10-04,441.4599914550781
2005-10-05,435.1099853515625
2005-10-06,433.9100036621094
2005-10-07,431.45001220703125
2005-10-10,430.82000732421875
2005-10-11,427.2200012207031
2005-10-12,428.9100036621094
2005-10-13,430.6700134277344
2005-10-14,432.7799987792969
2005-10-17,430.20001220703125
2005-10-18,428.9200134277344
2005-10-19,435.0799865722656
2005-10-20,426.07000732421875
2005-10-21,422.1199951171875
2005-10-24,427.95001220703125
2005-10-25,425.9800109863281
2005-10-26,424.1099853515625
2005-10-27,419.92999267578125
2005-10-28,423.6300048828125
2005-10-31,426.2900085449219
2005-11-01,424.4800109863281
2005-11-02,425.7799987792969
2005-11-03,430.19000244140625
2005-11-04,431.94000244140625
2005-11-07,432.6300048828125
2005-11-08,431.7900085449219
2005-11-09,433.29998779296875
2005-11-10,433.7900085449219
2005-11-11,433.8500061035156
2005-11-14,429.6700134277344
2005-11-15,429.6099853515625
2005-11-16,427.44000244140625
2005-11-17,430.6199951171875
2005-11-18,431.9599914550781
2005-11-21,431.4200134277344
2005-11-22,431.3599853515625
2005-11-23,432.82000732421875
2005-11-25,431.8999938964844
2005-11-28,428.6400146484375
2005-11-29,425.989990234375
2005-11-30,424.4599914550781
2005-12-01,426.9100036621094
2005-12-02,431.0299987792969
2005-12-05,430.3500061035156
2005-12-06,429.8599853515625
2005-12-07,430.0
2005-12-08,431.1099853515625
2005-12-09,432.2099914550781
2005-12-12,433.55999755859375
2005-12-13,438.95001220703125
2005-12-14,441.3399963378906
2005-12-15,442.239990234375
2005-12-16,444.79998779296875
2005-12-19,453.92999267578125
2005-12-20,452.04998779296875
2005-12-21,452.5400085449219
2005-12-22,456.3399963378906
2005-12-23,457.7300109863281
2005-12-27,454.8900146484375
2005-12-28,454.55999755859375
2005-12-29,453.0400085449219
2005-12-30,449.30999755859375
2006-01-03,456.79998779296875
2006-01-04,460.04998779296875
2006-01-05,459.42999267578125
2006-01-06,462.80999755859375
2006-01-09,466.4100036621094
2006-01-10,462.7699890136719
2006-01-11,462.5899963378906
2006-01-12,463.010009765625
2006-01-13,463.0799865722656
2006-01-17,458.8399963378906
2006-01-18,456.45001220703125
2006-01-19,459.9100036621094
2006-01-20,454.17999267578125
2006-01-23,454.260009765625
2006-01-24,449.0799865722656
2006-01-25,450.0199890136719
2006-01-26,452.8800048828125
2006-01-27,458.1700134277344
2006-01-30,457.6099853515625
2006-01-31,457.260009765625
2006-02-01,460.1199951171875
2006-02-02,454.8800048828125
2006-02-03,453.8399963378906
2006-02-06,450.510009765625
2006-02-07,448.1700134277344
2006-02-08,452.8599853515625
2006-02-09,452.45001220703125
2006-02-10,451.1199951171875
2006-02-13,452.20001220703125
2006-02-14,454.69000244140625
2006-02-15,457.489990234375
2006-02-16,459.9800109863281
2006-02-17,459.80999755859375
2006-02-21,456.5899963378906
2006-02-22,460.2200012207031
2006-02-23,458.79998779296875
2006-02-24,459.04998779296875
2006-02-27,463.7699890136719
2006-02-28,452.2699890136719
2006-03-01,454.67999267578125
2006-03-02,454.4200134277344
2006-03-03,454.20001220703125
2006-03-06,452.80999755859375
2006-03-07,451.739990234375
2006-03-08,456.6300048828125
2006-03-09,454.739990234375
2006-03-10,457.82000732421875
2006-03-13,462.0799865722656
2006-03-14,463.760009765625
2006-03-15,463.4100036621094
2006-03-16,465.4599914550781
2006-03-17,466.3699951171875
2006-03-20,467.1600036621094
2006-03-21,462.54998779296875
2006-03-22,471.1199951171875
2006-03-23,465.92999267578125
2006-03-24,467.2300109863281
2006-03-27,463.3999938964844
2006-03-28,459.69000244140625
2006-03-29,460.8399963378906
2006-03-30,460.9800109863281
2006-03-31,458.6199951171875
2006-04-03,459.8699951171875
2006-04-04,460.54998779296875
2006-04-05,460.32000732421875
2006-04-06,457.8800048828125
2006-04-07,451.489990234375
2006-04-10,450.92999267578125
2006-04-11,446.9599914550781
2006-04-12,447.55999755859375
2006-04-13,448.2799987792969
2006-04-17,446.8399963378906
2006-04-18,453.44000244140625
2006-04-19,452.3399963378906
2006-04-20,455.7300109863281
2006-04-21,454.92999267578125
2006-04-24,452.0299987792969
2006-04-25,449.5899963378906
2006-04-26,451.20001220703125
2006-04-27,456.5299987792969
2006-04-28,458.6099853515625
2006-05-01,457.2200012207031
2006-05-02,459.9800109863281
2006-05-03,458.2200012207031
2006-05-04,460.95001220703125
2006-05-05,463.9700012207031
2006-05-08,462.2699890136719
2006-05-09,461.9800109863281
2006-05-10,455.3900146484375
2006-05-11,453.6700134277344
2006-05-12,451.80999755859375
2006-05-15,457.3900146484375
2006-05-16,461.2900085449219
2006-05-17,452.2799987792969
2006-05-18,450.30999755859375
2006-05-19,448.3900146484375
2006-05-22,445.989990234375
2006-05-23,445.1400146484375
2006-05-24,444.6400146484375
2006-05-25,449.9100036621094
2006-05-26,452.4599914550781
2006-05-30,444.3399963378906
2006-05-31,445.8299865722656
2006-06-01,451.510009765625
2006-06-02,451.1400146484375
2006-06-05,445.7900085449219
2006-06-06,444.75
2006-06-07,446.6400146484375
2006-06-08,445.7699890136719
2006-06-09,443.260009765625
2006-06-12,439.010009765625
2006-06-13,437.7799987792969
2006-06-14,441.69000244140625
2006-06-15,448.2900085449219
2006-06-16,445.9100036621094
2006-06-19,443.7900085449219
2006-06-20,444.5
2006-06-21,443.6600036621094
2006-06-22,440.92999267578125
2006-06-23,441.04998779296875
2006-06-26,442.1099853515625
2006-06-27,435.6600036621094
2006-06-28,437.55999755859375
2006-06-29,446.5799865722656
2006-06-30,451.6000061035156
2006-07-03,453.4700012207031
2006-07-05,451.5899963378906
2006-07-06,454.94000244140625
2006-07-07,455.989990234375
2006-07-10,456.0199890136719
2006-07-11,456.07000732421875
2006-07-12,451.0799865722656
2006-07-13,445.6199951171875
2006-07-14,447.239990234375
2006-07-17,446.8599853515625
2006-07-18,446.82000732421875
2006-07-19,456.1600036621094
2006-07-20,456.2799987792969
2006-07-21,457.79998779296875
2006-07-24,470.25
2006-07-25,472.1300048828125
2006-07-26,476.4700012207031
2006-07-27,472.2900085449219
2006-07-28,477.1700134277344
2006-07-31,474.6000061035156
2006-08-01,475.2699890136719
2006-08-02,474.9700012207031
2006-08-03,475.6400146484375
2006-08-04,473.5299987792969
2006-08-07,470.04998779296875
2006-08-08,469.9700012207031
2006-08-09,469.010009765625
2006-08-10,468.5400085449219
2006-08-11,463.6199951171875
2006-08-14,464.510009765625
2006-08-15,469.42999267578125
2006-08-16,472.3999938964844
2006-08-17,471.510009765625
2006-08-18,471.510009765625
2006-08-21,469.260009765625
2006-08-22,470.8699951171875
2006-08-23,471.8599853515625
2006-08-24,473.0400085449219
2006-08-25,474.239990234375
2006-08-28,477.1099853515625
2006-08-29,479.5
2006-08-30,479.95001220703125
2006-08-31,479.75
2006-09-01,483.4200134277344
2006-09-05,481.20001220703125
2006-09-06,474.7900085449219
2006-09-07,471.4800109863281
2006-09-08,474.9100036621094
2006-09-11,476.4200134277344
2006-09-12,484.1400146484375
2006-09-13,484.4100036621094
2006-09-14,483.6199951171875
2006-09-15,483.2799987792969
2006-09-18,483.7699890136719
2006-09-19,482.6600036621094
2006-09-20,485.2699890136719
2006-09-21,483.7099914550781
2006-09-22,483.45001220703125
2006-09-25,486.9100036621094
2006-09-26,486.95001220703125
2006-09-27,487.1199951171875
2006-09-28,487.92999267578125
2006-09-29,488.8500061035156
2006-10-02,486.8599853515625
2006-10-03,488.7699890136719
2006-10-04,491.3699951171875
2006-10-05,490.7699890136719
2006-10-06,490.1300048828125
2006-10-09,490.239990234375
2006-10-10,488.5
2006-10-11,488.3900146484375
2006-10-12,492.29998779296875
2006-10-13,491.8299865722656
2006-10-16,494.0199890136719
2006-10-17,495.7099914550781
2006-10-18,498.32000732421875
2006-10-19,496.75
2006-10-20,499.70001220703125
2006-10-23,497.3599853515625
2006-10-24,497.4100036621094
2006-10-25,497.8800048828125
2006-10-26,494.3399963378906
2006-10-27,489.45001220703125
2006-10-30,488.0899963378906
2006-10-31,485.6199951171875
2006-11-01,483.3699951171875
2006-11-02,484.95001220703125
2006-11-03,482.2699890136719
2006-11-06,487.42999267578125
2006-11-07,489.489990234375
2006-11-08,482.45001220703125
2006-11-09,471.6400146484375
2006-11-10,470.7200012207031
2006-11-13,470.760009765625
2006-11-14,472.94000244140625
2006-11-15,474.0400085449219
2006-11-16,476.239990234375
2006-11-17,478.17999267578125
2006-11-20,478.260009765625
2006-11-21,476.92999267578125
2006-11-22,478.2200012207031
2006-11-24,476.0
2006-11-27,473.2300109863281
2006-11-28,473.6400146484375
2006-11-29,479.2699890136719
2006-11-30,478.1400146484375
2006-12-01,477.9800109863281
2006-12-04,478.6499938964844
2006-12-05,481.7799987792969
2006-12-06,481.4800109863281
2006-12-07,480.2799987792969
2006-12-08,480.8699951171875
2006-12-11,480.7300109863281
2006-12-12,481.6499938964844
2006-12-13,481.57000732421875
2006-12-14,483.5
2006-12-15,483.6499938964844
2006-12-18,481.44000244140625
2006-12-19,481.1199951171875
2006-12-20,480.1499938964844
2006-12-21,478.510009765625
2006-12-22,476.70001220703125
2006-12-26,477.8999938964844
2006-12-27,480.80999755859375
2006-12-28,481.010009765625
2006-12-29,479.0799865722656
2007-01-03,481.6099853515625
2007-01-04,488.010009765625
2007-01-05,485.5
2007-01-08,483.5799865722656
2007-01-09,484.80999755859375
2007-01-10,484.6300048828125
2007-01-11,488.92999267578125
2007-01-12,493.489990234375
2007-01-16,495.5
2007-01-17,498.7099914550781
2007-01-18,503.6700134277344
2007-01-19,504.80999755859375
2007-01-22,503.0299987792969
