,ESEA
2007-05-22,944.7999877929688
2007-05-23,944.0
2007-05-24,920.7999877929688
2007-05-25,904.0
2007-05-29,883.2000122070312
2007-05-30,1018.4000244140625
2007-05-31,1068.0
2007-06-01,1238.4000244140625
2007-06-04,1248.0
2007-06-05,1248.800048828125
2007-06-06,1160.0
2007-06-07,1069.5999755859375
2007-06-08,1152.800048828125
2007-06-11,1187.199951171875
2007-06-12,1135.199951171875
2007-06-13,1162.4000244140625
2007-06-14,1192.0
2007-06-15,1260.0
2007-06-18,1244.800048828125
2007-06-19,1204.800048828125
2007-06-20,1184.0
2007-06-21,1195.199951171875
2007-06-22,1190.4000244140625
2007-06-25,1159.199951171875
2007-06-26,1182.4000244140625
2007-06-27,1158.4000244140625
2007-06-28,1102.4000244140625
2007-06-29,1140.800048828125
2007-07-02,1165.5999755859375
2007-07-03,1160.0
2007-07-05,1187.199951171875
2007-07-06,1166.4000244140625
2007-07-09,1156.0
2007-07-10,1117.5999755859375
2007-07-11,1161.5999755859375
2007-07-12,1184.0
2007-07-13,1175.199951171875
2007-07-16,1146.4000244140625
2007-07-17,1244.800048828125
2007-07-18,1255.199951171875
2007-07-19,1352.800048828125
2007-07-20,1352.0
2007-07-23,1308.0
2007-07-24,1245.5999755859375
2007-07-25,1211.199951171875
2007-07-26,1152.0
2007-07-27,1194.4000244140625
2007-07-30,1194.4000244140625
2007-07-31,1180.800048828125
2007-08-01,1223.199951171875
2007-08-02,1216.800048828125
2007-08-03,1128.800048828125
2007-08-06,1045.5999755859375
2007-08-07,1050.4000244140625
2007-08-08,1014.4000244140625
2007-08-09,944.0
2007-08-10,960.0
2007-08-13,1040.800048828125
2007-08-14,1044.0
2007-08-15,1032.800048828125
2007-08-16,1010.4000244140625
2007-08-17,1024.0
2007-08-20,1057.5999755859375
2007-08-21,1068.800048828125
2007-08-22,1154.4000244140625
2007-08-23,1092.0
2007-08-24,1125.5999755859375
2007-08-27,1137.5999755859375
2007-08-28,1083.199951171875
2007-08-29,1128.800048828125
2007-08-30,1146.4000244140625
2007-08-31,1158.4000244140625
2007-09-04,1144.0
2007-09-05,1148.0
2007-09-06,1188.800048828125
2007-09-07,1161.5999755859375
2007-09-10,1134.4000244140625
2007-09-11,1116.800048828125
2007-09-12,1068.800048828125
2007-09-13,1068.0
2007-09-14,1052.0
2007-09-17,1058.4000244140625
2007-09-18,1111.199951171875
2007-09-19,1128.0
2007-09-20,1140.800048828125
2007-09-21,1184.0
2007-09-24,1176.0
2007-09-25,1195.199951171875
2007-09-26,1196.800048828125
2007-09-27,1180.0
2007-09-28,1162.4000244140625
2007-10-01,1196.800048828125
2007-10-02,1259.199951171875
2007-10-03,1248.800048828125
2007-10-04,1240.0
2007-10-05,1258.4000244140625
2007-10-08,1333.5999755859375
2007-10-09,1407.199951171875
2007-10-10,1522.4000244140625
2007-10-11,1426.4000244140625
2007-10-12,1505.5999755859375
2007-10-15,1600.800048828125
2007-10-16,1620.0
2007-10-17,1600.800048828125
2007-10-18,1663.199951171875
2007-10-19,1565.5999755859375
2007-10-22,1553.5999755859375
2007-10-23,1604.800048828125
2007-10-24,1581.5999755859375
2007-10-25,1560.800048828125
2007-10-26,1546.4000244140625
2007-10-29,1591.199951171875
2007-10-30,1465.5999755859375
2007-10-31,1544.800048828125
2007-11-01,1498.4000244140625
2007-11-02,1511.199951171875
2007-11-05,1444.800048828125
2007-11-06,1451.199951171875
2007-11-07,1340.0
2007-11-08,1316.0
2007-11-09,1249.5999755859375
2007-11-12,1173.5999755859375
2007-11-13,1224.0
2007-11-14,1193.5999755859375
2007-11-15,1176.0
2007-11-16,1140.800048828125
2007-11-19,1101.5999755859375
2007-11-20,1088.0
2007-11-21,1080.800048828125
2007-11-23,1092.800048828125
2007-11-26,1080.800048828125
2007-11-27,1064.0
2007-11-28,1116.0
2007-11-29,1169.5999755859375
2007-11-30,1220.0
2007-12-03,1170.4000244140625
2007-12-04,1148.0
2007-12-05,1136.0
2007-12-06,1072.0
2007-12-07,1036.0
2007-12-10,1004.7999877929688
2007-12-11,1062.4000244140625
2007-12-12,1050.4000244140625
2007-12-13,1024.800048828125
2007-12-14,1012.7999877929688
2007-12-17,940.0
2007-12-18,949.5999755859375
2007-12-19,948.0
2007-12-20,940.0
2007-12-21,1003.2000122070312
2007-12-24,972.7999877929688
2007-12-26,976.0
2007-12-27,974.4000244140625
2007-12-28,1015.2000122070312
2007-12-31,992.0
2008-01-02,988.7999877929688
2008-01-03,989.5999755859375
2008-01-04,961.5999755859375
2008-01-07,919.2000122070312
2008-01-08,927.2000122070312
2008-01-09,872.0
2008-01-10,868.7999877929688
2008-01-11,868.7999877929688
2008-01-14,842.4000244140625
2008-01-15,788.0
2008-01-16,791.2000122070312
2008-01-17,780.7999877929688
2008-01-18,811.2000122070312
2008-01-22,768.0
2008-01-23,777.5999755859375
2008-01-24,798.4000244140625
2008-01-25,816.0
2008-01-28,853.5999755859375
2008-01-29,922.4000244140625
2008-01-30,932.7999877929688
2008-01-31,961.5999755859375
2008-02-01,972.7999877929688
2008-02-04,952.0
2008-02-05,921.5999755859375
2008-02-06,916.0
2008-02-07,880.0
2008-02-08,878.4000244140625
2008-02-11,940.0
2008-02-12,969.5999755859375
2008-02-13,1051.199951171875
2008-02-14,1060.800048828125
2008-02-15,1046.4000244140625
2008-02-19,1081.5999755859375
2008-02-20,1074.4000244140625
2008-02-21,1052.800048828125
2008-02-22,1062.4000244140625
2008-02-25,1079.199951171875
2008-02-26,1055.199951171875
2008-02-27,1048.0
2008-02-28,1038.4000244140625
2008-02-29,1121.5999755859375
2008-03-03,1126.4000244140625
2008-03-04,1096.800048828125
2008-03-05,1104.800048828125
2008-03-06,1060.800048828125
2008-03-07,1024.0
2008-03-10,948.0
2008-03-11,990.4000244140625
2008-03-12,974.4000244140625
2008-03-13,959.2000122070312
2008-03-14,943.2000122070312
2008-03-17,889.5999755859375
2008-03-18,959.2000122070312
2008-03-19,898.4000244140625
2008-03-20,907.2000122070312
2008-03-24,943.2000122070312
2008-03-25,962.4000244140625
2008-03-26,979.2000122070312
2008-03-27,964.0
2008-03-28,945.5999755859375
2008-03-31,960.0
2008-04-01,985.5999755859375
2008-04-02,1016.7999877929688
2008-04-03,1040.800048828125
2008-04-04,1074.4000244140625
2008-04-07,1103.199951171875
2008-04-08,1096.800048828125
2008-04-09,1088.0
2008-04-10,1089.5999755859375
2008-04-11,1090.4000244140625
2008-04-14,1073.5999755859375
2008-04-15,1084.800048828125
2008-04-16,1095.199951171875
2008-04-17,1178.4000244140625
2008-04-18,1183.199951171875
2008-04-21,1180.0
2008-04-22,1208.800048828125
2008-04-23,1228.800048828125
2008-04-24,1138.4000244140625
2008-04-25,1138.4000244140625
2008-04-28,1134.4000244140625
2008-04-29,1116.0
2008-04-30,1102.4000244140625
2008-05-01,1106.4000244140625
2008-05-02,1120.0
2008-05-05,1158.4000244140625
2008-05-06,1178.4000244140625
2008-05-07,1151.199951171875
2008-05-08,1157.5999755859375
2008-05-09,1166.4000244140625
2008-05-12,1145.5999755859375
2008-05-13,1148.800048828125
2008-05-14,1160.0
2008-05-15,1240.0
2008-05-16,1344.0
2008-05-19,1336.800048828125
2008-05-20,1310.4000244140625
2008-05-21,1320.800048828125
2008-05-22,1264.800048828125
2008-05-23,1256.800048828125
2008-05-27,1266.4000244140625
2008-05-28,1308.0
2008-05-29,1273.5999755859375
2008-05-30,1249.5999755859375
2008-06-02,1252.800048828125
2008-06-03,1256.0
2008-06-04,1236.0
2008-06-05,1233.5999755859375
2008-06-06,1208.0
2008-06-09,1195.199951171875
2008-06-10,1155.199951171875
2008-06-11,1055.199951171875
2008-06-12,1032.0
2008-06-13,1054.4000244140625
2008-06-16,1053.5999755859375
2008-06-17,1083.199951171875
2008-06-18,1066.4000244140625
2008-06-19,1081.5999755859375
2008-06-20,1040.0
2008-06-23,1036.800048828125
2008-06-24,1035.199951171875
2008-06-25,1071.199951171875
2008-06-26,1041.5999755859375
2008-06-27,1052.0
2008-06-30,1037.5999755859375
2008-07-01,1000.7999877929688
2008-07-02,940.7999877929688
2008-07-03,916.0
2008-07-07,941.5999755859375
2008-07-08,969.5999755859375
2008-07-09,955.2000122070312
2008-07-10,972.0
2008-07-11,978.4000244140625
2008-07-14,938.4000244140625
2008-07-15,916.7999877929688
2008-07-16,960.7999877929688
2008-07-17,970.4000244140625
2008-07-18,958.4000244140625
2008-07-21,964.7999877929688
2008-07-22,980.0
2008-07-23,1023.2000122070312
2008-07-24,964.7999877929688
2008-07-25,1000.0
2008-07-28,965.5999755859375
2008-07-29,1004.7999877929688
2008-07-30,980.7999877929688
2008-07-31,984.0
2008-08-01,985.5999755859375
2008-08-04,932.7999877929688
2008-08-05,937.5999755859375
2008-08-06,946.4000244140625
2008-08-07,916.0
2008-08-08,948.7999877929688
2008-08-11,940.7999877929688
2008-08-12,949.5999755859375
2008-08-13,987.2000122070312
2008-08-14,1036.0
2008-08-15,1024.0
2008-08-18,1036.0
2008-08-19,1008.0
2008-08-20,1019.2000122070312
2008-08-21,1028.800048828125
2008-08-22,1032.800048828125
2008-08-25,1039.199951171875
2008-08-26,1051.199951171875
2008-08-27,1068.800048828125
2008-08-28,1060.800048828125
2008-08-29,1072.0
2008-09-02,1056.0
2008-09-03,981.5999755859375
2008-09-04,936.0
2008-09-05,900.0
2008-09-08,880.7999877929688
2008-09-09,820.0
2008-09-10,835.2000122070312
2008-09-11,860.0
2008-09-12,885.5999755859375
2008-09-15,842.4000244140625
2008-09-16,880.0
2008-09-17,786.4000244140625
2008-09-18,783.2000122070312
2008-09-19,800.7999877929688
2008-09-22,792.0
2008-09-23,741.5999755859375
2008-09-24,744.7999877929688
2008-09-25,724.7999877929688
2008-09-26,695.2000122070312
2008-09-29,643.2000122070312
2008-09-30,637.5999755859375
2008-10-01,626.4000244140625
2008-10-02,571.2000122070312
2008-10-03,578.4000244140625
2008-10-06,538.4000244140625
2008-10-07,537.5999755859375
2008-10-08,473.6000061035156
2008-10-09,443.20001220703125
2008-10-10,450.3999938964844
2008-10-13,513.5999755859375
2008-10-14,503.20001220703125
2008-10-15,464.0
2008-10-16,440.79998779296875
2008-10-17,444.0
2008-10-20,476.79998779296875
2008-10-21,454.3999938964844
2008-10-22,402.3999938964844
2008-10-23,377.6000061035156
2008-10-24,358.3999938964844
2008-10-27,328.0
2008-10-28,312.0
2008-10-29,333.6000061035156
2008-10-30,357.6000061035156
2008-10-31,389.6000061035156
2008-11-03,422.3999938964844
2008-11-04,464.0
2008-11-05,404.79998779296875
2008-11-06,353.6000061035156
2008-11-07,407.20001220703125
2008-11-10,366.3999938964844
2008-11-11,358.3999938964844
2008-11-12,320.0
2008-11-13,396.79998779296875
2008-11-14,349.6000061035156
2008-11-17,341.6000061035156
2008-11-18,331.20001220703125
2008-11-19,291.20001220703125
2008-11-20,249.60000610351562
2008-11-21,280.79998779296875
2008-11-24,279.20001220703125
2008-11-25,293.6000061035156
2008-11-26,309.6000061035156
2008-11-28,318.3999938964844
2008-12-01,304.79998779296875
2008-12-02,305.6000061035156
2008-12-03,308.79998779296875
2008-12-04,304.0
2008-12-05,319.20001220703125
2008-12-08,361.6000061035156
2008-12-09,424.0
2008-12-10,443.20001220703125
2008-12-11,412.79998779296875
2008-12-12,400.0
2008-12-15,394.3999938964844
2008-12-16,401.6000061035156
2008-12-17,395.20001220703125
2008-12-18,388.0
2008-12-19,344.79998779296875
2008-12-22,288.0
2008-12-23,308.0
2008-12-24,320.0
2008-12-26,329.6000061035156
2008-12-29,309.6000061035156
2008-12-30,323.20001220703125
2008-12-31,344.0
2009-01-02,376.79998779296875
2009-01-05,389.6000061035156
2009-01-06,465.6000061035156
2009-01-07,412.0
2009-01-08,433.6000061035156
2009-01-09,436.79998779296875
2009-01-12,407.20001220703125
2009-01-13,402.3999938964844
2009-01-14,374.3999938964844
2009-01-15,372.79998779296875
2009-01-16,377.6000061035156
2009-01-20,340.0
2009-01-21,378.3999938964844
2009-01-22,348.0
2009-01-23,360.0
2009-01-26,367.20001220703125
2009-01-27,376.0
2009-01-28,404.79998779296875
2009-01-29,384.79998779296875
2009-01-30,362.3999938964844
2009-02-02,358.3999938964844
2009-02-03,374.3999938964844
2009-02-04,399.20001220703125
2009-02-05,412.79998779296875
2009-02-06,441.6000061035156
2009-02-09,438.3999938964844
2009-02-10,398.3999938964844
2009-02-11,382.3999938964844
2009-02-12,377.6000061035156
2009-02-13,369.6000061035156
2009-02-17,347.20001220703125
2009-02-18,355.20001220703125
2009-02-19,344.79998779296875
2009-02-20,338.3999938964844
2009-02-23,344.0
2009-02-24,388.79998779296875
2009-02-25,360.79998779296875
2009-02-26,357.6000061035156
2009-02-27,340.79998779296875
2009-03-02,308.0
2009-03-03,292.0
2009-03-04,331.20001220703125
2009-03-05,300.79998779296875
2009-03-06,280.79998779296875
2009-03-09,296.79998779296875
2009-03-10,333.6000061035156
2009-03-11,352.79998779296875
2009-03-12,372.79998779296875
2009-03-13,369.6000061035156
2009-03-16,351.20001220703125
2009-03-17,372.0
2009-03-18,375.20001220703125
2009-03-19,379.20001220703125
2009-03-20,328.0
2009-03-23,355.20001220703125
2009-03-24,330.3999938964844
2009-03-25,332.79998779296875
2009-03-26,334.3999938964844
2009-03-27,331.20001220703125
2009-03-30,294.3999938964844
2009-03-31,308.0
2009-04-01,299.20001220703125
2009-04-02,304.79998779296875
2009-04-03,308.79998779296875
2009-04-06,300.79998779296875
2009-04-07,285.6000061035156
2009-04-08,290.3999938964844
2009-04-09,328.79998779296875
2009-04-13,360.0
2009-04-14,374.3999938964844
2009-04-15,377.6000061035156
2009-04-16,373.6000061035156
2009-04-17,383.20001220703125
2009-04-20,352.79998779296875
2009-04-21,377.6000061035156
2009-04-22,388.79998779296875
2009-04-23,377.6000061035156
2009-04-24,387.20001220703125
2009-04-27,372.0
2009-04-28,368.79998779296875
2009-04-29,374.3999938964844
2009-04-30,384.0
2009-05-01,424.0
2009-05-04,457.6000061035156
2009-05-05,451.20001220703125
2009-05-06,476.0
2009-05-07,452.79998779296875
2009-05-08,464.0
2009-05-11,436.79998779296875
2009-05-12,420.0
2009-05-13,388.0
2009-05-14,400.0
2009-05-15,423.20001220703125
2009-05-18,440.79998779296875
2009-05-19,468.79998779296875
2009-05-20,484.0
2009-05-21,455.20001220703125
2009-05-22,419.20001220703125
2009-05-26,438.3999938964844
2009-05-27,444.79998779296875
2009-05-28,462.3999938964844
2009-05-29,472.0
2009-06-01,464.0
2009-06-02,475.20001220703125
2009-06-03,443.20001220703125
2009-06-04,445.6000061035156
2009-06-05,445.6000061035156
2009-06-08,428.0
2009-06-09,430.3999938964844
2009-06-10,432.0
2009-06-11,448.0
2009-06-12,451.20001220703125
2009-06-15,421.6000061035156
2009-06-16,414.3999938964844
2009-06-17,398.3999938964844
2009-06-18,414.3999938964844
2009-06-19,411.20001220703125
2009-06-22,376.79998779296875
2009-06-23,373.6000061035156
2009-06-24,376.79998779296875
2009-06-25,372.79998779296875
2009-06-26,381.6000061035156
2009-06-29,376.79998779296875
2009-06-30,382.3999938964844
2009-07-01,378.3999938964844
2009-07-02,358.3999938964844
2009-07-06,338.3999938964844
2009-07-07,358.3999938964844
2009-07-08,348.79998779296875
2009-07-09,344.0
2009-07-10,343.20001220703125
2009-07-13,340.0
2009-07-14,367.20001220703125
2009-07-15,381.6000061035156
2009-07-16,374.3999938964844
2009-07-17,364.0
2009-07-20,380.0
2009-07-21,401.6000061035156
2009-07-22,394.3999938964844
2009-07-23,400.79998779296875
2009-07-24,409.6000061035156
2009-07-27,420.0
2009-07-28,412.79998779296875
2009-07-29,406.3999938964844
2009-07-30,417.6000061035156
2009-07-31,420.79998779296875
2009-08-03,422.3999938964844
2009-08-04,424.0
2009-08-05,409.6000061035156
2009-08-06,405.6000061035156
2009-08-07,404.0
2009-08-10,407.20001220703125
2009-08-11,402.3999938964844
2009-08-12,387.20001220703125
2009-08-13,378.3999938964844
2009-08-14,374.3999938964844
2009-08-17,360.79998779296875
2009-08-18,362.3999938964844
2009-08-19,359.20001220703125
2009-08-20,367.20001220703125
2009-08-21,376.79998779296875
2009-08-24,378.3999938964844
2009-08-25,368.0
2009-08-26,356.0
2009-08-27,368.0
2009-08-28,361.6000061035156
2009-08-31,355.20001220703125
2009-09-01,344.0
2009-09-02,343.20001220703125
2009-09-03,344.79998779296875
2009-09-04,352.0
2009-09-08,352.79998779296875
2009-09-09,360.79998779296875
2009-09-10,367.20001220703125
2009-09-11,384.79998779296875
2009-09-14,388.0
2009-09-15,380.79998779296875
2009-09-16,390.3999938964844
2009-09-17,397.6000061035156
2009-09-18,397.6000061035156
2009-09-21,388.0
2009-09-22,380.79998779296875
2009-09-23,374.3999938964844
2009-09-24,357.6000061035156
2009-09-25,345.6000061035156
2009-09-28,345.6000061035156
2009-09-29,340.0
2009-09-30,344.0
2009-10-01,332.0
2009-10-02,325.6000061035156
2009-10-05,333.6000061035156
2009-10-06,337.6000061035156
2009-10-07,349.6000061035156
2009-10-08,355.20001220703125
2009-10-09,349.6000061035156
2009-10-12,345.6000061035156
2009-10-13,341.6000061035156
2009-10-14,350.3999938964844
2009-10-15,349.6000061035156
2009-10-16,336.0
2009-10-19,336.79998779296875
2009-10-20,344.0
2009-10-21,340.0
2009-10-22,340.79998779296875
2009-10-23,336.0
2009-10-26,332.0
2009-10-27,323.20001220703125
2009-10-28,312.79998779296875
2009-10-29,323.20001220703125
2009-10-30,313.6000061035156
2009-11-02,305.6000061035156
2009-11-03,310.3999938964844
2009-11-04,319.20001220703125
2009-11-05,327.20001220703125
2009-11-06,320.79998779296875
2009-11-09,321.6000061035156
2009-11-10,321.6000061035156
2009-11-11,345.6000061035156
2009-11-12,336.0
2009-11-13,344.0
2009-11-16,360.79998779296875
2009-11-17,357.6000061035156
2009-11-18,401.6000061035156
2009-11-19,371.20001220703125
2009-11-20,368.79998779296875
2009-11-23,377.6000061035156
2009-11-24,368.79998779296875
2009-11-25,360.0
2009-11-27,355.20001220703125
2009-11-30,345.6000061035156
2009-12-01,347.20001220703125
2009-12-02,338.3999938964844
2009-12-03,340.79998779296875
2009-12-04,344.0
2009-12-07,343.20001220703125
2009-12-08,338.3999938964844
2009-12-09,336.79998779296875
2009-12-10,335.20001220703125
2009-12-11,335.20001220703125
2009-12-14,330.3999938964844
2009-12-15,332.79998779296875
2009-12-16,325.6000061035156
2009-12-17,319.20001220703125
2009-12-18,315.20001220703125
2009-12-21,322.3999938964844
2009-12-22,324.0
2009-12-23,328.0
2009-12-24,324.79998779296875
2009-12-28,316.79998779296875
2009-12-29,313.6000061035156
2009-12-30,312.0
2009-12-31,312.79998779296875
2010-01-04,327.20001220703125
2010-01-05,336.79998779296875
2010-01-06,328.0
2010-01-07,324.79998779296875
2010-01-08,345.6000061035156
2010-01-11,349.6000061035156
2010-01-12,360.0
2010-01-13,355.20001220703125
2010-01-14,355.20001220703125
2010-01-15,344.79998779296875
2010-01-19,348.79998779296875
2010-01-20,342.3999938964844
2010-01-21,339.20001220703125
2010-01-22,337.6000061035156
2010-01-25,346.3999938964844
2010-01-26,347.20001220703125
2010-01-27,346.3999938964844
2010-01-28,344.79998779296875
2010-01-29,329.6000061035156
2010-02-01,328.0
2010-02-02,333.6000061035156
2010-02-03,328.0
2010-02-04,320.0
2010-02-05,309.6000061035156
2010-02-08,306.3999938964844
2010-02-09,307.20001220703125
2010-02-10,302.3999938964844
2010-02-11,311.20001220703125
2010-02-12,314.3999938964844
2010-02-16,328.0
2010-02-17,323.20001220703125
2010-02-18,323.20001220703125
2010-02-19,322.3999938964844
2010-02-22,321.6000061035156
2010-02-23,311.20001220703125
2010-02-24,312.0
2010-02-25,323.20001220703125
2010-02-26,313.6000061035156
2010-03-01,321.6000061035156
2010-03-02,317.6000061035156
2010-03-03,316.0
2010-03-04,316.79998779296875
2010-03-05,316.0
2010-03-08,320.0
2010-03-09,316.79998779296875
2010-03-10,324.0
2010-03-11,322.3999938964844
2010-03-12,323.20001220703125
2010-03-15,320.0
2010-03-16,320.79998779296875
2010-03-17,316.0
2010-03-18,316.0
2010-03-19,321.6000061035156
2010-03-22,312.79998779296875
2010-03-23,308.79998779296875
2010-03-24,307.20001220703125
2010-03-25,300.0
2010-03-26,300.0
2010-03-29,300.79998779296875
2010-03-30,304.79998779296875
2010-03-31,307.20001220703125
2010-04-01,304.0
2010-04-05,310.3999938964844
2010-04-06,316.0
2010-04-07,315.20001220703125
2010-04-08,311.20001220703125
2010-04-09,316.0
2010-04-12,317.6000061035156
2010-04-13,317.6000061035156
2010-04-14,320.0
2010-04-15,321.6000061035156
2010-04-16,317.6000061035156
2010-04-19,320.79998779296875
2010-04-20,320.79998779296875
2010-04-21,322.3999938964844
2010-04-22,320.79998779296875
2010-04-23,329.6000061035156
2010-04-26,333.6000061035156
2010-04-27,324.0
2010-04-28,330.3999938964844
2010-04-29,324.0
2010-04-30,322.3999938964844
2010-05-03,317.6000061035156
2010-05-04,310.3999938964844
2010-05-05,300.79998779296875
2010-05-06,288.79998779296875
2010-05-07,289.6000061035156
2010-05-10,303.20001220703125
2010-05-11,300.79998779296875
2010-05-12,312.0
2010-05-13,308.79998779296875
2010-05-14,297.6000061035156
2010-05-17,304.0
2010-05-18,308.0
2010-05-19,294.3999938964844
2010-05-20,286.3999938964844
2010-05-21,291.20001220703125
2010-05-24,272.79998779296875
2010-05-25,280.79998779296875
2010-05-26,282.3999938964844
2010-05-27,294.3999938964844
2010-05-28,301.6000061035156
2010-06-01,283.20001220703125
