,EQRR
2018-01-05,47.970001220703125
2018-01-08,48.34199905395508
2018-01-09,48.77000045776367
2018-01-10,48.784000396728516
2018-01-11,49.45000076293945
2018-01-12,49.900001525878906
2018-01-16,49.38600158691406
2018-01-17,49.23400115966797
2018-01-18,49.23400115966797
2018-01-19,49.88399887084961
2018-01-22,50.099998474121094
2018-01-23,50.47999954223633
2018-01-24,50.400001525878906
2018-01-25,50.400001525878906
2018-01-26,50.5099983215332
2018-01-29,50.349998474121094
2018-01-30,49.45000076293945
2018-01-31,49.45000076293945
2018-02-01,49.459999084472656
2018-02-02,48.37099838256836
2018-02-05,46.487998962402344
2018-02-06,46.11000061035156
2018-02-07,46.83399963378906
2018-02-08,45.75
2018-02-09,45.597999572753906
2018-02-12,46.09000015258789
2018-02-13,46.165000915527344
2018-02-14,47.064998626708984
2018-02-15,47.33000183105469
2018-02-16,47.367000579833984
2018-02-20,47.20000076293945
2018-02-21,47.0
2018-02-22,47.0
2018-02-23,47.14699935913086
2018-02-26,47.14699935913086
2018-02-27,47.57099914550781
2018-02-28,46.880001068115234
2018-03-01,46.34000015258789
2018-03-02,46.25
2018-03-05,46.88999938964844
2018-03-06,47.59000015258789
2018-03-07,47.56999969482422
2018-03-08,47.400001525878906
2018-03-09,48.56999969482422
2018-03-12,48.64899826049805
2018-03-13,48.64899826049805
2018-03-14,47.869998931884766
2018-03-15,47.85300064086914
2018-03-16,47.85300064086914
2018-03-19,47.439998626708984
2018-03-20,47.72999954223633
2018-03-21,48.43199920654297
2018-03-22,46.7400016784668
2018-03-23,45.48400115966797
2018-03-26,46.87200164794922
2018-03-27,45.689998626708984
2018-03-28,45.479000091552734
2018-03-29,46.459999084472656
2018-04-02,44.91999816894531
2018-04-03,45.70500183105469
2018-04-04,45.20000076293945
2018-04-05,46.84600067138672
2018-04-06,45.4379997253418
2018-04-09,46.0989990234375
2018-04-10,46.0989990234375
2018-04-11,46.0989990234375
2018-04-12,46.0989990234375
2018-04-13,47.39400100708008
2018-04-16,47.63999938964844
2018-04-17,48.01599884033203
2018-04-18,48.52000045776367
2018-04-19,48.189998626708984
2018-04-20,48.25
2018-04-23,48.60499954223633
2018-04-24,47.77000045776367
2018-04-25,47.95000076293945
2018-04-26,47.970001220703125
2018-04-27,47.970001220703125
2018-04-30,48.15999984741211
2018-05-01,47.650001525878906
2018-05-02,47.880001068115234
2018-05-03,47.86000061035156
2018-05-04,48.56999969482422
2018-05-07,48.599998474121094
2018-05-08,48.849998474121094
2018-05-09,49.448001861572266
2018-05-10,50.08000183105469
2018-05-11,50.099998474121094
2018-05-14,50.310001373291016
2018-05-15,50.18000030517578
2018-05-16,50.630001068115234
2018-05-17,51.04999923706055
2018-05-18,50.93000030517578
2018-05-21,51.119998931884766
2018-05-22,50.95000076293945
2018-05-23,50.689998626708984
2018-05-24,50.720001220703125
2018-05-25,49.89799880981445
2018-05-29,49.15999984741211
2018-05-30,50.1619987487793
2018-05-31,49.720001220703125
2018-06-01,50.2400016784668
