,BBY
1985-12-27,0.3379630148410797
1985-12-30,0.34567898511886597
1985-12-31,0.3580250144004822
1986-01-02,0.36111098527908325
1986-01-03,0.3703700006008148
1986-01-06,0.3981480002403259
1986-01-07,0.3966050148010254
1986-01-08,0.38888901472091675
1986-01-09,0.375
1986-01-10,0.37345701456069946
1986-01-13,0.3703700006008148
1986-01-14,0.3657410144805908
1986-01-15,0.37345701456069946
1986-01-16,0.37808600068092346
1986-01-17,0.3858020007610321
1986-01-20,0.3904320001602173
1986-01-21,0.37345701456069946
1986-01-22,0.37808600068092346
1986-01-23,0.3858020007610321
1986-01-24,0.37808600068092346
1986-01-27,0.3858020007610321
1986-01-28,0.375
1986-01-29,0.3425930142402649
1986-01-30,0.3425930142402649
1986-01-31,0.3425930142402649
