,EGBN
2000-04-05,3.4930100440979004
2000-04-06,3.4930100440979004
2000-04-07,3.4930100440979004
2000-04-10,2.794408082962036
2000-04-11,2.9690589904785156
2000-04-12,2.9690589904785156
2000-04-13,2.925395965576172
2000-04-14,2.925395965576172
2000-04-17,2.794408082962036
2000-04-18,2.794408082962036
2000-04-19,2.619757890701294
2000-04-20,2.619757890701294
2000-04-24,2.794408082962036
2000-04-25,2.794408082962036
2000-04-26,2.794408082962036
2000-04-27,2.794408082962036
2000-04-28,2.619757890701294
2000-05-01,2.619757890701294
2000-05-02,2.619757890701294
2000-05-03,2.619757890701294
2000-05-04,2.619757890701294
2000-05-05,2.619757890701294
2000-05-08,2.619757890701294
2000-05-09,2.619757890701294
2000-05-10,2.794408082962036
2000-05-11,2.794408082962036
