,CENX
1997-11-20,15.25
1997-11-21,15.0
1997-11-24,15.125
1997-11-25,15.0
1997-11-26,15.25
1997-11-28,14.625
1997-12-01,15.125
1997-12-02,15.0
1997-12-03,15.125
1997-12-04,14.75
1997-12-05,14.90625
1997-12-08,14.5
1997-12-09,14.5
1997-12-10,14.875
1997-12-11,14.6875
1997-12-12,14.5
1997-12-15,14.75
1997-12-16,13.75
1997-12-17,13.9375
1997-12-18,13.5
1997-12-19,13.5625
1997-12-22,13.5
1997-12-23,13.25
1997-12-24,13.125
1997-12-26,13.125
1997-12-29,13.0
1997-12-30,13.25
1997-12-31,13.5
1998-01-02,13.75
1998-01-05,13.0
1998-01-06,13.0
1998-01-07,13.0
1998-01-08,12.625
1998-01-09,12.3125
1998-01-12,12.375
1998-01-13,13.125
1998-01-14,12.25
1998-01-15,12.5
1998-01-16,12.75
1998-01-20,14.5
1998-01-21,14.5
1998-01-22,14.25
1998-01-23,13.75
1998-01-26,14.0
1998-01-27,12.25
1998-01-28,12.5625
1998-01-29,13.25
1998-01-30,14.125
1998-02-02,16.0
1998-02-03,16.0
1998-02-04,16.0
1998-02-05,16.0
1998-02-06,16.125
1998-02-09,16.5
1998-02-10,16.875
1998-02-11,17.25
1998-02-12,18.0
1998-02-13,18.0
1998-02-17,17.625
1998-02-18,17.375
1998-02-19,17.375
1998-02-20,17.25
1998-02-23,17.125
1998-02-24,17.3125
1998-02-25,17.125
1998-02-26,17.25
1998-02-27,16.625
1998-03-02,16.875
1998-03-03,16.875
1998-03-04,16.875
1998-03-05,16.6875
1998-03-06,17.5
1998-03-09,17.5
1998-03-10,16.625
1998-03-11,17.5
1998-03-12,16.625
1998-03-13,17.25
1998-03-16,17.5
1998-03-17,17.5
1998-03-18,16.625
1998-03-19,16.75
1998-03-20,14.5
1998-03-23,14.75
1998-03-24,15.0625
1998-03-25,14.75
1998-03-26,15.75
1998-03-27,16.0
1998-03-30,15.25
1998-03-31,15.0
1998-04-01,15.0
1998-04-02,15.25
1998-04-03,14.75
1998-04-06,14.75
1998-04-07,14.5
1998-04-08,14.53125
1998-04-09,14.5
1998-04-13,14.5625
1998-04-14,15.25
1998-04-15,15.25
1998-04-16,14.625
1998-04-17,15.125
1998-04-20,18.0
1998-04-21,19.5
1998-04-22,18.0
1998-04-23,17.25
1998-04-24,18.25
1998-04-27,18.0
1998-04-28,17.375
1998-04-29,17.125
1998-04-30,17.125
1998-05-01,16.5
1998-05-04,16.5
1998-05-05,16.71875
1998-05-06,16.25
1998-05-07,14.375
1998-05-08,14.0
1998-05-11,14.375
1998-05-12,14.5
1998-05-13,14.625
1998-05-14,15.0
1998-05-15,14.375
1998-05-18,14.5
1998-05-19,14.625
1998-05-20,14.375
1998-05-21,15.25
1998-05-22,15.25
1998-05-26,15.25
1998-05-27,14.625
1998-05-28,14.875
1998-05-29,15.0
1998-06-01,15.375
1998-06-02,14.625
1998-06-03,14.625
1998-06-04,14.625
1998-06-05,15.5
1998-06-08,15.25
1998-06-09,15.75
1998-06-10,15.75
1998-06-11,15.0625
1998-06-12,15.25
1998-06-15,15.25
1998-06-16,15.15625
1998-06-17,15.0
1998-06-18,15.75
1998-06-19,14.9375
1998-06-22,15.625
1998-06-23,15.125
1998-06-24,15.0
1998-06-25,15.25
1998-06-26,14.75
1998-06-29,15.0
1998-06-30,14.75
1998-07-01,14.75
1998-07-02,14.75
1998-07-06,15.0
1998-07-07,14.75
1998-07-08,14.8125
1998-07-09,12.0
1998-07-10,12.875
1998-07-13,13.25
1998-07-14,12.875
1998-07-15,13.125
1998-07-16,13.5
1998-07-17,13.5
1998-07-20,13.5
1998-07-21,14.0625
1998-07-22,13.8125
1998-07-23,13.375
1998-07-24,14.5
1998-07-27,13.75
1998-07-28,13.78125
1998-07-29,13.625
1998-07-30,14.5
1998-07-31,12.0
1998-08-03,11.5625
1998-08-04,11.25
1998-08-05,11.875
1998-08-06,12.75
1998-08-07,13.25
1998-08-10,13.375
1998-08-11,12.8125
1998-08-12,13.0
1998-08-13,12.1875
1998-08-14,11.875
1998-08-17,11.875
1998-08-18,11.5
1998-08-19,12.125
1998-08-20,11.75
1998-08-21,11.375
1998-08-24,11.375
1998-08-25,11.25
1998-08-26,9.875
1998-08-27,8.5
1998-08-28,11.625
1998-08-31,10.0
1998-09-01,10.375
1998-09-02,10.0
1998-09-03,10.8125
1998-09-04,11.625
1998-09-08,11.5
1998-09-09,10.875
1998-09-10,10.75
1998-09-11,11.375
1998-09-14,11.5
1998-09-15,11.0
1998-09-16,10.5
1998-09-17,11.5
1998-09-18,10.71875
1998-09-21,10.625
1998-09-22,11.0
1998-09-23,10.625
1998-09-24,10.3125
1998-09-25,10.75
1998-09-28,10.25
1998-09-29,10.5
1998-09-30,10.75
1998-10-01,10.5
1998-10-02,10.6875
1998-10-05,10.25
1998-10-06,10.5
1998-10-07,9.5
1998-10-08,6.125
1998-10-09,8.375
1998-10-12,8.25
1998-10-13,8.0
1998-10-14,8.375
1998-10-15,9.0
1998-10-16,9.0
1998-10-19,10.0
1998-10-20,9.875
1998-10-21,10.0
1998-10-22,10.375
1998-10-23,10.5
1998-10-26,10.21875
1998-10-27,9.625
1998-10-28,9.8125
1998-10-29,9.8125
1998-10-30,9.875
1998-11-02,9.75
1998-11-03,9.59375
1998-11-04,9.875
1998-11-05,9.90625
1998-11-06,9.90625
1998-11-09,9.4375
1998-11-10,9.25
1998-11-11,9.0
1998-11-12,8.625
1998-11-13,8.640625
1998-11-16,8.9375
1998-11-17,8.625
1998-11-18,8.625
1998-11-19,8.875
1998-11-20,8.75
1998-11-23,8.875
1998-11-24,8.875
1998-11-25,8.75
1998-11-27,8.625
1998-11-30,8.5
1998-12-01,8.53125
1998-12-02,8.25
1998-12-03,7.875
1998-12-04,8.25
1998-12-07,8.625
1998-12-08,8.5
1998-12-09,8.4375
1998-12-10,8.5
1998-12-11,8.75
1998-12-14,8.375
1998-12-15,8.875
1998-12-16,8.625
1998-12-17,8.5
1998-12-18,8.375
1998-12-21,8.5
1998-12-22,8.5
1998-12-23,9.0
1998-12-24,9.3125
1998-12-28,8.375
1998-12-29,9.125
1998-12-30,9.3125
1998-12-31,9.4375
1999-01-04,9.6875
1999-01-05,9.4375
1999-01-06,9.125
1999-01-07,8.75
1999-01-08,8.75
1999-01-11,8.875
1999-01-12,8.9375
1999-01-13,6.125
1999-01-14,8.5
1999-01-15,8.5625
1999-01-19,8.5
1999-01-20,9.25
1999-01-21,9.125
1999-01-22,9.0
1999-01-25,8.5
1999-01-26,9.0
1999-01-27,9.0
1999-01-28,9.0625
1999-01-29,8.375
1999-02-01,9.0625
1999-02-02,8.875
1999-02-03,9.0
1999-02-04,8.375
1999-02-05,8.375
1999-02-08,8.375
1999-02-09,8.875
1999-02-10,7.625
1999-02-11,7.25
1999-02-12,7.125
1999-02-16,7.5
1999-02-17,6.875
1999-02-18,6.875
1999-02-19,6.0
1999-02-22,6.125
1999-02-23,5.625
1999-02-24,5.5625
1999-02-25,5.5
1999-02-26,5.5
1999-03-01,5.3125
1999-03-02,5.375
1999-03-03,4.75
1999-03-04,4.75
1999-03-05,5.0
1999-03-08,4.875
1999-03-09,4.5625
1999-03-10,4.1875
1999-03-11,6.0
1999-03-12,6.5
1999-03-15,6.0
1999-03-16,5.375
1999-03-17,5.875
1999-03-18,6.3125
1999-03-19,7.125
1999-03-22,7.3125
1999-03-23,7.0625
1999-03-24,7.0
1999-03-25,6.875
1999-03-26,6.0
1999-03-29,6.3125
1999-03-30,6.125
1999-03-31,5.6875
1999-04-01,6.0
1999-04-05,6.0
1999-04-06,6.25
1999-04-07,6.1875
1999-04-08,5.375
1999-04-09,5.5
1999-04-12,5.4375
1999-04-13,5.5
1999-04-14,5.5625
1999-04-15,6.75
1999-04-16,7.0
1999-04-19,7.3125
1999-04-20,7.75
1999-04-21,6.75
1999-04-22,7.5
1999-04-23,7.4375
1999-04-26,7.0
1999-04-27,7.5625
1999-04-28,7.625
1999-04-29,8.0
1999-04-30,8.0
1999-05-03,8.4375
1999-05-04,7.625
1999-05-05,7.25
1999-05-06,8.125
1999-05-07,8.125
1999-05-10,8.5
1999-05-11,8.625
1999-05-12,8.625
1999-05-13,8.625
1999-05-14,8.59375
1999-05-17,8.1875
1999-05-18,8.109375
1999-05-19,8.125
1999-05-20,7.875
1999-05-21,8.1875
1999-05-24,8.1875
1999-05-25,8.1875
1999-05-26,7.375
1999-05-27,7.25
1999-05-28,6.4375
1999-06-01,6.375
1999-06-02,6.625
1999-06-03,6.6875
1999-06-04,6.75
1999-06-07,6.625
1999-06-08,7.0
1999-06-09,6.875
1999-06-10,6.875
1999-06-11,6.5
1999-06-14,6.75
1999-06-15,6.5
1999-06-16,6.1875
1999-06-17,6.0625
1999-06-18,6.6875
1999-06-21,6.5
1999-06-22,6.25
1999-06-23,6.5
1999-06-24,6.5
1999-06-25,7.0
1999-06-28,7.0
1999-06-29,7.0
1999-06-30,6.1875
1999-07-01,6.3125
1999-07-02,6.875
1999-07-06,7.5
1999-07-07,7.5625
1999-07-08,7.75
1999-07-09,7.9375
1999-07-12,8.0625
1999-07-13,8.375
1999-07-14,8.625
1999-07-15,8.5
1999-07-16,9.0
1999-07-19,8.6875
1999-07-20,8.625
1999-07-21,8.625
1999-07-22,8.375
1999-07-23,8.625
1999-07-26,8.75
1999-07-27,10.75
1999-07-28,10.5
1999-07-29,10.5
1999-07-30,10.5
1999-08-02,10.5625
1999-08-03,10.4375
1999-08-04,10.375
1999-08-05,10.0
1999-08-06,9.875
1999-08-09,9.75
1999-08-10,9.375
1999-08-11,10.0625
1999-08-12,10.625
1999-08-13,11.125
1999-08-16,10.75
1999-08-17,11.125
1999-08-18,11.0
1999-08-19,11.1875
1999-08-20,10.9375
1999-08-23,10.875
1999-08-24,10.1875
1999-08-25,10.25
1999-08-26,10.4375
1999-08-27,10.1875
1999-08-30,9.75
1999-08-31,9.75
1999-09-01,10.0
1999-09-02,10.0
1999-09-03,10.4375
1999-09-07,10.4375
1999-09-08,10.3125
1999-09-09,10.25
1999-09-10,10.4375
1999-09-13,10.0
1999-09-14,10.0
1999-09-15,9.9375
1999-09-16,9.734375
1999-09-17,9.9375
1999-09-20,10.125
1999-09-21,10.125
1999-09-22,10.0
1999-09-23,10.0
1999-09-24,9.8125
1999-09-27,9.625
1999-09-28,9.75
1999-09-29,9.75
1999-09-30,10.75
1999-10-01,10.9375
1999-10-04,11.25
1999-10-05,11.125
1999-10-06,11.25
1999-10-07,11.0
1999-10-08,10.75
1999-10-11,11.0
1999-10-12,10.625
1999-10-13,10.625
1999-10-14,10.375
1999-10-15,10.375
1999-10-18,9.625
1999-10-19,10.5
1999-10-20,10.25
1999-10-21,10.5
1999-10-22,9.75
1999-10-25,9.875
1999-10-26,9.75
1999-10-27,9.25
1999-10-28,9.0
1999-10-29,9.0
1999-11-01,8.875
1999-11-02,8.875
1999-11-03,9.25
1999-11-04,9.5
1999-11-05,9.625
1999-11-08,10.125
1999-11-09,10.0
1999-11-10,10.25
1999-11-11,10.5
1999-11-12,10.5
1999-11-15,10.0
1999-11-16,10.03125
1999-11-17,10.0
1999-11-18,9.875
1999-11-19,10.0625
1999-11-22,9.6875
1999-11-23,9.875
1999-11-24,10.0
1999-11-26,9.5625
1999-11-29,9.5
1999-11-30,10.0
1999-12-01,9.75
1999-12-02,11.0
1999-12-03,10.75
1999-12-06,10.75
1999-12-07,10.875
1999-12-08,10.25
1999-12-09,10.0
1999-12-10,10.125
1999-12-13,10.5
1999-12-14,10.875
1999-12-15,12.125
1999-12-16,12.625
1999-12-17,12.75
1999-12-20,12.5
1999-12-21,13.0625
1999-12-22,12.875
1999-12-23,14.0
1999-12-27,14.0625
1999-12-28,15.0
1999-12-29,15.125
1999-12-30,15.0
1999-12-31,15.0
2000-01-03,14.5
2000-01-04,14.375
2000-01-05,15.375
2000-01-06,16.1875
2000-01-07,16.875
2000-01-10,16.625
2000-01-11,16.0625
2000-01-12,16.125
2000-01-13,15.625
2000-01-14,15.75
2000-01-18,15.0
2000-01-19,14.75
2000-01-20,13.5
2000-01-21,14.5
2000-01-24,14.6875
2000-01-25,14.9375
2000-01-26,14.75
2000-01-27,14.625
2000-01-28,14.25
2000-01-31,13.5
2000-02-01,14.0625
2000-02-02,14.0625
2000-02-03,13.1875
2000-02-04,12.625
2000-02-07,11.9375
2000-02-08,13.5
2000-02-09,13.03125
2000-02-10,12.875
2000-02-11,13.375
2000-02-14,14.125
2000-02-15,14.875
2000-02-16,15.0
2000-02-17,15.609375
2000-02-18,15.4375
2000-02-22,15.5
2000-02-23,15.5625
2000-02-24,15.125
2000-02-25,14.125
2000-02-28,14.375
2000-02-29,13.625
2000-03-01,14.0
2000-03-02,14.0
2000-03-03,14.0625
2000-03-06,13.5
2000-03-07,13.3125
2000-03-08,13.0
2000-03-09,13.125
2000-03-10,13.0
2000-03-13,12.5
2000-03-14,12.0
2000-03-15,12.875
2000-03-16,13.375
2000-03-17,14.75
2000-03-20,14.5625
2000-03-21,14.25
2000-03-22,13.875
2000-03-23,13.625
2000-03-24,13.5
2000-03-27,13.0
2000-03-28,12.9375
2000-03-29,13.75
2000-03-30,13.4375
2000-03-31,13.75
2000-04-03,13.875
2000-04-04,13.75
2000-04-05,14.375
2000-04-06,14.875
2000-04-07,14.5
2000-04-10,15.4375
2000-04-11,15.4375
2000-04-12,15.1875
2000-04-13,15.0625
2000-04-14,14.5
2000-04-17,13.875
2000-04-18,14.5
2000-04-19,14.25
2000-04-20,14.0
2000-04-24,14.0
2000-04-25,14.625
2000-04-26,14.125
2000-04-27,13.75
2000-04-28,14.0
2000-05-01,13.875
2000-05-02,13.875
2000-05-03,14.125
2000-05-04,14.125
2000-05-05,14.0
2000-05-08,14.0
2000-05-09,14.0
2000-05-10,13.9375
2000-05-11,14.125
2000-05-12,14.4375
2000-05-15,13.875
2000-05-16,14.125
2000-05-17,13.875
2000-05-18,13.625
2000-05-19,13.25
2000-05-22,12.0625
2000-05-23,11.9375
2000-05-24,11.5
2000-05-25,11.0
2000-05-26,10.5
2000-05-30,10.8125
2000-05-31,10.1875
2000-06-01,11.625
2000-06-02,11.75
2000-06-05,11.3125
2000-06-06,11.75
2000-06-07,11.0
2000-06-08,11.0
2000-06-09,11.03125
2000-06-12,11.125
2000-06-13,11.0625
2000-06-14,11.1875
2000-06-15,11.0625
2000-06-16,11.375
2000-06-19,12.125
2000-06-20,12.5
2000-06-21,12.375
2000-06-22,11.375
2000-06-23,12.0
2000-06-26,12.0625
2000-06-27,12.1875
2000-06-28,13.5625
2000-06-29,13.5625
2000-06-30,10.875
2000-07-03,12.4375
2000-07-05,12.5625
2000-07-06,13.1875
2000-07-07,12.125
2000-07-10,12.75
2000-07-11,13.1875
2000-07-12,13.4375
2000-07-13,13.375
2000-07-14,13.5625
2000-07-17,13.625
2000-07-18,13.625
2000-07-19,13.0
2000-07-20,13.125
2000-07-21,13.0625
2000-07-24,12.75
2000-07-25,12.9375
2000-07-26,13.125
2000-07-27,13.0
2000-07-28,12.515625
2000-07-31,13.125
2000-08-01,13.1875
2000-08-02,13.1875
2000-08-03,13.25
2000-08-04,13.25
2000-08-07,13.25
2000-08-08,13.0625
2000-08-09,13.0
2000-08-10,13.0
2000-08-11,13.0
2000-08-14,12.875
2000-08-15,12.5625
2000-08-16,12.6875
2000-08-17,12.375
2000-08-18,11.6875
2000-08-21,12.1875
2000-08-22,12.0625
2000-08-23,11.875
2000-08-24,12.0625
2000-08-25,11.9375
2000-08-28,12.5
2000-08-29,12.375
2000-08-30,12.375
2000-08-31,13.0625
2000-09-01,13.125
2000-09-05,13.0625
2000-09-06,13.0625
2000-09-07,13.125
2000-09-08,13.125
2000-09-11,13.0625
2000-09-12,13.0625
2000-09-13,13.0625
2000-09-14,13.125
2000-09-15,13.0
2000-09-18,13.0
2000-09-19,12.75
2000-09-20,12.6875
2000-09-21,12.5625
2000-09-22,13.0
2000-09-25,12.625
2000-09-26,12.625
2000-09-27,12.5
2000-09-28,12.5625
2000-09-29,12.5
2000-10-02,12.5
2000-10-03,12.4375
2000-10-04,12.5625
2000-10-05,12.5
2000-10-06,12.4375
2000-10-09,12.5625
2000-10-10,12.375
2000-10-11,12.5625
2000-10-12,12.5
2000-10-13,12.46875
2000-10-16,12.25
2000-10-17,11.8125
2000-10-18,11.5625
2000-10-19,11.5
2000-10-20,11.0
2000-10-23,10.875
2000-10-24,10.75
2000-10-25,9.1875
2000-10-26,9.0625
2000-10-27,8.875
2000-10-30,8.5
2000-10-31,8.75
2000-11-01,8.875
2000-11-02,8.25
2000-11-03,8.75
2000-11-06,9.0
2000-11-07,9.25
2000-11-08,8.875
2000-11-09,8.5
2000-11-10,8.125
2000-11-13,8.4375
2000-11-14,8.0625
2000-11-15,7.875
2000-11-16,7.625
2000-11-17,7.5
2000-11-20,7.375
2000-11-21,7.25
2000-11-22,7.5
2000-11-24,8.25
2000-11-27,7.75
2000-11-28,7.5
2000-11-29,7.25
2000-11-30,7.1875
2000-12-01,7.25
2000-12-04,7.25
2000-12-05,7.125
2000-12-06,7.03125
2000-12-07,7.0
2000-12-08,6.9375
2000-12-11,9.875
2000-12-12,8.9375
2000-12-13,8.125
2000-12-14,8.3125
2000-12-15,8.1875
2000-12-18,8.875
2000-12-19,9.0
2000-12-20,8.375
2000-12-21,7.75
2000-12-22,7.75
2000-12-26,8.0
2000-12-27,8.375
2000-12-28,9.625
2000-12-29,11.375
2001-01-02,10.75
2001-01-03,11.25
2001-01-04,11.3125
2001-01-05,10.5
2001-01-08,9.875
2001-01-09,10.0
2001-01-10,10.3125
2001-01-11,11.125
2001-01-12,11.0625
2001-01-16,10.75
2001-01-17,10.9375
2001-01-18,11.125
2001-01-19,10.875
2001-01-22,10.875
2001-01-23,11.0625
2001-01-24,11.0625
2001-01-25,10.75
2001-01-26,10.875
2001-01-29,10.9375
2001-01-30,10.6875
2001-01-31,11.0
2001-02-01,13.875
2001-02-02,16.0
2001-02-05,15.625
2001-02-06,14.5625
2001-02-07,14.25
2001-02-08,14.1875
2001-02-09,14.25
2001-02-12,14.25
2001-02-13,15.3125
2001-02-14,15.125
2001-02-15,15.1875
2001-02-16,14.8125
2001-02-20,14.5
2001-02-21,13.625
2001-02-22,13.34375
2001-02-23,12.875
2001-02-26,14.5
2001-02-27,14.25
2001-02-28,13.6875
2001-03-01,13.5
2001-03-02,13.8125
2001-03-05,14.484375
2001-03-06,14.5
2001-03-07,14.8125
2001-03-08,15.125
2001-03-09,15.0625
2001-03-12,15.9375
2001-03-13,16.8125
2001-03-14,16.0625
