,BNDX
2016-08-12,56.099998474121094
2016-08-15,56.0099983215332
2016-08-16,55.9900016784668
2016-08-17,56.040000915527344
2016-08-18,56.099998474121094
2016-08-19,56.0
2016-08-22,56.08000183105469
2016-08-23,56.15999984741211
2016-08-24,56.09000015258789
2016-08-25,56.09000015258789
2016-08-26,56.040000915527344
2016-08-29,56.130001068115234
2016-08-30,56.18000030517578
2016-08-31,56.09000015258789
2016-09-01,55.97999954223633
2016-09-02,55.880001068115234
2016-09-06,55.970001220703125
2016-09-07,56.11000061035156
2016-09-08,55.90999984741211
2016-09-09,55.70000076293945
2016-09-12,55.61000061035156
2016-09-13,55.4900016784668
2016-09-14,55.560001373291016
2016-09-15,55.5
2016-09-16,55.560001373291016
2016-09-19,55.54999923706055
2016-09-20,55.63999938964844
2016-09-21,55.7599983215332
2016-09-22,55.95000076293945
2016-09-23,55.91999816894531
2016-09-26,56.029998779296875
2016-09-27,56.099998474121094
2016-09-28,56.099998474121094
2016-09-29,56.11000061035156
2016-09-30,56.040000915527344
2016-10-03,55.779998779296875
2016-10-04,55.75
2016-10-05,55.630001068115234
2016-10-06,55.619998931884766
2016-10-07,55.58000183105469
2016-10-10,55.470001220703125
2016-10-11,55.5099983215332
2016-10-12,55.45000076293945
2016-10-13,55.560001373291016
2016-10-14,55.400001525878906
2016-10-17,55.439998626708984
2016-10-18,55.5099983215332
2016-10-19,55.540000915527344
2016-10-20,55.56999969482422
2016-10-21,55.54999923706055
2016-10-24,55.540000915527344
2016-10-25,55.54999923706055
2016-10-26,55.439998626708984
2016-10-27,55.209999084472656
2016-10-28,55.22999954223633
2016-10-31,55.279998779296875
2016-11-01,55.11000061035156
2016-11-02,55.25
2016-11-03,55.15999984741211
2016-11-04,55.209999084472656
2016-11-07,55.209999084472656
2016-11-08,55.13999938964844
2016-11-09,54.79999923706055
2016-11-10,54.58000183105469
2016-11-11,54.5
2016-11-14,54.36000061035156
2016-11-15,54.529998779296875
2016-11-16,54.470001220703125
2016-11-17,54.45000076293945
2016-11-18,54.380001068115234
2016-11-21,54.33000183105469
2016-11-22,54.540000915527344
2016-11-23,54.41999816894531
2016-11-25,54.439998626708984
2016-11-28,54.529998779296875
2016-11-29,54.65999984741211
2016-11-30,54.529998779296875
2016-12-01,54.13999938964844
2016-12-02,54.380001068115234
2016-12-05,54.33000183105469
2016-12-06,54.15999984741211
2016-12-07,54.31999969482422
2016-12-08,54.2400016784668
2016-12-09,54.18000030517578
2016-12-12,54.04999923706055
2016-12-13,54.209999084472656
2016-12-14,54.220001220703125
2016-12-15,54.209999084472656
2016-12-16,54.31999969482422
2016-12-19,54.5
2016-12-20,54.470001220703125
2016-12-21,54.5
2016-12-22,54.060001373291016
2016-12-23,54.16999816894531
2016-12-27,54.15999984741211
2016-12-28,54.2400016784668
2016-12-29,54.34000015258789
2016-12-30,54.290000915527344
