,BSDE
2019-07-24,26.34000015258789
2019-07-25,26.290000915527344
2019-07-26,26.329999923706055
2019-07-29,26.34000015258789
2019-07-30,26.329999923706055
2019-07-31,26.31999969482422
2019-08-01,26.34000015258789
2019-08-02,26.34000015258789
2019-08-05,26.309999465942383
2019-08-06,26.3799991607666
2019-08-07,26.389999389648438
2019-08-08,26.469999313354492
2019-08-09,26.469999313354492
2019-08-12,26.469999313354492
2019-08-13,26.420000076293945
2019-08-14,26.420000076293945
2019-08-15,26.420000076293945
2019-08-16,26.420000076293945
2019-08-19,26.3799991607666
2019-08-20,26.399999618530273
2019-08-21,26.43000030517578
2019-08-22,26.43000030517578
2019-08-23,26.450000762939453
2019-08-26,26.389999389648438
2019-08-27,26.450000762939453
2019-08-28,26.440000534057617
2019-08-29,26.440000534057617
