,CREE
1995-03-09,0.90625
1995-03-10,0.8125
1995-03-13,0.90625
1995-03-14,0.8125
1995-03-15,0.8125
1995-03-16,0.828125
1995-03-17,0.90625
1995-03-20,0.8125
1995-03-21,0.8125
1995-03-22,0.796875
1995-03-23,0.8125
1995-03-24,0.8125
1995-03-27,0.84375
1995-03-28,0.78125
1995-03-29,0.875
1995-03-30,0.90625
1995-03-31,0.96875
1995-04-03,0.90625
1995-04-04,1.0
1995-04-05,1.125
1995-04-06,1.140625
1995-04-07,1.15625
1995-04-10,1.03125
1995-04-11,1.125
1995-04-12,1.09375
1995-04-13,1.21875
1995-04-17,1.3125
1995-04-18,1.296875
1995-04-19,1.484375
1995-04-20,1.65625
1995-04-21,1.6171879768371582
1995-04-24,1.609375
1995-04-25,1.71875
1995-04-26,1.75
1995-04-27,1.71875
1995-04-28,1.75
1995-05-01,1.78125
1995-05-02,1.859375
1995-05-03,1.9453129768371582
1995-05-04,1.988281011581421
1995-05-05,2.0625
1995-05-08,2.171875
1995-05-09,2.125
1995-05-10,2.078125
1995-05-11,2.09375
1995-05-12,2.125
1995-05-15,2.140625
1995-05-16,2.265625
1995-05-17,2.34375
1995-05-18,2.578125
1995-05-19,2.625
1995-05-22,2.703125
1995-05-23,3.0
1995-05-24,2.78125
1995-05-25,2.757812976837158
1995-05-26,2.84375
1995-05-30,2.5
1995-05-31,2.75
1995-06-01,2.671875
1995-06-02,2.9375
1995-06-05,3.21875
1995-06-06,3.21875
1995-06-07,3.15625
1995-06-08,3.320312976837158
1995-06-09,3.125
1995-06-12,2.96875
1995-06-13,3.03125
1995-06-14,3.03125
1995-06-15,3.15625
1995-06-16,3.25
1995-06-19,3.34375
1995-06-20,3.25
1995-06-21,3.0625
1995-06-22,3.21875
1995-06-23,3.171875
1995-06-26,3.09375
1995-06-27,3.25
1995-06-28,3.34375
1995-06-29,3.5625
1995-06-30,3.589843988418579
1995-07-03,3.5625
1995-07-05,3.625
1995-07-06,3.8125
1995-07-07,4.109375
1995-07-10,4.125
1995-07-11,4.203125
1995-07-12,4.40625
1995-07-13,4.65625
1995-07-14,5.0
1995-07-17,5.109375
1995-07-18,4.90625
1995-07-19,4.4375
1995-07-20,4.5625
1995-07-21,4.625
1995-07-24,4.75
1995-07-25,4.78125
1995-07-26,4.84375
1995-07-27,4.96875
1995-07-28,4.9375
1995-07-31,4.8125
1995-08-01,4.875
1995-08-02,5.109375
1995-08-03,4.8125
1995-08-04,4.890625
1995-08-07,5.0
1995-08-08,5.1875
1995-08-09,5.453125
1995-08-10,5.40625
1995-08-11,5.25
1995-08-14,5.28125
1995-08-15,5.3125
1995-08-16,5.5625
1995-08-17,6.625
1995-08-18,7.75
1995-08-21,7.1875
1995-08-22,7.4375
1995-08-23,7.125
1995-08-24,7.3125
1995-08-25,7.125
1995-08-28,6.75
1995-08-29,6.90625
1995-08-30,6.8125
1995-08-31,6.8125
1995-09-01,6.59375
1995-09-05,6.9375
1995-09-06,6.8125
1995-09-07,6.75
1995-09-08,7.0625
1995-09-11,6.90625
1995-09-12,7.125
1995-09-13,7.25
1995-09-14,7.125
1995-09-15,6.875
1995-09-18,7.0
1995-09-19,6.9375
1995-09-20,6.96875
1995-09-21,6.8125
1995-09-22,6.625
1995-09-25,6.5
1995-09-26,6.375
1995-09-27,6.25
1995-09-28,6.65625
1995-09-29,6.1875
1995-10-02,5.9375
1995-10-03,5.554687976837158
1995-10-04,5.03125
1995-10-05,5.1875
1995-10-06,5.28125
1995-10-09,4.75
1995-10-10,4.875
1995-10-11,5.4375
