,EXPO
1991-05-07,3.53125
1991-05-08,3.5
1991-05-09,3.46875
1991-05-10,3.375
1991-05-13,3.46875
1991-05-14,3.375
1991-05-15,3.1875
1991-05-16,3.1875
1991-05-17,3.09375
1991-05-20,3.0
1991-05-21,3.0
1991-05-22,2.875
1991-05-23,2.875
1991-05-24,2.78125
1991-05-28,2.84375
1991-05-29,2.984375
1991-05-30,3.03125
1991-05-31,3.09375
1991-06-03,3.28125
1991-06-04,3.21875
1991-06-05,3.1875
1991-06-06,3.25
1991-06-07,3.15625
1991-06-10,3.15625
1991-06-11,3.15625
1991-06-12,3.0
1991-06-13,2.96875
1991-06-14,3.0
1991-06-17,2.8125
1991-06-18,2.78125
1991-06-19,2.75
1991-06-20,2.78125
1991-06-21,2.84375
1991-06-24,2.71875
1991-06-25,2.3125
1991-06-26,2.15625
1991-06-27,2.0625
1991-06-28,2.15625
1991-07-01,2.078125
1991-07-02,2.09375
1991-07-03,1.9375
1991-07-05,2.0
1991-07-08,1.875
1991-07-09,1.96875
1991-07-10,2.0
1991-07-11,2.03125
1991-07-12,1.96875
1991-07-15,1.96875
1991-07-16,1.9375
1991-07-17,2.0
1991-07-18,1.84375
1991-07-19,1.875
1991-07-22,1.875
1991-07-23,2.0
1991-07-24,2.0625
1991-07-25,2.0
1991-07-26,2.0
1991-07-29,1.9375
1991-07-30,2.03125
1991-07-31,1.984375
1991-08-01,1.921875
1991-08-02,1.90625
1991-08-05,1.84375
1991-08-06,1.75
1991-08-07,1.75
1991-08-08,1.71875
1991-08-09,1.78125
1991-08-12,1.75
1991-08-13,1.3125
1991-08-14,1.375
1991-08-15,1.34375
1991-08-16,1.265625
1991-08-19,1.1875
1991-08-20,1.25
1991-08-21,1.28125
1991-08-22,1.28125
1991-08-23,1.1875
1991-08-26,1.28125
1991-08-27,1.21875
1991-08-28,1.1875
1991-08-29,1.4375
1991-08-30,1.5625
1991-09-03,1.40625
1991-09-04,1.375
1991-09-05,1.34375
1991-09-06,1.40625
1991-09-09,1.4375
1991-09-10,1.375
1991-09-11,1.40625
1991-09-12,1.46875
1991-09-13,1.46875
1991-09-16,1.46875
1991-09-17,1.46875
1991-09-18,1.375
1991-09-19,1.5
1991-09-20,1.46875
1991-09-23,1.40625
1991-09-24,1.6875
1991-09-25,1.6875
1991-09-26,1.78125
1991-09-27,1.78125
1991-09-30,1.6875
1991-10-01,1.6875
1991-10-02,1.59375
1991-10-03,1.5625
1991-10-04,1.59375
1991-10-07,1.5625
1991-10-08,1.5
1991-10-09,1.46875
1991-10-10,1.515625
1991-10-11,1.5625
1991-10-14,1.625
1991-10-15,1.625
1991-10-16,1.75
1991-10-17,1.8125
1991-10-18,1.875
1991-10-21,1.8125
1991-10-22,1.84375
1991-10-23,2.0625
1991-10-24,2.015625
1991-10-25,2.03125
1991-10-28,2.0
1991-10-29,2.0
1991-10-30,1.96875
1991-10-31,1.90625
1991-11-01,1.96875
1991-11-04,1.875
1991-11-05,1.875
1991-11-06,1.84375
1991-11-07,1.90625
1991-11-08,1.859375
1991-11-11,1.84375
1991-11-12,1.8125
1991-11-13,1.828125
1991-11-14,1.78125
1991-11-15,1.75
1991-11-18,1.8125
1991-11-19,1.71875
1991-11-20,1.75
1991-11-21,1.75
1991-11-22,1.75
1991-11-25,1.5625
1991-11-26,1.5
1991-11-27,1.46875
1991-11-29,1.53125
1991-12-02,1.5
1991-12-03,1.5
1991-12-04,1.515625
1991-12-05,1.4375
1991-12-06,1.4375
1991-12-09,1.4375
1991-12-10,1.40625
1991-12-11,1.40625
1991-12-12,1.40625
1991-12-13,1.5625
1991-12-16,1.65625
1991-12-17,1.625
1991-12-18,1.75
1991-12-19,1.5625
1991-12-20,1.65625
1991-12-23,1.59375
1991-12-24,1.625
1991-12-26,1.59375
1991-12-27,1.59375
1991-12-30,1.625
1991-12-31,1.6875
1992-01-02,1.75
1992-01-03,1.8125
1992-01-06,1.8125
1992-01-07,1.71875
1992-01-08,1.71875
1992-01-09,1.75
1992-01-10,1.71875
1992-01-13,1.71875
1992-01-14,1.78125
1992-01-15,1.71875
1992-01-16,1.71875
1992-01-17,1.71875
1992-01-20,1.65625
1992-01-21,1.65625
1992-01-22,1.6875
1992-01-23,1.59375
1992-01-24,1.65625
1992-01-27,1.59375
1992-01-28,1.65625
1992-01-29,1.78125
1992-01-30,1.78125
1992-01-31,1.78125
1992-02-03,1.8125
1992-02-04,1.90625
1992-02-05,2.0625
1992-02-06,2.09375
1992-02-07,2.09375
1992-02-10,2.03125
1992-02-11,2.03125
1992-02-12,1.90625
1992-02-13,1.875
1992-02-14,1.875
1992-02-18,1.8125
1992-02-19,1.78125
1992-02-20,1.84375
1992-02-21,1.8125
1992-02-24,1.78125
1992-02-25,1.8125
1992-02-26,1.75
1992-02-27,1.8125
1992-02-28,1.75
1992-03-02,1.75
1992-03-03,1.78125
1992-03-04,1.75
1992-03-05,1.6875
1992-03-06,1.65625
1992-03-09,1.34375
1992-03-10,1.25
1992-03-11,1.28125
1992-03-12,1.25
1992-03-13,1.34375
1992-03-16,1.34375
1992-03-17,1.25
1992-03-18,1.34375
1992-03-19,1.25
1992-03-20,1.296875
1992-03-23,1.25
1992-03-24,1.25
1992-03-25,1.25
1992-03-26,1.234375
1992-03-27,1.15625
1992-03-30,1.15625
1992-03-31,1.21875
1992-04-01,1.21875
1992-04-02,1.125
1992-04-03,1.1875
1992-04-06,1.21875
1992-04-07,1.0625
1992-04-08,1.125
1992-04-09,1.09375
1992-04-10,1.09375
1992-04-13,1.15625
1992-04-14,1.09375
1992-04-15,1.0
1992-04-16,1.015625
1992-04-20,0.96875
1992-04-21,0.96875
1992-04-22,0.96875
1992-04-23,0.96875
1992-04-24,1.09375
1992-04-27,0.96875
1992-04-28,1.015625
1992-04-29,1.09375
1992-04-30,1.09375
1992-05-01,0.96875
1992-05-04,0.9375
1992-05-05,0.9375
1992-05-06,0.921875
1992-05-07,0.90625
1992-05-08,0.90625
1992-05-11,0.90625
1992-05-12,0.90625
1992-05-13,0.96875
1992-05-14,0.875
1992-05-15,0.921875
1992-05-18,0.90625
1992-05-19,1.0
1992-05-20,0.984375
1992-05-21,0.96875
1992-05-22,1.0
1992-05-26,0.9375
1992-05-27,0.9375
1992-05-28,0.890625
1992-05-29,0.96875
1992-06-01,0.96875
1992-06-02,1.03125
1992-06-03,0.9375
1992-06-04,0.96875
1992-06-05,0.90625
1992-06-08,0.9375
1992-06-09,0.90625
1992-06-10,0.921875
1992-06-11,0.96875
1992-06-12,0.96875
1992-06-15,0.96875
1992-06-16,0.90625
1992-06-17,1.0
1992-06-18,0.96875
1992-06-19,0.96875
1992-06-22,0.90625
1992-06-23,0.90625
1992-06-24,0.9375
1992-06-25,0.90625
1992-06-26,0.84375
1992-06-29,0.875
1992-06-30,0.9375
1992-07-01,0.9375
1992-07-02,0.9375
1992-07-06,0.9375
1992-07-07,0.9375
1992-07-08,0.875
1992-07-09,0.90625
1992-07-10,0.875
1992-07-13,0.859375
1992-07-14,0.875
1992-07-15,0.9375
1992-07-16,0.875
1992-07-17,0.84375
1992-07-20,0.84375
1992-07-21,0.859375
1992-07-22,0.84375
1992-07-23,0.890625
1992-07-24,0.84375
1992-07-27,0.875
1992-07-28,0.84375
1992-07-29,0.875
1992-07-30,0.90625
1992-07-31,0.90625
1992-08-03,0.875
1992-08-04,0.84375
1992-08-05,0.90625
1992-08-06,0.90625
1992-08-07,0.890625
1992-08-10,0.84375
1992-08-11,0.859375
1992-08-12,0.84375
1992-08-13,0.875
1992-08-14,0.859375
1992-08-17,0.90625
1992-08-18,0.84375
1992-08-19,0.84375
1992-08-20,0.859375
1992-08-21,0.84375
1992-08-24,0.84375
1992-08-25,0.8125
1992-08-26,0.84375
1992-08-27,0.8125
1992-08-28,0.828125
1992-08-31,0.875
1992-09-01,0.828125
1992-09-02,0.8125
1992-09-03,0.890625
1992-09-04,0.84375
1992-09-08,0.828125
1992-09-09,0.8125
1992-09-10,0.828125
1992-09-11,0.90625
1992-09-14,0.90625
1992-09-15,0.90625
1992-09-16,0.84375
1992-09-17,0.84375
1992-09-18,0.84375
1992-09-21,0.90625
1992-09-22,0.84375
1992-09-23,0.890625
1992-09-24,0.90625
1992-09-25,0.96875
1992-09-28,0.96875
1992-09-29,0.9375
1992-09-30,1.0625
1992-10-01,1.0625
1992-10-02,1.0625
1992-10-05,0.96875
1992-10-06,1.0
1992-10-07,0.96875
1992-10-08,0.96875
1992-10-09,1.0
1992-10-12,1.0
1992-10-13,0.96875
1992-10-14,0.9375
1992-10-15,0.9375
1992-10-16,0.9375
1992-10-19,0.9375
1992-10-20,0.96875
1992-10-21,0.96875
1992-10-22,1.0
1992-10-23,0.9375
1992-10-26,0.953125
1992-10-27,0.953125
1992-10-28,0.96875
1992-10-29,0.9375
1992-10-30,0.9375
1992-11-02,1.0
1992-11-03,0.953125
1992-11-04,0.953125
1992-11-05,0.953125
1992-11-06,0.9375
1992-11-09,0.859375
1992-11-10,0.84375
1992-11-11,0.90625
1992-11-12,0.90625
1992-11-13,0.875
1992-11-16,0.859375
1992-11-17,0.875
1992-11-18,0.90625
1992-11-19,0.875
1992-11-20,0.859375
1992-11-23,0.875
1992-11-24,0.875
1992-11-25,0.875
1992-11-27,0.8125
1992-11-30,0.8125
1992-12-01,0.84375
1992-12-02,0.828125
1992-12-03,0.875
1992-12-04,0.90625
1992-12-07,0.84375
1992-12-08,0.875
1992-12-09,0.9375
1992-12-10,1.0
1992-12-11,0.90625
1992-12-14,0.90625
1992-12-15,1.03125
1992-12-16,1.03125
1992-12-17,1.0625
1992-12-18,1.03125
1992-12-21,1.03125
1992-12-22,1.0
1992-12-23,0.9375
1992-12-24,0.90625
1992-12-28,0.90625
1992-12-29,0.921875
1992-12-30,0.921875
1992-12-31,0.90625
1993-01-04,1.0
1993-01-05,0.90625
1993-01-06,0.90625
1993-01-07,0.96875
1993-01-08,0.875
1993-01-11,0.875
1993-01-12,0.84375
1993-01-13,0.875
1993-01-14,0.96875
1993-01-15,0.96875
1993-01-18,1.125
1993-01-19,1.125
1993-01-20,1.03125
1993-01-21,1.09375
1993-01-22,1.0625
1993-01-25,1.03125
1993-01-26,1.09375
1993-01-27,1.09375
1993-01-28,1.0625
1993-01-29,1.03125
1993-02-01,1.09375
1993-02-02,1.03125
1993-02-03,1.046875
1993-02-04,1.03125
1993-02-05,1.078125
1993-02-08,1.125
1993-02-09,1.125
1993-02-10,1.125
1993-02-11,1.21875
1993-02-12,1.125
1993-02-16,1.078125
1993-02-17,1.15625
1993-02-18,1.125
1993-02-19,1.0625
1993-02-22,1.09375
1993-02-23,1.15625
1993-02-24,1.0625
1993-02-25,1.0625
1993-02-26,1.140625
1993-03-01,1.09375
1993-03-02,1.125
1993-03-03,1.09375
1993-03-04,1.09375
1993-03-05,1.09375
1993-03-08,1.09375
1993-03-09,1.125
1993-03-10,1.125
1993-03-11,1.125
1993-03-12,1.09375
1993-03-15,1.15625
1993-03-16,1.203125
1993-03-17,1.09375
1993-03-18,1.125
1993-03-19,1.125
1993-03-22,1.09375
1993-03-23,1.0625
1993-03-24,1.0
1993-03-25,0.9375
1993-03-26,1.03125
1993-03-29,1.03125
1993-03-30,0.9375
1993-03-31,1.0
1993-04-01,1.0
1993-04-02,0.96875
1993-04-05,0.96875
1993-04-06,0.953125
1993-04-07,0.90625
1993-04-08,0.921875
1993-04-12,0.90625
1993-04-13,0.90625
1993-04-14,0.96875
1993-04-15,0.9375
1993-04-16,0.9375
1993-04-19,0.984375
1993-04-20,0.9375
1993-04-21,0.9375
1993-04-22,1.0
1993-04-23,1.0
1993-04-26,0.96875
1993-04-27,0.9375
1993-04-28,0.9375
1993-04-29,0.953125
1993-04-30,0.953125
1993-05-03,0.90625
1993-05-04,0.90625
1993-05-05,0.90625
1993-05-06,0.90625
1993-05-07,1.0
1993-05-10,1.0
1993-05-11,0.921875
1993-05-12,0.9375
1993-05-13,0.90625
1993-05-14,0.90625
1993-05-17,0.90625
1993-05-18,0.90625
1993-05-19,0.921875
1993-05-20,1.0
1993-05-21,0.9375
1993-05-24,0.90625
1993-05-25,0.90625
1993-05-26,0.90625
1993-05-27,0.90625
1993-05-28,0.90625
1993-06-01,0.96875
1993-06-02,0.9375
1993-06-03,0.9375
1993-06-04,0.90625
1993-06-07,0.90625
1993-06-08,0.9375
1993-06-09,0.96875
1993-06-10,0.96875
1993-06-11,0.921875
1993-06-14,0.90625
1993-06-15,0.90625
1993-06-16,0.90625
1993-06-17,0.96875
1993-06-18,0.90625
1993-06-21,0.90625
1993-06-22,0.90625
1993-06-23,0.875
1993-06-24,0.8125
1993-06-25,0.90625
1993-06-28,0.8125
1993-06-29,0.84375
1993-06-30,0.8125
1993-07-01,0.859375
1993-07-02,0.859375
1993-07-06,0.8125
1993-07-07,0.8125
1993-07-08,0.875
1993-07-09,0.875
1993-07-12,0.875
1993-07-13,0.859375
1993-07-14,0.875
1993-07-15,0.890625
1993-07-16,0.8125
1993-07-19,0.9375
1993-07-20,0.890625
1993-07-21,0.84375
1993-07-22,0.875
1993-07-23,0.875
1993-07-26,0.875
1993-07-27,0.875
1993-07-28,0.890625
1993-07-29,0.9375
1993-07-30,0.84375
1993-08-02,0.9375
1993-08-03,0.875
1993-08-04,0.875
1993-08-05,0.84375
1993-08-06,0.875
1993-08-09,0.84375
1993-08-10,0.875
1993-08-11,0.8125
1993-08-12,0.828125
1993-08-13,0.8125
1993-08-16,0.875
1993-08-17,0.84375
1993-08-18,0.84375
1993-08-19,0.8125
1993-08-20,0.75
1993-08-23,0.8125
1993-08-24,0.75
1993-08-25,0.75
1993-08-26,0.8125
1993-08-27,0.8125
1993-08-30,0.796875
1993-08-31,0.8125
1993-09-01,0.75
1993-09-02,0.8125
1993-09-03,0.8125
1993-09-07,0.8125
1993-09-08,0.75
1993-09-09,0.84375
1993-09-10,0.84375
1993-09-13,0.84375
1993-09-14,0.796875
1993-09-15,0.84375
1993-09-16,0.84375
1993-09-17,0.78125
1993-09-20,0.75
1993-09-21,0.8125
1993-09-22,0.75
1993-09-23,0.75
1993-09-24,0.8125
1993-09-27,0.8125
1993-09-28,0.75
1993-09-29,0.78125
1993-09-30,0.75
1993-10-01,0.75
1993-10-04,0.71875
1993-10-05,0.75
1993-10-06,0.71875
1993-10-07,0.71875
1993-10-08,0.71875
1993-10-11,0.71875
1993-10-12,0.78125
1993-10-13,0.71875
1993-10-14,0.671875
1993-10-15,0.75
1993-10-18,0.75
1993-10-19,0.65625
1993-10-20,0.75
1993-10-21,0.71875
1993-10-22,0.6875
1993-10-25,0.6875
1993-10-26,0.6875
1993-10-27,0.78125
1993-10-28,0.65625
1993-10-29,0.71875
1993-11-01,0.6875
1993-11-02,0.78125
1993-11-03,0.78125
1993-11-04,0.78125
1993-11-05,0.65625
1993-11-08,0.71875
1993-11-09,0.6875
1993-11-10,0.6875
1993-11-11,0.65625
1993-11-12,0.65625
1993-11-15,0.625
1993-11-16,0.59375
1993-11-17,0.625
1993-11-18,0.609375
1993-11-19,0.59375
1993-11-22,0.59375
1993-11-23,0.59375
1993-11-24,0.609375
1993-11-26,0.625
1993-11-29,0.59375
1993-11-30,0.625
1993-12-01,0.59375
1993-12-02,0.609375
1993-12-03,0.59375
1993-12-06,0.59375
1993-12-07,0.625
1993-12-08,0.65625
1993-12-09,0.65625
1993-12-10,0.65625
1993-12-13,0.6875
1993-12-14,0.625
1993-12-15,0.625
1993-12-16,0.65625
1993-12-17,0.609375
1993-12-20,0.59375
1993-12-21,0.640625
1993-12-22,0.59375
1993-12-23,0.59375
1993-12-27,0.625
1993-12-28,0.59375
1993-12-29,0.59375
1993-12-30,0.59375
1993-12-31,0.65625
1994-01-03,0.625
1994-01-04,0.625
1994-01-05,0.625
1994-01-06,0.65625
1994-01-07,0.609375
1994-01-10,0.5625
1994-01-11,0.609375
1994-01-12,0.59375
1994-01-13,0.59375
1994-01-14,0.625
1994-01-17,0.625
1994-01-18,0.75
1994-01-19,0.71875
1994-01-20,0.6875
1994-01-21,0.65625
1994-01-24,0.6875
1994-01-25,0.6875
1994-01-26,0.640625
1994-01-27,0.59375
1994-01-28,0.59375
1994-01-31,0.625
1994-02-01,0.625
1994-02-02,0.65625
1994-02-03,0.65625
1994-02-04,0.59375
1994-02-07,0.59375
1994-02-08,0.625
1994-02-09,0.609375
1994-02-10,0.59375
1994-02-11,0.625
1994-02-14,0.609375
1994-02-15,0.65625
1994-02-16,0.640625
1994-02-17,0.625
1994-02-18,0.625
1994-02-22,0.625
1994-02-23,0.625
1994-02-24,0.71875
1994-02-25,0.65625
1994-02-28,0.65625
1994-03-01,0.65625
1994-03-02,0.625
1994-03-03,0.65625
1994-03-04,0.640625
1994-03-07,0.640625
1994-03-08,0.625
1994-03-09,0.625
1994-03-10,0.59375
1994-03-11,0.59375
1994-03-14,0.625
1994-03-15,0.609375
1994-03-16,0.609375
1994-03-17,0.59375
1994-03-18,0.59375
1994-03-21,0.59375
1994-03-22,0.625
1994-03-23,0.65625
1994-03-24,0.625
1994-03-25,0.625
1994-03-28,0.640625
1994-03-29,0.65625
1994-03-30,0.625
1994-03-31,0.6875
1994-04-04,0.65625
1994-04-05,0.65625
1994-04-06,0.6875
1994-04-07,0.6875
1994-04-08,0.625
1994-04-11,0.65625
1994-04-12,0.625
1994-04-13,0.640625
1994-04-14,0.640625
1994-04-15,0.59375
1994-04-18,0.59375
1994-04-19,0.65625
1994-04-20,0.59375
1994-04-21,0.59375
1994-04-22,0.609375
1994-04-25,0.609375
1994-04-26,0.609375
1994-04-28,0.59375
1994-04-29,0.625
1994-05-02,0.625
1994-05-03,0.59375
1994-05-04,0.65625
1994-05-05,0.65625
1994-05-06,0.59375
1994-05-09,0.59375
1994-05-10,0.609375
1994-05-11,0.59375
1994-05-12,0.609375
1994-05-13,0.609375
1994-05-16,0.59375
1994-05-17,0.59375
1994-05-18,0.609375
1994-05-19,0.609375
1994-05-20,0.65625
1994-05-23,0.59375
1994-05-24,0.59375
1994-05-25,0.59375
1994-05-26,0.59375
1994-05-27,0.625
1994-05-31,0.625
1994-06-01,0.625
1994-06-02,0.625
1994-06-03,0.59375
1994-06-06,0.59375
1994-06-07,0.625
1994-06-08,0.625
1994-06-09,0.59375
1994-06-10,0.59375
1994-06-13,0.59375
1994-06-14,0.59375
1994-06-15,0.640625
1994-06-16,0.625
1994-06-17,0.625
1994-06-20,0.65625
1994-06-21,0.65625
1994-06-22,0.65625
1994-06-23,0.59375
1994-06-24,0.59375
1994-06-27,0.59375
1994-06-28,0.59375
1994-06-29,0.625
1994-06-30,0.625
1994-07-01,0.5625
1994-07-05,0.5625
1994-07-06,0.5625
1994-07-07,0.5625
1994-07-08,0.5625
1994-07-11,0.5625
1994-07-12,0.5625
1994-07-13,0.59375
1994-07-14,0.59375
1994-07-15,0.5625
1994-07-18,0.5625
1994-07-19,0.5625
1994-07-20,0.5625
1994-07-21,0.5625
1994-07-22,0.59375
1994-07-25,0.59375
1994-07-26,0.5625
1994-07-27,0.5625
1994-07-28,0.5625
1994-07-29,0.5625
1994-08-01,0.5625
1994-08-02,0.609375
1994-08-03,0.5625
1994-08-04,0.5625
1994-08-05,0.578125
1994-08-08,0.578125
1994-08-09,0.5625
1994-08-10,0.5625
1994-08-11,0.625
1994-08-12,0.625
1994-08-15,0.59375
1994-08-16,0.578125
1994-08-17,0.578125
1994-08-18,0.59375
1994-08-19,0.59375
1994-08-22,0.5625
1994-08-23,0.5625
1994-08-24,0.59375
1994-08-25,0.59375
1994-08-26,0.609375
1994-08-29,0.609375
1994-08-30,0.59375
1994-08-31,0.59375
1994-09-01,0.59375
1994-09-02,0.59375
1994-09-06,0.59375
1994-09-07,0.59375
1994-09-08,0.625
1994-09-09,0.578125
1994-09-12,0.578125
1994-09-13,0.59375
1994-09-14,0.5625
1994-09-15,0.6015629768371582
1994-09-16,0.6015629768371582
1994-09-19,0.5625
1994-09-20,0.5625
1994-09-21,0.5625
1994-09-22,0.5625
1994-09-23,0.5625
1994-09-26,0.5546879768371582
1994-09-27,0.53125
1994-09-28,0.5625
1994-09-29,0.53125
1994-09-30,0.5625
1994-10-03,0.5625
1994-10-04,0.5625
1994-10-05,0.5625
1994-10-06,0.5625
1994-10-07,0.578125
1994-10-10,0.5625
1994-10-11,0.5625
1994-10-12,0.5625
1994-10-13,0.5625
1994-10-14,0.5625
1994-10-17,0.625
1994-10-18,0.5625
1994-10-19,0.625
1994-10-20,0.59375
1994-10-21,0.5625
1994-10-24,0.5625
1994-10-25,0.5625
1994-10-26,0.5625
1994-10-27,0.5625
1994-10-28,0.5859379768371582
1994-10-31,0.578125
1994-11-01,0.578125
1994-11-02,0.578125
1994-11-03,0.578125
1994-11-04,0.578125
1994-11-07,0.578125
1994-11-08,0.578125
1994-11-09,0.578125
1994-11-10,0.578125
1994-11-11,0.5625
1994-11-14,0.53125
1994-11-15,0.5625
1994-11-16,0.5625
1994-11-17,0.53125
1994-11-18,0.578125
1994-11-21,0.53125
1994-11-22,0.53125
1994-11-23,0.53125
1994-11-25,0.53125
1994-11-28,0.53125
1994-11-29,0.59375
1994-11-30,0.5625
1994-12-01,0.625
1994-12-02,0.59375
1994-12-05,0.59375
1994-12-06,0.59375
1994-12-07,0.59375
1994-12-08,0.5625
1994-12-09,0.578125
1994-12-12,0.578125
1994-12-13,0.53125
1994-12-14,0.53125
1994-12-15,0.59375
1994-12-16,0.59375
1994-12-19,0.53125
1994-12-20,0.53125
1994-12-21,0.578125
1994-12-22,0.53125
1994-12-23,0.53125
1994-12-27,0.53125
1994-12-28,0.53125
1994-12-29,0.5625
1994-12-30,0.53125
1995-01-03,0.546875
1995-01-04,0.5625
1995-01-05,0.53125
1995-01-06,0.53125
1995-01-09,0.53125
1995-01-10,0.53125
1995-01-11,0.625
1995-01-12,0.53125
1995-01-13,0.625
1995-01-16,0.53125
1995-01-17,0.546875
1995-01-18,0.5625
1995-01-19,0.5625
1995-01-20,0.515625
1995-01-23,0.546875
1995-01-24,0.515625
1995-01-25,0.515625
1995-01-26,0.5625
1995-01-27,0.6875
1995-01-30,0.640625
1995-01-31,0.65625
1995-02-01,0.6875
1995-02-02,0.6875
1995-02-03,0.65625
1995-02-06,0.671875
1995-02-07,0.65625
1995-02-08,0.640625
1995-02-09,0.640625
1995-02-10,0.65625
1995-02-13,0.640625
1995-02-14,0.65625
1995-02-15,0.640625
1995-02-16,0.65625
1995-02-17,0.65625
1995-02-21,0.640625
1995-02-22,0.640625
1995-02-23,0.640625
1995-02-24,0.65625
1995-02-27,0.671875
1995-02-28,0.625
1995-03-01,0.609375
1995-03-02,0.578125
1995-03-03,0.578125
1995-03-06,0.578125
1995-03-07,0.59375
1995-03-08,0.59375
1995-03-09,0.578125
1995-03-10,0.5625
1995-03-13,0.5625
1995-03-14,0.5625
1995-03-15,0.625
1995-03-16,0.578125
1995-03-17,0.578125
1995-03-20,0.578125
1995-03-21,0.578125
1995-03-22,0.609375
1995-03-23,0.65625
1995-03-24,0.625
1995-03-27,0.625
1995-03-28,0.65625
1995-03-29,0.6875
1995-03-30,0.6875
1995-03-31,0.65625
1995-04-03,0.71875
1995-04-04,0.65625
1995-04-05,0.703125
1995-04-06,0.6875
1995-04-07,0.71875
1995-04-10,0.71875
1995-04-11,0.75
1995-04-12,0.6875
1995-04-13,0.75
1995-04-17,0.75
1995-04-18,0.703125
1995-04-19,0.6875
1995-04-20,0.6875
1995-04-21,0.6875
1995-04-24,0.6875
1995-04-25,0.6875
