,HSL
2019-03-25,11050.0
2019-03-26,10400.0
2019-03-27,10850.0
2019-03-28,10400.0
2019-03-29,9890.0
2019-04-01,9200.0
2019-04-02,9000.0
2019-04-03,9280.0
2019-04-04,9000.0
2019-04-05,8800.0
2019-04-08,8600.0
2019-04-09,8300.0
2019-04-10,8500.0
2019-04-11,8600.0
2019-04-12,8840.0
2019-04-15,8840.0
2019-04-16,8980.0
2019-04-17,8900.0
2019-04-18,8800.0
2019-04-22,9210.0
2019-04-23,9600.0
2019-04-24,9850.0
2019-04-25,10000.0
2019-04-26,10000.0
2019-04-29,10000.0
2019-04-30,10000.0
2019-05-01,10000.0
2019-05-02,9900.0
2019-05-03,9900.0
2019-05-06,10100.0
2019-05-07,10350.0
2019-05-08,10350.0
2019-05-09,10150.0
2019-05-10,9800.0
2019-05-13,9890.0
2019-05-14,10000.0
2019-05-15,10000.0
2019-05-16,9990.0
2019-05-17,9950.0
2019-05-20,10000.0
2019-05-21,10300.0
2019-05-22,10400.0
2019-05-23,9970.0
2019-05-24,9970.0
2019-05-28,10000.0
2019-05-29,10000.0
2019-05-30,10100.0
2019-05-31,10000.0
2019-06-03,9900.0
2019-06-04,10000.0
2019-06-05,9950.0
2019-06-06,9950.0
2019-06-07,10200.0
2019-06-10,10900.0
2019-06-11,10500.0
2019-06-12,10000.0
2019-06-13,9300.0
2019-06-14,8800.0
2019-06-17,8960.0
2019-06-18,8480.0
2019-06-19,8060.0
2019-06-20,8230.0
2019-06-21,8150.0
2019-06-24,8010.0
2019-06-25,8020.0
2019-06-26,8100.0
2019-06-27,8000.0
2019-06-28,7970.0
2019-07-01,7960.0
2019-07-02,7960.0
2019-07-03,7950.0
2019-07-05,7870.0
2019-07-08,7830.0
2019-07-09,7830.0
2019-07-10,7800.0
2019-07-11,7800.0
2019-07-12,7800.0
2019-07-15,8000.0
2019-07-16,7980.0
2019-07-17,7950.0
2019-07-18,7860.0
2019-07-19,7800.0
2019-07-22,7550.0
2019-07-23,7400.0
2019-07-24,7400.0
2019-07-25,7400.0
2019-07-26,7400.0
2019-07-29,7400.0
2019-07-30,7400.0
2019-07-31,7750.0
2019-08-01,7750.0
2019-08-02,7820.0
2019-08-05,8100.0
2019-08-06,8100.0
2019-08-07,7900.0
2019-08-08,7890.0
2019-08-09,7890.0
2019-08-12,7920.0
2019-08-13,8130.0
2019-08-14,8690.0
2019-08-15,9290.0
2019-08-16,8900.0
2019-08-19,8850.0
2019-08-20,8850.0
2019-08-21,9000.0
2019-08-22,9100.0
2019-08-23,9080.0
2019-08-26,8890.0
2019-08-27,8900.0
2019-08-28,8850.0
2019-08-29,8900.0
2019-08-30,9160.0
2019-09-03,9150.0
2019-09-04,9100.0
2019-09-05,9050.0
2019-09-06,9080.0
2019-09-09,9050.0
2019-09-10,9000.0
2019-09-11,9200.0
2019-09-12,9200.0
2019-09-13,9840.0
2019-09-16,9390.0
2019-09-17,9290.0
2019-09-18,8640.0
2019-09-19,8040.0
2019-09-20,8000.0
2019-09-23,8200.0
2019-09-24,8000.0
2019-09-25,8000.0
2019-09-26,8000.0
2019-09-27,8050.0
2019-09-30,8000.0
2019-10-01,7890.0
2019-10-02,7890.0
2019-10-03,7730.0
2019-10-04,7770.0
2019-10-07,7760.0
2019-10-08,7800.0
2019-10-09,7720.0
2019-10-10,7650.0
2019-10-11,7510.0
2019-10-14,7780.0
2019-10-15,7850.0
2019-10-16,7820.0
2019-10-17,7600.0
2019-10-18,7600.0
2019-10-21,7580.0
2019-10-22,7580.0
2019-10-23,7620.0
2019-10-24,7760.0
2019-10-25,7950.0
2019-10-28,8100.0
2019-10-29,7940.0
2019-10-30,7900.0
2019-10-31,7900.0
2019-11-01,7880.0
2019-11-04,7690.0
2019-11-05,7680.0
2019-11-06,7690.0
2019-11-07,7700.0
2019-11-08,7760.0
2019-11-11,7700.0
2019-11-12,7680.0
2019-11-13,7650.0
2019-11-14,7650.0
2019-11-15,7650.0
2019-11-18,7640.0
2019-11-19,7630.0
2019-11-20,7640.0
2019-11-21,7630.0
2019-11-22,7580.0
2019-11-25,7600.0
2019-11-26,7500.0
2019-11-27,7750.0
2019-11-29,7590.0
2019-12-02,7600.0
2019-12-03,
2019-12-04,
2019-12-05,
2019-12-06,7610.0
2019-12-09,7700.0
2019-12-10,7650.0
2019-12-11,7650.0
2019-12-12,8120.0
2019-12-13,8100.0
2019-12-16,7950.0
2019-12-17,7700.0
2019-12-18,7590.0
2019-12-19,7590.0
2019-12-20,7590.0
2019-12-23,7620.0
2019-12-24,7570.0
2019-12-26,7570.0
2019-12-27,7560.0
2019-12-30,7500.0
2019-12-31,7460.0
2020-01-02,7540.0
2020-01-03,7530.0
2020-01-06,7480.0
2020-01-07,7480.0
2020-01-08,7440.0
2020-01-09,7520.0
2020-01-10,7500.0
2020-01-13,7440.0
2020-01-14,7420.0
2020-01-15,7420.0
2020-01-16,7420.0
2020-01-17,7420.0
2020-01-21,7400.0
2020-01-22,7480.0
2020-01-23,7480.0
2020-01-24,7480.0
2020-01-27,7480.0
2020-01-28,7480.0
2020-01-29,7480.0
2020-01-30,8000.0
2020-01-31,8190.0
2020-02-03,7700.0
2020-02-04,7170.0
2020-02-05,6670.0
2020-02-06,6270.0
2020-02-07,6130.0
2020-02-10,6030.0
2020-02-11,5890.0
2020-02-12,5720.0
2020-02-13,6120.0
2020-02-14,6540.0
2020-02-18,5761.47021484375
2020-02-19,5559.6298828125
2020-02-20,5660.5498046875
2020-02-21,5651.3798828125
2020-02-24,5284.39990234375
2020-02-25,5366.97021484375
2020-02-26,5247.7099609375
2020-02-27,5504.58984375
2020-02-28,5229.35986328125
2020-03-02,5192.66015625
2020-03-03,5275.22998046875
2020-03-04,5920.0
2020-03-05,5385.31982421875
2020-03-06,5321.10009765625
2020-03-09,4954.1298828125
2020-03-10,4935.77978515625
2020-03-11,4715.60009765625
2020-03-12,4394.5
2020-03-13,4247.7099609375
2020-03-16,4091.739990234375
2020-03-17,4128.43994140625
2020-03-18,4412.83984375
2020-03-19,4403.669921875
2020-03-20,4394.5
2020-03-23,4091.739990234375
2020-03-24,4082.570068359375
2020-03-25,4082.570068359375
2020-03-26,3798.169921875
2020-03-27,3577.97998046875
2020-03-30,3330.280029296875
2020-03-31,3100.919921875
2020-04-01,3293.580078125
2020-04-02,3293.580078125
2020-04-03,3522.93994140625
2020-04-06,3761.469970703125
2020-04-07,4018.35009765625
2020-04-08,4293.580078125
2020-04-09,4587.16015625
2020-04-13,5247.7099609375
2020-04-14,5614.68017578125
2020-04-15,6000.0
2020-04-16,5587.16015625
2020-04-17,5394.5
2020-04-20,5504.58984375
2020-04-21,5119.27001953125
2020-04-22,5045.8701171875
2020-04-23,5229.35986328125
2020-04-24,5137.60986328125
2020-04-27,5201.830078125
2020-04-28,5137.60986328125
2020-04-29,5137.60986328125
2020-04-30,5137.60986328125
2020-05-01,5137.60986328125
2020-05-04,5009.169921875
2020-05-05,5000.0
2020-05-06,4954.1298828125
2020-05-07,4972.47998046875
2020-05-08,5137.60986328125
2020-05-11,5137.60986328125
2020-05-12,5495.41015625
2020-05-13,5412.83984375
2020-05-14,5229.35986328125
2020-05-15,5229.35986328125
2020-05-18,5229.35986328125
2020-05-19,5229.35986328125
2020-05-20,5229.35986328125
2020-05-21,5128.43994140625
2020-05-22,5082.56982421875
2020-05-26,5082.56982421875
2020-05-27,4944.9501953125
2020-05-28,4917.43017578125
2020-05-29,4853.2099609375
2020-06-01,4899.080078125
2020-06-02,4853.2099609375
2020-06-03,4834.85986328125
2020-06-04,4807.33984375
2020-06-05,4816.509765625
2020-06-08,4816.509765625
2020-06-09,4816.509765625
2020-06-10,5229.35986328125
2020-06-11,4908.259765625
2020-06-12,4633.02978515625
2020-06-15,4633.02978515625
2020-06-16,4633.02978515625
2020-06-17,4770.64013671875
2020-06-18,4853.2099609375
2020-06-19,4816.509765625
2020-06-22,4899.080078125
2020-06-23,4862.39013671875
2020-06-24,4798.169921875
2020-06-25,4715.60009765625
2020-06-26,4743.1201171875
2020-06-29,4412.83984375
2020-06-30,4431.18994140625
2020-07-01,4541.27978515625
2020-07-02,4633.02978515625
2020-07-06,4568.81005859375
2020-07-07,4568.81005859375
2020-07-08,4513.759765625
2020-07-09,4449.5400390625
2020-07-10,4449.5400390625
2020-07-13,4495.41015625
2020-07-14,4477.06005859375
2020-07-15,4477.06005859375
2020-07-16,4495.41015625
2020-07-17,4458.72021484375
2020-07-20,4486.240234375
2020-07-21,4467.89013671875
2020-07-22,4486.240234375
2020-07-23,4449.5400390625
2020-07-24,4293.580078125
2020-07-27,4000.0
2020-07-28,4000.0
2020-07-29,3926.610107421875
2020-07-30,3908.260009765625
2020-07-31,3944.949951171875
2020-08-03,4211.009765625
2020-08-04,4220.18017578125
2020-08-05,4357.7998046875
2020-08-06,4403.669921875
2020-08-07,4357.7998046875
2020-08-10,4357.7998046875
2020-08-11,4220.18017578125
2020-08-12,4266.06005859375
2020-08-13,4247.7099609375
2020-08-14,4183.490234375
2020-08-17,4174.31005859375
2020-08-18,4174.31005859375
2020-08-19,4211.009765625
2020-08-20,4137.60986328125
2020-08-21,4211.009765625
2020-08-24,4394.5
2020-08-25,4366.97021484375
2020-08-26,4403.669921875
2020-08-27,4412.83984375
2020-08-28,4715.60009765625
2020-08-31,5036.7001953125
2020-09-01,5229.35986328125
2020-09-02,5229.35986328125
2020-09-03,4871.56005859375
2020-09-04,4706.419921875
2020-09-08,4697.25
2020-09-09,4706.419921875
2020-09-10,4816.509765625
2020-09-11,4816.509765625
2020-09-14,4669.72021484375
2020-09-15,4788.990234375
2020-09-16,4761.47021484375
2020-09-17,4816.509765625
2020-09-18,4816.509765625
2020-09-21,4752.2900390625
2020-09-22,4642.2001953125
2020-09-23,4678.89990234375
2020-09-24,4660.5498046875
2020-09-25,4660.5498046875
2020-09-28,4706.419921875
2020-09-29,4678.89990234375
2020-09-30,4724.77001953125
2020-10-01,4761.47021484375
2020-10-02,4761.47021484375
2020-10-05,4816.509765625
2020-10-06,4724.77001953125
2020-10-07,4724.77001953125
2020-10-08,4733.93994140625
2020-10-09,4697.25
2020-10-12,4715.60009765625
2020-10-13,4724.77001953125
2020-10-14,4651.3798828125
2020-10-15,4587.16015625
2020-10-16,4587.16015625
2020-10-19,4522.93994140625
2020-10-20,4495.41015625
2020-10-21,4422.02001953125
2020-10-22,4385.31982421875
2020-10-23,4504.58984375
2020-10-26,4458.72021484375
2020-10-27,4495.41015625
2020-10-28,4440.3701171875
2020-10-29,4486.240234375
2020-10-30,4376.14990234375
2020-11-02,4293.580078125
2020-11-03,4330.27978515625
2020-11-04,4256.8798828125
2020-11-05,4302.75
2020-11-06,4495.41015625
2020-11-09,4477.06005859375
2020-11-10,4403.669921875
2020-11-11,4357.7998046875
2020-11-12,4394.5
2020-11-13,4431.18994140625
2020-11-16,4458.72021484375
2020-11-17,4431.18994140625
2020-11-18,4467.89013671875
2020-11-19,4770.0
2020-11-20,4850.0
2020-11-23,4930.0
2020-11-24,4800.0
2020-11-25,4810.0
2020-11-27,4750.0
2020-11-30,4840.0
2020-12-01,4880.0
2020-12-02,4900.0
2020-12-03,4900.0
2020-12-04,5130.0
2020-12-07,5390.0
2020-12-08,5590.0
2020-12-09,5490.0
2020-12-10,5870.0
2020-12-11,6270.0
2020-12-14,6700.0
2020-12-15,7000.0
2020-12-16,6510.0
2020-12-17,6060.0
2020-12-18,6230.0
2020-12-21,6200.0
2020-12-22,6040.0
2020-12-23,5880.0
2020-12-24,5790.0
2020-12-28,6170.0
2020-12-29,6070.0
2020-12-30,6070.0
2020-12-31,6090.0
2021-01-04,6200.0
2021-01-05,6250.0
2021-01-06,6240.0
2021-01-07,6160.0
2021-01-08,6220.0
2021-01-11,6180.0
2021-01-12,6200.0
2021-01-13,6630.0
2021-01-14,6830.0
2021-01-15,6630.0
2021-01-19,6380.0
2021-01-20,5950.0
2021-01-21,6150.0
2021-01-22,6380.0
2021-01-25,6000.0
2021-01-26,5860.0
2021-01-27,5600.0
2021-01-28,5210.0
2021-01-29,5100.0
2021-02-01,4800.0
2021-02-02,4980.0
2021-02-03,5090.0
2021-02-04,5100.0
2021-02-05,5400.0
2021-02-08,5150.0
2021-02-09,5150.0
2021-02-10,5150.0
2021-02-11,5150.0
2021-02-12,5150.0
2021-02-16,5150.0
2021-02-17,5540.0
2021-02-18,5620.0
2021-02-19,5520.0
2021-02-22,5310.0
2021-02-23,5680.0
2021-02-24,5680.0
2021-02-25,5680.0
2021-02-26,6940.0
2021-03-01,6560.0
2021-03-02,6390.0
2021-03-03,6490.0
2021-03-04,6200.0
2021-03-05,6400.0
2021-03-08,6300.0
2021-03-09,6200.0
2021-03-10,6340.0
2021-03-11,6300.0
2021-03-12,6290.0
2021-03-15,6730.0
2021-03-16,6600.0
2021-03-17,6500.0
2021-03-18,6450.0
2021-03-19,6300.0
2021-03-22,6420.0
2021-03-23,6680.0
2021-03-24,6500.0
2021-03-25,6480.0
2021-03-26,6400.0
2021-03-29,6700.0
2021-03-30,7160.0
2021-03-31,7500.0
2021-04-01,7390.0
2021-04-05,7300.0
2021-04-06,7500.0
2021-04-07,7710.0
2021-04-08,7950.0
2021-04-09,7850.0
2021-04-12,8050.0
2021-04-13,7800.0
2021-04-14,7900.0
2021-04-15,7720.0
2021-04-16,7580.0
2021-04-19,7400.0
2021-04-20,7590.0
2021-04-21,7590.0
2021-04-22,7100.0
2021-04-23,7230.0
2021-04-26,6980.0
2021-04-27,6750.0
2021-04-28,6800.0
2021-04-29,7270.0
2021-04-30,7270.0
2021-05-03,7270.0
2021-05-04,7100.0
2021-05-05,7300.0
2021-05-06,7180.0
2021-05-07,7050.0
2021-05-10,6820.0
2021-05-11,7190.0
2021-05-12,7180.0
2021-05-13,7040.0
2021-05-14,6950.0
