,BLKB
2006-08-31,23.149999618530273
2006-09-01,23.3799991607666
2006-09-05,23.489999771118164
2006-09-06,23.209999084472656
2006-09-07,22.40999984741211
2006-09-08,23.110000610351562
2006-09-11,22.530000686645508
2006-09-12,22.719999313354492
2006-09-13,22.899999618530273
2006-09-14,22.770000457763672
2006-09-15,22.739999771118164
2006-09-18,22.84000015258789
2006-09-19,22.25
2006-09-20,22.989999771118164
2006-09-21,22.639999389648438
2006-09-22,22.40999984741211
2006-09-25,22.959999084472656
2006-09-26,23.0
2006-09-27,23.43000030517578
2006-09-28,22.860000610351562
2006-09-29,21.989999771118164
2006-10-02,23.1200008392334
2006-10-03,23.700000762939453
2006-10-04,24.049999237060547
2006-10-05,24.0
2006-10-06,23.540000915527344
2006-10-09,23.6200008392334
2006-10-10,23.760000228881836
2006-10-11,24.520000457763672
2006-10-12,25.229999542236328
2006-10-13,25.420000076293945
2006-10-16,25.549999237060547
2006-10-17,25.1299991607666
2006-10-18,25.149999618530273
2006-10-19,25.06999969482422
2006-10-20,24.950000762939453
2006-10-23,25.260000228881836
2006-10-24,25.030000686645508
2006-10-25,25.1200008392334
2006-10-26,25.489999771118164
2006-10-27,24.200000762939453
2006-10-30,23.389999389648438
2006-10-31,25.0
2006-11-01,24.18000030517578
2006-11-02,24.020000457763672
2006-11-03,25.020000457763672
2006-11-06,25.459999084472656
2006-11-07,26.459999084472656
2006-11-08,26.75
2006-11-09,26.34000015258789
2006-11-10,26.739999771118164
2006-11-13,26.799999237060547
2006-11-14,27.1299991607666
2006-11-15,27.610000610351562
2006-11-16,27.770000457763672
2006-11-17,27.15999984741211
2006-11-20,27.540000915527344
2006-11-21,26.639999389648438
2006-11-22,26.8700008392334
2006-11-24,26.5
2006-11-27,25.8700008392334
2006-11-28,25.770000457763672
2006-11-29,25.899999618530273
2006-11-30,25.809999465942383
2006-12-01,25.40999984741211
2006-12-04,25.989999771118164
2006-12-05,25.809999465942383
2006-12-06,25.420000076293945
2006-12-07,25.649999618530273
2006-12-08,25.989999771118164
2006-12-11,26.15999984741211
2006-12-12,26.030000686645508
2006-12-13,26.34000015258789
2006-12-14,26.690000534057617
2006-12-15,26.950000762939453
