,AEPPZ
2021-04-08,49.88999938964844
2021-04-09,50.06999969482422
2021-04-12,50.130001068115234
2021-04-13,50.47999954223633
2021-04-14,50.279998779296875
2021-04-15,50.88999938964844
2021-04-16,51.220001220703125
2021-04-19,51.08000183105469
2021-04-20,51.790000915527344
2021-04-21,51.2599983215332
2021-04-22,50.779998779296875
2021-04-23,50.63999938964844
2021-04-26,50.779998779296875
2021-04-27,50.650001525878906
2021-04-28,50.61000061035156
2021-04-29,51.209999084472656
2021-04-30,51.18000030517578
2021-05-03,51.38999938964844
2021-05-04,51.34000015258789
2021-05-05,50.95000076293945
2021-05-06,51.189998626708984
2021-05-07,51.34000015258789
2021-05-10,51.90999984741211
2021-05-11,51.08000183105469
2021-05-12,50.34000015258789
2021-05-13,50.130001068115234
2021-05-14,50.31999969482422
