,AAWW
2006-11-13,38.2400016784668
2006-11-14,37.279998779296875
2006-11-15,37.7599983215332
2006-11-16,37.900001525878906
2006-11-17,37.599998474121094
2006-11-20,37.529998779296875
2006-11-21,40.040000915527344
2006-11-22,39.869998931884766
2006-11-24,40.13999938964844
2006-11-27,40.02000045776367
2006-11-28,40.279998779296875
2006-11-29,42.029998779296875
2006-11-30,42.34000015258789
2006-12-01,42.369998931884766
2006-12-04,43.40999984741211
2006-12-05,43.38999938964844
2006-12-06,43.810001373291016
2006-12-07,44.52000045776367
2006-12-08,45.2599983215332
2006-12-11,45.540000915527344
2006-12-12,45.72999954223633
2006-12-13,45.91999816894531
2006-12-14,46.369998931884766
2006-12-15,46.47999954223633
2006-12-18,45.90999984741211
2006-12-19,45.72999954223633
2006-12-20,45.83000183105469
2006-12-21,44.959999084472656
2006-12-22,44.959999084472656
2006-12-26,44.849998474121094
2006-12-27,45.25
2006-12-28,44.91999816894531
2006-12-29,44.5
2007-01-03,44.0
2007-01-04,45.279998779296875
2007-01-05,45.15999984741211
2007-01-08,45.61000061035156
2007-01-09,46.060001373291016
2007-01-10,45.9900016784668
2007-01-11,46.95000076293945
2007-01-12,47.119998931884766
2007-01-16,47.380001068115234
2007-01-17,47.220001220703125
2007-01-18,47.709999084472656
2007-01-19,47.58000183105469
2007-01-22,46.7400016784668
2007-01-23,46.77000045776367
2007-01-24,47.72999954223633
2007-01-25,47.47999954223633
2007-01-26,47.400001525878906
2007-01-29,47.5
2007-01-30,47.22999954223633
2007-01-31,47.95000076293945
2007-02-01,49.0
2007-02-02,49.38999938964844
2007-02-05,49.02000045776367
2007-02-06,49.47999954223633
2007-02-07,49.18000030517578
2007-02-08,49.77000045776367
2007-02-09,49.16999816894531
2007-02-12,49.869998931884766
2007-02-13,50.25
2007-02-14,50.529998779296875
2007-02-15,50.150001525878906
2007-02-16,49.939998626708984
2007-02-20,50.22999954223633
2007-02-21,50.099998474121094
2007-02-22,50.400001525878906
2007-02-23,50.33000183105469
2007-02-26,50.0099983215332
2007-02-27,48.52000045776367
2007-02-28,48.849998474121094
2007-03-01,49.209999084472656
2007-03-02,48.619998931884766
2007-03-05,47.13999938964844
2007-03-06,47.220001220703125
2007-03-07,47.13999938964844
2007-03-08,49.529998779296875
2007-03-09,49.099998474121094
2007-03-12,50.61000061035156
2007-03-13,49.7599983215332
2007-03-14,51.33000183105469
2007-03-15,52.02000045776367
2007-03-16,53.220001220703125
2007-03-19,52.9900016784668
2007-03-20,53.720001220703125
2007-03-21,54.290000915527344
2007-03-22,53.97999954223633
2007-03-23,53.54999923706055
2007-03-26,53.369998931884766
2007-03-27,53.0
2007-03-28,52.45000076293945
2007-03-29,52.7400016784668
2007-03-30,52.72999954223633
2007-04-02,53.689998626708984
2007-04-03,55.31999969482422
2007-04-04,55.59000015258789
2007-04-05,56.119998931884766
2007-04-09,55.630001068115234
2007-04-10,56.099998474121094
2007-04-11,55.88999938964844
2007-04-12,56.77000045776367
2007-04-13,58.41999816894531
2007-04-16,59.79999923706055
2007-04-17,59.20000076293945
2007-04-18,58.459999084472656
2007-04-19,58.540000915527344
2007-04-20,59.81999969482422
2007-04-23,59.540000915527344
2007-04-24,58.560001373291016
2007-04-25,59.029998779296875
2007-04-26,59.279998779296875
2007-04-27,58.689998626708984
2007-04-30,57.52000045776367
2007-05-01,57.5
2007-05-02,58.619998931884766
2007-05-03,58.25
2007-05-04,59.25
2007-05-07,59.5
2007-05-08,59.630001068115234
2007-05-09,58.900001525878906
2007-05-10,59.0
2007-05-11,59.220001220703125
2007-05-14,58.5
2007-05-15,58.27000045776367
2007-05-16,59.0
2007-05-17,58.45000076293945
2007-05-18,58.529998779296875
2007-05-21,58.72999954223633
2007-05-22,59.0
2007-05-23,58.34000015258789
2007-05-24,57.58000183105469
2007-05-25,58.2400016784668
2007-05-29,58.88999938964844
2007-05-30,58.70000076293945
2007-05-31,58.630001068115234
2007-06-01,58.790000915527344
2007-06-04,58.29999923706055
2007-06-05,57.720001220703125
2007-06-06,57.31999969482422
2007-06-07,56.52000045776367
2007-06-08,57.560001373291016
2007-06-11,57.689998626708984
2007-06-12,56.529998779296875
2007-06-13,56.54999923706055
2007-06-14,57.060001373291016
2007-06-15,58.220001220703125
2007-06-18,58.47999954223633
2007-06-19,58.5
2007-06-20,58.5099983215332
2007-06-21,58.599998474121094
2007-06-22,58.560001373291016
2007-06-25,58.040000915527344
2007-06-26,57.68000030517578
2007-06-27,58.439998626708984
2007-06-28,59.720001220703125
2007-06-29,58.939998626708984
2007-07-02,59.58000183105469
2007-07-03,60.04999923706055
2007-07-05,60.119998931884766
2007-07-06,60.83000183105469
2007-07-09,60.290000915527344
2007-07-10,59.13999938964844
2007-07-11,59.439998626708984
2007-07-12,59.9900016784668
2007-07-13,60.36000061035156
2007-07-16,59.65999984741211
2007-07-17,60.040000915527344
2007-07-18,60.220001220703125
2007-07-19,59.84000015258789
2007-07-20,59.119998931884766
2007-07-23,58.81999969482422
2007-07-24,57.619998931884766
2007-07-25,57.150001525878906
2007-07-26,55.61000061035156
2007-07-27,53.380001068115234
2007-07-30,54.310001373291016
2007-07-31,54.209999084472656
2007-08-01,54.9900016784668
2007-08-02,54.880001068115234
2007-08-03,54.36000061035156
2007-08-06,53.75
2007-08-07,54.20000076293945
2007-08-08,54.16999816894531
2007-08-09,52.40999984741211
2007-08-10,52.31999969482422
2007-08-13,52.88999938964844
2007-08-14,52.400001525878906
2007-08-15,50.86000061035156
2007-08-16,50.29999923706055
2007-08-17,50.439998626708984
2007-08-20,50.400001525878906
2007-08-21,50.869998931884766
2007-08-22,51.22999954223633
2007-08-23,50.79999923706055
2007-08-24,51.20000076293945
2007-08-27,50.56999969482422
2007-08-28,48.939998626708984
2007-08-29,50.58000183105469
2007-08-30,50.279998779296875
2007-08-31,50.7400016784668
2007-09-04,50.970001220703125
2007-09-05,50.869998931884766
2007-09-06,50.90999984741211
2007-09-07,50.18000030517578
2007-09-10,49.22999954223633
2007-09-11,49.959999084472656
2007-09-12,51.43000030517578
2007-09-13,52.959999084472656
2007-09-14,52.52000045776367
2007-09-17,51.540000915527344
2007-09-18,53.439998626708984
2007-09-19,54.54999923706055
2007-09-20,53.95000076293945
2007-09-21,53.900001525878906
2007-09-24,53.099998474121094
2007-09-25,53.560001373291016
2007-09-26,53.18000030517578
2007-09-27,52.939998626708984
2007-09-28,51.630001068115234
2007-10-01,52.68000030517578
2007-10-02,52.75
2007-10-03,52.52000045776367
2007-10-04,52.220001220703125
2007-10-05,54.36000061035156
2007-10-08,53.90999984741211
2007-10-09,54.27000045776367
2007-10-10,54.66999816894531
2007-10-11,54.189998626708984
2007-10-12,54.52000045776367
2007-10-15,55.77000045776367
2007-10-16,56.0
2007-10-17,56.63999938964844
2007-10-18,56.90999984741211
2007-10-19,56.2400016784668
2007-10-22,57.09000015258789
2007-10-23,57.400001525878906
2007-10-24,57.47999954223633
2007-10-25,57.54999923706055
2007-10-26,58.220001220703125
2007-10-29,58.06999969482422
2007-10-30,58.22999954223633
2007-10-31,58.59000015258789
2007-11-01,57.16999816894531
2007-11-02,57.599998474121094
2007-11-05,57.45000076293945
2007-11-06,57.38999938964844
2007-11-07,56.150001525878906
2007-11-08,56.599998474121094
2007-11-09,55.130001068115234
2007-11-12,55.5099983215332
2007-11-13,55.86000061035156
2007-11-14,56.68000030517578
2007-11-15,56.02000045776367
2007-11-16,55.810001373291016
2007-11-19,53.95000076293945
2007-11-20,54.400001525878906
2007-11-21,53.84000015258789
2007-11-23,53.9900016784668
2007-11-26,52.29999923706055
2007-11-27,52.02000045776367
2007-11-28,52.58000183105469
2007-11-29,52.36000061035156
2007-11-30,52.650001525878906
2007-12-03,52.630001068115234
2007-12-04,52.630001068115234
2007-12-05,53.06999969482422
2007-12-06,54.09000015258789
2007-12-07,54.119998931884766
2007-12-10,53.939998626708984
2007-12-11,53.66999816894531
2007-12-12,54.2400016784668
2007-12-13,54.040000915527344
2007-12-14,52.5
2007-12-17,52.75
2007-12-18,53.349998474121094
2007-12-19,53.20000076293945
2007-12-20,54.27000045776367
2007-12-21,55.61000061035156
2007-12-24,55.540000915527344
2007-12-26,55.459999084472656
2007-12-27,53.779998779296875
2007-12-28,53.599998474121094
2007-12-31,54.220001220703125
2008-01-02,52.599998474121094
2008-01-03,52.939998626708984
2008-01-04,52.02000045776367
2008-01-07,51.91999816894531
2008-01-08,50.0
2008-01-09,48.099998474121094
2008-01-10,49.970001220703125
2008-01-11,49.310001373291016
2008-01-14,51.099998474121094
2008-01-15,50.290000915527344
2008-01-16,51.08000183105469
2008-01-17,49.790000915527344
2008-01-18,50.09000015258789
2008-01-22,49.810001373291016
2008-01-23,49.9900016784668
2008-01-24,49.56999969482422
2008-01-25,49.63999938964844
2008-01-28,49.90999984741211
2008-01-29,49.810001373291016
2008-01-30,48.66999816894531
2008-01-31,49.939998626708984
2008-02-01,49.95000076293945
2008-02-04,49.90999984741211
2008-02-05,49.529998779296875
2008-02-06,49.5
2008-02-07,49.2599983215332
2008-02-08,49.209999084472656
2008-02-11,49.459999084472656
2008-02-12,49.41999816894531
2008-02-13,49.52000045776367
2008-02-14,48.959999084472656
2008-02-15,48.54999923706055
2008-02-19,48.5099983215332
2008-02-20,49.400001525878906
2008-02-21,47.58000183105469
2008-02-22,47.130001068115234
2008-02-25,47.970001220703125
2008-02-26,49.25
2008-02-27,51.86000061035156
2008-02-28,51.5099983215332
2008-02-29,50.599998474121094
2008-03-03,50.29999923706055
2008-03-04,50.849998474121094
2008-03-05,50.529998779296875
2008-03-06,50.5
2008-03-07,50.86000061035156
2008-03-10,50.70000076293945
2008-03-11,53.54999923706055
2008-03-12,52.86000061035156
2008-03-13,53.720001220703125
2008-03-14,51.70000076293945
2008-03-17,50.75
2008-03-18,51.16999816894531
2008-03-19,51.31999969482422
2008-03-20,52.970001220703125
2008-03-24,53.5
2008-03-25,53.72999954223633
2008-03-26,53.66999816894531
2008-03-27,53.0099983215332
2008-03-28,53.119998931884766
2008-03-31,55.0
2008-04-01,57.150001525878906
2008-04-02,57.279998779296875
2008-04-03,58.61000061035156
2008-04-04,59.25
2008-04-07,59.189998626708984
2008-04-08,59.18000030517578
2008-04-09,57.95000076293945
2008-04-10,58.5099983215332
2008-04-11,57.45000076293945
2008-04-14,58.540000915527344
2008-04-15,58.59000015258789
2008-04-16,59.900001525878906
2008-04-17,59.33000183105469
2008-04-18,59.27000045776367
2008-04-21,59.04999923706055
2008-04-22,57.29999923706055
2008-04-23,58.470001220703125
2008-04-24,59.040000915527344
2008-04-25,59.5
2008-04-28,60.400001525878906
2008-04-29,60.959999084472656
2008-04-30,60.68000030517578
2008-05-01,62.20000076293945
2008-05-02,61.720001220703125
2008-05-05,61.56999969482422
2008-05-06,61.459999084472656
2008-05-07,59.849998474121094
2008-05-08,61.380001068115234
2008-05-09,60.9900016784668
2008-05-12,63.29999923706055
2008-05-13,63.63999938964844
2008-05-14,64.91999816894531
2008-05-15,64.62999725341797
2008-05-16,64.9000015258789
2008-05-19,64.2300033569336
2008-05-20,62.61000061035156
2008-05-21,63.470001220703125
2008-05-22,62.5099983215332
2008-05-23,61.7599983215332
2008-05-27,61.810001373291016
2008-05-28,61.2599983215332
2008-05-29,62.029998779296875
2008-05-30,61.900001525878906
2008-06-02,61.34000015258789
2008-06-03,61.16999816894531
2008-06-04,62.310001373291016
2008-06-05,62.75
2008-06-06,59.970001220703125
2008-06-09,59.599998474121094
2008-06-10,60.279998779296875
2008-06-11,58.279998779296875
2008-06-12,57.7599983215332
2008-06-13,59.45000076293945
2008-06-16,57.79999923706055
2008-06-17,57.75
2008-06-18,55.540000915527344
2008-06-19,56.84000015258789
2008-06-20,55.470001220703125
2008-06-23,55.060001373291016
2008-06-24,53.209999084472656
2008-06-25,53.04999923706055
2008-06-26,51.72999954223633
2008-06-27,50.27000045776367
2008-06-30,49.459999084472656
2008-07-01,46.95000076293945
2008-07-02,45.38999938964844
2008-07-03,45.40999984741211
2008-07-07,43.90999984741211
2008-07-08,45.25
2008-07-09,45.060001373291016
2008-07-10,45.900001525878906
2008-07-11,45.779998779296875
2008-07-14,45.310001373291016
2008-07-15,45.52000045776367
2008-07-16,49.040000915527344
2008-07-17,49.06999969482422
2008-07-18,48.41999816894531
2008-07-21,48.790000915527344
2008-07-22,50.599998474121094
2008-07-23,49.47999954223633
2008-07-24,48.18000030517578
2008-07-25,48.689998626708984
2008-07-28,47.66999816894531
2008-07-29,48.040000915527344
2008-07-30,47.619998931884766
2008-07-31,48.130001068115234
2008-08-01,48.11000061035156
2008-08-04,46.66999816894531
2008-08-05,47.209999084472656
2008-08-06,47.02000045776367
2008-08-07,48.599998474121094
2008-08-08,51.349998474121094
2008-08-11,53.70000076293945
2008-08-12,52.66999816894531
2008-08-13,52.130001068115234
2008-08-14,53.33000183105469
2008-08-15,53.4900016784668
2008-08-18,52.93000030517578
2008-08-19,52.27000045776367
2008-08-20,51.349998474121094
2008-08-21,51.29999923706055
2008-08-22,53.630001068115234
2008-08-25,54.13999938964844
2008-08-26,55.220001220703125
2008-08-27,55.08000183105469
2008-08-28,57.45000076293945
2008-08-29,57.7400016784668
2008-09-02,57.25
2008-09-03,55.959999084472656
2008-09-04,53.81999969482422
2008-09-05,52.5099983215332
2008-09-08,53.119998931884766
2008-09-09,47.7599983215332
2008-09-10,49.91999816894531
2008-09-11,50.61000061035156
2008-09-12,51.290000915527344
2008-09-15,49.06999969482422
2008-09-16,48.029998779296875
2008-09-17,45.93000030517578
2008-09-18,48.63999938964844
2008-09-19,51.560001373291016
2008-09-22,49.97999954223633
2008-09-23,47.689998626708984
2008-09-24,45.630001068115234
2008-09-25,45.88999938964844
2008-09-26,43.59000015258789
2008-09-29,37.939998626708984
2008-09-30,40.310001373291016
2008-10-01,38.09000015258789
2008-10-02,34.59000015258789
2008-10-03,33.84000015258789
2008-10-06,30.579999923706055
2008-10-07,27.729999542236328
2008-10-08,26.579999923706055
2008-10-09,26.90999984741211
2008-10-10,23.0
2008-10-13,26.950000762939453
2008-10-14,30.06999969482422
2008-10-15,26.200000762939453
2008-10-16,26.920000076293945
2008-10-17,28.8799991607666
2008-10-20,29.299999237060547
2008-10-21,29.0
2008-10-22,26.100000381469727
2008-10-23,23.850000381469727
2008-10-24,22.5
2008-10-27,18.940000534057617
2008-10-28,18.959999084472656
2008-10-29,17.799999237060547
2008-10-30,18.479999542236328
2008-10-31,19.31999969482422
2008-11-03,20.979999542236328
2008-11-04,22.760000228881836
2008-11-05,22.709999084472656
2008-11-06,21.030000686645508
2008-11-07,22.0
2008-11-10,21.729999542236328
2008-11-11,19.780000686645508
2008-11-12,16.34000015258789
2008-11-13,17.809999465942383
2008-11-14,15.899999618530273
2008-11-17,15.15999984741211
2008-11-18,10.920000076293945
2008-11-19,11.100000381469727
2008-11-20,9.050000190734863
2008-11-21,9.90999984741211
2008-11-24,12.59000015258789
2008-11-25,13.920000076293945
2008-11-26,15.470000267028809
2008-11-28,15.300000190734863
2008-12-01,12.149999618530273
2008-12-02,13.489999771118164
2008-12-03,13.970000267028809
2008-12-04,13.119999885559082
2008-12-05,13.34000015258789
2008-12-08,15.260000228881836
2008-12-09,15.729999542236328
2008-12-10,16.43000030517578
2008-12-11,14.800000190734863
2008-12-12,15.890000343322754
2008-12-15,14.460000038146973
2008-12-16,15.09000015258789
2008-12-17,16.079999923706055
2008-12-18,14.970000267028809
2008-12-19,16.3700008392334
2008-12-22,16.100000381469727
2008-12-23,16.18000030517578
2008-12-24,16.559999465942383
2008-12-26,17.469999313354492
2008-12-29,16.780000686645508
2008-12-30,17.309999465942383
2008-12-31,18.899999618530273
2009-01-02,20.020000457763672
2009-01-05,20.43000030517578
2009-01-06,21.93000030517578
2009-01-07,22.950000762939453
2009-01-08,24.049999237060547
2009-01-09,23.239999771118164
2009-01-12,21.459999084472656
2009-01-13,20.600000381469727
2009-01-14,18.329999923706055
2009-01-15,18.93000030517578
2009-01-16,18.059999465942383
2009-01-20,16.450000762939453
2009-01-21,17.559999465942383
2009-01-22,16.989999771118164
2009-01-23,16.200000762939453
2009-01-26,16.610000610351562
2009-01-27,16.790000915527344
2009-01-28,17.389999389648438
2009-01-29,15.779999732971191
2009-01-30,14.510000228881836
2009-02-02,13.039999961853027
2009-02-03,11.779999732971191
2009-02-04,12.970000267028809
2009-02-05,13.34000015258789
2009-02-06,16.950000762939453
2009-02-09,17.3700008392334
2009-02-10,16.540000915527344
2009-02-11,16.420000076293945
2009-02-12,16.309999465942383
2009-02-13,15.869999885559082
2009-02-17,14.680000305175781
2009-02-18,14.0
2009-02-19,14.229999542236328
2009-02-20,13.779999732971191
2009-02-23,12.989999771118164
2009-02-24,14.899999618530273
2009-02-25,14.380000114440918
2009-02-26,13.920000076293945
2009-02-27,14.140000343322754
2009-03-02,12.369999885559082
2009-03-03,11.989999771118164
2009-03-04,12.050000190734863
2009-03-05,10.3100004196167
2009-03-06,10.710000038146973
2009-03-09,10.029999732971191
2009-03-10,11.3100004196167
2009-03-11,11.600000381469727
2009-03-12,12.829999923706055
2009-03-13,13.59000015258789
2009-03-16,13.510000228881836
2009-03-17,14.470000267028809
2009-03-18,16.600000381469727
2009-03-19,17.079999923706055
2009-03-20,16.270000457763672
2009-03-23,20.030000686645508
2009-03-24,18.25
2009-03-25,18.420000076293945
2009-03-26,19.270000457763672
2009-03-27,17.899999618530273
2009-03-30,16.239999771118164
2009-03-31,17.350000381469727
2009-04-01,17.959999084472656
2009-04-02,19.579999923706055
2009-04-03,19.81999969482422
2009-04-06,18.969999313354492
2009-04-07,17.540000915527344
2009-04-08,18.139999389648438
2009-04-09,21.059999465942383
2009-04-13,22.3799991607666
2009-04-14,21.690000534057617
2009-04-15,22.020000457763672
2009-04-16,23.989999771118164
2009-04-17,24.3799991607666
2009-04-20,20.93000030517578
2009-04-21,24.280000686645508
2009-04-22,23.940000534057617
2009-04-23,23.600000381469727
2009-04-24,25.65999984741211
2009-04-27,23.940000534057617
2009-04-28,24.34000015258789
2009-04-29,26.270000457763672
2009-04-30,26.549999237060547
2009-05-01,28.049999237060547
2009-05-04,28.899999618530273
2009-05-05,31.09000015258789
2009-05-06,32.68000030517578
2009-05-07,29.469999313354492
2009-05-08,29.56999969482422
2009-05-11,29.31999969482422
2009-05-12,25.899999618530273
2009-05-13,22.670000076293945
2009-05-14,23.389999389648438
2009-05-15,23.739999771118164
2009-05-18,24.860000610351562
2009-05-19,24.959999084472656
2009-05-20,23.469999313354492
2009-05-21,22.479999542236328
2009-05-22,23.280000686645508
2009-05-26,24.739999771118164
2009-05-27,24.760000228881836
2009-05-28,24.969999313354492
2009-05-29,25.8799991607666
2009-06-01,26.18000030517578
2009-06-02,26.06999969482422
2009-06-03,25.739999771118164
2009-06-04,26.31999969482422
2009-06-05,26.06999969482422
2009-06-08,24.420000076293945
2009-06-09,24.969999313354492
2009-06-10,25.549999237060547
2009-06-11,25.18000030517578
2009-06-12,24.670000076293945
2009-06-15,24.09000015258789
2009-06-16,22.84000015258789
2009-06-17,22.639999389648438
2009-06-18,23.40999984741211
2009-06-19,23.84000015258789
2009-06-22,22.040000915527344
2009-06-23,21.059999465942383
2009-06-24,21.3799991607666
2009-06-25,22.510000228881836
2009-06-26,23.969999313354492
2009-06-29,23.780000686645508
2009-06-30,23.190000534057617
2009-07-01,23.8799991607666
2009-07-02,22.270000457763672
2009-07-06,22.09000015258789
2009-07-07,21.1200008392334
2009-07-08,21.010000228881836
2009-07-09,20.6200008392334
2009-07-10,21.389999389648438
2009-07-13,20.829999923706055
2009-07-14,21.350000381469727
2009-07-15,22.6200008392334
2009-07-16,23.09000015258789
2009-07-17,23.010000228881836
2009-07-20,23.469999313354492
2009-07-21,23.1200008392334
2009-07-22,23.610000610351562
2009-07-23,24.15999984741211
2009-07-24,24.530000686645508
2009-07-27,24.5
2009-07-28,24.780000686645508
2009-07-29,24.989999771118164
2009-07-30,25.309999465942383
2009-07-31,24.959999084472656
2009-08-03,25.68000030517578
2009-08-04,25.690000534057617
2009-08-05,28.450000762939453
2009-08-06,27.989999771118164
2009-08-07,28.100000381469727
2009-08-10,28.149999618530273
2009-08-11,27.959999084472656
2009-08-12,28.0
2009-08-13,26.979999542236328
2009-08-14,25.59000015258789
2009-08-17,24.649999618530273
2009-08-18,24.3700008392334
2009-08-19,24.040000915527344
2009-08-20,23.799999237060547
2009-08-21,24.389999389648438
2009-08-24,23.959999084472656
2009-08-25,23.989999771118164
2009-08-26,24.8799991607666
2009-08-27,24.170000076293945
2009-08-28,25.18000030517578
2009-08-31,24.940000534057617
2009-09-01,24.149999618530273
2009-09-02,23.450000762939453
2009-09-03,23.559999465942383
2009-09-04,24.459999084472656
2009-09-08,24.5
2009-09-09,25.270000457763672
2009-09-10,26.780000686645508
2009-09-11,29.0
2009-09-14,29.530000686645508
2009-09-15,29.479999542236328
2009-09-16,30.959999084472656
2009-09-17,31.770000457763672
2009-09-18,32.0
2009-09-21,31.809999465942383
2009-09-22,33.29999923706055
2009-09-23,33.88999938964844
2009-09-24,32.88999938964844
2009-09-25,31.989999771118164
2009-09-28,32.189998626708984
2009-09-29,32.279998779296875
2009-09-30,31.969999313354492
2009-10-01,29.5
2009-10-02,29.25
