,BANX
2014-04-29,25.0
2014-04-30,25.0
2014-05-01,24.75
2014-05-02,25.200000762939453
2014-05-05,25.389999389648438
2014-05-06,25.100000381469727
2014-05-07,25.0
2014-05-08,24.899999618530273
2014-05-09,25.100000381469727
2014-05-12,25.149999618530273
2014-05-13,25.139999389648438
2014-05-14,24.989999771118164
2014-05-15,25.239999771118164
2014-05-16,25.299999237060547
2014-05-19,25.149999618530273
2014-05-20,25.100000381469727
2014-05-21,25.110000610351562
2014-05-22,25.190000534057617
2014-05-23,25.25
2014-05-27,25.270000457763672
2014-05-28,25.579999923706055
2014-05-29,25.5
2014-05-30,25.299999237060547
2014-06-02,25.739999771118164
2014-06-03,25.399999618530273
2014-06-04,26.149999618530273
2014-06-05,25.600000381469727
2014-06-06,26.100000381469727
2014-06-09,25.739999771118164
2014-06-10,26.200000762939453
2014-06-11,25.56999969482422
2014-06-12,25.549999237060547
2014-06-13,25.81999969482422
2014-06-16,25.719999313354492
2014-06-17,25.799999237060547
2014-06-18,26.020000457763672
2014-06-19,25.770000457763672
2014-06-20,25.549999237060547
2014-06-23,25.360000610351562
2014-06-24,25.260000228881836
2014-06-25,25.25
2014-06-26,25.530000686645508
2014-06-27,25.520000457763672
2014-06-30,25.3799991607666
2014-07-01,25.979999542236328
2014-07-02,26.5
2014-07-03,26.84000015258789
2014-07-07,26.149999618530273
2014-07-08,26.030000686645508
2014-07-09,25.93000030517578
2014-07-10,25.790000915527344
2014-07-11,25.350000381469727
2014-07-14,25.549999237060547
2014-07-15,25.489999771118164
2014-07-16,25.389999389648438
2014-07-17,25.34000015258789
2014-07-18,25.270000457763672
2014-07-21,25.709999084472656
2014-07-22,26.0
2014-07-23,25.489999771118164
2014-07-24,25.100000381469727
2014-07-25,25.190000534057617
2014-07-28,25.5
2014-07-29,25.559999465942383
2014-07-30,25.5
2014-07-31,25.0
2014-08-01,25.010000228881836
2014-08-04,24.920000076293945
2014-08-05,24.989999771118164
2014-08-06,24.90999984741211
2014-08-07,25.030000686645508
2014-08-08,25.6299991607666
2014-08-11,25.299999237060547
2014-08-12,24.989999771118164
2014-08-13,25.280000686645508
2014-08-14,25.059999465942383
2014-08-15,25.0
2014-08-18,24.989999771118164
2014-08-19,24.809999465942383
2014-08-20,24.790000915527344
2014-08-21,24.950000762939453
2014-08-22,24.899999618530273
2014-08-25,25.010000228881836
2014-08-26,25.040000915527344
2014-08-27,25.06999969482422
2014-08-28,25.059999465942383
2014-08-29,25.5
2014-09-02,25.270000457763672
2014-09-03,25.239999771118164
2014-09-04,25.18000030517578
2014-09-05,25.5
2014-09-08,25.270000457763672
2014-09-09,25.65999984741211
2014-09-10,25.760000228881836
2014-09-11,25.6299991607666
2014-09-12,25.979999542236328
2014-09-15,25.31999969482422
2014-09-16,25.600000381469727
2014-09-17,25.5
2014-09-18,25.15999984741211
2014-09-19,25.100000381469727
2014-09-22,24.969999313354492
2014-09-23,24.889999389648438
2014-09-24,25.549999237060547
2014-09-25,25.040000915527344
2014-09-26,25.020000457763672
2014-09-29,24.93000030517578
2014-09-30,25.149999618530273
2014-10-01,24.93000030517578
2014-10-02,24.940000534057617
2014-10-03,24.899999618530273
2014-10-06,24.899999618530273
2014-10-07,24.780000686645508
2014-10-08,24.350000381469727
2014-10-09,24.5
2014-10-10,24.639999389648438
2014-10-13,24.540000915527344
2014-10-14,24.389999389648438
2014-10-15,24.360000610351562
2014-10-16,24.299999237060547
2014-10-17,24.219999313354492
2014-10-20,24.170000076293945
2014-10-21,24.239999771118164
2014-10-22,23.75
2014-10-23,23.6200008392334
2014-10-24,23.780000686645508
2014-10-27,23.510000228881836
2014-10-28,23.510000228881836
2014-10-29,23.68000030517578
2014-10-30,23.299999237060547
2014-10-31,23.469999313354492
2014-11-03,23.479999542236328
2014-11-04,22.889999389648438
2014-11-05,23.0
2014-11-06,23.100000381469727
2014-11-07,23.200000762939453
2014-11-10,23.350000381469727
2014-11-11,23.350000381469727
2014-11-12,23.350000381469727
2014-11-13,23.25
2014-11-14,22.950000762939453
2014-11-17,22.889999389648438
2014-11-18,23.09000015258789
