,BZUN
2017-08-04,32.02000045776367
2017-08-07,33.029998779296875
2017-08-08,33.130001068115234
2017-08-09,33.970001220703125
2017-08-10,32.5
2017-08-11,32.75
2017-08-14,32.45000076293945
2017-08-15,31.229999542236328
2017-08-16,35.47999954223633
2017-08-17,33.5
2017-08-18,33.97999954223633
2017-08-21,34.599998474121094
2017-08-22,26.229999542236328
2017-08-23,28.899999618530273
2017-08-24,28.809999465942383
2017-08-25,26.579999923706055
2017-08-28,26.920000076293945
2017-08-29,26.559999465942383
2017-08-30,26.799999237060547
2017-08-31,27.190000534057617
2017-09-01,28.8700008392334
2017-09-05,29.520000457763672
2017-09-06,28.920000076293945
2017-09-07,31.1200008392334
2017-09-08,31.559999465942383
2017-09-11,32.150001525878906
2017-09-12,34.900001525878906
2017-09-13,37.349998474121094
2017-09-14,36.459999084472656
2017-09-15,37.70000076293945
2017-09-18,40.09000015258789
2017-09-19,38.13999938964844
2017-09-20,38.27000045776367
2017-09-21,37.81999969482422
2017-09-22,37.72999954223633
2017-09-25,36.05500030517578
2017-09-26,35.209999084472656
2017-09-27,34.86000061035156
2017-09-28,33.43000030517578
2017-09-29,32.7599983215332
2017-10-02,35.970001220703125
2017-10-03,36.040000915527344
2017-10-04,34.099998474121094
2017-10-05,34.36000061035156
2017-10-06,34.16999816894531
2017-10-09,33.630001068115234
2017-10-10,33.959999084472656
2017-10-11,33.900001525878906
2017-10-12,34.22999954223633
2017-10-13,36.189998626708984
2017-10-16,36.689998626708984
2017-10-17,35.220001220703125
2017-10-18,34.86000061035156
2017-10-19,33.689998626708984
2017-10-20,33.869998931884766
2017-10-23,33.25
2017-10-24,31.729999542236328
2017-10-25,30.450000762939453
2017-10-26,30.15999984741211
2017-10-27,31.520000457763672
2017-10-30,31.260000228881836
2017-10-31,31.389999389648438
2017-11-01,31.549999237060547
2017-11-02,31.969999313354492
2017-11-03,31.219999313354492
2017-11-06,32.40999984741211
2017-11-07,32.494998931884766
2017-11-08,32.849998474121094
2017-11-09,32.33000183105469
2017-11-10,32.86000061035156
2017-11-13,34.630001068115234
2017-11-14,34.38999938964844
2017-11-15,34.130001068115234
2017-11-16,35.79999923706055
2017-11-17,35.5
2017-11-20,36.15999984741211
2017-11-21,35.540000915527344
2017-11-22,29.510000228881836
2017-11-24,30.6299991607666
2017-11-27,29.520000457763672
2017-11-28,29.0
2017-11-29,28.0
2017-11-30,28.350000381469727
2017-12-01,27.440000534057617
2017-12-04,27.579999923706055
2017-12-05,28.280000686645508
2017-12-06,28.270000457763672
2017-12-07,28.219999313354492
2017-12-08,29.760000228881836
2017-12-11,32.029998779296875
2017-12-12,30.5
2017-12-13,31.8799991607666
2017-12-14,31.670000076293945
2017-12-15,32.15999984741211
2017-12-18,32.2599983215332
2017-12-19,32.54999923706055
2017-12-20,31.84000015258789
2017-12-21,31.68000030517578
2017-12-22,30.559999465942383
2017-12-26,31.760000228881836
2017-12-27,32.83000183105469
2017-12-28,32.290000915527344
2017-12-29,31.559999465942383
2018-01-02,33.65999984741211
2018-01-03,34.369998931884766
2018-01-04,35.11000061035156
2018-01-05,36.029998779296875
2018-01-08,36.93000030517578
2018-01-09,34.86000061035156
2018-01-10,35.290000915527344
2018-01-11,35.79999923706055
2018-01-12,36.869998931884766
2018-01-16,35.66999816894531
2018-01-17,36.93000030517578
2018-01-18,36.75
2018-01-19,36.54999923706055
2018-01-22,36.20000076293945
2018-01-23,36.79999923706055
2018-01-24,36.939998626708984
2018-01-25,38.33000183105469
2018-01-26,39.63999938964844
2018-01-29,39.220001220703125
2018-01-30,38.16999816894531
2018-01-31,38.95000076293945
2018-02-01,38.310001373291016
2018-02-02,35.27000045776367
2018-02-05,34.790000915527344
2018-02-06,34.470001220703125
2018-02-07,33.7599983215332
2018-02-08,32.43000030517578
2018-02-09,34.150001525878906
2018-02-12,34.59000015258789
2018-02-13,34.4900016784668
2018-02-14,37.18000030517578
2018-02-15,37.61000061035156
2018-02-16,35.459999084472656
2018-02-20,35.93000030517578
2018-02-21,36.61000061035156
2018-02-22,35.650001525878906
2018-02-23,36.54999923706055
2018-02-26,36.369998931884766
2018-02-27,35.40999984741211
2018-02-28,35.15999984741211
2018-03-01,33.75
2018-03-02,35.68000030517578
2018-03-05,36.77000045776367
2018-03-06,48.209999084472656
2018-03-07,44.13999938964844
2018-03-08,47.779998779296875
2018-03-09,47.880001068115234
2018-03-12,47.97999954223633
2018-03-13,46.459999084472656
2018-03-14,46.18000030517578
2018-03-15,48.11000061035156
2018-03-16,48.59000015258789
2018-03-19,48.02000045776367
2018-03-20,51.29999923706055
2018-03-21,50.47999954223633
2018-03-22,45.45000076293945
2018-03-23,44.77000045776367
2018-03-26,48.08000183105469
2018-03-27,44.790000915527344
2018-03-28,43.72999954223633
2018-03-29,45.880001068115234
2018-04-02,44.54999923706055
2018-04-03,44.13999938964844
2018-04-04,44.689998626708984
2018-04-05,45.130001068115234
2018-04-06,46.279998779296875
2018-04-09,48.970001220703125
2018-04-10,48.150001525878906
2018-04-11,48.0
2018-04-12,49.290000915527344
2018-04-13,46.040000915527344
2018-04-16,46.060001373291016
2018-04-17,48.779998779296875
2018-04-18,47.91999816894531
2018-04-19,47.75
2018-04-20,46.97999954223633
2018-04-23,45.52000045776367
2018-04-24,44.880001068115234
2018-04-25,43.540000915527344
2018-04-26,43.689998626708984
2018-04-27,43.7599983215332
2018-04-30,45.9900016784668
2018-05-01,46.75
2018-05-02,46.529998779296875
2018-05-03,46.7400016784668
2018-05-04,46.25
2018-05-07,48.56999969482422
2018-05-08,49.5
2018-05-09,48.939998626708984
2018-05-10,50.619998931884766
2018-05-11,49.779998779296875
2018-05-14,48.040000915527344
2018-05-15,45.18000030517578
2018-05-16,45.060001373291016
2018-05-17,53.5099983215332
2018-05-18,54.849998474121094
2018-05-21,52.72999954223633
2018-05-22,53.119998931884766
2018-05-23,56.66999816894531
2018-05-24,58.5
2018-05-25,58.04999923706055
2018-05-29,57.619998931884766
2018-05-30,59.86000061035156
2018-05-31,61.310001373291016
2018-06-01,61.77000045776367
2018-06-04,62.4900016784668
2018-06-05,63.25
2018-06-06,62.849998474121094
2018-06-07,61.9900016784668
2018-06-08,62.040000915527344
2018-06-11,64.4000015258789
2018-06-12,66.33000183105469
2018-06-13,64.76000213623047
2018-06-14,64.37999725341797
2018-06-15,62.83000183105469
2018-06-18,63.060001373291016
2018-06-19,60.959999084472656
2018-06-20,64.2300033569336
2018-06-21,61.95000076293945
2018-06-22,60.81999969482422
2018-06-25,54.7599983215332
2018-06-26,56.369998931884766
2018-06-27,52.099998474121094
2018-06-28,54.54999923706055
2018-06-29,54.70000076293945
2018-07-02,55.75
2018-07-03,55.869998931884766
2018-07-05,55.099998474121094
2018-07-06,55.439998626708984
2018-07-09,57.810001373291016
2018-07-10,57.88999938964844
2018-07-11,57.61000061035156
2018-07-12,61.15999984741211
2018-07-13,60.68000030517578
2018-07-16,62.119998931884766
2018-07-17,62.029998779296875
2018-07-18,62.18000030517578
2018-07-19,61.790000915527344
2018-07-20,61.939998626708984
2018-07-23,63.59000015258789
2018-07-24,61.0099983215332
2018-07-25,63.56999969482422
2018-07-26,64.22000122070312
2018-07-27,61.95000076293945
2018-07-30,57.709999084472656
2018-07-31,57.849998474121094
2018-08-01,57.72999954223633
2018-08-02,57.060001373291016
2018-08-03,54.810001373291016
2018-08-06,56.150001525878906
2018-08-07,58.040000915527344
2018-08-08,56.869998931884766
2018-08-09,56.529998779296875
2018-08-10,55.310001373291016
2018-08-13,52.720001220703125
2018-08-14,49.63999938964844
2018-08-15,48.15999984741211
2018-08-16,49.68000030517578
2018-08-17,50.70000076293945
2018-08-20,51.68000030517578
2018-08-21,54.709999084472656
2018-08-22,55.40999984741211
2018-08-23,54.040000915527344
2018-08-24,53.65999984741211
2018-08-27,56.900001525878906
2018-08-28,57.029998779296875
2018-08-29,56.959999084472656
2018-08-30,53.86000061035156
2018-08-31,53.38999938964844
2018-09-04,52.310001373291016
2018-09-05,50.290000915527344
2018-09-06,49.150001525878906
2018-09-07,49.27000045776367
2018-09-10,46.34000015258789
2018-09-11,45.33000183105469
2018-09-12,45.709999084472656
2018-09-13,47.849998474121094
2018-09-14,45.970001220703125
2018-09-17,44.59000015258789
2018-09-18,44.40999984741211
2018-09-19,46.5
2018-09-20,48.220001220703125
2018-09-21,48.59000015258789
2018-09-24,46.709999084472656
2018-09-25,47.33000183105469
2018-09-26,47.9900016784668
2018-09-27,47.540000915527344
2018-09-28,48.58000183105469
2018-10-01,47.0099983215332
2018-10-02,44.880001068115234
2018-10-03,44.529998779296875
2018-10-04,42.31999969482422
2018-10-05,41.25
2018-10-08,39.529998779296875
2018-10-09,39.20000076293945
2018-10-10,36.310001373291016
2018-10-11,36.880001068115234
2018-10-12,40.18000030517578
2018-10-15,40.0
2018-10-16,41.439998626708984
2018-10-17,40.86000061035156
2018-10-18,39.470001220703125
2018-10-19,39.66999816894531
2018-10-22,41.61000061035156
2018-10-23,41.25
2018-10-24,39.2599983215332
2018-10-25,40.880001068115234
2018-10-26,39.790000915527344
2018-10-29,38.099998474121094
2018-10-30,38.150001525878906
2018-10-31,39.810001373291016
2018-11-01,44.91999816894531
2018-11-02,45.279998779296875
2018-11-05,44.08000183105469
2018-11-06,44.58000183105469
2018-11-07,46.15999984741211
2018-11-08,43.09000015258789
2018-11-09,40.189998626708984
2018-11-12,31.8799991607666
2018-11-13,33.459999084472656
2018-11-14,32.4900016784668
2018-11-15,32.709999084472656
2018-11-16,32.75
2018-11-19,31.079999923706055
2018-11-20,30.1299991607666
2018-11-21,32.439998626708984
2018-11-23,32.56999969482422
2018-11-26,33.529998779296875
2018-11-27,34.029998779296875
2018-11-28,34.22999954223633
2018-11-29,33.91999816894531
2018-11-30,35.27000045776367
2018-12-03,36.45000076293945
2018-12-04,36.400001525878906
2018-12-06,35.22999954223633
2018-12-07,33.540000915527344
2018-12-10,33.939998626708984
2018-12-11,34.900001525878906
2018-12-12,36.560001373291016
2018-12-13,36.869998931884766
2018-12-14,36.150001525878906
2018-12-17,33.099998474121094
2018-12-18,32.470001220703125
2018-12-19,30.239999771118164
2018-12-20,29.40999984741211
2018-12-21,28.229999542236328
2018-12-24,29.229999542236328
2018-12-26,30.030000686645508
2018-12-27,30.329999923706055
2018-12-28,30.530000686645508
2018-12-31,29.209999084472656
2019-01-02,29.790000915527344
