,CHSCO
2016-07-15,29.579999923706055
2016-07-18,29.649999618530273
2016-07-19,29.719999313354492
2016-07-20,29.600000381469727
2016-07-21,29.649999618530273
2016-07-22,29.649999618530273
2016-07-25,29.799999237060547
2016-07-26,29.84000015258789
2016-07-27,29.979999542236328
2016-07-28,30.170000076293945
2016-07-29,30.43000030517578
2016-08-01,30.479999542236328
2016-08-02,29.8700008392334
2016-08-03,29.920000076293945
2016-08-04,29.989999771118164
2016-08-05,29.889999389648438
2016-08-08,30.450000762939453
2016-08-09,30.700000762939453
2016-08-10,30.780000686645508
2016-08-11,30.520000457763672
2016-08-12,30.530000686645508
2016-08-15,30.440000534057617
2016-08-16,30.399999618530273
2016-08-17,30.469999313354492
2016-08-18,30.780000686645508
2016-08-19,30.850000381469727
2016-08-22,30.829999923706055
2016-08-23,30.829999923706055
2016-08-24,30.84000015258789
2016-08-25,30.899999618530273
2016-08-26,30.920000076293945
2016-08-29,31.09000015258789
2016-08-30,31.0
2016-08-31,30.8700008392334
2016-09-01,30.200000762939453
2016-09-02,30.3700008392334
2016-09-06,30.540000915527344
2016-09-07,30.59000015258789
2016-09-08,30.3799991607666
2016-09-09,29.829999923706055
2016-09-12,30.0
2016-09-13,29.639999389648438
2016-09-14,29.440000534057617
2016-09-15,29.950000762939453
2016-09-16,30.049999237060547
2016-09-19,30.25
2016-09-20,30.200000762939453
2016-09-21,30.239999771118164
2016-09-22,30.350000381469727
2016-09-23,30.09000015258789
2016-09-26,29.850000381469727
2016-09-27,29.940000534057617
2016-09-28,29.899999618530273
2016-09-29,29.8799991607666
2016-09-30,29.6200008392334
2016-10-03,29.809999465942383
2016-10-04,29.700000762939453
2016-10-05,29.479999542236328
2016-10-06,29.610000610351562
2016-10-07,29.59000015258789
2016-10-10,29.309999465942383
2016-10-11,28.950000762939453
2016-10-12,28.93000030517578
2016-10-13,29.479999542236328
2016-10-14,29.610000610351562
2016-10-17,29.510000228881836
2016-10-18,30.209999084472656
2016-10-19,30.459999084472656
2016-10-20,30.420000076293945
2016-10-21,31.700000762939453
2016-10-24,31.530000686645508
2016-10-25,31.579999923706055
2016-10-26,31.469999313354492
2016-10-27,31.420000076293945
2016-10-28,31.309999465942383
2016-10-31,31.360000610351562
2016-11-01,31.06999969482422
2016-11-02,30.729999542236328
2016-11-03,30.350000381469727
2016-11-04,30.5
2016-11-07,30.59000015258789
2016-11-08,30.479999542236328
2016-11-09,30.209999084472656
2016-11-10,29.670000076293945
2016-11-11,29.84000015258789
2016-11-14,28.6200008392334
2016-11-15,28.729999542236328
2016-11-16,29.549999237060547
2016-11-17,29.0
2016-11-18,28.610000610351562
2016-11-21,28.719999313354492
2016-11-22,28.920000076293945
2016-11-23,29.049999237060547
2016-11-25,29.149999618530273
2016-11-28,29.420000076293945
2016-11-29,29.469999313354492
2016-11-30,29.0
2016-12-01,29.100000381469727
2016-12-02,29.110000610351562
2016-12-05,29.34000015258789
2016-12-06,29.280000686645508
2016-12-07,29.530000686645508
2016-12-08,29.709999084472656
2016-12-09,29.360000610351562
2016-12-12,29.209999084472656
2016-12-13,28.889999389648438
2016-12-14,28.600000381469727
2016-12-15,28.600000381469727
2016-12-16,28.639999389648438
2016-12-19,28.729999542236328
2016-12-20,28.93000030517578
2016-12-21,28.899999618530273
2016-12-22,28.760000228881836
2016-12-23,28.780000686645508
2016-12-27,28.709999084472656
2016-12-28,28.1200008392334
2016-12-29,28.200000762939453
2016-12-30,28.260000228881836
2017-01-03,28.770000457763672
2017-01-04,29.850000381469727
2017-01-05,29.40999984741211
2017-01-06,29.0
2017-01-09,29.350000381469727
2017-01-10,29.190000534057617
2017-01-11,29.149999618530273
2017-01-12,29.25
2017-01-13,29.299999237060547
2017-01-17,29.059999465942383
2017-01-18,29.100000381469727
2017-01-19,28.469999313354492
2017-01-20,28.31999969482422
2017-01-23,28.65999984741211
2017-01-24,28.5
2017-01-25,28.510000228881836
2017-01-26,28.6200008392334
2017-01-27,28.850000381469727
2017-01-30,28.610000610351562
2017-01-31,28.639999389648438
2017-02-01,28.649999618530273
2017-02-02,28.809999465942383
2017-02-03,29.229999542236328
2017-02-06,29.200000762939453
2017-02-07,29.25
2017-02-08,29.540000915527344
2017-02-09,29.860000610351562
2017-02-10,29.709999084472656
2017-02-13,29.559999465942383
2017-02-14,29.729999542236328
2017-02-15,29.549999237060547
2017-02-16,29.5
2017-02-17,29.309999465942383
2017-02-21,29.260000228881836
2017-02-22,29.190000534057617
2017-02-23,29.260000228881836
2017-02-24,29.3799991607666
2017-02-27,29.350000381469727
2017-02-28,29.530000686645508
2017-03-01,29.450000762939453
2017-03-02,29.489999771118164
2017-03-03,29.540000915527344
2017-03-06,29.510000228881836
2017-03-07,29.110000610351562
2017-03-08,28.719999313354492
2017-03-09,28.719999313354492
2017-03-10,28.899999618530273
2017-03-13,29.229999542236328
2017-03-14,29.350000381469727
2017-03-15,29.059999465942383
2017-03-16,29.049999237060547
2017-03-17,29.020000457763672
2017-03-20,29.100000381469727
2017-03-21,28.739999771118164
2017-03-22,28.610000610351562
2017-03-23,28.719999313354492
2017-03-24,28.760000228881836
2017-03-27,28.700000762939453
2017-03-28,28.739999771118164
2017-03-29,28.760000228881836
2017-03-30,28.959999084472656
2017-03-31,29.049999237060547
2017-04-03,29.540000915527344
2017-04-04,29.3700008392334
2017-04-05,28.959999084472656
2017-04-06,28.84000015258789
2017-04-07,28.799999237060547
2017-04-10,28.829999923706055
2017-04-11,28.729999542236328
2017-04-12,28.829999923706055
2017-04-13,28.799999237060547
2017-04-17,28.889999389648438
2017-04-18,28.90999984741211
2017-04-19,28.940000534057617
2017-04-20,28.959999084472656
2017-04-21,28.75
2017-04-24,28.799999237060547
2017-04-25,28.780000686645508
2017-04-26,28.81999969482422
2017-04-27,28.90999984741211
2017-04-28,28.899999618530273
2017-05-01,28.8700008392334
2017-05-02,28.860000610351562
2017-05-03,29.09000015258789
2017-05-04,28.979999542236328
2017-05-05,28.959999084472656
2017-05-08,28.940000534057617
2017-05-09,28.969999313354492
2017-05-10,28.969999313354492
2017-05-11,28.850000381469727
2017-05-12,28.829999923706055
2017-05-15,28.899999618530273
2017-05-16,28.920000076293945
2017-05-17,28.93000030517578
2017-05-18,29.09000015258789
2017-05-19,29.0
2017-05-22,29.110000610351562
2017-05-23,29.170000076293945
2017-05-24,29.239999771118164
2017-05-25,29.239999771118164
2017-05-26,29.170000076293945
2017-05-30,29.079999923706055
2017-05-31,28.920000076293945
2017-06-01,29.059999465942383
2017-06-02,29.25
2017-06-05,29.280000686645508
2017-06-06,29.25
2017-06-07,29.200000762939453
2017-06-08,29.149999618530273
2017-06-09,29.290000915527344
2017-06-12,29.299999237060547
2017-06-13,29.299999237060547
2017-06-14,29.1200008392334
2017-06-15,29.229999542236328
2017-06-16,29.059999465942383
2017-06-19,29.25
2017-06-20,29.229999542236328
2017-06-21,29.18000030517578
2017-06-22,29.15999984741211
2017-06-23,28.979999542236328
2017-06-26,29.010000228881836
2017-06-27,28.850000381469727
2017-06-28,28.829999923706055
