,BTEC
2017-02-09,25.770000457763672
2017-02-10,25.709999084472656
2017-02-13,25.709999084472656
2017-02-14,25.709999084472656
2017-02-15,26.577999114990234
2017-02-16,26.577999114990234
2017-02-17,26.559999465942383
2017-02-21,26.549999237060547
2017-02-22,26.260000228881836
2017-02-23,26.260000228881836
2017-02-24,25.93000030517578
2017-02-27,25.93000030517578
2017-02-28,26.700000762939453
2017-03-01,27.270000457763672
2017-03-02,27.610000610351562
2017-03-03,27.18000030517578
2017-03-06,26.81999969482422
2017-03-07,26.719999313354492
2017-03-08,27.020000457763672
2017-03-09,26.889999389648438
2017-03-10,26.920000076293945
2017-03-13,26.920000076293945
2017-03-14,26.68000030517578
2017-03-15,27.299999237060547
2017-03-16,27.06999969482422
2017-03-17,26.940000534057617
2017-03-20,26.940000534057617
2017-03-21,26.20599937438965
2017-03-22,26.06999969482422
2017-03-23,26.06999969482422
2017-03-24,26.43199920654297
2017-03-27,26.43199920654297
2017-03-28,26.690000534057617
2017-03-29,26.690000534057617
2017-03-30,26.690000534057617
2017-03-31,26.690000534057617
2017-04-03,26.690000534057617
2017-04-04,26.690000534057617
2017-04-05,26.656999588012695
2017-04-06,25.875
2017-04-07,25.875
2017-04-10,25.875
2017-04-11,25.799999237060547
2017-04-12,25.799999237060547
2017-04-13,26.389999389648438
2017-04-17,26.389999389648438
2017-04-18,26.389999389648438
2017-04-19,26.43000030517578
2017-04-20,26.43000030517578
2017-04-21,26.43000030517578
2017-04-24,26.43000030517578
2017-04-25,26.43000030517578
2017-04-26,26.43000030517578
2017-04-27,27.15999984741211
2017-04-28,27.15999984741211
2017-05-01,27.15999984741211
2017-05-02,27.350000381469727
2017-05-03,26.959999084472656
2017-05-04,26.790000915527344
2017-05-05,26.790000915527344
2017-05-08,26.790000915527344
2017-05-09,26.20599937438965
2017-05-10,26.5310001373291
2017-05-11,26.540000915527344
2017-05-12,26.540000915527344
2017-05-15,26.540000915527344
2017-05-16,26.540000915527344
2017-05-17,26.540000915527344
2017-05-18,26.540000915527344
2017-05-19,26.540000915527344
2017-05-22,26.540000915527344
2017-05-23,26.540000915527344
2017-05-24,26.540000915527344
2017-05-25,26.540000915527344
2017-05-26,26.25
2017-05-30,26.25
2017-05-31,25.389999389648438
2017-06-01,25.389999389648438
2017-06-02,25.389999389648438
2017-06-05,25.389999389648438
2017-06-06,25.389999389648438
2017-06-07,25.389999389648438
2017-06-08,25.389999389648438
2017-06-09,26.899999618530273
2017-06-12,26.719999313354492
2017-06-13,26.719999313354492
2017-06-14,26.719999313354492
2017-06-15,26.719999313354492
2017-06-16,26.719999313354492
2017-06-19,26.719999313354492
2017-06-20,26.719999313354492
2017-06-21,26.719999313354492
2017-06-22,26.719999313354492
2017-06-23,26.719999313354492
2017-06-26,26.719999313354492
2017-06-27,29.170000076293945
2017-06-28,28.944000244140625
2017-06-29,28.65999984741211
2017-06-30,28.65999984741211
2017-07-03,28.65999984741211
2017-07-05,28.65999984741211
2017-07-06,28.65999984741211
2017-07-07,28.854999542236328
2017-07-10,28.496999740600586
2017-07-11,28.496999740600586
2017-07-12,28.979999542236328
2017-07-13,28.600000381469727
2017-07-14,28.600000381469727
2017-07-17,28.979000091552734
2017-07-18,28.891000747680664
2017-07-19,29.357999801635742
2017-07-20,29.357999801635742
2017-07-21,29.75
2017-07-24,29.75
2017-07-25,29.799999237060547
2017-07-26,29.709999084472656
2017-07-27,29.520000457763672
2017-07-28,29.225000381469727
2017-07-31,28.93000030517578
2017-08-01,28.219999313354492
2017-08-02,28.209999084472656
2017-08-03,28.191999435424805
2017-08-04,28.191999435424805
2017-08-07,28.191999435424805
2017-08-08,28.540000915527344
2017-08-09,28.540000915527344
2017-08-10,28.540000915527344
2017-08-11,27.017000198364258
2017-08-14,27.017000198364258
2017-08-15,27.017000198364258
2017-08-16,27.97100067138672
2017-08-17,27.97100067138672
2017-08-18,27.3700008392334
2017-08-21,27.3700008392334
2017-08-22,27.777999877929688
2017-08-23,27.777999877929688
2017-08-24,27.777999877929688
2017-08-25,28.29599952697754
2017-08-28,28.93000030517578
2017-08-29,29.200000762939453
2017-08-30,29.448999404907227
2017-08-31,30.219999313354492
2017-09-01,30.219999313354492
2017-09-05,30.219999313354492
2017-09-06,30.459999084472656
2017-09-07,30.23900032043457
2017-09-08,30.079999923706055
2017-09-11,30.239999771118164
2017-09-12,30.1299991607666
2017-09-13,30.18000030517578
2017-09-14,29.850000381469727
2017-09-15,30.260000228881836
2017-09-18,30.15999984741211
2017-09-19,29.979999542236328
2017-09-20,30.459999084472656
2017-09-21,30.459999084472656
2017-09-22,30.375
2017-09-25,30.329999923706055
2017-09-26,30.0
2017-09-27,30.459999084472656
2017-09-28,30.459999084472656
2017-09-29,30.600000381469727
2017-10-02,31.106000900268555
2017-10-03,30.972000122070312
2017-10-04,31.277000427246094
2017-10-05,31.354999542236328
2017-10-06,31.360000610351562
2017-10-09,31.06999969482422
2017-10-10,30.93000030517578
2017-10-11,30.93000030517578
2017-10-12,30.799999237060547
2017-10-13,30.7549991607666
2017-10-16,30.860000610351562
2017-10-17,30.90999984741211
2017-10-18,30.719999313354492
2017-10-19,30.40999984741211
2017-10-20,30.5
2017-10-23,30.3700008392334
2017-10-24,30.049999237060547
2017-10-25,29.700000762939453
2017-10-26,29.381999969482422
2017-10-27,29.56999969482422
2017-10-30,30.360000610351562
2017-10-31,30.024999618530273
2017-11-01,29.899999618530273
2017-11-02,29.950000762939453
2017-11-03,29.950000762939453
2017-11-06,30.459999084472656
2017-11-07,29.950000762939453
2017-11-08,29.729999542236328
2017-11-09,29.729999542236328
2017-11-10,29.7810001373291
2017-11-13,29.790000915527344
2017-11-14,28.889999389648438
2017-11-15,29.4689998626709
2017-11-16,29.889999389648438
2017-11-17,29.89699935913086
2017-11-20,29.892000198364258
2017-11-21,30.066999435424805
2017-11-22,30.066999435424805
2017-11-24,30.457000732421875
2017-11-27,30.457000732421875
2017-11-28,29.94700050354004
2017-11-29,29.94700050354004
2017-11-30,30.25
2017-12-01,30.25
