,BEEM
2011-05-05,25.0
2011-05-06,23.5
2011-05-09,23.5
2011-05-10,23.5
2011-05-11,23.0
2011-05-12,23.5
2011-05-13,23.0
2011-05-16,21.25
2011-05-17,24.5
2011-05-18,24.0
2011-05-19,25.5
2011-05-20,24.0
2011-05-23,23.0
2011-05-24,25.0
2011-05-25,27.450000762939453
2011-05-26,27.0
2011-05-27,27.0
2011-05-31,26.0
2011-06-01,26.75
2011-06-02,27.5
2011-06-03,27.5
2011-06-06,26.25
2011-06-07,25.5
2011-06-08,22.5
2011-06-09,21.5
2011-06-10,21.0
2011-06-13,21.0
2011-06-14,19.75
2011-06-15,20.0
2011-06-16,18.75
2011-06-17,17.0
2011-06-20,18.899999618530273
2011-06-21,18.950000762939453
2011-06-22,18.75
2011-06-23,16.850000381469727
2011-06-24,17.049999237060547
2011-06-27,18.149999618530273
2011-06-28,18.649999618530273
2011-06-29,18.75
2011-06-30,18.0
2011-07-01,18.5
2011-07-05,18.5
2011-07-06,18.0
2011-07-07,18.0
2011-07-08,18.5
2011-07-11,17.049999237060547
2011-07-12,15.5
2011-07-13,15.5
2011-07-14,15.5
2011-07-15,13.899999618530273
2011-07-18,13.5
2011-07-19,12.5
2011-07-20,11.550000190734863
2011-07-21,12.5
2011-07-22,13.300000190734863
2011-07-25,13.949999809265137
2011-07-26,13.0
2011-07-27,14.0
2011-07-28,13.449999809265137
2011-07-29,12.5
2011-08-01,14.649999618530273
2011-08-02,13.5
2011-08-03,14.5
2011-08-04,14.25
2011-08-05,13.5
2011-08-08,14.449999809265137
2011-08-09,14.399999618530273
2011-08-10,13.699999809265137
2011-08-11,13.5
2011-08-12,13.0
2011-08-15,12.25
2011-08-16,14.0
2011-08-17,15.25
2011-08-18,16.0
2011-08-19,16.5
2011-08-22,14.550000190734863
2011-08-23,15.0
2011-08-24,14.75
2011-08-25,14.5
2011-08-26,14.550000190734863
2011-08-29,14.75
2011-08-30,14.75
2011-08-31,15.25
2011-09-01,14.550000190734863
2011-09-02,17.5
2011-09-06,17.5
2011-09-07,16.950000762939453
2011-09-08,15.0
2011-09-09,16.0
2011-09-12,13.5
2011-09-13,16.0
2011-09-14,17.0
2011-09-15,17.0
2011-09-16,15.0
2011-09-19,16.450000762939453
2011-09-20,16.200000762939453
2011-09-21,16.149999618530273
2011-09-22,14.5
2011-09-23,15.449999809265137
2011-09-26,14.5
2011-09-27,13.5
2011-09-28,12.5
2011-09-29,13.5
2011-09-30,13.25
2011-10-03,12.5
2011-10-04,12.399999618530273
2011-10-05,12.399999618530273
2011-10-06,12.0
2011-10-07,10.0
2011-10-10,12.0
2011-10-11,12.0
2011-10-12,11.949999809265137
2011-10-13,11.5
2011-10-14,10.25
2011-10-17,10.0
2011-10-18,10.199999809265137
2011-10-19,10.25
2011-10-20,10.199999809265137
2011-10-21,12.399999618530273
2011-10-24,11.5
2011-10-25,12.25
2011-10-26,12.25
2011-10-27,12.399999618530273
2011-10-28,12.949999809265137
2011-10-31,13.0
2011-11-01,13.0
2011-11-02,13.0
2011-11-03,11.5
2011-11-04,13.0
2011-11-07,13.0
2011-11-08,12.0
2011-11-09,13.0
2011-11-10,13.0
2011-11-11,15.0
2011-11-14,12.5
2011-11-15,15.0
2011-11-16,15.5
2011-11-17,13.5
2011-11-18,13.5
2011-11-21,14.75
2011-11-22,14.5
2011-11-23,14.5
2011-11-25,14.5
2011-11-28,14.25
2011-11-29,12.5
2011-11-30,13.949999809265137
2011-12-01,12.5
2011-12-02,13.0
2011-12-05,13.699999809265137
2011-12-06,13.649999618530273
2011-12-07,13.0
2011-12-08,12.550000190734863
2011-12-09,12.25
2011-12-12,12.449999809265137
2011-12-13,12.5
2011-12-14,11.800000190734863
2011-12-15,13.949999809265137
2011-12-16,14.0
2011-12-19,12.050000190734863
2011-12-20,12.5
2011-12-21,13.699999809265137
2011-12-22,13.5
2011-12-23,12.050000190734863
2011-12-27,11.649999618530273
2011-12-28,11.75
2011-12-29,11.600000381469727
2011-12-30,11.550000190734863
2012-01-03,11.5
2012-01-04,11.5
2012-01-05,10.75
2012-01-06,10.75
2012-01-09,12.449999809265137
2012-01-10,11.0
2012-01-11,12.399999618530273
2012-01-12,12.0
2012-01-13,11.899999618530273
2012-01-17,11.050000190734863
2012-01-18,11.5
2012-01-19,11.5
2012-01-20,12.0
2012-01-23,11.0
2012-01-24,10.75
2012-01-25,11.0
2012-01-26,11.699999809265137
2012-01-27,11.550000190734863
2012-01-30,11.0
2012-01-31,11.5
2012-02-01,11.199999809265137
2012-02-02,11.0
2012-02-03,9.5
2012-02-06,11.0
2012-02-07,11.199999809265137
2012-02-08,11.0
2012-02-09,11.0
2012-02-10,11.0
2012-02-13,10.600000381469727
2012-02-14,11.050000190734863
2012-02-15,11.5
2012-02-16,12.199999809265137
2012-02-17,12.25
2012-02-21,12.25
2012-02-22,11.5
2012-02-23,12.0
2012-02-24,12.199999809265137
2012-02-27,11.550000190734863
2012-02-28,12.149999618530273
2012-02-29,12.0
2012-03-01,11.050000190734863
2012-03-02,11.100000381469727
2012-03-05,12.050000190734863
2012-03-06,11.050000190734863
2012-03-07,11.050000190734863
2012-03-08,12.0
2012-03-09,12.0
2012-03-12,12.0
2012-03-13,12.449999809265137
2012-03-14,11.100000381469727
2012-03-15,11.100000381469727
2012-03-16,11.25
2012-03-19,12.25
2012-03-20,11.75
2012-03-21,12.199999809265137
2012-03-22,12.199999809265137
2012-03-23,12.0
2012-03-26,12.5
2012-03-27,12.5
2012-03-28,12.949999809265137
2012-03-29,14.5
2012-03-30,14.5
2012-04-02,14.449999809265137
2012-04-03,14.449999809265137
2012-04-04,14.5
2012-04-05,17.450000762939453
2012-04-09,19.0
2012-04-10,17.100000381469727
2012-04-11,18.0
2012-04-12,19.0
2012-04-13,18.0
2012-04-16,17.5
2012-04-17,17.25
2012-04-18,17.0
2012-04-19,15.0
2012-04-20,14.5
2012-04-23,14.850000381469727
2012-04-24,14.850000381469727
2012-04-25,14.850000381469727
2012-04-26,14.5
2012-04-27,14.300000190734863
2012-04-30,14.300000190734863
2012-05-01,12.0
2012-05-02,12.850000381469727
2012-05-03,13.0
2012-05-04,13.0
2012-05-07,13.25
2012-05-08,12.5
2012-05-09,12.0
2012-05-10,12.0
2012-05-11,12.0
2012-05-14,11.5
2012-05-15,11.0
2012-05-16,11.0
2012-05-17,10.0
2012-05-18,11.0
2012-05-21,11.399999618530273
2012-05-22,11.399999618530273
2012-05-23,11.5
2012-05-24,11.25
2012-05-25,10.25
2012-05-29,10.25
2012-05-30,11.25
2012-05-31,10.25
2012-06-01,11.5
2012-06-04,10.0
2012-06-05,11.0
2012-06-06,10.0
2012-06-07,11.0
2012-06-08,10.25
2012-06-11,10.25
2012-06-12,9.5
2012-06-13,10.0
2012-06-14,8.899999618530273
2012-06-15,11.5
2012-06-18,10.5
2012-06-19,10.0
2012-06-20,9.5
2012-06-21,11.5
2012-06-22,9.5
2012-06-25,9.5
2012-06-26,9.0
2012-06-27,11.25
2012-06-28,9.0
2012-06-29,9.5
2012-07-02,10.0
2012-07-03,9.0
2012-07-05,9.949999809265137
2012-07-06,9.949999809265137
2012-07-09,9.5
2012-07-10,9.5
2012-07-11,9.0
2012-07-12,8.5
2012-07-13,8.5
2012-07-16,9.5
2012-07-17,8.25
2012-07-18,8.5
2012-07-19,8.25
2012-07-20,8.949999809265137
2012-07-23,9.0
2012-07-24,9.0
2012-07-25,9.0
2012-07-26,10.0
2012-07-27,9.0
2012-07-30,9.0
2012-07-31,8.5
2012-08-01,8.75
2012-08-02,9.0
2012-08-03,8.550000190734863
2012-08-06,9.0
2012-08-07,9.0
2012-08-08,8.5
2012-08-09,8.5
2012-08-10,8.25
2012-08-13,8.0
2012-08-14,8.0
2012-08-15,8.0
2012-08-16,8.75
2012-08-17,7.75
2012-08-20,8.0
2012-08-21,8.5
2012-08-22,8.100000381469727
2012-08-23,8.25
2012-08-24,8.100000381469727
2012-08-27,8.0
2012-08-28,8.0
2012-08-29,8.5
2012-08-30,8.0
2012-08-31,8.0
2012-09-04,8.0
2012-09-05,8.0
2012-09-06,8.0
2012-09-07,7.75
2012-09-10,7.75
2012-09-11,7.75
2012-09-12,8.199999809265137
2012-09-13,8.199999809265137
2012-09-14,8.199999809265137
2012-09-17,8.149999618530273
2012-09-18,7.75
2012-09-19,7.25
2012-09-20,7.0
2012-09-21,6.75
2012-09-24,6.75
2012-09-25,7.5
2012-09-26,6.5
2012-09-27,6.5
2012-09-28,7.5
2012-10-01,6.5
2012-10-02,6.5
2012-10-03,7.5
2012-10-04,7.5
2012-10-05,6.5
2012-10-08,6.5
2012-10-09,6.5
2012-10-10,7.0
2012-10-11,6.5
2012-10-12,8.0
2012-10-15,8.0
2012-10-16,7.900000095367432
2012-10-17,7.75
2012-10-18,7.0
2012-10-19,7.0
2012-10-22,7.0
2012-10-23,6.0
2012-10-24,6.0
2012-10-25,5.75
2012-10-26,5.75
2012-10-31,5.75
2012-11-01,5.75
2012-11-02,6.5
2012-11-05,6.5
2012-11-06,7.25
2012-11-07,7.050000190734863
2012-11-08,7.75
2012-11-09,7.75
2012-11-12,7.25
2012-11-13,7.0
2012-11-14,7.0
2012-11-15,7.0
2012-11-16,7.5
2012-11-19,7.5
2012-11-20,7.25
2012-11-21,7.25
2012-11-23,7.25
2012-11-26,6.75
2012-11-27,7.0
2012-11-28,6.75
2012-11-29,7.0
2012-11-30,8.5
2012-12-03,7.949999809265137
2012-12-04,8.0
2012-12-05,7.25
2012-12-06,8.0
2012-12-07,8.0
2012-12-10,8.0
2012-12-11,8.0
2012-12-12,8.75
2012-12-13,9.0
2012-12-14,8.5
2012-12-17,8.5
2012-12-18,8.5
2012-12-19,8.5
2012-12-20,8.0
2012-12-21,8.5
2012-12-24,8.5
2012-12-26,8.5
2012-12-27,9.0
2012-12-28,8.0
2012-12-31,8.5
2013-01-02,8.75
2013-01-03,8.75
2013-01-04,8.0
2013-01-07,8.0
2013-01-08,8.75
2013-01-09,9.0
2013-01-10,8.0
2013-01-11,8.5
2013-01-14,8.75
2013-01-15,9.0
2013-01-16,9.5
2013-01-17,9.5
2013-01-18,9.5
2013-01-22,8.75
2013-01-23,9.0
2013-01-24,9.0
2013-01-25,9.949999809265137
2013-01-28,9.0
2013-01-29,8.75
2013-01-30,9.0
2013-01-31,11.0
2013-02-01,11.5
2013-02-04,14.5
2013-02-05,14.0
2013-02-06,14.0
2013-02-07,13.0
2013-02-08,13.0
2013-02-11,13.0
2013-02-12,12.0
2013-02-13,11.5
2013-02-14,12.75
2013-02-15,12.5
2013-02-19,12.5
2013-02-20,13.75
2013-02-21,13.75
2013-02-22,13.5
2013-02-25,13.5
2013-02-26,12.75
2013-02-27,12.75
2013-02-28,11.5
2013-03-01,13.5
2013-03-04,13.449999809265137
2013-03-05,12.5
2013-03-06,12.5
2013-03-07,11.5
2013-03-08,10.5
2013-03-11,9.5
2013-03-12,10.0
2013-03-13,12.0
2013-03-14,12.0
2013-03-15,12.0
2013-03-18,12.5
2013-03-19,10.5
2013-03-20,10.5
2013-03-21,10.0
2013-03-22,10.0
2013-03-25,10.0
2013-03-26,10.0
2013-03-27,10.0
2013-03-28,10.0
2013-04-01,11.25
2013-04-02,10.5
2013-04-03,9.0
2013-04-04,12.5
2013-04-05,9.550000190734863
2013-04-08,12.0
2013-04-09,12.449999809265137
2013-04-10,9.5
2013-04-11,9.75
2013-04-12,11.0
2013-04-15,9.5
2013-04-16,10.050000190734863
2013-04-17,10.050000190734863
2013-04-18,11.5
2013-04-19,10.050000190734863
2013-04-22,9.25
2013-04-23,9.0
2013-04-24,9.0
2013-04-25,9.0
2013-04-26,9.0
2013-04-29,9.0
2013-04-30,9.0
2013-05-01,9.0
2013-05-02,9.0
2013-05-03,8.5
2013-05-06,8.5
2013-05-07,8.5
2013-05-08,8.5
2013-05-09,8.5
2013-05-10,8.0
2013-05-13,8.0
2013-05-14,9.0
2013-05-15,9.949999809265137
2013-05-16,8.050000190734863
2013-05-17,9.949999809265137
2013-05-20,10.5
2013-05-21,10.0
2013-05-22,10.5
2013-05-23,9.25
2013-05-24,10.5
2013-05-28,9.5
2013-05-29,10.5
2013-05-30,10.0
2013-05-31,10.0
2013-06-03,10.0
2013-06-04,9.75
2013-06-05,10.0
2013-06-06,10.0
2013-06-07,11.0
2013-06-10,10.0
2013-06-11,10.0
2013-06-12,10.0
2013-06-13,9.75
2013-06-14,9.949999809265137
2013-06-17,9.0
2013-06-18,9.0
2013-06-19,10.5
2013-06-20,9.0
2013-06-21,10.0
2013-06-24,9.0
2013-06-25,10.5
2013-06-26,10.5
2013-06-27,10.5
2013-06-28,10.5
2013-07-01,10.0
2013-07-02,9.0
2013-07-03,10.0
2013-07-05,11.0
2013-07-08,11.0
2013-07-09,10.5
2013-07-10,10.5
2013-07-11,9.25
2013-07-12,10.75
2013-07-15,10.5
2013-07-16,9.25
2013-07-17,9.300000190734863
2013-07-18,9.350000381469727
2013-07-19,9.25
2013-07-22,9.25
2013-07-23,9.25
2013-07-24,9.25
2013-07-25,10.5
2013-07-26,10.5
2013-07-29,11.0
2013-07-30,11.25
2013-07-31,10.0
2013-08-01,11.0
2013-08-02,11.25
2013-08-05,10.5
2013-08-06,9.5
2013-08-07,9.5
2013-08-08,9.5
2013-08-09,10.0
2013-08-12,9.550000190734863
2013-08-13,9.550000190734863
2013-08-14,10.0
2013-08-15,10.25
2013-08-16,9.75
2013-08-19,10.0
2013-08-20,10.25
2013-08-21,10.25
2013-08-22,10.25
2013-08-23,9.0
2013-08-26,10.0
2013-08-27,10.449999809265137
2013-08-28,9.5
2013-08-29,9.25
2013-08-30,8.75
2013-09-03,7.25
2013-09-04,7.5
2013-09-05,7.75
2013-09-06,9.0
2013-09-09,9.0
2013-09-10,9.0
2013-09-11,9.0
2013-09-12,8.5
2013-09-13,9.0
2013-09-16,9.0
2013-09-17,9.0
2013-09-18,8.850000381469727
2013-09-19,8.5
2013-09-20,8.25
2013-09-23,8.850000381469727
2013-09-24,8.949999809265137
2013-09-25,8.25
2013-09-26,7.599999904632568
2013-09-27,8.25
2013-09-30,8.5
2013-10-01,9.0
2013-10-02,9.0
2013-10-03,7.5
2013-10-04,7.5
2013-10-07,8.0
2013-10-08,8.0
2013-10-09,8.0
2013-10-10,8.0
2013-10-11,7.5
2013-10-14,8.0
2013-10-15,7.5
2013-10-16,7.5
2013-10-17,8.0
2013-10-18,7.5
2013-10-21,9.0
2013-10-22,8.0
2013-10-23,7.5
2013-10-24,8.25
2013-10-25,8.25
2013-10-28,8.25
2013-10-29,7.75
2013-10-30,7.75
2013-10-31,7.5
2013-11-01,7.900000095367432
2013-11-04,7.5
2013-11-05,7.5
2013-11-06,7.5
2013-11-07,7.0
2013-11-08,7.75
2013-11-11,7.5
2013-11-12,7.25
2013-11-13,8.75
2013-11-14,8.75
2013-11-15,8.0
2013-11-18,7.25
2013-11-19,7.25
2013-11-20,7.75
2013-11-21,8.0
2013-11-22,8.0
2013-11-25,8.25
2013-11-26,8.0
2013-11-27,8.5
2013-11-29,8.5
2013-12-02,7.5
2013-12-03,8.399999618530273
2013-12-04,7.550000190734863
2013-12-05,7.5
2013-12-06,7.5
2013-12-09,8.0
2013-12-10,7.900000095367432
2013-12-11,7.5
2013-12-12,7.5
2013-12-13,6.400000095367432
2013-12-16,6.400000095367432
2013-12-17,7.0
2013-12-18,8.25
2013-12-19,8.5
2013-12-20,8.699999809265137
2013-12-23,8.649999618530273
2013-12-24,8.25
2013-12-26,8.449999809265137
2013-12-27,8.25
2013-12-30,7.75
2013-12-31,9.0
2014-01-02,8.5
2014-01-03,8.5
2014-01-06,9.0
2014-01-07,9.0
2014-01-08,9.0
2014-01-09,7.75
2014-01-10,9.0
2014-01-13,8.5
2014-01-14,8.949999809265137
2014-01-15,8.5
2014-01-16,9.0
2014-01-17,8.949999809265137
2014-01-21,8.0
2014-01-22,6.550000190734863
2014-01-23,8.25
2014-01-24,8.25
2014-01-27,8.399999618530273
2014-01-28,8.850000381469727
2014-01-29,7.400000095367432
2014-01-30,9.0
2014-01-31,9.0
2014-02-03,7.599999904632568
2014-02-04,7.599999904632568
2014-02-05,8.5
2014-02-06,9.449999809265137
2014-02-07,8.5
2014-02-10,9.75
2014-02-11,10.449999809265137
2014-02-12,9.050000190734863
2014-02-13,9.5
2014-02-14,10.5
2014-02-18,10.25
2014-02-19,8.600000381469727
2014-02-20,9.0
2014-02-21,9.5
2014-02-24,9.5
2014-02-25,9.5
2014-02-26,9.5
2014-02-27,9.100000381469727
2014-02-28,8.600000381469727
2014-03-03,9.0
2014-03-04,8.75
2014-03-05,8.75
2014-03-06,8.5
2014-03-07,8.5
2014-03-10,8.0
2014-03-11,8.0
2014-03-12,7.800000190734863
2014-03-13,8.0
2014-03-14,7.5
2014-03-17,7.5
2014-03-18,7.5
2014-03-19,7.5
2014-03-20,7.099999904632568
2014-03-21,7.349999904632568
2014-03-24,7.25
2014-03-25,7.050000190734863
2014-03-26,7.099999904632568
2014-03-27,8.0
2014-03-28,8.0
2014-03-31,8.0
2014-04-01,8.0
2014-04-02,8.0
2014-04-03,8.0
2014-04-04,7.050000190734863
2014-04-07,7.849999904632568
2014-04-08,7.0
2014-04-09,7.0
2014-04-10,6.949999809265137
2014-04-11,7.900000095367432
2014-04-14,7.5
2014-04-15,7.5
2014-04-16,7.900000095367432
2014-04-17,8.0
2014-04-21,7.75
2014-04-22,8.0
2014-04-23,7.75
2014-04-24,7.5
2014-04-25,7.5
2014-04-28,7.5
2014-04-29,7.5
2014-04-30,7.5
2014-05-01,7.099999904632568
2014-05-02,7.0
2014-05-05,7.449999809265137
2014-05-06,7.400000095367432
2014-05-07,7.050000190734863
2014-05-08,3.549999952316284
2014-05-09,6.150000095367432
2014-05-12,7.0
2014-05-13,5.550000190734863
2014-05-14,7.199999809265137
2014-05-15,7.400000095367432
2014-05-16,6.25
2014-05-19,7.099999904632568
2014-05-20,7.5
2014-05-21,7.0
2014-05-22,6.5
2014-05-23,7.5
2014-05-27,7.5
2014-05-28,7.199999809265137
2014-05-29,6.5
2014-05-30,7.199999809265137
2014-06-02,6.0
2014-06-03,6.0
2014-06-04,4.050000190734863
2014-06-05,6.949999809265137
2014-06-06,7.5
2014-06-09,7.5
2014-06-10,7.5
2014-06-11,6.550000190734863
2014-06-12,8.5
2014-06-13,10.0
2014-06-16,9.399999618530273
2014-06-17,9.5
2014-06-18,10.0
2014-06-19,10.5
2014-06-20,8.5
2014-06-23,9.75
2014-06-24,9.5
2014-06-25,9.949999809265137
2014-06-26,9.5
2014-06-27,9.5
2014-06-30,9.5
2014-07-01,9.0
2014-07-02,9.5
2014-07-03,10.0
2014-07-07,8.75
2014-07-08,8.5
2014-07-09,8.25
2014-07-10,9.25
2014-07-11,9.25
2014-07-14,9.5
2014-07-15,8.300000190734863
2014-07-16,9.75
2014-07-17,9.5
2014-07-18,9.5
2014-07-21,10.0
2014-07-22,9.75
2014-07-23,9.75
2014-07-24,9.75
2014-07-25,9.75
2014-07-28,9.5
2014-07-29,9.5
2014-07-30,9.5
2014-07-31,9.0
2014-08-01,9.5
2014-08-04,9.5
2014-08-05,9.5
2014-08-06,9.5
2014-08-07,9.5
2014-08-08,8.25
2014-08-11,8.75
2014-08-12,8.5
2014-08-13,8.5
2014-08-14,8.5
2014-08-15,8.050000190734863
2014-08-18,9.0
2014-08-19,8.050000190734863
2014-08-20,9.0
2014-08-21,8.149999618530273
2014-08-22,8.5
2014-08-25,8.5
2014-08-26,8.0
2014-08-27,8.5
2014-08-28,8.75
2014-08-29,8.5
2014-09-02,8.0
2014-09-03,8.0
2014-09-04,8.100000381469727
2014-09-05,7.5
2014-09-08,8.0
2014-09-09,8.0
2014-09-10,8.0
2014-09-11,8.0
2014-09-12,7.5
2014-09-15,7.050000190734863
2014-09-16,8.0
2014-09-17,8.0
2014-09-18,8.0
2014-09-19,7.75
2014-09-22,8.399999618530273
2014-09-23,8.0
2014-09-24,8.0
2014-09-25,7.300000190734863
2014-09-26,8.0
2014-09-29,7.050000190734863
2014-09-30,8.0
2014-10-01,7.150000095367432
2014-10-02,7.5
2014-10-03,8.0
2014-10-06,8.300000190734863
2014-10-07,8.5
2014-10-08,8.5
2014-10-09,7.75
2014-10-10,7.75
2014-10-13,7.5
2014-10-14,6.550000190734863
2014-10-15,8.149999618530273
2014-10-16,8.149999618530273
2014-10-17,6.75
2014-10-20,8.0
2014-10-21,8.5
2014-10-22,8.0
2014-10-23,8.25
2014-10-24,8.0
2014-10-27,8.350000381469727
2014-10-28,8.199999809265137
2014-10-29,7.75
2014-10-30,7.800000190734863
2014-10-31,8.5
2014-11-03,8.5
2014-11-04,8.449999809265137
2014-11-05,7.75
2014-11-06,7.5
2014-11-07,7.550000190734863
2014-11-10,7.5
2014-11-11,7.5
2014-11-12,8.0
2014-11-13,8.0
2014-11-14,7.75
2014-11-17,7.25
2014-11-18,7.300000190734863
2014-11-19,8.0
2014-11-20,8.0
2014-11-21,7.75
2014-11-24,8.0
2014-11-25,8.0
2014-11-26,7.25
2014-11-28,8.0
2014-12-01,7.25
2014-12-02,7.25
2014-12-03,7.25
2014-12-04,7.150000095367432
2014-12-05,7.099999904632568
2014-12-08,7.0
2014-12-09,7.0
2014-12-10,6.75
2014-12-11,7.5
2014-12-12,7.25
2014-12-15,7.25
2014-12-16,7.050000190734863
2014-12-17,8.0
2014-12-18,5.5
2014-12-19,6.0
2014-12-22,6.0
2014-12-23,7.5
2014-12-24,7.25
2014-12-26,7.25
2014-12-29,7.25
2014-12-30,7.0
2014-12-31,7.0
2015-01-02,7.0
2015-01-05,7.0
2015-01-06,6.300000190734863
2015-01-07,6.949999809265137
2015-01-08,6.949999809265137
2015-01-09,6.949999809265137
2015-01-12,6.949999809265137
2015-01-13,7.0
2015-01-14,7.0
2015-01-15,7.0
2015-01-16,6.849999904632568
2015-01-20,6.0
2015-01-21,6.0
2015-01-22,6.349999904632568
2015-01-23,6.5
