,NCC
2013-01-22,2.9000000953674316
2013-01-23,2.9000000953674316
2013-01-24,2.9000000953674316
2013-01-25,0.9810000061988831
2013-01-28,2.9000000953674316
2013-01-29,2.9000000953674316
2013-01-30,2.9000000953674316
2013-01-31,2.9000000953674316
2013-02-01,0.8820000290870667
2013-02-04,2.9000000953674316
2013-02-05,2.9000000953674316
2013-02-06,2.9000000953674316
2013-02-07,2.9000000953674316
2013-02-08,0.7639999985694885
2013-02-11,2.9000000953674316
2013-02-12,2.9000000953674316
2013-02-13,2.9000000953674316
2013-02-14,2.9000000953674316
2013-02-15,0.7490000128746033
2013-02-19,2.9000000953674316
2013-02-20,2.9000000953674316
2013-02-21,2.9000000953674316
2013-02-22,0.75
2013-02-25,2.9000000953674316
2013-02-26,2.9000000953674316
