,ANIP
2002-08-07,136.8000030517578
2002-08-08,136.8000030517578
2002-08-09,136.8000030517578
2002-08-12,136.8000030517578
2002-08-13,136.8000030517578
2002-08-14,140.39999389648438
2002-08-15,126.0
2002-08-16,126.0
2002-08-19,126.0
2002-08-20,126.0
2002-08-21,126.0
2002-08-22,126.0
2002-08-23,135.0
2002-08-26,135.0
2002-08-27,135.0
2002-08-28,135.0
2002-08-29,135.0
2002-08-30,135.0
2002-09-03,135.0
2002-09-04,129.60000610351562
2002-09-05,129.60000610351562
2002-09-06,124.19999694824219
2002-09-09,135.0
2002-09-10,151.1999969482422
2002-09-11,151.1999969482422
2002-09-12,151.1999969482422
2002-09-13,151.1999969482422
2002-09-16,151.1999969482422
2002-09-17,151.1999969482422
2002-09-18,145.8000030517578
2002-09-19,145.8000030517578
2002-09-20,145.8000030517578
2002-09-23,136.8000030517578
2002-09-24,136.8000030517578
2002-09-25,136.8000030517578
2002-09-26,136.8000030517578
2002-09-27,122.4000015258789
2002-09-30,140.39999389648438
2002-10-01,135.0
2002-10-02,135.0
2002-10-03,135.0
2002-10-04,129.60000610351562
2002-10-07,97.19999694824219
2002-10-08,89.63999938964844
2002-10-09,81.0
2002-10-10,93.5999984741211
2002-10-11,81.0
2002-10-14,97.19999694824219
2002-10-15,108.0
2002-10-16,111.5999984741211
2002-10-17,111.5999984741211
2002-10-18,104.4000015258789
2002-10-21,108.0
2002-10-22,106.19999694824219
2002-10-23,108.0
2002-10-24,106.19999694824219
2002-10-25,106.19999694824219
2002-10-28,106.19999694824219
2002-10-29,99.0
2002-10-30,99.0
2002-10-31,107.27999877929688
2002-11-01,106.19999694824219
2002-11-04,106.19999694824219
2002-11-05,104.4000015258789
2002-11-06,99.0
2002-11-07,81.0
2002-11-08,72.0
2002-11-11,75.5999984741211
2002-11-12,75.5999984741211
2002-11-13,82.80000305175781
2002-11-14,77.4000015258789
2002-11-15,82.80000305175781
2002-11-18,82.80000305175781
2002-11-19,82.80000305175781
2002-11-20,79.19999694824219
2002-11-21,79.19999694824219
2002-11-22,84.5999984741211
2002-11-25,84.5999984741211
2002-11-26,84.5999984741211
2002-11-27,93.5999984741211
2002-11-29,104.4000015258789
2002-12-02,104.4000015258789
2002-12-03,104.4000015258789
2002-12-04,104.4000015258789
2002-12-05,104.4000015258789
2002-12-06,100.80000305175781
2002-12-09,93.5999984741211
2002-12-10,93.5999984741211
2002-12-11,95.4000015258789
2002-12-12,102.5999984741211
2002-12-13,100.80000305175781
2002-12-16,99.0
2002-12-17,99.0
2002-12-18,92.16000366210938
2002-12-19,99.0
2002-12-20,91.80000305175781
2002-12-23,90.0
2002-12-24,79.19999694824219
2002-12-26,108.0
2002-12-27,117.0
2002-12-30,129.60000610351562
2002-12-31,120.5999984741211
2003-01-02,118.80000305175781
2003-01-03,118.80000305175781
2003-01-06,104.4000015258789
2003-01-07,99.0
2003-01-08,91.80000305175781
2003-01-09,99.0
2003-01-10,99.0
2003-01-13,99.0
2003-01-14,100.80000305175781
2003-01-15,100.80000305175781
2003-01-16,100.80000305175781
2003-01-17,99.0
2003-01-21,99.0
2003-01-22,90.0
2003-01-23,90.0
2003-01-24,99.0
2003-01-27,99.0
2003-01-28,99.0
2003-01-29,99.0
2003-01-30,93.5999984741211
2003-01-31,93.5999984741211
2003-02-03,93.5999984741211
2003-02-04,93.5999984741211
2003-02-05,90.0
2003-02-06,86.4000015258789
2003-02-07,88.19999694824219
2003-02-10,84.5999984741211
2003-02-11,81.0
2003-02-12,81.0
2003-02-13,81.0
2003-02-14,83.87999725341797
2003-02-18,86.4000015258789
2003-02-19,86.4000015258789
2003-02-20,81.0
2003-02-21,86.4000015258789
2003-02-24,86.4000015258789
2003-02-25,86.4000015258789
2003-02-26,83.5199966430664
2003-02-27,82.80000305175781
2003-02-28,84.5999984741211
2003-03-03,77.4000015258789
2003-03-04,70.19999694824219
2003-03-05,72.0
2003-03-06,72.0
2003-03-07,72.0
2003-03-10,72.0
2003-03-11,72.0
2003-03-12,72.0
2003-03-13,77.4000015258789
2003-03-14,77.4000015258789
2003-03-17,68.4000015258789
2003-03-18,81.0
2003-03-19,82.80000305175781
2003-03-20,81.0
2003-03-21,81.0
2003-03-24,81.0
2003-03-25,79.19999694824219
2003-03-26,81.72000122070312
2003-03-27,81.0
2003-03-28,81.0
2003-03-31,77.4000015258789
2003-04-01,66.5999984741211
2003-04-02,66.5999984741211
2003-04-03,66.5999984741211
2003-04-04,81.0
2003-04-07,79.19999694824219
2003-04-08,73.80000305175781
2003-04-09,72.0
2003-04-10,72.0
2003-04-11,80.63999938964844
2003-04-14,80.63999938964844
2003-04-15,73.80000305175781
2003-04-16,73.80000305175781
2003-04-17,73.80000305175781
2003-04-21,73.80000305175781
2003-04-22,73.80000305175781
2003-04-23,73.80000305175781
2003-04-24,77.4000015258789
2003-04-25,80.27999877929688
2003-04-28,73.80000305175781
2003-04-29,73.80000305175781
2003-04-30,82.80000305175781
2003-05-01,81.0
2003-05-02,82.80000305175781
2003-05-05,81.36000061035156
2003-05-06,81.0
2003-05-07,83.87999725341797
2003-05-08,79.19999694824219
2003-05-09,79.19999694824219
2003-05-12,78.83999633789062
2003-05-13,78.12000274658203
2003-05-14,78.12000274658203
2003-05-15,78.12000274658203
2003-05-16,79.19999694824219
2003-05-19,81.36000061035156
2003-05-20,78.12000274658203
2003-05-21,81.0
2003-05-22,83.87999725341797
2003-05-23,86.4000015258789
2003-05-27,86.4000015258789
2003-05-28,82.80000305175781
2003-05-29,82.08000183105469
2003-05-30,82.08000183105469
2003-06-02,76.31999969482422
2003-06-03,76.31999969482422
2003-06-04,99.0
2003-06-05,81.0
2003-06-06,100.80000305175781
2003-06-09,109.08000183105469
2003-06-10,81.0
2003-06-11,82.80000305175781
2003-06-12,108.0
2003-06-13,108.0
2003-06-16,108.0
2003-06-17,100.80000305175781
2003-06-18,108.0
2003-06-19,108.0
2003-06-20,100.80000305175781
2003-06-23,97.19999694824219
2003-06-24,97.19999694824219
2003-06-25,97.19999694824219
2003-06-26,102.5999984741211
2003-06-27,102.5999984741211
2003-06-30,105.4800033569336
2003-07-01,102.5999984741211
2003-07-02,104.04000091552734
2003-07-03,102.5999984741211
2003-07-07,104.4000015258789
2003-07-08,104.4000015258789
2003-07-09,104.4000015258789
2003-07-10,97.19999694824219
2003-07-11,100.80000305175781
2003-07-14,97.19999694824219
2003-07-15,97.55999755859375
2003-07-16,97.19999694824219
2003-07-17,97.19999694824219
2003-07-18,96.12000274658203
2003-07-21,93.5999984741211
2003-07-22,91.80000305175781
2003-07-23,90.0
2003-07-24,90.0
2003-07-25,90.0
2003-07-28,90.0
2003-07-29,88.91999816894531
2003-07-30,88.91999816894531
2003-07-31,88.91999816894531
2003-08-01,93.5999984741211
2003-08-04,93.5999984741211
2003-08-05,91.80000305175781
2003-08-06,93.5999984741211
2003-08-07,99.0
2003-08-08,99.0
2003-08-11,102.5999984741211
2003-08-12,99.0
2003-08-13,100.80000305175781
2003-08-14,99.0
2003-08-15,99.0
2003-08-18,97.91999816894531
2003-08-19,100.80000305175781
2003-08-20,100.80000305175781
2003-08-21,102.5999984741211
2003-08-22,102.5999984741211
2003-08-25,102.5999984741211
2003-08-26,100.80000305175781
2003-08-27,102.5999984741211
2003-08-28,99.0
2003-08-29,99.72000122070312
2003-09-02,100.80000305175781
2003-09-03,99.0
2003-09-04,99.0
2003-09-05,97.19999694824219
2003-09-08,104.4000015258789
2003-09-09,107.27999877929688
2003-09-10,107.63999938964844
2003-09-11,108.0
2003-09-12,109.80000305175781
2003-09-15,108.0
2003-09-16,109.80000305175781
2003-09-17,108.0
2003-09-18,108.0
2003-09-19,108.36000061035156
2003-09-22,108.0
2003-09-23,111.5999984741211
2003-09-24,110.16000366210938
2003-09-25,127.80000305175781
2003-09-26,124.19999694824219
2003-09-29,122.4000015258789
2003-09-30,126.0
2003-10-01,129.60000610351562
2003-10-02,124.19999694824219
2003-10-03,118.80000305175781
2003-10-06,118.80000305175781
2003-10-07,117.0
2003-10-08,118.44000244140625
2003-10-09,118.80000305175781
2003-10-10,115.55999755859375
2003-10-13,118.80000305175781
2003-10-14,120.5999984741211
2003-10-15,120.5999984741211
2003-10-16,119.87999725341797
2003-10-17,120.5999984741211
2003-10-20,122.4000015258789
2003-10-21,132.47999572753906
2003-10-22,127.80000305175781
2003-10-23,127.80000305175781
2003-10-24,126.0
2003-10-27,121.68000030517578
2003-10-28,120.23999786376953
2003-10-29,120.5999984741211
2003-10-30,120.5999984741211
2003-10-31,118.80000305175781
2003-11-03,122.4000015258789
2003-11-04,122.4000015258789
2003-11-05,126.36000061035156
2003-11-06,128.8800048828125
2003-11-07,159.47999572753906
2003-11-10,144.0
2003-11-11,140.39999389648438
2003-11-12,147.60000610351562
2003-11-13,147.60000610351562
2003-11-14,144.0
2003-11-17,144.0
2003-11-18,138.60000610351562
2003-11-19,136.8000030517578
2003-11-20,135.0
2003-11-21,135.0
2003-11-24,131.0399932861328
2003-11-25,129.60000610351562
2003-11-26,138.60000610351562
2003-11-28,149.39999389648438
2003-12-01,154.8000030517578
2003-12-02,154.44000244140625
2003-12-03,154.8000030517578
2003-12-04,152.27999877929688
2003-12-05,151.1999969482422
2003-12-08,150.1199951171875
2003-12-09,145.8000030517578
2003-12-10,138.60000610351562
2003-12-11,138.24000549316406
2003-12-12,137.52000427246094
2003-12-15,141.47999572753906
2003-12-16,144.0
2003-12-17,146.52000427246094
2003-12-18,144.72000122070312
2003-12-19,146.16000366210938
2003-12-22,152.63999938964844
2003-12-23,146.52000427246094
2003-12-24,147.60000610351562
2003-12-26,147.9600067138672
2003-12-29,147.24000549316406
2003-12-30,147.60000610351562
2003-12-31,149.0399932861328
2004-01-02,146.8800048828125
2004-01-05,148.67999267578125
2004-01-06,148.67999267578125
2004-01-07,154.8000030517578
2004-01-08,166.67999267578125
2004-01-09,165.60000610351562
2004-01-12,171.0
2004-01-13,173.52000427246094
2004-01-14,174.9600067138672
2004-01-15,190.8000030517578
2004-01-16,205.1999969482422
2004-01-20,208.8000030517578
2004-01-21,208.8000030517578
2004-01-22,204.47999572753906
2004-01-23,204.83999633789062
2004-01-26,205.1999969482422
2004-01-27,210.60000610351562
2004-01-28,211.32000732421875
2004-01-29,207.36000061035156
2004-01-30,206.63999938964844
2004-02-02,202.67999267578125
2004-02-03,228.60000610351562
2004-02-04,230.39999389648438
2004-02-05,213.1199951171875
2004-02-06,212.0399932861328
2004-02-09,212.39999389648438
2004-02-10,216.0
2004-02-11,213.83999633789062
2004-02-12,213.83999633789062
2004-02-13,212.39999389648438
2004-02-17,208.8000030517578
2004-02-18,203.39999389648438
2004-02-19,199.0800018310547
2004-02-20,194.39999389648438
2004-02-23,183.60000610351562
2004-02-24,177.83999633789062
2004-02-25,179.27999877929688
2004-02-26,182.8800048828125
2004-02-27,187.1999969482422
2004-03-01,199.8000030517578
2004-03-02,210.24000549316406
2004-03-03,207.72000122070312
2004-03-04,203.0399932861328
2004-03-05,201.24000549316406
2004-03-08,197.63999938964844
2004-03-09,194.75999450683594
2004-03-10,183.60000610351562
2004-03-11,176.39999389648438
2004-03-12,181.44000244140625
2004-03-15,166.67999267578125
2004-03-16,167.39999389648438
2004-03-17,168.83999633789062
2004-03-18,171.0
2004-03-19,171.0
2004-03-22,170.63999938964844
2004-03-23,167.0399932861328
2004-03-24,154.44000244140625
2004-03-25,154.0800018310547
2004-03-26,154.0800018310547
2004-03-29,153.36000061035156
2004-03-30,150.83999633789062
2004-03-31,147.9600067138672
2004-04-01,165.9600067138672
2004-04-02,167.39999389648438
2004-04-05,173.8800048828125
2004-04-06,166.67999267578125
2004-04-07,171.0
2004-04-08,207.0
2004-04-12,210.60000610351562
2004-04-13,207.0
2004-04-14,208.44000244140625
2004-04-15,223.1999969482422
2004-04-16,225.0
2004-04-19,242.27999877929688
2004-04-20,244.8000030517578
2004-04-21,258.4800109863281
2004-04-22,250.9199981689453
2004-04-23,251.63999938964844
2004-04-26,233.27999877929688
2004-04-27,226.8000030517578
2004-04-28,234.0
2004-04-29,249.83999633789062
2004-04-30,238.67999267578125
2004-05-03,223.1999969482422
2004-05-04,225.0
2004-05-05,230.75999450683594
2004-05-06,230.75999450683594
2004-05-07,241.9199981689453
2004-05-10,236.8800048828125
2004-05-11,235.44000244140625
2004-05-12,240.47999572753906
2004-05-13,274.32000732421875
2004-05-14,301.67999267578125
2004-05-17,295.20001220703125
2004-05-18,286.9200134277344
2004-05-19,280.79998779296875
2004-05-20,280.0799865722656
2004-05-21,279.0
2004-05-24,271.0799865722656
2004-05-25,259.9200134277344
2004-05-26,264.239990234375
2004-05-27,265.67999267578125
2004-05-28,273.6000061035156
2004-06-01,286.20001220703125
2004-06-02,281.8800048828125
2004-06-03,283.67999267578125
2004-06-04,281.5199890136719
2004-06-07,268.55999755859375
2004-06-08,259.20001220703125
2004-06-09,254.16000366210938
2004-06-10,257.0400085449219
2004-06-14,255.60000610351562
2004-06-15,264.6000061035156
2004-06-16,272.5199890136719
2004-06-17,279.3599853515625
2004-06-18,269.6400146484375
2004-06-21,275.760009765625
2004-06-22,273.6000061035156
2004-06-23,282.9599914550781
2004-06-24,277.9200134277344
2004-06-25,281.5199890136719
2004-06-28,283.67999267578125
2004-06-29,277.55999755859375
2004-06-30,276.8399963378906
2004-07-01,272.8800048828125
2004-07-02,270.0
2004-07-06,259.20001220703125
2004-07-07,252.0
2004-07-08,246.24000549316406
2004-07-09,247.67999267578125
2004-07-12,234.0
