,FMAO
2007-04-25,11.175000190734863
2007-04-26,11.175000190734863
2007-04-27,11.175000190734863
2007-04-30,11.175000190734863
2007-05-01,11.5
2007-05-02,11.5
2007-05-03,11.5
2007-05-04,11.5
2007-05-07,11.5
2007-05-08,11.5
2007-05-09,11.300000190734863
2007-05-10,11.5
2007-05-11,11.300000190734863
2007-05-14,11.300000190734863
2007-05-15,11.300000190734863
2007-05-16,11.324999809265137
2007-05-17,11.324999809265137
2007-05-18,11.324999809265137
2007-05-21,11.324999809265137
2007-05-22,11.324999809265137
2007-05-23,11.324999809265137
2007-05-24,11.1850004196167
2007-05-25,11.1850004196167
2007-05-29,11.1850004196167
2007-05-30,11.1850004196167
2007-05-31,11.25
2007-06-01,11.225000381469727
2007-06-04,11.350000381469727
2007-06-05,11.350000381469727
2007-06-06,11.154999732971191
2007-06-07,11.154999732971191
2007-06-08,11.154999732971191
2007-06-11,11.154999732971191
2007-06-12,11.25
2007-06-13,11.199999809265137
2007-06-14,11.199999809265137
2007-06-15,11.199999809265137
2007-06-18,11.175000190734863
2007-06-19,11.175000190734863
2007-06-20,11.175000190734863
2007-06-21,11.175000190734863
2007-06-22,11.074999809265137
2007-06-25,11.074999809265137
2007-06-26,11.074999809265137
2007-06-27,11.180000305175781
2007-06-28,11.125
2007-06-29,11.024999618530273
2007-07-02,11.050000190734863
2007-07-03,11.050000190734863
2007-07-05,11.0
2007-07-06,11.0
2007-07-09,11.25
2007-07-10,10.875
2007-07-11,10.875
2007-07-12,10.875
2007-07-13,10.78499984741211
2007-07-16,10.875
2007-07-17,10.875
2007-07-18,10.875
2007-07-19,10.875
2007-07-20,10.875
2007-07-23,10.805000305175781
2007-07-24,10.805000305175781
2007-07-25,10.805000305175781
2007-07-26,10.805000305175781
2007-07-27,10.805000305175781
2007-07-30,10.78499984741211
2007-07-31,10.770000457763672
2007-08-01,10.770000457763672
2007-08-02,10.770000457763672
2007-08-03,10.770000457763672
2007-08-06,10.5
2007-08-07,10.5
2007-08-08,10.699999809265137
2007-08-09,10.5
2007-08-10,10.5
2007-08-13,10.5
2007-08-14,10.699999809265137
2007-08-15,10.5
2007-08-16,10.5
2007-08-17,10.5
2007-08-20,10.5
2007-08-21,10.5
2007-08-22,10.5
2007-08-23,10.5
2007-08-24,10.5
2007-08-27,10.175000190734863
2007-08-28,10.175000190734863
2007-08-29,10.699999809265137
2007-08-30,10.175000190734863
2007-08-31,10.175000190734863
2007-09-04,10.175000190734863
2007-09-05,10.175000190734863
2007-09-06,10.085000038146973
2007-09-07,10.085000038146973
2007-09-10,10.085000038146973
2007-09-11,10.5
2007-09-12,10.5
2007-09-13,10.5
2007-09-14,10.5
2007-09-17,10.050000190734863
2007-09-18,10.050000190734863
2007-09-19,10.399999618530273
2007-09-20,10.25
2007-09-21,10.25
2007-09-24,10.375
2007-09-25,10.0
2007-09-26,10.0
2007-09-27,10.375
2007-09-28,10.125
2007-10-01,10.125
2007-10-02,10.125
2007-10-03,10.125
2007-10-04,10.125
2007-10-05,10.125
2007-10-08,10.125
2007-10-09,9.975000381469727
2007-10-10,9.975000381469727
2007-10-11,9.975000381469727
2007-10-12,9.75
2007-10-15,9.75
2007-10-16,9.75
2007-10-17,9.75
2007-10-18,9.75
2007-10-19,9.75
2007-10-22,9.75
2007-10-23,9.899999618530273
2007-10-24,10.0
2007-10-25,10.0
2007-10-26,10.0
2007-10-29,9.899999618530273
2007-10-30,9.850000381469727
2007-10-31,9.850000381469727
2007-11-01,9.850000381469727
2007-11-02,9.850000381469727
2007-11-05,9.25
2007-11-06,9.25
2007-11-07,9.25
2007-11-08,9.25
2007-11-09,9.25
2007-11-12,9.25
2007-11-13,9.25
2007-11-14,9.024999618530273
2007-11-15,9.024999618530273
2007-11-16,9.024999618530273
2007-11-19,9.024999618530273
2007-11-20,9.5
2007-11-21,9.5
2007-11-23,10.0
2007-11-26,9.5
2007-11-27,9.5
2007-11-28,9.5
2007-11-29,9.5
2007-11-30,9.5
2007-12-03,9.5
2007-12-04,9.399999618530273
2007-12-05,9.024999618530273
2007-12-06,9.024999618530273
2007-12-07,9.024999618530273
2007-12-10,9.024999618530273
2007-12-11,9.024999618530273
2007-12-12,9.024999618530273
2007-12-13,9.75
2007-12-14,9.5
2007-12-17,10.0
2007-12-18,9.625
2007-12-19,9.625
2007-12-20,9.625
2007-12-21,9.625
2007-12-24,10.0
2007-12-26,9.625
2007-12-27,9.625
2007-12-28,9.625
2007-12-31,10.125
2008-01-02,10.125
2008-01-03,10.125
2008-01-04,9.625
2008-01-07,9.625
2008-01-08,9.625
2008-01-09,9.625
2008-01-10,9.649999618530273
2008-01-11,9.649999618530273
2008-01-14,9.5
2008-01-15,9.5
2008-01-16,9.5
2008-01-17,9.5
2008-01-18,9.25
2008-01-22,9.350000381469727
2008-01-23,9.524999618530273
2008-01-24,9.524999618530273
2008-01-25,9.5
2008-01-28,9.449999809265137
2008-01-29,9.449999809265137
2008-01-30,9.425000190734863
2008-01-31,9.399999618530273
2008-02-01,9.399999618530273
2008-02-04,9.399999618530273
2008-02-05,9.399999618530273
2008-02-06,9.399999618530273
2008-02-07,9.399999618530273
2008-02-08,9.399999618530273
2008-02-11,9.25
2008-02-12,9.25
2008-02-13,9.199999809265137
2008-02-14,9.175000190734863
2008-02-15,9.175000190734863
2008-02-19,9.175000190734863
2008-02-20,9.0
2008-02-21,9.050000190734863
2008-02-22,9.0
2008-02-25,9.024999618530273
2008-02-26,9.024999618530273
2008-02-27,9.024999618530273
2008-02-28,9.024999618530273
2008-02-29,9.024999618530273
2008-03-03,9.024999618530273
2008-03-04,9.449999809265137
2008-03-05,9.425000190734863
2008-03-06,9.125
2008-03-07,9.25
2008-03-10,9.5
2008-03-11,9.5
2008-03-12,9.5
2008-03-13,9.5
2008-03-14,9.5
2008-03-17,9.5
2008-03-18,9.5
2008-03-19,9.5
2008-03-20,9.5
2008-03-24,9.5
2008-03-25,9.5
2008-03-26,9.25
2008-03-27,9.25
2008-03-28,9.25
2008-03-31,10.0
2008-04-01,10.0
2008-04-02,10.0
2008-04-03,10.0
2008-04-04,9.524999618530273
2008-04-07,9.524999618530273
2008-04-08,9.524999618530273
2008-04-09,9.725000381469727
2008-04-10,9.725000381469727
2008-04-11,9.725000381469727
2008-04-14,9.649999618530273
2008-04-15,9.875
2008-04-16,9.875
2008-04-17,9.875
2008-04-18,9.875
2008-04-21,10.0
2008-04-22,9.824999809265137
2008-04-23,9.824999809265137
2008-04-24,10.074999809265137
2008-04-25,9.800000190734863
2008-04-28,9.800000190734863
2008-04-29,9.800000190734863
2008-04-30,9.800000190734863
2008-05-01,9.800000190734863
2008-05-02,9.800000190734863
2008-05-05,10.0
2008-05-06,10.0
2008-05-07,10.0
2008-05-08,10.125
2008-05-09,10.175000190734863
2008-05-12,10.5
2008-05-13,10.5
2008-05-14,10.25
2008-05-15,10.25
2008-05-16,10.25
2008-05-19,10.25
2008-05-20,10.25
2008-05-21,10.274999618530273
2008-05-22,10.25
2008-05-23,10.75
2008-05-27,10.875
2008-05-28,10.574999809265137
2008-05-29,10.574999809265137
2008-05-30,10.574999809265137
2008-06-02,10.574999809265137
2008-06-03,10.875
2008-06-04,10.875
2008-06-05,10.850000381469727
2008-06-06,10.800000190734863
2008-06-09,10.800000190734863
2008-06-10,11.25
2008-06-11,11.25
2008-06-12,11.399999618530273
2008-06-13,11.399999618530273
2008-06-16,11.199999809265137
2008-06-17,11.199999809265137
2008-06-18,11.199999809265137
2008-06-19,11.199999809265137
2008-06-20,11.199999809265137
2008-06-23,11.0
2008-06-24,11.0
2008-06-25,11.399999618530273
2008-06-26,11.399999618530273
2008-06-27,11.399999618530273
2008-06-30,10.324999809265137
2008-07-01,10.324999809265137
2008-07-02,10.324999809265137
2008-07-03,10.024999618530273
2008-07-07,10.029999732971191
2008-07-08,10.024999618530273
2008-07-09,10.024999618530273
2008-07-10,10.024999618530273
2008-07-11,10.024999618530273
2008-07-14,10.024999618530273
2008-07-15,10.024999618530273
2008-07-16,10.024999618530273
2008-07-17,10.024999618530273
2008-07-18,10.024999618530273
2008-07-21,10.024999618530273
2008-07-22,10.074999809265137
2008-07-23,10.074999809265137
2008-07-24,10.5
2008-07-25,10.5
2008-07-28,10.5
2008-07-29,11.125
2008-07-30,10.5
2008-07-31,10.5
2008-08-01,10.5
2008-08-04,10.5
2008-08-05,10.850000381469727
2008-08-06,10.75
2008-08-07,10.75
2008-08-08,10.75
2008-08-11,10.75
2008-08-12,10.75
2008-08-13,10.75
2008-08-14,11.0
2008-08-15,11.25
2008-08-18,10.75
2008-08-19,11.125
2008-08-20,11.125
2008-08-21,11.125
2008-08-22,11.125
2008-08-25,11.125
2008-08-26,10.75
2008-08-27,10.75
2008-08-28,10.75
2008-08-29,10.75
2008-09-02,10.75
2008-09-03,10.75
2008-09-04,10.75
2008-09-05,11.125
2008-09-08,10.75
2008-09-09,10.75
2008-09-10,10.75
2008-09-11,10.75
2008-09-12,10.75
2008-09-15,10.649999618530273
2008-09-16,11.050000190734863
2008-09-17,10.5
2008-09-18,10.5
2008-09-19,10.5
2008-09-22,10.25
2008-09-23,10.25
2008-09-24,10.25
2008-09-25,10.25
2008-09-26,10.5
2008-09-29,10.25
2008-09-30,10.675000190734863
2008-10-01,10.0
2008-10-02,10.0
2008-10-03,10.0
2008-10-06,10.0
2008-10-07,10.0
2008-10-08,9.875
2008-10-09,9.875
2008-10-10,10.0
2008-10-13,9.550000190734863
2008-10-14,9.550000190734863
2008-10-15,9.550000190734863
2008-10-16,9.550000190734863
2008-10-17,9.550000190734863
2008-10-20,9.875
2008-10-21,9.875
2008-10-22,9.875
2008-10-23,9.875
2008-10-24,9.75
2008-10-27,9.75
2008-10-28,9.625
2008-10-29,9.625
2008-10-30,9.625
2008-10-31,9.625
2008-11-03,9.625
2008-11-04,9.524999618530273
2008-11-05,9.774999618530273
2008-11-06,9.625
2008-11-07,9.625
2008-11-10,10.25
2008-11-11,10.0
2008-11-12,10.125
2008-11-13,10.125
2008-11-14,10.125
2008-11-17,10.125
2008-11-18,10.125
2008-11-19,10.125
2008-11-20,9.625
2008-11-21,9.625
2008-11-24,9.625
2008-11-25,10.0
2008-11-26,10.0
2008-11-28,10.0
2008-12-01,9.5
2008-12-02,9.5
2008-12-03,10.0
2008-12-04,10.0
2008-12-05,10.0
2008-12-08,9.5
2008-12-09,9.5
2008-12-10,9.5
2008-12-11,9.5
2008-12-12,9.5
2008-12-15,9.5
2008-12-16,9.5
2008-12-17,9.5
2008-12-18,10.0
2008-12-19,10.0
2008-12-22,10.0
2008-12-23,10.0
2008-12-24,10.0
2008-12-26,10.0
2008-12-29,10.0
2008-12-30,10.0
2008-12-31,10.0
2009-01-02,9.550000190734863
2009-01-05,9.550000190734863
2009-01-06,9.550000190734863
2009-01-07,9.550000190734863
2009-01-08,9.550000190734863
2009-01-09,9.975000381469727
2009-01-12,9.975000381469727
2009-01-13,8.800000190734863
2009-01-14,9.5
2009-01-15,9.5
2009-01-16,9.5
2009-01-20,9.5
2009-01-21,9.5
2009-01-22,9.25
2009-01-23,9.25
2009-01-26,10.0
2009-01-27,10.0
2009-01-28,10.0
2009-01-29,9.375
2009-01-30,9.375
2009-02-02,9.375
2009-02-03,9.375
2009-02-04,9.375
2009-02-05,9.375
2009-02-06,9.375
2009-02-09,9.875
2009-02-10,9.875
2009-02-11,9.875
2009-02-12,9.375
2009-02-13,9.375
2009-02-17,9.375
2009-02-18,9.375
2009-02-19,9.375
2009-02-20,9.375
2009-02-23,9.375
2009-02-24,9.375
2009-02-25,9.375
2009-02-26,9.375
2009-02-27,9.375
2009-03-02,9.375
2009-03-03,9.375
2009-03-04,9.375
2009-03-05,9.375
2009-03-06,9.375
2009-03-09,9.375
2009-03-10,9.0
2009-03-11,9.0
2009-03-12,9.0
2009-03-13,9.0
2009-03-16,9.0
2009-03-17,9.0
2009-03-18,9.0
2009-03-19,9.0
2009-03-20,9.0
2009-03-23,9.0
2009-03-24,9.0
2009-03-25,9.0
2009-03-26,9.0
2009-03-27,9.0
2009-03-30,9.25
2009-03-31,9.25
2009-04-01,9.375
2009-04-02,8.774999618530273
2009-04-03,8.800000190734863
2009-04-06,8.800000190734863
2009-04-07,8.800000190734863
2009-04-08,8.875
2009-04-09,8.800000190734863
2009-04-13,8.800000190734863
2009-04-14,8.800000190734863
2009-04-15,8.925000190734863
2009-04-16,8.800000190734863
2009-04-17,8.800000190734863
2009-04-20,8.800000190734863
2009-04-21,8.800000190734863
2009-04-22,9.0
2009-04-23,9.25
2009-04-24,9.25
2009-04-27,8.875
2009-04-28,8.875
2009-04-29,8.899999618530273
2009-04-30,8.899999618530273
2009-05-01,9.100000381469727
2009-05-04,9.100000381469727
2009-05-05,9.100000381469727
2009-05-06,9.25
2009-05-07,9.25
2009-05-08,9.25
2009-05-11,9.25
2009-05-12,9.25
2009-05-13,9.25
2009-05-14,9.25
2009-05-15,8.949999809265137
2009-05-18,8.875
2009-05-19,8.875
2009-05-20,8.800000190734863
2009-05-21,8.800000190734863
2009-05-22,8.800000190734863
2009-05-26,8.875
2009-05-27,9.0
2009-05-28,9.225000381469727
2009-05-29,9.225000381469727
2009-06-01,9.225000381469727
2009-06-02,9.199999809265137
2009-06-03,9.199999809265137
2009-06-04,9.199999809265137
2009-06-05,9.199999809265137
2009-06-08,9.199999809265137
2009-06-09,9.199999809265137
2009-06-10,9.0
2009-06-11,9.0
2009-06-12,9.0
2009-06-15,9.375
2009-06-16,9.375
2009-06-17,9.375
2009-06-18,9.375
2009-06-19,9.625
2009-06-22,9.375
2009-06-23,10.0
2009-06-24,10.0
2009-06-25,10.25
2009-06-26,10.25
2009-06-29,10.375
2009-06-30,10.125
2009-07-01,10.125
2009-07-02,9.75
2009-07-06,9.75
2009-07-07,9.75
2009-07-08,9.75
2009-07-09,9.75
2009-07-10,9.75
2009-07-13,9.625
2009-07-14,9.625
2009-07-15,9.625
2009-07-16,9.725000381469727
2009-07-17,9.625
2009-07-20,10.0
2009-07-21,10.0
2009-07-22,10.25
2009-07-23,10.25
2009-07-24,10.25
2009-07-27,10.25
2009-07-28,10.25
2009-07-29,10.244999885559082
2009-07-30,10.244999885559082
2009-07-31,10.244999885559082
2009-08-03,10.244999885559082
2009-08-04,10.244999885559082
2009-08-05,10.0
2009-08-06,10.0
2009-08-07,10.0
2009-08-10,10.244999885559082
2009-08-11,10.0
2009-08-12,10.0
2009-08-13,10.25
2009-08-14,10.494999885559082
2009-08-17,10.0
2009-08-18,10.0
2009-08-19,10.0
2009-08-20,10.0
2009-08-21,9.75
2009-08-24,10.0
2009-08-25,10.0
2009-08-26,10.0
2009-08-27,10.0
2009-08-28,10.0
2009-08-31,9.875
2009-09-01,9.875
2009-09-02,9.75
2009-09-03,9.75
2009-09-04,9.75
2009-09-08,9.75
2009-09-09,9.75
2009-09-10,9.75
2009-09-11,9.625
2009-09-14,9.625
2009-09-15,9.75
2009-09-16,9.75
2009-09-17,9.75
2009-09-18,9.875
2009-09-21,9.875
2009-09-22,9.875
2009-09-23,9.875
2009-09-24,9.875
2009-09-25,9.875
2009-09-28,9.875
2009-09-29,9.875
2009-09-30,9.875
2009-10-01,9.5
2009-10-02,9.5
2009-10-05,9.5
2009-10-06,9.5
2009-10-07,9.5
2009-10-08,9.5
2009-10-09,9.5
2009-10-12,9.5
2009-10-13,9.5
2009-10-14,9.5
2009-10-15,9.5
2009-10-16,9.300000190734863
2009-10-19,9.300000190734863
2009-10-20,9.300000190734863
2009-10-21,9.300000190734863
2009-10-22,9.300000190734863
2009-10-23,9.300000190734863
2009-10-26,9.300000190734863
2009-10-27,9.300000190734863
2009-10-28,9.300000190734863
2009-10-29,9.300000190734863
2009-10-30,8.75
2009-11-02,8.600000381469727
2009-11-03,8.600000381469727
2009-11-04,8.625
2009-11-05,8.625
2009-11-06,9.199999809265137
2009-11-09,9.125
2009-11-10,9.125
2009-11-11,9.0
2009-11-12,9.0
2009-11-13,8.600000381469727
2009-11-16,8.649999618530273
2009-11-17,8.649999618530273
2009-11-18,8.649999618530273
2009-11-19,8.625
2009-11-20,7.599999904632568
2009-11-23,7.599999904632568
2009-11-24,7.599999904632568
2009-11-25,7.599999904632568
2009-11-27,7.599999904632568
2009-11-30,7.599999904632568
2009-12-01,8.25
2009-12-02,7.630000114440918
2009-12-03,7.630000114440918
2009-12-04,7.849999904632568
2009-12-07,7.849999904632568
2009-12-08,7.650000095367432
2009-12-09,7.650000095367432
2009-12-10,7.650000095367432
2009-12-11,7.875
2009-12-14,8.5
2009-12-15,8.5
2009-12-16,8.5
2009-12-17,8.5
2009-12-18,8.5
2009-12-21,8.5
2009-12-22,8.5
2009-12-23,8.5
2009-12-24,8.5
2009-12-28,8.5
2009-12-29,8.5
2009-12-30,8.15999984741211
2009-12-31,8.15999984741211
2010-01-04,8.15999984741211
2010-01-05,8.15999984741211
2010-01-06,8.15999984741211
2010-01-07,8.15999984741211
2010-01-08,8.15999984741211
2010-01-11,8.15999984741211
2010-01-12,8.0
2010-01-13,8.0
2010-01-14,8.074999809265137
2010-01-15,8.050000190734863
2010-01-19,8.375
2010-01-20,8.375
2010-01-21,8.625
2010-01-22,8.625
2010-01-25,8.5
2010-01-26,8.75
2010-01-27,8.75
2010-01-28,8.75
2010-01-29,8.75
2010-02-01,8.75
2010-02-02,8.75
2010-02-03,8.75
2010-02-04,8.75
2010-02-05,8.5
2010-02-08,8.5
2010-02-09,8.5
2010-02-10,8.125
2010-02-11,8.125
2010-02-12,8.125
2010-02-16,8.125
2010-02-17,8.125
2010-02-18,8.375
2010-02-19,8.375
2010-02-22,8.5
2010-02-23,8.5
2010-02-24,8.5
2010-02-25,8.5
2010-02-26,8.5
2010-03-01,8.75
2010-03-02,9.25
2010-03-03,9.119999885559082
2010-03-04,9.119999885559082
2010-03-05,8.75
2010-03-08,9.5
2010-03-09,9.5
2010-03-10,9.0
2010-03-11,8.875
2010-03-12,8.875
2010-03-15,9.0
2010-03-16,8.5
2010-03-17,8.5
2010-03-18,8.5
2010-03-19,8.875
2010-03-22,8.5
2010-03-23,8.25
2010-03-24,8.25
2010-03-25,8.25
2010-03-26,8.25
2010-03-29,8.5
2010-03-30,8.5
2010-03-31,8.5
2010-04-01,8.5
2010-04-05,8.949999809265137
2010-04-06,8.949999809265137
2010-04-07,8.949999809265137
2010-04-08,8.949999809265137
2010-04-09,9.125
2010-04-12,9.125
2010-04-13,9.125
2010-04-14,8.5
2010-04-15,8.5
2010-04-16,8.5
2010-04-19,9.225000381469727
2010-04-20,9.125
2010-04-21,9.125
2010-04-22,9.125
2010-04-23,9.125
2010-04-26,9.125
2010-04-27,9.125
2010-04-28,9.125
2010-04-29,9.125
2010-04-30,9.125
2010-05-03,9.125
2010-05-04,9.125
2010-05-05,9.125
2010-05-06,9.125
2010-05-07,9.125
2010-05-10,9.125
2010-05-11,9.175000190734863
2010-05-12,9.175000190734863
2010-05-13,9.050000190734863
2010-05-14,9.050000190734863
2010-05-17,9.050000190734863
2010-05-18,9.050000190734863
2010-05-19,10.0
2010-05-20,10.0
2010-05-21,10.0
2010-05-24,9.050000190734863
2010-05-25,9.050000190734863
2010-05-26,9.050000190734863
2010-05-27,9.75
2010-05-28,9.550000190734863
2010-06-01,9.550000190734863
2010-06-02,9.550000190734863
2010-06-03,9.550000190734863
2010-06-04,9.5
2010-06-07,9.725000381469727
2010-06-08,9.725000381469727
2010-06-09,9.725000381469727
2010-06-10,9.725000381469727
2010-06-11,9.725000381469727
2010-06-14,9.625
2010-06-15,9.625
2010-06-16,9.625
2010-06-17,9.625
2010-06-18,9.625
2010-06-21,9.600000381469727
2010-06-22,9.600000381469727
2010-06-23,9.175000190734863
2010-06-24,9.449999809265137
2010-06-25,9.449999809265137
2010-06-28,9.449999809265137
