,FCIT
2017-07-18,17.333332061767578
2017-07-19,17.333332061767578
2017-07-20,17.5238094329834
2017-07-21,17.5238094329834
2017-07-24,17.428571701049805
2017-07-25,17.380952835083008
2017-07-26,17.428571701049805
2017-07-27,17.51333236694336
2017-07-28,17.5238094329834
2017-07-31,17.5238094329834
2017-08-01,17.5238094329834
2017-08-02,17.5238094329834
2017-08-03,17.5238094329834
2017-08-04,17.5238094329834
2017-08-07,17.571428298950195
2017-08-08,17.571428298950195
2017-08-09,17.428571701049805
2017-08-10,17.428571701049805
2017-08-11,17.428571701049805
2017-08-14,17.428571701049805
2017-08-15,17.5238094329834
2017-08-16,17.5238094329834
2017-08-17,17.571428298950195
2017-08-18,17.5238094329834
2017-08-21,17.571428298950195
2017-08-22,17.571428298950195
2017-08-23,17.571428298950195
