,FFWM
2015-12-11,11.859999656677246
2015-12-14,11.864999771118164
2015-12-15,11.854999542236328
2015-12-16,12.149999618530273
2015-12-17,12.3100004196167
2015-12-18,12.170000076293945
2015-12-21,11.914999961853027
2015-12-22,11.670000076293945
2015-12-23,11.579999923706055
2015-12-24,11.524999618530273
2015-12-28,11.595000267028809
2015-12-29,11.5649995803833
2015-12-30,11.8100004196167
2015-12-31,11.795000076293945
2016-01-04,11.664999961853027
2016-01-05,11.760000228881836
2016-01-06,11.755000114440918
2016-01-07,11.670000076293945
2016-01-08,11.680000305175781
2016-01-11,11.369999885559082
2016-01-12,11.204999923706055
2016-01-13,11.274999618530273
2016-01-14,11.324999809265137
2016-01-15,10.949999809265137
2016-01-19,10.760000228881836
2016-01-20,10.994999885559082
2016-01-21,10.994999885559082
2016-01-22,11.15999984741211
2016-01-25,11.100000381469727
2016-01-26,11.125
2016-01-27,11.039999961853027
2016-01-28,11.145000457763672
2016-01-29,11.149999618530273
2016-02-01,11.024999618530273
2016-02-02,10.880000114440918
2016-02-03,10.984999656677246
2016-02-04,10.96500015258789
2016-02-05,10.880000114440918
2016-02-08,10.78499984741211
2016-02-09,10.789999961853027
2016-02-10,10.930000305175781
2016-02-11,10.725000381469727
2016-02-12,10.779999732971191
2016-02-16,10.984999656677246
2016-02-17,10.760000228881836
2016-02-18,10.805000305175781
2016-02-19,10.734999656677246
2016-02-22,10.65999984741211
2016-02-23,10.574999809265137
2016-02-24,10.744999885559082
2016-02-25,10.885000228881836
2016-02-26,10.944999694824219
2016-02-29,10.859999656677246
2016-03-01,10.755000114440918
2016-03-02,10.75
2016-03-03,10.729999542236328
2016-03-04,10.614999771118164
2016-03-07,10.5649995803833
2016-03-08,10.460000038146973
2016-03-09,10.734999656677246
2016-03-10,10.505000114440918
2016-03-11,10.800000190734863
2016-03-14,10.739999771118164
2016-03-15,10.779999732971191
2016-03-16,10.770000457763672
2016-03-17,10.96500015258789
2016-03-18,11.135000228881836
2016-03-21,11.234999656677246
2016-03-22,11.239999771118164
2016-03-23,11.244999885559082
2016-03-24,11.244999885559082
2016-03-28,11.244999885559082
2016-03-29,11.234999656677246
2016-03-30,11.229999542236328
2016-03-31,11.21500015258789
2016-04-01,11.234999656677246
2016-04-04,11.180000305175781
2016-04-05,11.069999694824219
2016-04-06,11.234999656677246
2016-04-07,11.069999694824219
2016-04-08,11.100000381469727
2016-04-11,11.149999618530273
2016-04-12,11.145000457763672
2016-04-13,11.085000038146973
2016-04-14,11.03499984741211
2016-04-15,11.0649995803833
2016-04-18,11.170000076293945
2016-04-19,11.140000343322754
2016-04-20,11.210000038146973
2016-04-21,11.145000457763672
2016-04-22,11.25
2016-04-25,10.899999618530273
2016-04-26,11.149999618530273
2016-04-27,11.095000267028809
2016-04-28,11.25
2016-04-29,11.274999618530273
2016-05-02,11.3149995803833
2016-05-03,11.300000190734863
2016-05-04,11.345000267028809
2016-05-05,11.28499984741211
2016-05-06,11.1850004196167
2016-05-09,11.260000228881836
2016-05-10,10.9399995803833
2016-05-11,11.149999618530273
2016-05-12,11.225000381469727
2016-05-13,11.0
2016-05-16,10.944999694824219
2016-05-17,10.96500015258789
2016-05-18,11.119999885559082
2016-05-19,11.109999656677246
2016-05-20,11.069999694824219
2016-05-23,11.09000015258789
2016-05-24,11.305000305175781
2016-05-25,11.305000305175781
2016-05-26,11.470000267028809
2016-05-27,11.5
2016-05-31,11.475000381469727
2016-06-01,11.420000076293945
2016-06-02,11.295000076293945
2016-06-03,11.244999885559082
2016-06-06,11.244999885559082
2016-06-07,11.220000267028809
2016-06-08,11.199999809265137
2016-06-09,11.130000114440918
2016-06-10,11.140000343322754
2016-06-13,10.710000038146973
2016-06-14,10.725000381469727
2016-06-15,10.845000267028809
2016-06-16,10.805000305175781
2016-06-17,10.609999656677246
2016-06-20,10.630000114440918
2016-06-21,10.765000343322754
2016-06-22,11.039999961853027
2016-06-23,10.760000228881836
2016-06-24,10.289999961853027
2016-06-27,10.104999542236328
2016-06-28,10.234999656677246
2016-06-29,10.460000038146973
2016-06-30,10.75
2016-07-01,10.619999885559082
2016-07-05,10.3100004196167
2016-07-06,10.59000015258789
2016-07-07,10.850000381469727
2016-07-08,11.0
2016-07-11,11.085000038146973
2016-07-12,11.239999771118164
2016-07-13,11.220000267028809
2016-07-14,11.279999732971191
2016-07-15,11.40999984741211
2016-07-18,11.295000076293945
2016-07-19,11.265000343322754
2016-07-20,11.199999809265137
