,FCEL
1993-06-01,228.0
1993-06-02,231.0
1993-06-03,231.0
1993-06-04,240.0
1993-06-07,246.0
1993-06-08,240.0
1993-06-09,252.0
1993-06-10,246.0
1993-06-11,252.0
1993-06-14,252.0
1993-06-15,252.0
1993-06-16,252.0
1993-06-17,243.0
1993-06-18,240.0
1993-06-21,237.0
1993-06-22,240.0
1993-06-23,240.0
1993-06-24,228.0
1993-06-25,240.0
1993-06-28,234.0
1993-06-29,222.0
1993-06-30,237.0
1993-07-01,237.0
1993-07-02,240.0
1993-07-06,222.0
1993-07-07,228.0
1993-07-08,234.0
1993-07-09,234.0
1993-07-12,234.0
1993-07-13,222.0
1993-07-14,222.0
1993-07-15,231.0
1993-07-16,222.0
1993-07-19,222.0
1993-07-20,216.0
1993-07-21,216.0
1993-07-22,228.0
1993-07-23,222.0
1993-07-26,234.0
1993-07-27,222.0
1993-07-28,222.0
1993-07-29,234.0
1993-07-30,222.0
1993-08-02,234.0
1993-08-03,234.0
1993-08-04,234.0
1993-08-05,234.0
1993-08-06,234.0
1993-08-09,234.0
1993-08-10,231.0
1993-08-11,222.0
1993-08-12,228.0
1993-08-13,222.0
1993-08-16,234.0
1993-08-17,228.0
1993-08-18,234.0
1993-08-19,228.0
1993-08-20,234.0
1993-08-23,222.0
1993-08-24,222.0
1993-08-25,228.0
1993-08-26,231.0
1993-08-27,252.0
1993-08-30,252.0
1993-08-31,270.0
1993-09-01,276.0
1993-09-02,276.0
1993-09-03,282.0
1993-09-07,264.0
1993-09-08,258.0
1993-09-09,270.0
1993-09-10,267.0
1993-09-13,258.0
1993-09-14,252.0
1993-09-15,261.0
1993-09-16,258.0
1993-09-17,261.0
1993-09-20,276.0
1993-09-21,246.0
1993-09-22,270.0
1993-09-23,258.0
1993-09-24,270.0
1993-09-27,276.0
1993-09-28,276.0
1993-09-29,276.0
1993-09-30,294.0
1993-10-01,282.0
1993-10-04,282.0
1993-10-05,288.0
1993-10-06,300.0
1993-10-07,318.0
1993-10-08,312.0
1993-10-11,312.0
1993-10-12,312.0
1993-10-13,300.0
1993-10-14,312.0
1993-10-15,306.0
1993-10-18,306.0
1993-10-19,312.0
1993-10-20,294.0
1993-10-21,294.0
1993-10-22,294.0
1993-10-25,282.0
1993-10-26,276.0
1993-10-27,282.0
1993-10-28,282.0
1993-10-29,300.0
1993-11-01,276.0
1993-11-02,282.0
1993-11-03,276.0
1993-11-04,279.0
1993-11-05,270.0
1993-11-08,270.0
1993-11-09,282.0
1993-11-10,270.0
1993-11-11,276.0
1993-11-12,276.0
1993-11-15,258.0
1993-11-16,258.0
1993-11-17,258.0
1993-11-18,258.0
1993-11-19,270.0
1993-11-22,270.0
1993-11-23,270.0
1993-11-24,282.0
1993-11-26,282.0
1993-11-29,279.0
1993-11-30,270.0
1993-12-01,270.0
1993-12-02,282.0
1993-12-03,294.0
1993-12-06,288.0
1993-12-07,282.0
1993-12-08,282.0
1993-12-09,291.0
1993-12-10,270.0
1993-12-13,264.0
1993-12-14,246.0
1993-12-15,246.0
1993-12-16,234.0
1993-12-17,237.0
1993-12-20,237.0
1993-12-21,231.0
1993-12-22,231.0
1993-12-23,225.0
1993-12-27,240.0
1993-12-28,231.0
1993-12-29,246.0
1993-12-30,246.0
1993-12-31,246.0
1994-01-03,246.0
1994-01-04,240.0
1994-01-05,246.0
1994-01-06,246.0
1994-01-07,249.0
1994-01-10,252.0
1994-01-11,252.0
1994-01-12,252.0
1994-01-13,264.0
1994-01-14,276.0
1994-01-17,276.0
1994-01-18,300.0
1994-01-19,288.0
1994-01-20,294.0
1994-01-21,306.0
1994-01-24,288.0
1994-01-25,288.0
1994-01-26,294.0
1994-01-27,297.0
1994-01-28,312.0
1994-01-31,312.0
1994-02-01,312.0
1994-02-02,294.0
1994-02-03,300.0
1994-02-04,276.0
1994-02-07,270.0
1994-02-08,270.0
1994-02-09,270.0
1994-02-10,294.0
1994-02-11,294.0
1994-02-14,282.0
1994-02-15,273.0
1994-02-16,288.0
1994-02-17,288.0
1994-02-18,270.0
1994-02-22,258.0
1994-02-23,252.0
1994-02-24,252.0
1994-02-25,240.0
1994-02-28,240.0
1994-03-01,240.0
1994-03-02,240.0
1994-03-03,240.0
1994-03-04,240.0
1994-03-07,222.0
1994-03-08,240.0
1994-03-09,234.0
1994-03-10,234.0
1994-03-11,246.0
1994-03-14,258.0
1994-03-15,246.0
1994-03-16,246.0
1994-03-17,258.0
1994-03-18,282.0
1994-03-21,267.0
1994-03-22,264.0
1994-03-23,282.0
1994-03-24,276.0
1994-03-25,264.0
1994-03-28,288.0
1994-03-29,276.0
1994-03-30,276.0
1994-03-31,294.0
1994-04-04,294.0
1994-04-05,282.0
1994-04-06,285.0
1994-04-07,294.0
1994-04-08,294.0
1994-04-11,282.0
1994-04-12,282.0
1994-04-13,282.0
1994-04-14,291.0
1994-04-15,294.0
1994-04-18,276.0
1994-04-19,258.0
1994-04-20,252.0
1994-04-21,261.0
1994-04-22,270.0
1994-04-25,258.0
1994-04-26,252.0
1994-04-28,261.0
1994-04-29,270.0
1994-05-02,267.0
1994-05-03,267.0
1994-05-04,264.0
1994-05-05,264.0
1994-05-06,258.0
1994-05-09,258.0
1994-05-10,258.0
1994-05-11,258.0
1994-05-12,258.0
1994-05-13,270.0
1994-05-16,264.0
1994-05-17,252.0
1994-05-18,252.0
1994-05-19,252.0
1994-05-20,252.0
1994-05-23,261.0
1994-05-24,261.0
1994-05-25,276.0
1994-05-26,276.0
1994-05-27,264.0
1994-05-31,264.0
1994-06-01,264.0
1994-06-02,270.0
1994-06-03,270.0
1994-06-06,264.0
1994-06-07,264.0
1994-06-08,258.0
1994-06-09,258.0
1994-06-10,258.0
1994-06-13,258.0
1994-06-14,258.0
1994-06-15,258.0
1994-06-16,276.0
1994-06-17,264.0
1994-06-20,264.0
1994-06-21,261.0
1994-06-22,261.0
1994-06-23,264.0
1994-06-24,258.0
1994-06-27,258.0
1994-06-28,258.0
1994-06-29,265.5
1994-06-30,267.0
1994-07-01,276.0
1994-07-05,264.0
1994-07-06,264.0
1994-07-07,264.0
1994-07-08,258.0
1994-07-11,258.0
1994-07-12,258.0
1994-07-13,270.0
1994-07-14,258.0
1994-07-15,258.0
1994-07-18,258.0
1994-07-19,258.0
1994-07-20,252.0
1994-07-21,252.0
1994-07-22,252.0
1994-07-25,252.0
1994-07-26,252.0
1994-07-27,246.0
1994-07-28,258.0
1994-07-29,252.0
1994-08-01,252.0
1994-08-02,252.0
1994-08-03,246.0
1994-08-04,258.0
1994-08-05,270.0
1994-08-08,246.0
1994-08-09,264.0
1994-08-10,246.0
1994-08-11,264.0
1994-08-12,264.0
1994-08-15,264.0
1994-08-16,246.0
1994-08-17,252.0
1994-08-18,246.0
1994-08-19,246.0
1994-08-22,252.0
1994-08-23,252.0
1994-08-24,247.5
1994-08-25,252.0
1994-08-26,264.0
1994-08-29,264.0
1994-08-30,273.0
1994-08-31,264.0
1994-09-01,273.0
1994-09-02,288.0
1994-09-06,288.0
1994-09-07,286.5
1994-09-08,286.5
1994-09-09,288.0
1994-09-12,276.0
1994-09-13,283.5
1994-09-14,286.5
1994-09-15,288.0
1994-09-16,279.0
1994-09-19,285.0
1994-09-20,282.0
1994-09-21,279.0
1994-09-22,282.0
1994-09-23,282.0
1994-09-26,282.0
1994-09-27,282.0
1994-09-28,282.0
1994-09-29,276.0
1994-09-30,264.0
1994-10-03,264.0
1994-10-04,270.0
1994-10-05,270.0
1994-10-06,246.0
1994-10-07,258.0
1994-10-10,264.0
1994-10-11,261.0
1994-10-12,264.0
1994-10-13,264.0
1994-10-14,270.0
1994-10-17,267.0
1994-10-18,267.0
1994-10-19,258.0
1994-10-20,249.0
1994-10-21,252.0
1994-10-24,249.0
1994-10-25,258.0
1994-10-26,250.5
1994-10-27,240.0
1994-10-28,240.0
1994-10-31,240.0
1994-11-01,240.0
1994-11-02,252.0
1994-11-03,240.0
1994-11-04,240.0
1994-11-07,228.0
1994-11-08,228.0
1994-11-09,231.0
1994-11-10,228.0
1994-11-11,228.0
1994-11-14,228.0
1994-11-15,228.0
1994-11-16,222.0
1994-11-17,222.0
1994-11-18,225.0
1994-11-21,240.0
1994-11-22,240.0
1994-11-23,246.0
1994-11-25,234.0
1994-11-28,234.0
1994-11-29,246.0
1994-11-30,240.0
1994-12-01,240.0
1994-12-02,252.0
1994-12-05,240.0
1994-12-06,234.0
1994-12-07,228.0
1994-12-08,222.0
1994-12-09,216.0
1994-12-12,204.0
1994-12-13,216.0
1994-12-14,213.0
1994-12-15,216.0
1994-12-16,219.0
1994-12-19,228.0
1994-12-20,222.0
1994-12-21,234.0
1994-12-22,234.0
1994-12-23,240.0
1994-12-27,240.0
1994-12-28,222.0
1994-12-29,222.0
1994-12-30,228.0
1995-01-03,216.0
1995-01-04,216.0
1995-01-05,222.0
1995-01-06,222.0
1995-01-09,216.0
1995-01-10,216.0
1995-01-11,213.0
1995-01-12,210.0
1995-01-13,216.0
1995-01-16,216.0
1995-01-17,210.0
1995-01-18,204.0
1995-01-19,204.0
1995-01-20,204.0
1995-01-23,204.0
1995-01-24,204.0
1995-01-25,210.0
1995-01-26,210.0
1995-01-27,210.0
1995-01-30,210.0
1995-01-31,204.0
1995-02-01,216.0
1995-02-02,214.5
1995-02-03,216.0
1995-02-06,216.0
1995-02-07,213.0
1995-02-08,213.0
1995-02-09,219.0
1995-02-10,222.0
1995-02-13,216.0
1995-02-14,219.0
1995-02-15,222.0
1995-02-16,228.0
1995-02-17,228.0
1995-02-21,237.0
1995-02-22,252.0
1995-02-23,246.0
1995-02-24,258.0
1995-02-27,252.0
1995-02-28,255.0
1995-03-01,252.0
1995-03-02,252.0
1995-03-03,246.0
1995-03-06,249.0
1995-03-07,255.0
1995-03-08,252.0
1995-03-09,240.0
1995-03-10,246.0
1995-03-13,252.0
1995-03-14,252.0
1995-03-15,252.0
1995-03-16,246.0
1995-03-17,252.0
1995-03-20,240.0
1995-03-21,249.0
1995-03-22,258.0
1995-03-23,258.0
1995-03-24,252.0
1995-03-27,246.0
1995-03-28,246.0
1995-03-29,252.0
1995-03-30,258.0
1995-03-31,258.0
1995-04-03,246.0
1995-04-04,252.0
1995-04-05,249.0
1995-04-06,252.0
1995-04-07,246.0
1995-04-10,252.0
1995-04-11,240.0
1995-04-12,252.0
1995-04-13,243.0
1995-04-17,252.0
1995-04-18,240.0
1995-04-19,246.0
1995-04-20,240.0
1995-04-21,252.0
1995-04-24,240.0
1995-04-25,240.0
1995-04-26,252.0
1995-04-27,252.0
1995-04-28,252.0
1995-05-01,240.0
1995-05-02,252.0
1995-05-03,252.0
1995-05-04,243.0
1995-05-05,237.0
1995-05-08,231.0
1995-05-09,231.0
1995-05-10,216.0
1995-05-11,216.0
1995-05-12,234.0
1995-05-15,228.0
1995-05-16,216.0
1995-05-17,216.0
1995-05-18,234.0
1995-05-19,234.0
1995-05-22,222.0
1995-05-23,222.0
1995-05-24,228.0
1995-05-25,216.0
1995-05-26,216.0
1995-05-30,216.0
1995-05-31,222.0
1995-06-01,222.0
1995-06-02,219.0
1995-06-05,219.0
1995-06-06,219.0
1995-06-07,213.0
1995-06-08,210.0
1995-06-09,210.0
1995-06-12,210.0
1995-06-13,228.0
1995-06-14,210.0
1995-06-15,216.0
1995-06-16,210.0
1995-06-19,210.0
1995-06-20,210.0
1995-06-21,204.0
1995-06-22,189.0
1995-06-23,192.0
1995-06-26,180.0
1995-06-27,186.0
1995-06-28,204.0
1995-06-29,210.0
1995-06-30,210.0
1995-07-03,210.0
1995-07-05,204.0
1995-07-06,204.0
1995-07-07,204.0
1995-07-10,216.0
1995-07-11,204.0
1995-07-12,198.0
1995-07-13,216.0
1995-07-14,216.0
1995-07-17,204.0
1995-07-18,204.0
1995-07-19,216.0
1995-07-20,205.5
1995-07-21,204.0
1995-07-24,198.0
1995-07-25,192.0
1995-07-26,192.0
1995-07-27,201.0
1995-07-28,204.0
1995-07-31,204.0
1995-08-01,204.0
1995-08-02,204.0
1995-08-03,210.0
1995-08-04,192.0
1995-08-07,216.0
1995-08-08,216.0
1995-08-09,216.0
1995-08-10,216.0
1995-08-11,216.0
1995-08-14,210.0
1995-08-15,210.0
1995-08-16,228.0
1995-08-17,216.0
1995-08-18,228.0
1995-08-21,258.0
1995-08-22,240.0
1995-08-23,252.0
1995-08-24,252.0
1995-08-25,252.0
1995-08-28,249.0
1995-08-29,258.0
1995-08-30,264.0
1995-08-31,270.0
1995-09-01,264.0
1995-09-05,264.0
1995-09-06,264.0
1995-09-07,264.0
1995-09-08,264.0
1995-09-11,264.0
1995-09-12,264.0
1995-09-13,258.0
1995-09-14,258.0
1995-09-15,267.0
1995-09-18,270.0
1995-09-19,252.0
1995-09-20,258.0
1995-09-21,243.0
1995-09-22,258.0
1995-09-25,258.0
1995-09-26,234.0
1995-09-27,237.0
1995-09-28,234.0
1995-09-29,234.0
1995-10-02,234.0
1995-10-03,234.0
1995-10-04,252.0
1995-10-05,240.0
1995-10-06,240.0
1995-10-09,234.0
1995-10-10,249.0
1995-10-11,252.0
1995-10-12,252.0
1995-10-13,234.0
1995-10-16,222.0
1995-10-17,234.0
1995-10-18,252.0
1995-10-19,252.0
1995-10-20,252.0
1995-10-23,234.0
1995-10-24,252.0
1995-10-25,270.0
1995-10-26,252.0
1995-10-27,270.0
1995-10-30,261.0
1995-10-31,273.0
1995-11-01,265.5
1995-11-02,264.0
1995-11-03,258.0
1995-11-06,249.0
1995-11-07,258.0
1995-11-08,255.0
1995-11-09,258.0
1995-11-10,252.0
1995-11-13,246.0
1995-11-14,279.0
1995-11-15,273.0
1995-11-16,276.0
1995-11-17,276.0
1995-11-20,276.0
1995-11-21,270.0
1995-11-22,282.0
1995-11-24,282.0
1995-11-27,276.0
1995-11-28,282.0
1995-11-29,279.0
1995-11-30,273.0
1995-12-01,270.0
1995-12-04,273.0
1995-12-05,274.5
1995-12-06,274.5
1995-12-07,264.0
1995-12-08,282.0
1995-12-11,288.0
1995-12-12,276.0
1995-12-13,285.0
1995-12-14,294.0
1995-12-15,276.0
1995-12-18,276.0
1995-12-19,294.0
1995-12-20,282.0
1995-12-21,264.0
1995-12-22,270.0
1995-12-26,270.0
1995-12-27,279.0
1995-12-28,270.0
1995-12-29,277.5
1996-01-02,277.5
1996-01-03,279.0
1996-01-04,279.0
1996-01-05,273.0
1996-01-08,273.0
1996-01-09,271.5
1996-01-10,270.0
1996-01-11,264.0
1996-01-12,255.0
1996-01-15,255.0
1996-01-16,264.0
1996-01-17,264.0
1996-01-18,270.0
1996-01-19,270.0
1996-01-22,258.0
1996-01-23,258.75
1996-01-24,264.0
1996-01-25,276.0
1996-01-26,276.0
1996-01-29,270.0
1996-01-30,264.0
1996-01-31,270.0
1996-02-01,261.0
1996-02-02,267.0
1996-02-05,270.0
1996-02-06,264.0
1996-02-07,267.0
1996-02-08,264.0
1996-02-09,276.0
1996-02-12,270.0
1996-02-13,264.0
1996-02-14,270.0
1996-02-15,270.0
1996-02-16,267.0
1996-02-20,267.0
1996-02-21,264.0
1996-02-22,264.0
1996-02-23,276.0
1996-02-26,267.0
1996-02-27,267.0
1996-02-28,270.0
1996-02-29,273.0
1996-03-01,273.0
1996-03-04,270.0
1996-03-05,273.0
1996-03-06,264.0
1996-03-07,264.0
1996-03-08,258.0
1996-03-11,240.0
1996-03-12,252.0
1996-03-13,234.0
1996-03-14,240.0
1996-03-15,246.0
1996-03-18,258.0
1996-03-19,267.0
1996-03-20,273.0
1996-03-21,300.0
1996-03-22,313.5
1996-03-25,336.0
1996-03-26,300.0
1996-03-27,312.0
1996-03-28,318.0
1996-03-29,318.0
1996-04-01,318.0
1996-04-02,318.0
1996-04-03,318.0
1996-04-04,312.0
1996-04-08,312.0
1996-04-09,318.0
1996-04-10,318.0
1996-04-11,300.0
1996-04-12,288.0
1996-04-15,288.0
1996-04-16,294.0
1996-04-17,294.0
1996-04-18,279.0
1996-04-19,285.0
1996-04-22,282.0
1996-04-23,276.0
1996-04-24,264.0
1996-04-25,276.0
1996-04-26,306.0
1996-04-29,294.0
1996-04-30,306.0
1996-05-01,321.0
1996-05-02,330.0
1996-05-03,348.0
1996-05-06,354.0
1996-05-07,370.5
1996-05-08,384.0
1996-05-09,408.0
1996-05-10,402.0
1996-05-13,366.0
1996-05-14,360.0
1996-05-15,360.0
1996-05-16,354.0
1996-05-17,348.0
1996-05-20,342.0
1996-05-21,342.0
1996-05-22,348.0
1996-05-23,348.0
1996-05-24,348.0
1996-05-28,360.0
1996-05-29,372.0
1996-05-30,420.0
1996-05-31,456.0
1996-06-03,504.0
1996-06-04,432.0
1996-06-05,429.0
1996-06-06,432.0
1996-06-07,432.0
1996-06-10,429.0
1996-06-11,426.0
1996-06-12,408.0
1996-06-13,420.0
1996-06-14,396.0
1996-06-17,393.0
1996-06-18,396.0
1996-06-19,390.0
1996-06-20,372.0
1996-06-21,372.0
1996-06-24,372.0
1996-06-25,366.0
1996-06-26,372.0
1996-06-27,369.0
1996-06-28,354.0
1996-07-01,360.0
1996-07-02,351.0
1996-07-03,360.0
1996-07-05,366.0
1996-07-08,366.0
1996-07-09,366.0
1996-07-10,366.0
1996-07-11,330.0
1996-07-12,318.0
1996-07-15,324.0
1996-07-16,318.0
1996-07-17,336.0
1996-07-18,354.0
1996-07-19,360.0
1996-07-22,342.0
1996-07-23,324.0
1996-07-24,288.0
1996-07-25,300.0
1996-07-26,324.0
1996-07-29,324.0
1996-07-30,348.0
1996-07-31,366.0
1996-08-01,348.0
1996-08-02,360.0
1996-08-05,366.0
1996-08-06,372.0
1996-08-07,372.0
1996-08-08,372.0
1996-08-09,360.0
1996-08-12,360.0
1996-08-13,348.0
1996-08-14,342.0
1996-08-15,336.0
1996-08-16,336.0
1996-08-19,318.0
1996-08-20,312.0
1996-08-21,312.0
1996-08-22,336.0
1996-08-23,378.0
1996-08-26,355.5
1996-08-27,366.0
1996-08-28,366.0
1996-08-29,360.0
1996-08-30,360.0
1996-09-03,342.0
1996-09-04,336.0
1996-09-05,339.0
1996-09-06,336.0
1996-09-09,327.0
1996-09-10,324.0
1996-09-11,318.0
1996-09-12,318.0
1996-09-13,312.0
1996-09-16,312.0
1996-09-17,330.0
1996-09-18,312.0
1996-09-19,303.0
1996-09-20,318.0
1996-09-23,324.0
1996-09-24,318.0
1996-09-25,318.0
1996-09-26,315.0
1996-09-27,315.0
1996-09-30,306.0
1996-10-01,306.0
1996-10-02,306.0
1996-10-03,303.0
1996-10-04,312.0
1996-10-07,312.0
1996-10-08,312.0
1996-10-09,327.0
1996-10-10,336.0
1996-10-11,342.0
1996-10-14,342.0
1996-10-15,342.0
1996-10-16,324.0
1996-10-17,318.0
1996-10-18,312.0
1996-10-21,312.0
1996-10-22,303.0
1996-10-23,282.0
1996-10-24,276.0
1996-10-25,276.0
1996-10-28,270.0
1996-10-29,321.0
1996-10-30,306.0
1996-10-31,291.0
1996-11-01,294.0
1996-11-04,294.0
1996-11-05,300.0
1996-11-06,279.0
1996-11-07,288.0
1996-11-08,288.0
1996-11-11,273.0
1996-11-12,276.0
1996-11-13,267.0
1996-11-14,273.0
1996-11-15,270.0
1996-11-18,279.0
1996-11-19,258.0
1996-11-20,264.0
1996-11-21,267.0
1996-11-22,249.0
1996-11-25,246.0
1996-11-26,243.0
1996-11-27,258.0
1996-11-29,258.0
1996-12-02,273.0
1996-12-03,288.0
1996-12-04,288.0
1996-12-05,288.0
1996-12-06,279.0
1996-12-09,276.0
1996-12-10,279.0
1996-12-11,255.0
1996-12-12,264.0
1996-12-13,270.0
1996-12-16,246.0
1996-12-17,249.0
1996-12-18,252.0
1996-12-19,258.0
1996-12-20,252.0
1996-12-23,270.0
1996-12-24,276.0
1996-12-26,303.0
1996-12-27,318.0
1996-12-30,345.0
1996-12-31,354.0
1997-01-02,342.0
1997-01-03,348.0
1997-01-06,354.0
1997-01-07,348.0
1997-01-08,348.0
1997-01-09,354.0
1997-01-10,339.0
1997-01-13,348.0
1997-01-14,339.0
1997-01-15,345.0
1997-01-16,339.0
1997-01-17,360.0
1997-01-20,324.0
1997-01-21,342.0
1997-01-22,336.0
1997-01-23,336.0
1997-01-24,312.0
1997-01-27,300.0
1997-01-28,279.0
1997-01-29,288.0
1997-01-30,276.0
1997-01-31,288.0
1997-02-03,282.0
1997-02-04,291.0
1997-02-05,306.0
1997-02-06,288.0
1997-02-07,294.0
1997-02-10,297.0
1997-02-11,270.0
1997-02-12,285.0
1997-02-13,276.0
1997-02-14,279.0
1997-02-18,276.0
1997-02-19,276.0
1997-02-20,276.0
1997-02-21,273.0
1997-02-24,279.0
1997-02-25,279.0
1997-02-26,288.0
1997-02-27,285.0
1997-02-28,285.0
1997-03-03,279.0
1997-03-04,279.0
1997-03-05,285.0
1997-03-06,291.0
1997-03-07,297.0
1997-03-10,303.0
1997-03-11,309.0
1997-03-12,297.0
1997-03-13,285.0
1997-03-14,288.0
1997-03-17,276.0
1997-03-18,282.0
1997-03-19,273.0
1997-03-20,264.0
1997-03-21,255.0
1997-03-24,252.0
1997-03-25,252.0
1997-03-26,252.0
1997-03-27,249.0
1997-03-31,240.0
1997-04-01,234.0
1997-04-02,234.0
1997-04-03,228.0
1997-04-04,229.5
1997-04-07,243.0
1997-04-08,252.0
1997-04-09,258.0
1997-04-10,276.0
1997-04-11,264.0
1997-04-14,267.0
1997-04-15,267.0
1997-04-16,267.0
1997-04-17,267.0
1997-04-18,261.0
1997-04-21,258.0
1997-04-22,255.0
1997-04-23,255.0
1997-04-24,252.0
1997-04-25,258.0
1997-04-28,249.0
1997-04-29,240.0
1997-04-30,237.0
1997-05-01,237.0
1997-05-02,238.5
1997-05-05,240.0
1997-05-06,240.0
1997-05-07,243.0
1997-05-08,238.5
1997-05-09,243.0
1997-05-12,240.0
1997-05-13,240.0
1997-05-14,240.0
1997-05-15,238.5
1997-05-16,237.0
1997-05-19,240.0
1997-05-20,246.0
1997-05-21,246.0
1997-05-22,249.0
1997-05-23,243.0
1997-05-27,240.0
1997-05-28,240.0
1997-05-29,240.0
1997-05-30,237.0
1997-06-02,234.0
1997-06-03,237.0
1997-06-04,237.0
1997-06-05,249.0
1997-06-06,252.0
1997-06-09,246.0
1997-06-10,240.0
1997-06-11,244.5
1997-06-12,243.0
1997-06-13,240.0
1997-06-16,237.0
1997-06-17,237.0
1997-06-18,234.0
1997-06-19,234.0
1997-06-20,234.0
1997-06-23,231.0
1997-06-24,229.5
1997-06-25,228.0
1997-06-26,228.0
1997-06-27,222.0
1997-06-30,219.0
1997-07-01,210.0
1997-07-02,220.5
1997-07-03,216.0
