,BSCR
2018-06-14,18.989999771118164
2018-06-15,18.989999771118164
2018-06-18,18.989999771118164
2018-06-19,18.975000381469727
2018-06-20,18.93000030517578
2018-06-21,18.948999404907227
2018-06-22,18.920000076293945
2018-06-25,18.934999465942383
2018-06-26,18.93000030517578
2018-06-27,19.030000686645508
2018-06-28,18.989999771118164
2018-06-29,19.0
2018-07-02,18.989999771118164
2018-07-03,18.993999481201172
2018-07-05,19.010000228881836
2018-07-06,19.045000076293945
2018-07-09,19.045000076293945
2018-07-10,19.045000076293945
2018-07-11,19.06999969482422
2018-07-12,19.065000534057617
2018-07-13,19.115999221801758
2018-07-16,19.09000015258789
2018-07-17,19.086999893188477
2018-07-18,19.09000015258789
2018-07-19,19.1200008392334
2018-07-20,19.075000762939453
2018-07-23,18.993000030517578
2018-07-24,19.010000228881836
2018-07-25,19.079999923706055
2018-07-26,19.06999969482422
2018-07-27,19.079999923706055
2018-07-30,19.100000381469727
2018-07-31,19.110000610351562
2018-08-01,19.079999923706055
2018-08-02,19.03700065612793
2018-08-03,19.10099983215332
2018-08-06,19.139999389648438
2018-08-07,19.110000610351562
2018-08-08,19.075000762939453
2018-08-09,19.100000381469727
2018-08-10,19.1299991607666
2018-08-13,19.125
2018-08-14,19.145000457763672
2018-08-15,19.15999984741211
2018-08-16,19.170000076293945
2018-08-17,19.200000762939453
2018-08-20,19.229999542236328
2018-08-21,19.200000762939453
2018-08-22,19.204999923706055
2018-08-23,19.209999084472656
2018-08-24,19.219999313354492
2018-08-27,19.209999084472656
2018-08-28,19.170000076293945
2018-08-29,19.170000076293945
2018-08-30,19.18000030517578
2018-08-31,19.18000030517578
2018-09-04,19.1200008392334
2018-09-05,19.12299919128418
2018-09-06,19.170000076293945
2018-09-07,19.09000015258789
2018-09-10,19.100000381469727
2018-09-11,19.059999465942383
2018-09-12,19.100000381469727
2018-09-13,19.1299991607666
2018-09-14,19.094999313354492
2018-09-17,19.089000701904297
2018-09-18,19.040000915527344
2018-09-19,19.020000457763672
2018-09-20,19.030000686645508
2018-09-21,19.059999465942383
2018-09-24,18.969999313354492
2018-09-25,18.93199920654297
2018-09-26,19.020000457763672
2018-09-27,19.018999099731445
2018-09-28,19.049999237060547
2018-10-01,18.969999313354492
2018-10-02,19.010000228881836
2018-10-03,18.940000534057617
2018-10-04,18.885000228881836
2018-10-05,18.809999465942383
2018-10-08,18.822999954223633
2018-10-09,18.850000381469727
2018-10-10,18.829999923706055
2018-10-11,18.865999221801758
2018-10-12,18.860000610351562
2018-10-15,18.8700008392334
2018-10-16,18.889999389648438
2018-10-17,18.82900047302246
2018-10-18,18.81999969482422
2018-10-19,18.795000076293945
2018-10-22,18.770000457763672
2018-10-23,18.770000457763672
2018-10-24,18.815000534057617
2018-10-25,18.809999465942383
2018-10-26,18.819000244140625
2018-10-29,18.81999969482422
2018-10-30,18.790000915527344
2018-10-31,18.760000228881836
2018-11-01,18.760000228881836
2018-11-02,18.700000762939453
2018-11-05,18.729999542236328
2018-11-06,18.716999053955078
2018-11-07,18.760000228881836
2018-11-08,18.714000701904297
2018-11-09,18.760000228881836
2018-11-12,18.743999481201172
2018-11-13,18.7450008392334
2018-11-14,18.729999542236328
2018-11-15,18.719999313354492
2018-11-16,18.75
2018-11-19,18.670000076293945
2018-11-20,18.58099937438965
2018-11-21,18.659000396728516
2018-11-23,18.690000534057617
2018-11-26,18.665000915527344
2018-11-27,18.65999984741211
2018-11-28,18.690000534057617
2018-11-29,18.68000030517578
2018-11-30,18.600000381469727
2018-12-03,18.709999084472656
2018-12-04,18.719999313354492
2018-12-06,18.75
2018-12-07,18.770000457763672
2018-12-10,18.790000915527344
2018-12-11,18.770000457763672
2018-12-12,18.777000427246094
2018-12-13,18.80500030517578
2018-12-14,18.799999237060547
2018-12-17,18.844999313354492
2018-12-18,18.8799991607666
2018-12-19,18.8799991607666
2018-12-20,18.81999969482422
2018-12-21,18.799999237060547
2018-12-24,18.674999237060547
2018-12-26,18.639999389648438
2018-12-27,18.700000762939453
2018-12-28,18.764999389648438
2018-12-31,18.834999084472656
2019-01-02,18.86400032043457
2019-01-03,18.90399932861328
2019-01-04,18.834999084472656
2019-01-07,18.854999542236328
2019-01-08,18.864999771118164
2019-01-09,18.920000076293945
2019-01-10,18.915000915527344
2019-01-11,18.996999740600586
2019-01-14,18.979999542236328
2019-01-15,18.965999603271484
2019-01-16,19.020000457763672
2019-01-17,19.0049991607666
2019-01-18,19.040000915527344
2019-01-22,19.027999877929688
2019-01-23,19.05900001525879
2019-01-24,19.059999465942383
2019-01-25,19.091999053955078
2019-01-28,19.104999542236328
2019-01-29,19.141000747680664
2019-01-30,19.219999313354492
2019-01-31,19.344999313354492
2019-02-01,19.27199935913086
2019-02-04,19.28499984741211
2019-02-05,19.309999465942383
2019-02-06,19.350000381469727
2019-02-07,19.360000610351562
2019-02-08,19.350000381469727
2019-02-11,19.315000534057617
2019-02-12,19.31999969482422
2019-02-13,19.299999237060547
2019-02-14,19.334999084472656
2019-02-15,19.34000015258789
2019-02-19,19.350000381469727
2019-02-20,19.33300018310547
2019-02-21,19.264999389648438
2019-02-22,19.329999923706055
2019-02-25,19.323999404907227
2019-02-26,19.360000610351562
2019-02-27,19.322999954223633
2019-02-28,19.31999969482422
2019-03-01,19.280000686645508
2019-03-04,19.325000762939453
2019-03-05,19.31999969482422
2019-03-06,19.3799991607666
2019-03-07,19.440000534057617
2019-03-08,19.43000030517578
2019-03-11,19.420000076293945
2019-03-12,19.489999771118164
2019-03-13,19.479999542236328
2019-03-14,19.450000762939453
2019-03-15,19.52400016784668
2019-03-18,19.46500015258789
2019-03-19,19.479999542236328
2019-03-20,19.56999969482422
2019-03-21,19.594999313354492
2019-03-22,19.729999542236328
2019-03-25,19.760000228881836
2019-03-26,19.770000457763672
2019-03-27,19.780000686645508
2019-03-28,19.81999969482422
2019-03-29,19.77199935913086
2019-04-01,19.71500015258789
2019-04-02,19.71500015258789
2019-04-03,19.69499969482422
2019-04-04,19.739999771118164
2019-04-05,19.7549991607666
2019-04-08,19.75
2019-04-09,19.780000686645508
2019-04-10,19.815000534057617
2019-04-11,19.815000534057617
2019-04-12,19.78499984741211
2019-04-15,19.809999465942383
2019-04-16,19.76099967956543
2019-04-17,19.770000457763672
2019-04-18,19.770000457763672
2019-04-22,19.700000762939453
2019-04-23,19.724000930786133
2019-04-24,19.81999969482422
2019-04-25,19.753000259399414
2019-04-26,19.825000762939453
2019-04-29,19.809999465942383
2019-04-30,19.799999237060547
2019-05-01,19.80900001525879
2019-05-02,19.760000228881836
2019-05-03,19.802000045776367
2019-05-06,19.83099937438965
2019-05-07,19.8700008392334
2019-05-08,19.799999237060547
2019-05-09,19.850000381469727
2019-05-10,19.850000381469727
2019-05-13,19.8799991607666
