,ALCO
1973-11-06,3.25
1973-11-07,3.375
1973-11-08,3.4375
1973-11-09,3.5
1973-11-12,3.4375
1973-11-13,3.375
1973-11-14,3.3125
1973-11-15,3.3125
1973-11-16,3.25
1973-11-19,3.3125
1973-11-20,3.3125
1973-11-21,3.3125
1973-11-23,3.3125
1973-11-26,3.25
1973-11-27,3.25
1973-11-28,3.1875
1973-11-29,3.125
1973-11-30,3.0625
1973-12-03,3.0625
1973-12-04,2.9375
1973-12-05,2.9375
1973-12-06,2.9375
1973-12-07,3.0625
1973-12-10,3.125
1973-12-11,3.0625
1973-12-12,3.0
1973-12-13,3.0
1973-12-14,3.0
1973-12-17,3.0
1973-12-18,3.0
1973-12-19,3.0
1973-12-20,3.0625
1973-12-21,3.1875
1973-12-24,3.25
1973-12-26,3.25
1973-12-27,3.3125
1973-12-28,3.3125
1973-12-31,3.375
1974-01-02,3.375
1974-01-03,3.6875
1974-01-04,3.625
1974-01-07,3.5
1974-01-08,3.375
1974-01-09,3.25
1974-01-10,3.1875
1974-01-11,3.125
1974-01-14,3.0625
1974-01-15,3.0625
1974-01-16,3.0625
1974-01-17,3.125
1974-01-18,3.0625
1974-01-21,3.0625
1974-01-22,3.0625
1974-01-23,3.0
1974-01-24,3.0625
1974-01-25,3.125
1974-01-28,3.0625
1974-01-29,3.0625
1974-01-30,3.0625
1974-01-31,3.125
1974-02-01,3.125
1974-02-04,3.0625
1974-02-05,3.0
1974-02-06,3.0
1974-02-07,3.0
1974-02-08,3.0625
1974-02-11,3.3125
1974-02-12,3.3125
1974-02-13,3.3125
1974-02-14,3.3125
1974-02-15,3.3125
1974-02-19,3.25
1974-02-20,3.3125
1974-02-21,3.3125
1974-02-22,3.3125
1974-02-25,3.3125
1974-02-26,3.375
1974-02-27,3.375
1974-02-28,3.375
1974-03-01,3.3125
1974-03-04,3.3125
1974-03-05,3.3125
1974-03-06,3.3125
1974-03-07,3.3125
1974-03-08,3.25
1974-03-11,3.25
1974-03-12,3.3125
1974-03-13,3.3125
1974-03-14,3.40625
1974-03-15,3.4375
1974-03-18,3.375
1974-03-19,3.375
1974-03-20,3.375
1974-03-21,3.375
1974-03-22,3.375
1974-03-25,3.5
1974-03-26,3.5
1974-03-27,3.5
1974-03-28,3.5
1974-03-29,3.5
1974-04-01,3.5
1974-04-02,3.4375
1974-04-03,3.4375
1974-04-04,3.4375
1974-04-05,3.5
1974-04-08,3.4375
1974-04-09,3.375
1974-04-10,3.375
1974-04-11,3.375
1974-04-15,3.3125
1974-04-16,3.375
1974-04-17,3.375
1974-04-18,3.3125
1974-04-19,3.375
1974-04-22,3.375
1974-04-23,3.3125
1974-04-24,3.3125
1974-04-25,3.3125
1974-04-26,3.3125
1974-04-29,3.3125
1974-04-30,3.3125
1974-05-01,3.3125
1974-05-02,3.25
1974-05-03,3.3125
1974-05-06,3.3125
1974-05-07,3.3125
1974-05-08,3.375
1974-05-09,3.375
1974-05-10,3.3125
1974-05-13,3.3125
1974-05-14,3.25
1974-05-15,3.1875
1974-05-16,3.1875
1974-05-17,3.125
1974-05-20,3.0625
1974-05-21,3.0625
1974-05-22,3.0625
1974-05-23,3.0
1974-05-24,3.0
1974-05-28,2.9375
1974-05-29,2.9375
1974-05-30,2.875
1974-05-31,2.875
1974-06-03,2.9375
1974-06-04,2.9375
1974-06-05,3.0
1974-06-06,2.9375
1974-06-07,2.9375
1974-06-10,2.8125
1974-06-11,2.8125
1974-06-12,2.6875
1974-06-13,2.6875
1974-06-14,2.6875
1974-06-17,2.625
1974-06-18,2.625
1974-06-19,2.625
1974-06-20,2.625
1974-06-21,2.625
1974-06-24,2.625
1974-06-25,2.6875
1974-06-26,2.625
1974-06-27,2.625
1974-06-28,2.6875
1974-07-01,2.75
1974-07-02,2.75
1974-07-03,2.75
1974-07-05,2.6875
1974-07-08,2.625
1974-07-09,2.6875
1974-07-10,2.625
1974-07-11,2.625
1974-07-12,2.5625
1974-07-15,2.5
1974-07-16,2.5
1974-07-17,2.5
1974-07-18,2.5
1974-07-19,2.5
1974-07-22,2.4375
1974-07-23,2.4375
1974-07-24,2.4375
1974-07-25,2.375
1974-07-26,2.375
1974-07-29,2.3125
1974-07-30,2.3125
1974-07-31,2.25
1974-08-01,2.25
1974-08-02,2.25
1974-08-05,2.3125
1974-08-06,2.3125
1974-08-07,2.3125
1974-08-08,2.3125
1974-08-09,2.3125
1974-08-12,2.3125
1974-08-13,2.25
1974-08-14,2.25
1974-08-15,2.1875
1974-08-16,2.125
1974-08-19,2.0
1974-08-20,1.9375
1974-08-21,1.9375
1974-08-22,1.9375
1974-08-23,1.9375
1974-08-26,2.0
1974-08-27,2.0
1974-08-28,2.0
1974-08-29,2.0
1974-08-30,2.0625
1974-09-03,2.0625
1974-09-04,2.0625
1974-09-05,2.0625
1974-09-06,2.0625
1974-09-09,2.0625
1974-09-10,2.0625
1974-09-11,2.125
1974-09-12,2.0625
1974-09-13,2.0625
1974-09-16,2.0
1974-09-17,2.0
1974-09-18,2.0
1974-09-19,1.9375
1974-09-20,1.9375
1974-09-23,2.0
1974-09-24,2.0
1974-09-25,2.0
1974-09-26,2.0
1974-09-27,1.9375
1974-09-30,1.8125
1974-10-01,1.75
1974-10-02,1.75
1974-10-03,1.6875
1974-10-04,1.625
1974-10-07,1.6875
1974-10-08,1.6875
1974-10-09,1.6875
1974-10-10,1.6875
1974-10-11,1.6875
1974-10-14,1.625
1974-10-15,1.625
1974-10-16,1.625
1974-10-17,1.625
1974-10-18,1.75
1974-10-21,1.71875
1974-10-22,1.75
1974-10-23,1.75
1974-10-24,1.75
1974-10-25,1.84375
1974-10-28,1.90625
1974-10-29,2.0
1974-10-30,2.03125
1974-10-31,2.0
1974-11-01,2.0
1974-11-04,2.0
1974-11-05,2.0
1974-11-06,1.90625
1974-11-07,1.9375
1974-11-08,1.90625
1974-11-11,1.90625
1974-11-12,1.875
1974-11-13,1.8125
1974-11-14,1.8125
1974-11-15,1.8125
1974-11-18,1.8125
1974-11-19,1.75
1974-11-20,1.71875
1974-11-21,1.71875
1974-11-22,1.75
1974-11-25,1.71875
1974-11-26,1.6875
1974-11-27,1.6875
1974-11-29,1.6875
1974-12-02,1.6875
1974-12-03,1.59375
1974-12-04,1.59375
1974-12-05,1.5625
1974-12-06,1.53125
1974-12-09,1.5625
1974-12-10,1.59375
1974-12-11,1.5625
1974-12-12,1.5625
1974-12-13,1.5625
1974-12-16,1.5625
1974-12-17,1.5625
1974-12-18,1.53125
1974-12-19,1.5
1974-12-20,1.59375
1974-12-23,1.5625
1974-12-24,1.59375
1974-12-26,1.625
1974-12-27,1.65625
1974-12-30,1.625
1974-12-31,1.71875
1975-01-02,1.78125
1975-01-03,1.84375
1975-01-06,1.84375
1975-01-07,2.0
1975-01-08,2.03125
1975-01-09,2.125
1975-01-10,2.25
1975-01-13,2.25
1975-01-14,2.28125
1975-01-15,2.3125
1975-01-16,2.3125
1975-01-17,2.28125
1975-01-20,2.3125
1975-01-21,2.3125
1975-01-22,2.3125
1975-01-23,2.3125
1975-01-24,2.3125
1975-01-27,2.3125
1975-01-28,2.3125
1975-01-29,2.375
1975-01-30,2.40625
1975-01-31,2.40625
1975-02-03,2.40625
1975-02-04,2.4375
1975-02-05,2.46875
1975-02-06,2.46875
1975-02-07,2.46875
1975-02-10,2.46875
1975-02-11,2.375
1975-02-12,2.21875
1975-02-13,2.21875
1975-02-14,2.21875
1975-02-18,2.09375
1975-02-19,2.09375
1975-02-20,2.0625
1975-02-21,2.09375
1975-02-24,2.09375
1975-02-25,2.09375
1975-02-26,2.09375
1975-02-27,2.09375
1975-02-28,2.15625
1975-03-03,2.1875
1975-03-04,2.25
1975-03-05,2.40625
1975-03-06,2.34375
1975-03-07,2.40625
1975-03-10,2.46875
1975-03-11,2.46875
1975-03-12,2.5
1975-03-13,2.46875
1975-03-14,2.5
1975-03-17,2.5
1975-03-18,2.46875
1975-03-19,2.4375
1975-03-20,2.4375
1975-03-21,2.4375
1975-03-24,2.40625
1975-03-25,2.375
1975-03-26,2.40625
1975-03-27,2.40625
1975-03-31,2.375
1975-04-01,2.375
1975-04-02,2.34375
1975-04-03,2.3125
1975-04-04,2.3125
1975-04-07,2.15625
1975-04-08,2.03125
1975-04-09,2.0
1975-04-10,1.96875
1975-04-11,1.96875
1975-04-14,2.0
1975-04-15,1.90625
1975-04-16,1.90625
1975-04-17,1.90625
1975-04-18,1.90625
1975-04-21,1.90625
1975-04-22,1.90625
1975-04-23,1.90625
1975-04-24,1.90625
1975-04-25,1.875
1975-04-28,1.9375
1975-04-29,1.96875
1975-04-30,2.0
1975-05-01,2.0
1975-05-02,2.0
1975-05-05,1.875
1975-05-06,1.8125
1975-05-07,1.8125
1975-05-08,1.8125
1975-05-09,1.8125
1975-05-12,1.8125
1975-05-13,1.84375
1975-05-14,1.84375
1975-05-15,1.8125
1975-05-16,1.8125
1975-05-19,1.8125
1975-05-20,1.8125
1975-05-21,1.78125
1975-05-22,1.84375
1975-05-23,1.875
1975-05-27,1.875
1975-05-28,1.875
1975-05-29,1.875
1975-05-30,1.875
1975-06-02,1.875
1975-06-03,1.84375
1975-06-04,1.84375
1975-06-05,1.84375
1975-06-06,1.84375
1975-06-09,1.84375
1975-06-10,1.8125
1975-06-11,1.8125
1975-06-12,1.8125
1975-06-13,1.8125
1975-06-16,1.8125
1975-06-17,1.78125
1975-06-18,1.78125
1975-06-19,1.8125
1975-06-20,1.8125
1975-06-23,1.90625
1975-06-24,1.9375
1975-06-25,1.9375
1975-06-26,1.9375
1975-06-27,1.9375
1975-06-30,1.9375
1975-07-01,1.9375
1975-07-02,1.9375
1975-07-03,1.9375
1975-07-07,1.9375
1975-07-08,1.9375
1975-07-09,1.96875
1975-07-10,1.96875
1975-07-11,1.96875
1975-07-14,1.96875
1975-07-15,2.0625
1975-07-16,2.0625
1975-07-17,2.03125
1975-07-18,2.03125
1975-07-21,2.03125
1975-07-22,2.0625
1975-07-23,2.03125
1975-07-24,2.0625
1975-07-25,2.0625
1975-07-28,2.0625
1975-07-29,2.0625
1975-07-30,2.03125
1975-07-31,2.03125
1975-08-01,2.0
1975-08-04,1.96875
1975-08-05,1.9375
1975-08-06,1.90625
1975-08-07,1.90625
1975-08-08,1.90625
1975-08-11,1.90625
1975-08-12,1.90625
1975-08-13,1.90625
1975-08-14,1.90625
1975-08-15,1.90625
1975-08-18,1.90625
1975-08-19,1.90625
1975-08-20,1.84375
1975-08-21,1.84375
1975-08-22,1.84375
1975-08-25,1.84375
1975-08-26,1.84375
1975-08-27,1.84375
1975-08-28,1.875
1975-08-29,1.90625
1975-09-02,1.90625
1975-09-03,1.90625
1975-09-04,1.90625
1975-09-05,1.90625
1975-09-08,1.90625
1975-09-09,1.90625
1975-09-10,1.90625
1975-09-11,1.90625
1975-09-12,1.90625
1975-09-15,1.90625
1975-09-16,1.90625
1975-09-17,1.9375
1975-09-18,1.9375
1975-09-19,1.90625
1975-09-22,1.9375
1975-09-23,1.9375
1975-09-24,1.9375
1975-09-25,1.9375
1975-09-26,1.9375
1975-09-29,1.9375
1975-09-30,1.9375
1975-10-01,1.90625
1975-10-02,1.90625
1975-10-03,1.90625
1975-10-06,1.90625
1975-10-07,1.90625
1975-10-08,1.90625
1975-10-09,1.90625
1975-10-10,1.90625
1975-10-13,1.90625
1975-10-14,1.875
1975-10-15,1.875
1975-10-16,1.875
1975-10-17,1.875
1975-10-20,1.875
1975-10-21,1.875
1975-10-22,1.875
1975-10-23,1.90625
1975-10-24,1.90625
1975-10-27,1.90625
1975-10-28,1.90625
1975-10-29,1.90625
1975-10-30,1.90625
1975-10-31,1.90625
1975-11-03,1.9375
1975-11-04,1.90625
1975-11-05,1.90625
1975-11-06,1.90625
1975-11-07,1.90625
1975-11-10,1.90625
1975-11-11,1.90625
1975-11-12,1.90625
1975-11-13,1.90625
1975-11-14,1.90625
1975-11-17,1.875
1975-11-18,1.875
1975-11-19,1.875
1975-11-20,1.875
1975-11-21,1.875
1975-11-24,1.875
1975-11-25,1.875
1975-11-26,1.8125
1975-11-28,1.8125
1975-12-01,1.8125
1975-12-02,1.8125
1975-12-03,1.8125
1975-12-04,1.78125
1975-12-05,1.71875
1975-12-08,1.71875
1975-12-09,1.6875
1975-12-10,1.6875
1975-12-11,1.6875
1975-12-12,1.6875
1975-12-15,1.65625
1975-12-16,1.6875
1975-12-17,1.71875
1975-12-18,1.6875
1975-12-19,1.6875
1975-12-22,1.6875
1975-12-23,1.6875
1975-12-24,1.6875
1975-12-26,1.6875
1975-12-29,1.6875
1975-12-30,1.71875
1975-12-31,1.84375
1976-01-02,1.875
1976-01-05,1.875
1976-01-06,1.875
1976-01-07,1.875
1976-01-08,1.875
1976-01-09,1.875
1976-01-12,1.875
1976-01-13,1.84375
1976-01-14,1.84375
1976-01-15,1.8125
1976-01-16,1.8125
1976-01-19,1.8125
1976-01-20,1.8125
1976-01-21,1.8125
1976-01-22,1.84375
1976-01-23,1.8125
1976-01-26,1.84375
1976-01-27,1.84375
1976-01-28,1.84375
1976-01-29,1.84375
1976-01-30,1.875
1976-02-02,1.90625
1976-02-03,1.90625
1976-02-04,1.9375
1976-02-05,1.9375
1976-02-06,1.9375
1976-02-09,1.9375
1976-02-10,1.9375
1976-02-11,1.96875
1976-02-12,1.96875
1976-02-13,1.96875
1976-02-17,1.96875
1976-02-18,1.96875
1976-02-19,1.96875
1976-02-20,2.1875
1976-02-23,2.3125
1976-02-24,2.34375
1976-02-25,2.34375
1976-02-26,2.28125
1976-02-27,2.28125
1976-03-01,2.28125
1976-03-02,2.3125
1976-03-03,2.3125
1976-03-04,2.40625
1976-03-05,2.4375
1976-03-08,2.4375
1976-03-09,2.4375
1976-03-10,2.4375
1976-03-11,2.4375
1976-03-12,2.40625
1976-03-15,2.375
1976-03-16,2.375
1976-03-17,2.375
1976-03-18,2.375
1976-03-19,2.375
1976-03-22,2.3125
1976-03-23,2.25
1976-03-24,2.25
1976-03-25,2.25
1976-03-26,2.25
1976-03-29,2.1875
1976-03-30,2.15625
1976-03-31,2.15625
1976-04-01,2.09375
1976-04-02,2.09375
1976-04-05,2.09375
1976-04-06,2.0625
1976-04-07,2.0625
1976-04-08,2.03125
1976-04-09,2.03125
1976-04-12,2.03125
1976-04-13,2.03125
1976-04-14,2.03125
1976-04-15,2.03125
1976-04-19,2.09375
1976-04-20,2.125
1976-04-21,2.125
1976-04-22,2.125
1976-04-23,2.125
1976-04-26,2.125
1976-04-27,2.125
1976-04-28,2.125
1976-04-29,2.125
1976-04-30,2.125
1976-05-03,2.0625
1976-05-04,2.0625
1976-05-05,2.0625
1976-05-06,2.0625
1976-05-07,2.09375
1976-05-10,2.09375
1976-05-11,2.09375
1976-05-12,2.0625
1976-05-13,2.0625
1976-05-14,2.0625
1976-05-17,2.0625
1976-05-18,2.0625
1976-05-19,2.0625
1976-05-20,2.03125
1976-05-21,2.09375
1976-05-24,2.09375
1976-05-25,2.09375
1976-05-26,2.09375
1976-05-27,2.09375
1976-05-28,2.0625
1976-06-01,2.0625
1976-06-02,2.0625
1976-06-03,2.0625
1976-06-04,2.09375
1976-06-07,2.125
1976-06-08,2.21875
1976-06-09,2.25
1976-06-10,2.25
1976-06-11,2.25
1976-06-14,2.28125
1976-06-15,2.3125
1976-06-16,2.375
1976-06-17,2.4375
1976-06-18,2.53125
1976-06-21,2.625
1976-06-22,2.625
1976-06-23,2.625
1976-06-24,2.59375
1976-06-25,2.59375
1976-06-28,2.59375
1976-06-29,2.59375
1976-06-30,2.59375
1976-07-01,2.65625
1976-07-02,2.71875
1976-07-06,2.71875
1976-07-07,2.6875
1976-07-08,2.71875
1976-07-09,2.71875
1976-07-12,2.6875
1976-07-13,2.6875
1976-07-14,2.6875
1976-07-15,2.6875
1976-07-16,2.71875
1976-07-19,2.71875
1976-07-20,2.6875
1976-07-21,2.6875
1976-07-22,2.6875
1976-07-23,2.6875
1976-07-26,2.71875
1976-07-27,2.71875
1976-07-28,2.71875
1976-07-29,2.75
1976-07-30,2.75
1976-08-02,2.75
1976-08-03,2.75
1976-08-04,2.75
1976-08-05,2.75
1976-08-06,2.78125
1976-08-09,2.78125
1976-08-10,2.78125
1976-08-11,2.78125
1976-08-12,2.78125
1976-08-13,2.6875
1976-08-16,2.6875
1976-08-17,2.6875
1976-08-18,2.6875
1976-08-19,2.6875
1976-08-20,2.5625
1976-08-23,2.53125
1976-08-24,2.53125
1976-08-25,2.46875
1976-08-26,2.46875
1976-08-27,2.46875
1976-08-30,2.46875
1976-08-31,2.53125
1976-09-01,2.5625
1976-09-02,2.59375
1976-09-03,2.625
1976-09-07,2.71875
1976-09-08,2.6875
1976-09-09,2.6875
1976-09-10,2.75
1976-09-13,2.75
1976-09-14,2.71875
1976-09-15,2.71875
1976-09-16,2.71875
1976-09-17,2.71875
1976-09-20,2.6875
1976-09-21,2.625
1976-09-22,2.625
1976-09-23,2.625
1976-09-24,2.59375
1976-09-27,2.59375
1976-09-28,2.5625
1976-09-29,2.53125
1976-09-30,2.53125
1976-10-01,2.53125
1976-10-04,2.53125
1976-10-05,2.53125
1976-10-06,2.5
1976-10-07,2.5
1976-10-08,2.5
1976-10-11,2.5
1976-10-12,2.46875
1976-10-13,2.4375
1976-10-14,2.4375
1976-10-15,2.4375
1976-10-18,2.4375
1976-10-19,2.3125
1976-10-20,2.25
1976-10-21,2.25
1976-10-22,2.25
1976-10-25,2.21875
1976-10-26,2.21875
1976-10-27,2.25
1976-10-28,2.1875
1976-10-29,2.15625
1976-11-01,2.15625
1976-11-03,2.0625
1976-11-04,2.0625
1976-11-05,2.0625
1976-11-08,2.0625
1976-11-09,2.0625
1976-11-10,2.0625
1976-11-11,2.0625
1976-11-12,2.0625
1976-11-15,2.03125
1976-11-16,2.09375
1976-11-17,2.09375
1976-11-18,2.09375
1976-11-19,2.09375
1976-11-22,2.1875
1976-11-23,2.21875
1976-11-24,2.25
1976-11-26,2.3125
1976-11-29,2.34375
1976-11-30,2.375
1976-12-01,2.40625
1976-12-02,2.375
1976-12-03,2.375
1976-12-06,2.375
1976-12-07,2.375
1976-12-08,2.375
1976-12-09,2.375
1976-12-10,2.34375
1976-12-13,2.34375
1976-12-14,2.34375
1976-12-15,2.34375
1976-12-16,2.375
1976-12-17,2.46875
1976-12-20,2.46875
1976-12-21,2.46875
1976-12-22,2.4375
1976-12-23,2.46875
1976-12-27,2.46875
1976-12-28,2.46875
1976-12-29,2.4375
1976-12-30,2.4375
1976-12-31,2.4375
1977-01-03,2.4375
1977-01-04,2.375
1977-01-05,2.375
1977-01-06,2.375
1977-01-07,2.375
1977-01-10,2.375
1977-01-11,2.375
1977-01-12,2.25
1977-01-13,2.25
1977-01-14,2.25
1977-01-17,2.25
1977-01-18,2.28125
1977-01-19,2.28125
1977-01-20,2.25
1977-01-21,2.25
1977-01-24,2.25
1977-01-25,2.25
1977-01-26,2.25
1977-01-27,2.25
1977-01-28,2.25
1977-01-31,2.25
1977-02-01,2.25
1977-02-02,2.25
1977-02-03,2.25
1977-02-04,2.28125
1977-02-07,2.28125
1977-02-08,2.28125
1977-02-09,2.28125
1977-02-10,2.3125
1977-02-11,2.34375
1977-02-14,2.34375
1977-02-15,2.40625
1977-02-16,2.46875
1977-02-17,2.5625
1977-02-18,2.53125
1977-02-22,2.53125
1977-02-23,2.5625
1977-02-24,2.5625
1977-02-25,2.5625
1977-02-28,2.5625
1977-03-01,2.5625
1977-03-02,2.5625
1977-03-03,2.5625
1977-03-04,2.5625
1977-03-07,2.59375
1977-03-08,2.59375
1977-03-09,2.59375
1977-03-10,2.59375
1977-03-11,2.59375
1977-03-14,2.625
1977-03-15,2.625
1977-03-16,2.625
1977-03-17,2.625
1977-03-18,2.625
1977-03-21,2.59375
1977-03-22,2.59375
1977-03-23,2.59375
1977-03-24,2.59375
1977-03-25,2.59375
1977-03-28,2.65625
1977-03-29,2.625
1977-03-30,2.65625
1977-03-31,2.65625
1977-04-01,2.65625
1977-04-04,2.65625
1977-04-05,2.875
1977-04-06,2.90625
1977-04-07,2.90625
1977-04-11,2.96875
1977-04-12,2.96875
1977-04-13,2.96875
1977-04-14,2.96875
1977-04-15,2.96875
1977-04-18,3.0
1977-04-19,3.0
1977-04-20,3.03125
1977-04-21,3.03125
1977-04-22,3.03125
1977-04-25,3.03125
1977-04-26,3.03125
1977-04-27,3.03125
1977-04-28,3.03125
1977-04-29,3.03125
1977-05-02,3.03125
1977-05-03,3.03125
1977-05-04,3.0
1977-05-05,3.0
1977-05-06,3.0
1977-05-09,3.0
1977-05-10,3.0
1977-05-11,3.0
1977-05-12,3.0
1977-05-13,3.03125
1977-05-16,3.09375
1977-05-17,3.125
1977-05-18,3.125
1977-05-19,3.125
1977-05-20,3.125
1977-05-23,3.125
1977-05-24,3.125
1977-05-25,3.125
1977-05-26,3.125
1977-05-27,3.125
1977-05-31,3.0625
1977-06-01,3.0625
1977-06-02,3.0625
1977-06-03,3.0625
1977-06-06,3.0625
1977-06-07,3.0625
1977-06-08,3.0625
1977-06-09,3.09375
1977-06-10,3.125
1977-06-13,3.125
1977-06-14,3.125
1977-06-15,3.125
1977-06-16,3.125
1977-06-17,3.125
1977-06-20,3.125
1977-06-21,3.125
1977-06-22,3.125
1977-06-23,3.1875
1977-06-24,3.15625
1977-06-27,3.15625
1977-06-28,3.15625
1977-06-29,3.1875
1977-06-30,3.1875
1977-07-01,3.1875
1977-07-05,3.1875
1977-07-06,3.15625
1977-07-07,3.21875
1977-07-08,3.21875
1977-07-11,3.25
1977-07-12,3.21875
1977-07-13,3.21875
1977-07-15,3.21875
1977-07-18,3.21875
1977-07-19,3.21875
1977-07-20,3.21875
1977-07-21,3.21875
1977-07-22,3.21875
1977-07-25,3.21875
1977-07-26,3.21875
1977-07-27,3.1875
1977-07-28,3.1875
1977-07-29,3.15625
1977-08-01,3.1875
1977-08-02,3.1875
1977-08-03,3.1875
1977-08-04,3.1875
1977-08-05,3.21875
1977-08-08,3.1875
1977-08-09,3.1875
1977-08-10,3.1875
1977-08-11,3.21875
1977-08-12,3.15625
1977-08-15,3.15625
1977-08-16,3.1875
1977-08-17,3.1875
1977-08-18,3.15625
1977-08-19,3.1875
1977-08-22,3.1875
1977-08-23,3.1875
1977-08-24,3.1875
1977-08-25,3.1875
1977-08-26,3.1875
1977-08-29,3.1875
1977-08-30,3.1875
1977-08-31,3.1875
1977-09-01,3.1875
1977-09-02,3.1875
1977-09-06,3.1875
1977-09-07,3.1875
1977-09-08,3.1875
1977-09-09,3.1875
1977-09-12,3.1875
1977-09-13,3.1875
1977-09-14,3.1875
1977-09-15,3.1875
1977-09-16,3.1875
1977-09-19,3.1875
1977-09-20,3.1875
1977-09-21,3.1875
1977-09-22,3.1875
1977-09-23,3.1875
1977-09-26,3.1875
1977-09-27,3.1875
1977-09-28,3.1875
1977-09-29,3.21875
1977-09-30,3.21875
1977-10-03,3.21875
1977-10-04,3.21875
1977-10-05,3.21875
1977-10-06,3.21875
1977-10-07,3.21875
1977-10-10,3.21875
1977-10-11,3.21875
1977-10-12,3.1875
1977-10-13,3.1875
1977-10-14,3.1875
1977-10-17,3.15625
1977-10-18,3.1875
1977-10-19,3.1875
1977-10-20,3.15625
1977-10-21,3.15625
1977-10-24,3.15625
1977-10-25,3.125
1977-10-26,3.125
1977-10-27,3.125
1977-10-28,3.125
1977-10-31,3.125
1977-11-01,3.15625
1977-11-02,3.15625
1977-11-03,3.1875
1977-11-04,3.1875
1977-11-07,3.1875
1977-11-08,3.1875
1977-11-09,3.3125
1977-11-10,3.40625
1977-11-11,3.4375
1977-11-14,3.4375
1977-11-15,3.5
1977-11-16,3.5
1977-11-17,3.5
1977-11-18,3.5
1977-11-21,3.5
1977-11-22,3.5
1977-11-23,3.5
1977-11-25,3.53125
1977-11-28,3.46875
1977-11-29,3.46875
1977-11-30,3.46875
1977-12-01,3.5
1977-12-02,3.53125
1977-12-05,3.53125
1977-12-06,3.5625
1977-12-07,3.5625
1977-12-08,3.59375
1977-12-09,3.625
1977-12-12,3.625
1977-12-13,3.65625
1977-12-14,3.65625
1977-12-15,3.65625
1977-12-16,3.71875
1977-12-19,3.71875
1977-12-20,3.71875
1977-12-21,3.71875
1977-12-22,3.8125
1977-12-23,3.8125
1977-12-27,3.8125
1977-12-28,3.8125
1977-12-29,3.9375
1977-12-30,3.9375
1978-01-03,3.9375
1978-01-04,3.9375
1978-01-05,3.96875
1978-01-06,3.96875
1978-01-09,3.96875
1978-01-10,4.0625
1978-01-11,4.1875
1978-01-12,4.1875
1978-01-13,4.1875
1978-01-16,4.15625
1978-01-17,4.15625
1978-01-18,4.1875
1978-01-19,4.15625
1978-01-20,4.15625
1978-01-23,4.15625
1978-01-24,4.15625
1978-01-25,4.15625
