,FPA
2012-01-19,24.079999923706055
2012-01-20,24.59000015258789
2012-01-23,24.59000015258789
2012-01-24,24.850000381469727
2012-01-25,24.6299991607666
2012-01-26,24.6299991607666
2012-01-27,24.6299991607666
2012-01-30,25.3700008392334
2012-01-31,24.790000915527344
2012-02-01,25.1200008392334
2012-02-02,25.15999984741211
2012-02-03,25.420000076293945
2012-02-06,25.31999969482422
2012-02-07,25.200000762939453
2012-02-08,25.3799991607666
2012-02-09,25.3700008392334
2012-02-10,25.190000534057617
2012-02-13,25.40999984741211
2012-02-14,25.43000030517578
2012-02-15,25.43000030517578
2012-02-16,25.979999542236328
2012-02-17,25.959999084472656
2012-02-21,25.959999084472656
2012-02-22,25.700000762939453
2012-02-23,25.700000762939453
2012-02-24,25.860000610351562
2012-02-27,25.860000610351562
