,FOUR
2020-11-06,54.5
2020-11-09,62.75
2020-11-10,60.0
2020-11-11,58.83000183105469
2020-11-12,57.88999938964844
2020-11-13,59.349998474121094
2020-11-16,61.18000030517578
2020-11-17,59.720001220703125
2020-11-18,56.5099983215332
2020-11-19,55.91999816894531
2020-11-20,57.400001525878906
2020-11-23,61.029998779296875
2020-11-24,63.90999984741211
2020-11-25,63.630001068115234
2020-11-27,61.61000061035156
2020-11-30,61.630001068115234
2020-12-01,58.08000183105469
2020-12-02,55.849998474121094
2020-12-03,59.970001220703125
2020-12-04,62.54999923706055
2020-12-07,60.70000076293945
2020-12-08,61.810001373291016
2020-12-09,59.529998779296875
2020-12-10,61.43000030517578
2020-12-11,62.290000915527344
2020-12-14,63.619998931884766
2020-12-15,62.779998779296875
2020-12-16,64.73999786376953
2020-12-17,67.79000091552734
2020-12-18,70.72000122070312
2020-12-21,69.73999786376953
2020-12-22,72.72000122070312
2020-12-23,71.86000061035156
2020-12-24,71.79000091552734
2020-12-28,71.4000015258789
2020-12-29,71.01000213623047
2020-12-30,74.08999633789062
2020-12-31,75.4000015258789
2021-01-04,71.73999786376953
2021-01-05,73.7300033569336
2021-01-06,68.91999816894531
2021-01-07,70.30999755859375
2021-01-08,71.7300033569336
2021-01-11,72.43000030517578
2021-01-12,74.27999877929688
2021-01-13,73.87000274658203
2021-01-14,73.9000015258789
2021-01-15,70.06999969482422
2021-01-19,70.47000122070312
2021-01-20,70.13999938964844
2021-01-21,70.31999969482422
2021-01-22,71.12999725341797
2021-01-25,70.27999877929688
2021-01-26,67.58000183105469
2021-01-27,64.19999694824219
2021-01-28,68.12000274658203
2021-01-29,65.01000213623047
2021-02-01,67.83999633789062
2021-02-02,71.30000305175781
2021-02-03,72.69999694824219
2021-02-04,74.7300033569336
2021-02-05,77.75
2021-02-08,80.19000244140625
2021-02-09,80.56999969482422
2021-02-10,81.48999786376953
2021-02-11,81.91000366210938
2021-02-12,81.22000122070312
2021-02-16,81.56999969482422
2021-02-17,81.69999694824219
2021-02-18,80.55999755859375
2021-02-19,81.83000183105469
2021-02-22,79.98999786376953
2021-02-23,81.25
2021-02-24,82.91999816894531
2021-02-25,74.86000061035156
2021-02-26,76.5
2021-03-01,77.95999908447266
2021-03-02,75.01000213623047
2021-03-03,71.0
2021-03-04,77.63999938964844
2021-03-05,76.0999984741211
2021-03-08,74.36000061035156
2021-03-09,80.86000061035156
2021-03-10,82.79000091552734
2021-03-11,94.7300033569336
2021-03-12,93.41000366210938
2021-03-15,97.8499984741211
2021-03-16,95.2699966430664
2021-03-17,89.25
2021-03-18,85.79000091552734
2021-03-19,84.61000061035156
2021-03-22,84.12000274658203
2021-03-23,83.9000015258789
2021-03-24,80.58000183105469
2021-03-25,83.05999755859375
2021-03-26,85.61000061035156
2021-03-29,82.91999816894531
2021-03-30,81.58999633789062
2021-03-31,82.01000213623047
2021-04-01,87.06999969482422
2021-04-05,90.5
2021-04-06,93.08000183105469
2021-04-07,94.41000366210938
2021-04-08,100.18000030517578
2021-04-09,101.4000015258789
2021-04-12,100.38999938964844
2021-04-13,98.0199966430664
2021-04-14,95.66000366210938
2021-04-15,99.66999816894531
2021-04-16,98.31999969482422
2021-04-19,94.54000091552734
2021-04-20,94.63999938964844
2021-04-21,98.8499984741211
2021-04-22,97.33999633789062
2021-04-23,99.1500015258789
2021-04-26,101.01000213623047
2021-04-27,97.3499984741211
2021-04-28,98.9000015258789
2021-04-29,97.75
2021-04-30,98.88999938964844
2021-05-03,99.12999725341797
2021-05-04,95.08999633789062
2021-05-05,95.2300033569336
2021-05-06,84.1500015258789
2021-05-07,87.36000061035156
2021-05-10,83.58999633789062
2021-05-11,83.56999969482422
2021-05-12,80.05999755859375
2021-05-13,78.05000305175781
2021-05-14,82.79000091552734
