,ADMP
1997-03-21,786.25
1997-03-24,765.0
1997-03-25,743.75
1997-03-26,722.5
1997-03-27,722.5
1997-03-31,743.75
1997-04-01,701.25
1997-04-02,701.25
1997-04-03,722.5
1997-04-04,701.25
1997-04-07,722.5
1997-04-08,658.75
1997-04-09,658.75
1997-04-10,637.5
1997-04-11,669.375
1997-04-14,616.25
1997-04-15,616.25
1997-04-16,637.5
1997-04-17,680.0
1997-04-18,637.5
1997-04-21,637.5
1997-04-22,616.25
1997-04-23,616.25
1997-04-24,616.25
1997-04-25,616.25
1997-04-28,573.75
1997-04-29,573.75
1997-04-30,616.25
1997-05-01,658.75
1997-05-02,595.0
1997-05-05,658.75
1997-05-06,648.125
1997-05-07,616.25
1997-05-08,616.25
1997-05-09,648.125
1997-05-12,595.0
1997-05-13,616.25
1997-05-14,595.0
1997-05-15,584.375
1997-05-16,616.25
1997-05-19,616.25
1997-05-20,595.0
1997-05-21,573.75
1997-05-22,552.5
1997-05-23,467.5
1997-05-27,488.75
1997-05-28,510.0
1997-05-29,552.5
1997-05-30,573.75
1997-06-02,552.5
1997-06-03,531.25
1997-06-04,531.25
1997-06-05,552.5
1997-06-06,552.5
1997-06-09,563.125
1997-06-10,552.5
1997-06-11,510.0
1997-06-12,510.0
1997-06-13,510.0
1997-06-16,510.0
1997-06-17,510.0
1997-06-18,488.75
1997-06-19,488.75
1997-06-20,488.75
1997-06-23,446.25
1997-06-24,425.0
1997-06-25,446.25
1997-06-26,478.125
1997-06-27,467.5
1997-06-30,467.5
1997-07-01,488.75
1997-07-02,467.5
1997-07-03,467.5
1997-07-07,414.375
1997-07-08,456.875
1997-07-09,425.0
1997-07-10,478.125
1997-07-11,488.75
1997-07-14,510.0
1997-07-15,510.0
1997-07-16,488.75
1997-07-17,510.0
1997-07-18,510.0
1997-07-21,510.0
1997-07-22,488.75
1997-07-23,680.0
1997-07-24,680.0
1997-07-25,658.75
1997-07-28,674.6875
1997-07-29,637.5
1997-07-30,658.75
1997-07-31,648.125
1997-08-01,669.375
1997-08-04,658.75
1997-08-05,658.75
1997-08-06,658.75
1997-08-07,637.5
1997-08-08,637.5
1997-08-11,648.125
1997-08-12,616.25
1997-08-13,658.75
1997-08-14,701.25
1997-08-15,807.5
1997-08-18,765.0
1997-08-19,828.75
1997-08-20,796.875
1997-08-21,796.875
1997-08-22,850.0
1997-08-25,850.0
1997-08-26,956.25
1997-08-27,935.0
1997-08-28,935.0
1997-08-29,945.625
1997-09-02,945.625
1997-09-03,977.5
1997-09-04,977.5
1997-09-05,998.75
1997-09-08,998.75
1997-09-09,1020.0
1997-09-10,998.75
1997-09-11,1020.0
1997-09-12,1030.625
1997-09-15,1009.375
1997-09-16,1030.625
1997-09-17,1030.625
1997-09-18,1030.625
1997-09-19,1020.0
1997-09-22,1020.0
1997-09-23,1030.625
1997-09-24,1083.75
1997-09-25,1062.5
1997-09-26,1073.125
1997-09-29,1115.625
1997-09-30,1073.125
1997-10-01,1083.75
1997-10-02,1073.125
1997-10-03,1083.75
1997-10-06,1094.375
1997-10-07,1083.75
1997-10-08,1211.25
1997-10-09,1243.125
1997-10-10,1402.5
1997-10-13,1354.6875
1997-10-14,1476.875
1997-10-15,1445.0
1997-10-16,1445.0
1997-10-17,1466.25
1997-10-20,1360.0
1997-10-21,1445.0
1997-10-22,1530.0
1997-10-23,1540.625
1997-10-24,1530.0
1997-10-27,1285.625
1997-10-28,1317.5
1997-10-29,1317.5
1997-10-30,1275.0
1997-10-31,1296.25
1997-11-03,1285.625
1997-11-04,1253.75
1997-11-05,1253.75
1997-11-06,1338.75
1997-11-07,1445.0
1997-11-10,1423.75
1997-11-11,1466.25
1997-11-12,1413.125
1997-11-13,1402.5
1997-11-14,1413.125
1997-11-17,1498.125
1997-11-18,1561.875
1997-11-19,1466.25
1997-11-20,1476.875
1997-11-21,1551.25
1997-11-24,1561.875
1997-11-25,1551.25
1997-11-26,1561.875
1997-11-28,1551.25
1997-12-01,1487.5
1997-12-02,1551.25
1997-12-03,1519.375
1997-12-04,1508.75
1997-12-05,1498.125
1997-12-08,1445.0
1997-12-09,1466.25
1997-12-10,1360.0
1997-12-11,1381.25
1997-12-12,1338.75
1997-12-15,1391.875
1997-12-16,1338.75
1997-12-17,1349.375
1997-12-18,1381.25
1997-12-19,1381.25
1997-12-22,1381.25
1997-12-23,1381.25
1997-12-24,1360.0
1997-12-26,1402.5
1997-12-29,1381.25
1997-12-30,1402.5
1997-12-31,1423.75
1998-01-02,1423.75
1998-01-05,1445.0
1998-01-06,1423.75
1998-01-07,1338.75
1998-01-08,1338.75
1998-01-09,1275.0
1998-01-12,1338.75
1998-01-13,1338.75
1998-01-14,1338.75
1998-01-15,1338.75
1998-01-16,1317.5
1998-01-20,1275.0
1998-01-21,1275.0
1998-01-22,1275.0
1998-01-23,1275.0
1998-01-26,1190.0
1998-01-27,1232.5
1998-01-28,1253.75
1998-01-29,1253.75
1998-01-30,1211.25
1998-02-02,1211.25
1998-02-03,1221.875
1998-02-04,1243.125
1998-02-05,1253.75
1998-02-06,1264.375
1998-02-09,1296.25
1998-02-10,1402.5
1998-02-11,1445.0
1998-02-12,1466.25
1998-02-13,1445.0
1998-02-17,1413.125
1998-02-18,1360.0
1998-02-19,1381.25
1998-02-20,1381.25
1998-02-23,1381.25
1998-02-24,1407.8125
1998-02-25,1413.125
1998-02-26,1370.625
1998-02-27,1360.0
1998-03-02,1402.5
1998-03-03,1540.625
1998-03-04,1551.25
1998-03-05,1211.25
1998-03-06,1190.0
1998-03-09,1211.25
1998-03-10,1253.75
1998-03-11,1232.5
1998-03-12,1253.75
1998-03-13,1190.0
1998-03-16,1232.5
1998-03-17,1253.75
1998-03-18,1243.125
1998-03-19,1275.0
1998-03-20,1264.375
1998-03-23,1275.0
1998-03-24,1264.375
1998-03-25,1264.375
1998-03-26,1253.75
1998-03-27,1243.125
1998-03-30,1264.375
1998-03-31,1211.25
1998-04-01,1253.75
1998-04-02,1232.5
1998-04-03,1243.125
1998-04-06,1243.125
1998-04-07,1253.75
1998-04-08,1232.5
1998-04-09,1190.0
1998-04-13,1126.25
1998-04-14,1168.75
1998-04-15,1147.5
1998-04-16,1147.5
1998-04-17,1094.375
1998-04-20,1030.625
1998-04-21,1062.5
1998-04-22,1083.75
1998-04-23,998.75
1998-04-24,1009.375
1998-04-27,998.75
1998-04-28,977.5
1998-04-29,966.875
1998-04-30,966.875
1998-05-01,966.875
1998-05-04,945.625
1998-05-05,935.0
1998-05-06,892.5
1998-05-07,913.75
1998-05-08,881.875
1998-05-11,913.75
1998-05-12,892.5
1998-05-13,892.5
1998-05-14,913.75
1998-05-15,935.0
1998-05-18,956.25
1998-05-19,956.25
1998-05-20,998.75
1998-05-21,1020.0
1998-05-22,1020.0
1998-05-26,1009.375
1998-05-27,924.375
1998-05-28,935.0
1998-05-29,935.0
1998-06-01,935.0
1998-06-02,913.75
1998-06-03,924.375
1998-06-04,913.75
1998-06-05,924.375
1998-06-08,945.625
1998-06-09,945.625
1998-06-10,929.6875
1998-06-11,924.375
1998-06-12,913.75
1998-06-15,871.25
1998-06-16,903.125
1998-06-17,892.5
1998-06-18,892.5
1998-06-19,871.25
1998-06-22,892.5
1998-06-23,881.875
1998-06-24,892.5
1998-06-25,881.875
1998-06-26,892.5
1998-06-29,935.0
1998-06-30,945.625
1998-07-01,977.5
1998-07-02,945.625
1998-07-06,956.25
1998-07-07,945.625
1998-07-08,945.625
1998-07-09,945.625
1998-07-10,956.25
1998-07-13,935.0
1998-07-14,945.625
1998-07-15,935.0
1998-07-16,935.0
1998-07-17,935.0
1998-07-20,945.625
1998-07-21,945.625
1998-07-22,945.625
1998-07-23,935.0
1998-07-24,935.0
1998-07-27,935.0
1998-07-28,945.625
1998-07-29,945.625
1998-07-30,929.6875
1998-07-31,871.25
1998-08-03,812.8125
1998-08-04,871.25
1998-08-05,722.5
1998-08-06,690.625
1998-08-07,701.25
1998-08-10,680.0
1998-08-11,680.0
1998-08-12,722.5
1998-08-13,765.0
1998-08-14,807.5
1998-08-17,807.5
1998-08-18,775.625
1998-08-19,701.25
1998-08-20,680.0
1998-08-21,680.0
1998-08-24,680.0
1998-08-25,701.25
1998-08-26,722.5
1998-08-27,711.875
1998-08-28,658.75
1998-08-31,531.25
1998-09-01,467.5
1998-09-02,478.125
1998-09-03,510.0
1998-09-04,552.5
1998-09-08,552.5
1998-09-09,510.0
1998-09-10,552.5
1998-09-11,573.75
1998-09-14,531.25
1998-09-15,595.0
1998-09-16,669.375
1998-09-17,743.75
1998-09-18,775.625
1998-09-21,743.75
1998-09-22,680.0
1998-09-23,680.0
1998-09-24,680.0
1998-09-25,701.25
1998-09-28,680.0
1998-09-29,701.25
1998-09-30,701.25
1998-10-01,680.0
1998-10-02,680.0
1998-10-05,637.5
1998-10-06,605.625
1998-10-07,637.5
1998-10-08,584.375
1998-10-09,573.75
1998-10-12,626.875
1998-10-13,595.0
1998-10-14,573.75
1998-10-15,573.75
1998-10-16,573.75
1998-10-19,573.75
1998-10-20,595.0
1998-10-21,595.0
1998-10-22,573.75
1998-10-23,595.0
1998-10-26,680.0
1998-10-27,722.5
1998-10-28,701.25
1998-10-29,690.625
1998-10-30,711.875
1998-11-02,743.75
1998-11-03,807.5
1998-11-04,807.5
1998-11-05,839.375
1998-11-06,828.75
1998-11-09,839.375
1998-11-10,828.75
1998-11-11,722.5
1998-11-12,765.0
1998-11-13,807.5
1998-11-16,743.75
1998-11-17,743.75
1998-11-18,722.5
1998-11-19,722.5
1998-11-20,786.25
1998-11-23,807.5
1998-11-24,743.75
1998-11-25,765.0
1998-11-27,743.75
1998-11-30,722.5
1998-12-01,722.5
1998-12-02,722.5
1998-12-03,637.5
1998-12-04,595.0
1998-12-07,637.5
1998-12-08,616.25
1998-12-09,637.5
1998-12-10,616.25
1998-12-11,637.5
1998-12-14,531.25
1998-12-15,573.75
1998-12-16,573.75
1998-12-17,584.375
1998-12-18,552.5
1998-12-21,637.5
1998-12-22,680.0
1998-12-23,637.5
1998-12-24,637.5
1998-12-28,658.75
1998-12-29,637.5
1998-12-30,637.5
1998-12-31,595.0
1999-01-04,658.75
1999-01-05,680.0
1999-01-06,680.0
1999-01-07,680.0
1999-01-08,680.0
1999-01-11,680.0
1999-01-12,637.5
1999-01-13,680.0
1999-01-14,616.25
1999-01-15,637.5
1999-01-19,680.0
1999-01-20,680.0
1999-01-21,680.0
1999-01-22,680.0
1999-01-25,637.5
1999-01-26,786.25
1999-01-27,722.5
1999-01-28,743.75
1999-01-29,701.25
1999-02-01,658.75
1999-02-02,680.0
1999-02-03,680.0
1999-02-04,722.5
1999-02-05,680.0
1999-02-08,680.0
1999-02-09,680.0
1999-02-10,743.75
1999-02-11,680.0
1999-02-12,680.0
1999-02-16,722.5
1999-02-17,658.75
1999-02-18,690.625
1999-02-19,680.0
1999-02-22,680.0
1999-02-23,658.75
1999-02-24,658.75
1999-02-25,608.28125
1999-02-26,595.0
1999-03-01,595.0
1999-03-02,616.25
1999-03-03,648.125
1999-03-04,680.0
1999-03-05,680.0
1999-03-08,658.75
1999-03-09,637.5
1999-03-10,637.5
1999-03-11,616.25
1999-03-12,680.0
1999-03-15,680.0
1999-03-16,669.375
1999-03-17,669.375
1999-03-18,722.5
1999-03-19,743.75
1999-03-22,765.0
1999-03-23,722.5
1999-03-24,701.25
1999-03-25,743.75
1999-03-26,701.25
1999-03-29,680.0
1999-03-30,658.75
1999-03-31,648.125
1999-04-01,680.0
1999-04-05,680.0
1999-04-06,711.875
1999-04-07,669.375
1999-04-08,605.625
1999-04-09,595.0
1999-04-12,595.0
1999-04-13,616.25
1999-04-14,563.125
1999-04-15,595.0
1999-04-16,573.75
1999-04-19,658.75
1999-04-20,595.0
1999-04-21,573.75
1999-04-22,573.75
1999-04-23,637.5
1999-04-26,658.75
1999-04-27,637.5
1999-04-28,658.75
1999-04-29,680.0
1999-04-30,690.625
1999-05-03,701.25
1999-05-04,807.5
1999-05-05,828.75
1999-05-06,828.75
1999-05-07,828.75
1999-05-10,796.875
1999-05-11,796.875
1999-05-12,807.5
1999-05-13,765.0
1999-05-14,828.75
1999-05-17,850.0
1999-05-18,807.5
1999-05-19,828.75
1999-05-20,850.0
1999-05-21,850.0
1999-05-24,839.375
1999-05-25,850.0
1999-05-26,765.0
1999-05-27,765.0
1999-05-28,850.0
1999-06-01,818.125
1999-06-02,765.0
1999-06-03,765.0
1999-06-04,754.375
1999-06-07,839.375
1999-06-08,807.5
1999-06-09,807.5
1999-06-10,871.25
1999-06-11,828.75
1999-06-14,924.375
1999-06-15,871.25
1999-06-16,850.0
1999-06-17,913.75
1999-06-18,924.375
1999-06-21,839.375
1999-06-22,828.75
1999-06-23,850.0
1999-06-24,850.0
1999-06-25,850.0
1999-06-28,786.25
1999-06-29,807.5
1999-06-30,786.25
1999-07-01,850.0
1999-07-02,871.25
1999-07-06,892.5
1999-07-07,881.875
1999-07-08,1020.0
1999-07-09,1126.25
1999-07-12,1168.75
1999-07-13,1168.75
1999-07-14,1126.25
1999-07-15,1083.75
1999-07-16,1253.75
1999-07-19,1402.5
1999-07-20,1317.5
1999-07-21,1232.5
1999-07-22,1275.0
1999-07-23,1232.5
1999-07-26,1147.5
1999-07-27,1147.5
1999-07-28,1190.0
1999-07-29,1147.5
1999-07-30,1126.25
1999-08-02,1211.25
1999-08-03,1306.875
1999-08-04,1253.75
1999-08-05,1105.0
1999-08-06,1073.125
1999-08-09,1105.0
1999-08-10,1105.0
1999-08-11,1105.0
1999-08-12,1083.75
1999-08-13,1105.0
1999-08-16,1211.25
1999-08-17,1190.0
1999-08-18,1253.75
1999-08-19,1168.75
1999-08-20,1168.75
1999-08-23,1232.5
1999-08-24,1190.0
1999-08-25,1200.625
1999-08-26,1264.375
1999-08-27,1275.0
1999-08-30,1275.0
1999-08-31,1370.625
1999-09-01,1413.125
1999-09-02,1381.25
1999-09-03,1402.5
1999-09-07,1338.75
1999-09-08,1360.0
1999-09-09,1381.25
1999-09-10,1381.25
1999-09-13,1445.0
1999-09-14,1391.875
1999-09-15,1487.5
1999-09-16,1455.625
1999-09-17,1455.625
1999-09-20,1508.75
1999-09-21,1466.25
1999-09-22,1445.0
1999-09-23,1466.25
1999-09-24,1391.875
1999-09-27,1402.5
1999-09-28,1413.125
1999-09-29,1423.75
1999-09-30,1402.5
1999-10-01,1423.75
1999-10-04,1402.5
1999-10-05,1381.25
1999-10-06,1466.25
1999-10-07,1360.0
1999-10-08,1391.875
1999-10-11,1381.25
1999-10-12,1338.75
1999-10-13,1402.5
1999-10-14,1381.25
1999-10-15,1360.0
1999-10-18,1360.0
1999-10-19,1349.375
1999-10-20,1370.625
1999-10-21,1370.625
1999-10-22,1498.125
1999-10-25,1476.875
1999-10-26,1445.0
1999-10-27,1508.75
1999-10-28,1476.875
1999-10-29,1530.0
1999-11-01,1487.5
1999-11-02,1551.25
1999-11-03,1572.5
1999-11-04,1530.0
1999-11-05,1657.5
1999-11-08,1665.46875
1999-11-09,1700.0
1999-11-10,1763.75
1999-11-11,1816.875
1999-11-12,1710.625
1999-11-15,1697.34375
1999-11-16,1700.0
1999-11-17,1731.875
1999-11-18,1785.0
1999-11-19,1742.5
1999-11-22,1848.75
1999-11-23,695.9375
1999-11-24,685.3125
1999-11-26,669.375
1999-11-29,637.5
1999-11-30,573.75
1999-12-01,584.375
1999-12-02,568.4375
1999-12-03,589.6875
1999-12-06,595.0
1999-12-07,563.125
1999-12-08,573.75
1999-12-09,552.5
1999-12-10,563.125
1999-12-13,573.75
1999-12-14,563.125
1999-12-15,568.4375
1999-12-16,573.75
1999-12-17,626.875
1999-12-20,595.0
1999-12-21,563.125
1999-12-22,536.5625
1999-12-23,541.875
1999-12-27,552.5
1999-12-28,595.0
1999-12-29,547.1875
1999-12-30,552.5
1999-12-31,573.75
2000-01-03,563.125
2000-01-04,552.5
2000-01-05,584.375
2000-01-06,595.0
2000-01-07,658.75
2000-01-10,690.625
2000-01-11,680.0
2000-01-12,658.75
2000-01-13,616.25
2000-01-14,605.625
2000-01-18,626.875
2000-01-19,637.5
2000-01-20,658.75
2000-01-21,637.5
2000-01-24,680.0
2000-01-25,754.375
2000-01-26,690.625
2000-01-27,722.5
2000-01-28,658.75
2000-01-31,695.9375
2000-02-01,680.0
2000-02-02,658.75
2000-02-03,621.5625
2000-02-04,637.5
2000-02-07,701.25
2000-02-08,685.3125
2000-02-09,658.75
2000-02-10,701.25
2000-02-11,711.875
2000-02-14,818.125
2000-02-15,924.375
2000-02-16,1211.25
2000-02-17,1190.0
2000-02-18,1253.75
2000-02-22,1296.25
2000-02-23,1264.375
2000-02-24,1211.25
2000-02-25,1158.125
2000-02-28,1102.34375
2000-02-29,1179.375
2000-03-01,1338.75
2000-03-02,1593.75
2000-03-03,1657.5
2000-03-06,1694.6875
2000-03-07,1657.5
2000-03-08,1445.0
2000-03-09,1530.0
2000-03-10,1445.0
2000-03-13,1487.5
2000-03-14,1338.75
2000-03-15,1275.0
2000-03-16,1306.875
2000-03-17,1317.5
2000-03-20,1285.625
2000-03-21,1360.0
2000-03-22,1338.75
2000-03-23,1349.375
2000-03-24,1370.625
2000-03-27,1360.0
2000-03-28,1349.375
2000-03-29,1264.375
2000-03-30,1221.875
2000-03-31,1200.625
2000-04-03,1126.25
2000-04-04,1030.625
2000-04-05,1073.125
2000-04-06,1158.125
2000-04-07,1147.5
2000-04-10,1105.0
2000-04-11,1089.0625
2000-04-12,1030.625
2000-04-13,1041.25
2000-04-14,935.0
2000-04-17,828.75
2000-04-18,1115.625
2000-04-19,1126.25
2000-04-20,1190.0
2000-04-24,1147.5
2000-04-25,1190.0
2000-04-26,1211.25
2000-04-27,1200.625
2000-04-28,1243.125
2000-05-01,1243.125
2000-05-02,1190.0
2000-05-03,1190.0
2000-05-04,1147.5
2000-05-05,1105.0
2000-05-08,1126.25
2000-05-09,1062.5
2000-05-10,988.125
2000-05-11,1020.0
2000-05-12,1020.0
2000-05-15,1020.0
2000-05-16,977.5
2000-05-17,1020.0
2000-05-18,977.5
2000-05-19,924.375
2000-05-22,860.625
2000-05-23,850.0
2000-05-24,828.75
2000-05-25,892.5
2000-05-26,796.875
2000-05-30,850.0
2000-05-31,818.125
2000-06-01,871.25
2000-06-02,850.0
2000-06-05,935.0
2000-06-06,977.5
2000-06-07,977.5
2000-06-08,935.0
2000-06-09,940.3125
2000-06-12,945.625
2000-06-13,956.25
2000-06-14,956.25
2000-06-15,1020.0
2000-06-16,913.75
2000-06-19,966.875
2000-06-20,998.75
2000-06-21,998.75
2000-06-22,988.125
2000-06-23,1020.0
