,FGEN
2016-03-31,21.290000915527344
2016-04-01,21.329999923706055
2016-04-04,21.0
2016-04-05,20.790000915527344
2016-04-06,22.149999618530273
2016-04-07,21.309999465942383
2016-04-08,21.260000228881836
2016-04-11,20.299999237060547
2016-04-12,20.540000915527344
2016-04-13,20.549999237060547
2016-04-14,20.360000610351562
2016-04-15,20.420000076293945
2016-04-18,20.760000228881836
2016-04-19,20.110000610351562
2016-04-20,19.649999618530273
2016-04-21,20.395000457763672
2016-04-22,20.649999618530273
2016-04-25,20.450000762939453
2016-04-26,19.780000686645508
2016-04-27,19.209999084472656
2016-04-28,18.770000457763672
2016-04-29,18.0
2016-05-02,18.3700008392334
2016-05-03,17.149999618530273
2016-05-04,16.549999237060547
2016-05-05,16.219999313354492
2016-05-06,15.789999961853027
2016-05-09,16.729999542236328
2016-05-10,17.940000534057617
2016-05-11,17.450000762939453
2016-05-12,17.110000610351562
2016-05-13,17.489999771118164
2016-05-16,17.600000381469727
2016-05-17,17.350000381469727
2016-05-18,17.950000762939453
2016-05-19,17.5
2016-05-20,18.040000915527344
2016-05-23,17.979999542236328
2016-05-24,18.200000762939453
2016-05-25,18.520000457763672
2016-05-26,18.389999389648438
2016-05-27,18.43000030517578
2016-05-31,18.65999984741211
2016-06-01,18.889999389648438
2016-06-02,19.479999542236328
2016-06-03,18.690000534057617
2016-06-06,19.75
2016-06-07,19.010000228881836
2016-06-08,19.049999237060547
2016-06-09,18.389999389648438
2016-06-10,17.59000015258789
2016-06-13,16.799999237060547
2016-06-14,16.6200008392334
2016-06-15,16.520000457763672
2016-06-16,16.309999465942383
2016-06-17,15.59000015258789
2016-06-20,15.949999809265137
2016-06-21,15.680000305175781
2016-06-22,15.5
2016-06-23,16.170000076293945
2016-06-24,15.4399995803833
2016-06-27,14.850000381469727
2016-06-28,15.890000343322754
2016-06-29,16.399999618530273
2016-06-30,16.40999984741211
2016-07-01,16.729999542236328
2016-07-05,16.440000534057617
2016-07-06,17.049999237060547
2016-07-07,17.1299991607666
2016-07-08,17.760000228881836
2016-07-11,17.229999542236328
2016-07-12,17.75
2016-07-13,16.920000076293945
2016-07-14,16.65999984741211
2016-07-15,17.139999389648438
2016-07-18,17.40999984741211
2016-07-19,16.899999618530273
2016-07-20,17.639999389648438
2016-07-21,17.93000030517578
2016-07-22,17.860000610351562
2016-07-25,17.860000610351562
2016-07-26,18.209999084472656
2016-07-27,18.700000762939453
2016-07-28,18.93000030517578
2016-07-29,19.1299991607666
2016-08-01,19.729999542236328
2016-08-02,19.170000076293945
2016-08-03,19.959999084472656
2016-08-04,19.739999771118164
2016-08-05,19.899999618530273
2016-08-08,19.469999313354492
2016-08-09,19.190000534057617
2016-08-10,18.25
2016-08-11,18.450000762939453
2016-08-12,19.15999984741211
2016-08-15,19.25
2016-08-16,18.389999389648438
2016-08-17,18.360000610351562
2016-08-18,18.440000534057617
2016-08-19,18.40999984741211
2016-08-22,19.049999237060547
2016-08-23,19.110000610351562
2016-08-24,18.030000686645508
2016-08-25,17.600000381469727
2016-08-26,17.93000030517578
2016-08-29,17.6299991607666
2016-08-30,17.68000030517578
2016-08-31,17.309999465942383
2016-09-01,17.329999923706055
2016-09-02,17.84000015258789
2016-09-06,19.010000228881836
2016-09-07,19.31999969482422
2016-09-08,19.270000457763672
2016-09-09,18.299999237060547
2016-09-12,19.059999465942383
2016-09-13,18.540000915527344
2016-09-14,19.1200008392334
2016-09-15,20.0
2016-09-16,20.100000381469727
2016-09-19,21.299999237060547
2016-09-20,21.59000015258789
2016-09-21,21.829999923706055
2016-09-22,22.149999618530273
2016-09-23,22.15999984741211
2016-09-26,21.780000686645508
2016-09-27,22.459999084472656
2016-09-28,22.049999237060547
2016-09-29,20.420000076293945
2016-09-30,20.700000762939453
2016-10-03,20.799999237060547
2016-10-04,20.510000228881836
2016-10-05,20.729999542236328
2016-10-06,20.049999237060547
2016-10-07,20.030000686645508
2016-10-10,20.25
2016-10-11,19.549999237060547
2016-10-12,18.149999618530273
2016-10-13,18.149999618530273
2016-10-14,17.700000762939453
2016-10-17,17.75
2016-10-18,17.950000762939453
2016-10-19,17.350000381469727
2016-10-20,17.649999618530273
2016-10-21,17.399999618530273
2016-10-24,17.049999237060547
2016-10-25,16.799999237060547
2016-10-26,16.950000762939453
2016-10-27,16.399999618530273
2016-10-28,16.700000762939453
2016-10-31,16.549999237060547
2016-11-01,16.75
2016-11-02,16.450000762939453
2016-11-03,15.600000381469727
2016-11-04,16.049999237060547
2016-11-07,16.149999618530273
2016-11-08,15.899999618530273
2016-11-09,20.0
2016-11-10,21.149999618530273
2016-11-11,22.549999237060547
2016-11-14,21.700000762939453
2016-11-15,22.799999237060547
