,EDTK
2021-02-23,3.8299999237060547
2021-02-24,3.7200000286102295
2021-02-25,3.640000104904175
2021-02-26,3.4200000762939453
2021-03-01,3.4100000858306885
2021-03-02,3.4000000953674316
2021-03-03,3.390000104904175
2021-03-04,3.075000047683716
2021-03-05,3.130000114440918
2021-03-08,3.130000114440918
2021-03-09,3.319999933242798
2021-03-10,3.2799999713897705
2021-03-11,3.359999895095825
2021-03-12,3.3499999046325684
2021-03-15,3.440000057220459
2021-03-16,3.5899999141693115
2021-03-17,3.559999942779541
2021-03-18,3.559999942779541
2021-03-19,3.609999895095825
2021-03-22,3.680000066757202
2021-03-23,3.559999942779541
2021-03-24,3.5
2021-03-25,3.319999933242798
2021-03-26,3.619999885559082
2021-03-29,3.3499999046325684
2021-03-30,3.359999895095825
2021-03-31,3.4700000286102295
2021-04-01,3.5399999618530273
2021-04-05,3.513000011444092
2021-04-06,3.509999990463257
2021-04-07,3.4800000190734863
2021-04-08,3.380000114440918
2021-04-09,3.2899999618530273
2021-04-12,3.119999885559082
2021-04-13,2.890000104904175
2021-04-14,2.7699999809265137
2021-04-15,2.6600000858306885
2021-04-16,2.569999933242798
2021-04-19,2.430000066757202
2021-04-20,2.5
2021-04-21,2.369999885559082
2021-04-22,2.369999885559082
2021-04-23,2.3399999141693115
2021-04-26,2.619999885559082
2021-04-27,2.490000009536743
2021-04-28,2.430000066757202
2021-04-29,2.390000104904175
2021-04-30,2.4000000953674316
2021-05-03,2.4700000286102295
2021-05-04,2.369999885559082
2021-05-05,2.319999933242798
2021-05-06,2.130000114440918
2021-05-07,2.1600000858306885
2021-05-10,2.0999999046325684
2021-05-11,2.0399999618530273
2021-05-12,2.069999933242798
2021-05-13,1.909999966621399
2021-05-14,1.940000057220459
