,EQ
2019-12-16,4.829999923706055
2019-12-17,4.869999885559082
2019-12-18,4.510000228881836
2019-12-19,4.539999961853027
2019-12-20,4.690000057220459
2019-12-23,4.380000114440918
2019-12-24,4.28000020980835
2019-12-26,3.9200000762939453
2019-12-27,4.03000020980835
2019-12-30,4.190000057220459
2019-12-31,3.380000114440918
2020-01-02,4.090000152587891
2020-01-03,4.400000095367432
2020-01-06,4.380000114440918
2020-01-07,4.409999847412109
2020-01-08,4.519999980926514
2020-01-09,4.46999979019165
2020-01-10,4.389999866485596
2020-01-13,4.590000152587891
2020-01-14,4.659999847412109
2020-01-15,4.510000228881836
2020-01-16,4.610000133514404
2020-01-17,4.619999885559082
2020-01-21,4.409999847412109
2020-01-22,4.139999866485596
2020-01-23,4.28000020980835
2020-01-24,5.099999904632568
2020-01-27,5.050000190734863
2020-01-28,5.0
2020-01-29,4.989999771118164
2020-01-30,4.769999980926514
2020-01-31,4.570000171661377
2020-02-03,4.489999771118164
2020-02-04,4.300000190734863
2020-02-05,4.769999980926514
2020-02-06,4.699999809265137
2020-02-07,4.809999942779541
2020-02-10,4.820000171661377
2020-02-11,4.949999809265137
2020-02-12,4.960000038146973
2020-02-13,4.980000019073486
2020-02-14,4.96999979019165
2020-02-18,5.059999942779541
2020-02-19,5.03000020980835
2020-02-20,5.079999923706055
2020-02-21,5.130000114440918
2020-02-24,5.5
2020-02-25,5.360000133514404
2020-02-26,5.309999942779541
2020-02-27,5.090000152587891
2020-02-28,4.809999942779541
2020-03-02,5.099999904632568
2020-03-03,4.789999961853027
2020-03-04,4.889999866485596
2020-03-05,4.789999961853027
2020-03-06,5.139999866485596
2020-03-09,4.25
2020-03-10,3.5999999046325684
2020-03-11,3.5
2020-03-12,3.4800000190734863
2020-03-13,2.9800000190734863
2020-03-16,2.4200000762939453
2020-03-17,3.25
2020-03-18,2.9600000381469727
2020-03-19,3.940000057220459
2020-03-20,3.2300000190734863
2020-03-23,2.799999952316284
2020-03-24,2.299999952316284
2020-03-25,2.6500000953674316
2020-03-26,2.740000009536743
2020-03-27,2.619999885559082
2020-03-30,2.5999999046325684
2020-03-31,2.7100000381469727
2020-04-01,2.4800000190734863
2020-04-02,2.450000047683716
2020-04-03,2.3399999141693115
2020-04-06,2.4000000953674316
2020-04-07,2.369999885559082
2020-04-08,2.430000066757202
2020-04-09,2.5299999713897705
2020-04-13,2.5399999618530273
2020-04-14,2.9600000381469727
2020-04-15,2.5
2020-04-16,2.7300000190734863
2020-04-17,2.7300000190734863
2020-04-20,2.6500000953674316
2020-04-21,2.5
2020-04-22,2.450000047683716
2020-04-23,2.7699999809265137
2020-04-24,2.8499999046325684
2020-04-27,2.9100000858306885
2020-04-28,2.700000047683716
2020-04-29,2.859999895095825
2020-04-30,2.7300000190734863
2020-05-01,2.5199999809265137
2020-05-04,2.5999999046325684
2020-05-05,2.680000066757202
2020-05-06,2.680000066757202
2020-05-07,2.9800000190734863
2020-05-08,3.309999942779541
2020-05-11,3.2200000286102295
2020-05-12,3.3499999046325684
2020-05-13,3.0399999618530273
2020-05-14,2.8499999046325684
2020-05-15,2.9800000190734863
2020-05-18,2.6600000858306885
2020-05-19,2.799999952316284
2020-05-20,2.990000009536743
2020-05-21,3.069999933242798
2020-05-22,3.0799999237060547
2020-05-26,3.2899999618530273
2020-05-27,3.5299999713897705
2020-05-28,3.5299999713897705
2020-05-29,3.450000047683716
2020-06-01,3.509999990463257
2020-06-02,3.4000000953674316
2020-06-03,3.240000009536743
2020-06-04,3.0399999618530273
2020-06-05,2.9600000381469727
2020-06-08,3.0
2020-06-09,3.0
2020-06-10,2.8399999141693115
2020-06-11,2.7699999809265137
2020-06-12,2.690000057220459
2020-06-15,2.890000104904175
2020-06-16,2.869999885559082
2020-06-17,2.7200000286102295
2020-06-18,2.759999990463257
2020-06-19,2.7300000190734863
2020-06-22,2.619999885559082
2020-06-23,2.630000114440918
2020-06-24,2.690000057220459
2020-06-25,2.700000047683716
2020-06-26,2.880000114440918
2020-06-29,2.8299999237060547
2020-06-30,2.950000047683716
2020-07-01,2.799999952316284
2020-07-02,2.7799999713897705
2020-07-06,2.8299999237060547
2020-07-07,2.8299999237060547
2020-07-08,2.799999952316284
2020-07-09,3.319999933242798
2020-07-10,3.190000057220459
2020-07-13,26.5
2020-07-14,13.979999542236328
2020-07-15,17.329999923706055
2020-07-16,14.770000457763672
2020-07-17,13.859999656677246
2020-07-20,13.640000343322754
2020-07-21,12.699999809265137
2020-07-22,13.380000114440918
2020-07-23,13.260000228881836
2020-07-24,13.3100004196167
2020-07-27,12.649999618530273
2020-07-28,11.760000228881836
2020-07-29,11.4399995803833
2020-07-30,10.6899995803833
2020-07-31,9.649999618530273
2020-08-03,10.100000381469727
2020-08-04,10.369999885559082
2020-08-05,10.630000114440918
2020-08-06,9.75
2020-08-07,9.479999542236328
2020-08-10,10.050000190734863
2020-08-11,10.109999656677246
2020-08-12,8.970000267028809
2020-08-13,8.819999694824219
2020-08-14,7.239999771118164
2020-08-17,7.110000133514404
2020-08-18,6.840000152587891
2020-08-19,6.849999904632568
2020-08-20,6.840000152587891
2020-08-21,6.880000114440918
2020-08-24,6.71999979019165
2020-08-25,7.039999961853027
2020-08-26,6.860000133514404
2020-08-27,5.980000019073486
2020-08-28,6.079999923706055
2020-08-31,5.889999866485596
2020-09-01,5.460000038146973
2020-09-02,5.329999923706055
2020-09-03,5.179999828338623
2020-09-04,5.059999942779541
2020-09-08,5.159999847412109
2020-09-09,5.25
2020-09-10,5.119999885559082
2020-09-11,5.559999942779541
2020-09-14,5.71999979019165
2020-09-15,6.010000228881836
2020-09-16,6.320000171661377
2020-09-17,6.369999885559082
2020-09-18,6.409999847412109
2020-09-21,6.78000020980835
2020-09-22,6.309999942779541
2020-09-23,5.610000133514404
2020-09-24,5.599999904632568
2020-09-25,5.75
2020-09-28,5.630000114440918
2020-09-29,5.739999771118164
2020-09-30,5.769999980926514
2020-10-01,6.079999923706055
2020-10-02,6.0
