,RIO
1991-06-11,9.53125
1991-06-12,9.25
1991-06-13,9.25
1991-06-14,9.125
1991-06-17,9.0625
1991-06-18,8.9375
1991-06-19,9.03125
1991-06-20,9.1875
1991-06-21,9.1875
1991-06-24,9.25
1991-06-25,9.3125
1991-06-26,9.1875
1991-06-27,9.34375
1991-06-28,9.15625
1991-07-01,9.0625
1991-07-02,9.0625
1991-07-03,9.125
1991-07-05,9.3125
1991-07-08,9.375
1991-07-09,9.4375
1991-07-10,9.40625
1991-07-11,9.53125
1991-07-12,9.75
1991-07-15,9.875
1991-07-16,9.875
1991-07-17,9.625
1991-07-18,9.625
1991-07-19,9.59375
1991-07-22,9.65625
1991-07-23,9.78125
1991-07-24,9.96875
1991-07-25,9.96875
1991-07-26,9.96875
1991-07-29,9.96875
1991-07-30,10.0625
1991-07-31,10.0
1991-08-01,9.96875
1991-08-02,9.9375
1991-08-05,10.21875
1991-08-06,10.15625
1991-08-07,10.15625
1991-08-08,10.15625
1991-08-09,10.0625
1991-08-12,9.84375
1991-08-13,9.9375
1991-08-14,10.0
1991-08-15,10.1875
1991-08-16,10.0625
1991-08-19,9.59375
1991-08-20,9.625
1991-08-21,10.0625
1991-08-22,10.125
1991-08-23,10.0625
1991-08-26,10.0
1991-08-27,9.90625
1991-08-28,10.0625
1991-08-29,10.125
1991-08-30,10.125
1991-09-03,10.0
1991-09-04,10.15625
1991-09-05,10.125
1991-09-06,10.1875
1991-09-09,10.1875
1991-09-10,10.125
1991-09-11,10.0
1991-09-12,10.03125
1991-09-13,9.875
1991-09-16,9.84375
1991-09-17,9.75
1991-09-18,9.5
1991-09-19,9.625
1991-09-20,9.625
1991-09-23,9.65625
1991-09-24,9.6875
1991-09-25,9.75
1991-09-26,9.8125
1991-09-27,9.96875
1991-09-30,10.15625
1991-10-01,10.1875
1991-10-02,10.25
1991-10-03,9.96875
1991-10-04,9.875
1991-10-07,9.75
1991-10-08,9.75
1991-10-09,9.6875
1991-10-10,9.625
1991-10-11,9.4375
1991-10-14,9.6875
1991-10-15,9.65625
1991-10-16,9.625
1991-10-17,9.78125
1991-10-18,9.78125
1991-10-21,9.84375
1991-10-22,9.65625
1991-10-23,9.75
1991-10-24,9.625
1991-10-25,9.8125
1991-10-28,9.5625
1991-10-29,9.8125
1991-10-30,9.84375
1991-10-31,9.78125
1991-11-01,9.90625
1991-11-04,9.84375
1991-11-05,9.9375
1991-11-06,9.9375
1991-11-07,9.9375
1991-11-08,9.9375
1991-11-11,9.9375
1991-11-12,9.875
1991-11-13,9.75
1991-11-14,9.75
1991-11-15,9.5
1991-11-18,9.6875
1991-11-19,9.5
1991-11-20,9.5
1991-11-21,9.46875
1991-11-22,9.4375
1991-11-25,9.53125
1991-11-26,9.53125
1991-11-27,9.53125
1991-11-29,9.15625
1991-12-02,9.0625
1991-12-03,8.9375
1991-12-04,8.375
1991-12-05,8.65625
1991-12-06,8.8125
1991-12-09,8.84375
1991-12-10,8.78125
1991-12-11,8.59375
1991-12-12,8.875
1991-12-13,9.1875
1991-12-16,9.25
1991-12-17,8.9375
1991-12-18,8.875
1991-12-19,8.84375
1991-12-20,8.84375
1991-12-23,8.71875
1991-12-24,8.5625
1991-12-26,8.5625
1991-12-27,8.75
1991-12-30,8.71875
1991-12-31,8.75
1992-01-02,9.0
1992-01-03,9.1875
1992-01-06,9.40625
1992-01-07,9.625
1992-01-08,9.4375
1992-01-09,9.1875
1992-01-10,9.0
1992-01-13,8.90625
1992-01-14,9.0625
1992-01-15,9.125
1992-01-16,9.21875
1992-01-17,9.625
1992-01-20,9.625
1992-01-21,9.6875
1992-01-22,9.65625
1992-01-23,9.65625
1992-01-24,9.5
1992-01-27,9.875
1992-01-28,9.71875
1992-01-29,9.71875
1992-01-30,9.5
1992-01-31,9.625
1992-02-03,9.5
1992-02-04,9.5625
1992-02-05,9.5
1992-02-06,9.5625
1992-02-07,9.53125
1992-02-10,9.59375
1992-02-11,9.625
1992-02-12,9.5625
1992-02-13,9.5
1992-02-14,9.4375
1992-02-18,9.4375
1992-02-19,9.5625
1992-02-20,9.5
1992-02-21,9.5625
1992-02-24,9.4375
1992-02-25,9.3125
1992-02-26,9.5
1992-02-27,9.8125
1992-02-28,9.875
1992-03-02,9.8125
1992-03-03,9.75
1992-03-04,9.625
1992-03-05,9.4375
1992-03-06,9.46875
1992-03-09,9.53125
1992-03-10,9.5625
1992-03-11,9.46875
1992-03-12,9.6875
1992-03-13,9.8125
1992-03-16,9.71875
1992-03-17,9.78125
1992-03-18,9.75
1992-03-19,9.8125
1992-03-20,9.875
1992-03-23,9.875
1992-03-24,9.9375
1992-03-25,10.0
1992-03-26,10.03125
1992-03-27,9.9375
1992-03-30,10.0625
1992-03-31,10.0625
1992-04-01,10.03125
1992-04-02,10.09375
1992-04-03,10.09375
1992-04-06,10.0
1992-04-07,10.0
1992-04-08,10.0
1992-04-09,10.03125
1992-04-10,10.28125
1992-04-13,10.4375
1992-04-14,10.53125
1992-04-15,10.625
1992-04-16,10.4375
1992-04-20,10.5
1992-04-21,10.46875
1992-04-22,10.5625
1992-04-23,10.625
1992-04-24,10.625
1992-04-27,10.75
1992-04-28,10.84375
1992-04-29,11.375
1992-04-30,11.25
1992-05-01,11.1875
1992-05-04,11.28125
1992-05-05,11.28125
1992-05-06,11.5
1992-05-07,11.6875
1992-05-08,12.125
1992-05-11,12.09375
1992-05-12,11.9375
1992-05-13,12.0
1992-05-14,12.0625
1992-05-15,11.90625
1992-05-18,11.78125
1992-05-19,11.8125
1992-05-20,11.8125
1992-05-21,11.65625
1992-05-22,11.8125
1992-05-26,11.96875
1992-05-27,11.6875
1992-05-28,11.59375
1992-05-29,11.53125
1992-06-01,11.5
1992-06-02,11.53125
1992-06-03,11.3125
1992-06-04,11.46875
1992-06-05,11.5625
1992-06-08,11.40625
1992-06-09,11.5
1992-06-10,11.53125
1992-06-11,11.4375
1992-06-12,11.3125
1992-06-15,11.40625
1992-06-16,11.59375
1992-06-17,11.625
1992-06-18,11.5625
1992-06-19,11.40625
1992-06-22,11.3125
1992-06-23,11.25
1992-06-24,11.15625
1992-06-25,11.46875
1992-06-26,11.46875
1992-06-29,11.75
1992-06-30,11.9375
1992-07-01,11.75
1992-07-02,11.625
1992-07-06,11.5625
1992-07-07,11.71875
1992-07-08,11.28125
1992-07-09,11.21875
1992-07-10,11.0625
1992-07-13,10.84375
1992-07-14,10.78125
1992-07-15,10.6875
1992-07-16,11.0
1992-07-17,10.84375
1992-07-20,10.625
1992-07-21,10.5625
1992-07-22,10.5
1992-07-23,10.375
1992-07-24,10.53125
1992-07-27,10.625
1992-07-28,10.71875
1992-07-29,10.8125
1992-07-30,10.875
1992-07-31,10.875
1992-08-03,11.34375
1992-08-04,11.34375
1992-08-05,11.125
1992-08-06,11.0625
1992-08-07,10.84375
1992-08-10,10.6875
1992-08-11,10.15625
1992-08-12,10.1875
1992-08-13,10.125
1992-08-14,10.15625
1992-08-17,10.1875
1992-08-18,10.34375
1992-08-19,10.4375
1992-08-20,10.4375
1992-08-21,10.375
1992-08-24,10.375
1992-08-25,10.0625
1992-08-26,10.1875
1992-08-27,10.1875
1992-08-28,10.28125
1992-08-31,10.40625
1992-09-01,10.15625
1992-09-02,10.25
1992-09-03,10.375
1992-09-04,10.375
1992-09-08,10.40625
1992-09-09,10.0
1992-09-10,10.3125
1992-09-11,10.3125
1992-09-14,10.6875
1992-09-15,10.53125
1992-09-16,10.71875
1992-09-17,10.78125
1992-09-18,10.9375
1992-09-21,10.90625
1992-09-22,10.875
1992-09-23,10.8125
1992-09-24,11.15625
1992-09-25,10.96875
1992-09-28,10.9375
1992-09-29,11.0
1992-09-30,11.0
1992-10-01,11.0625
1992-10-02,10.59375
1992-10-05,9.78125
1992-10-06,10.0
1992-10-07,10.1875
1992-10-08,9.9375
1992-10-09,10.09375
1992-10-12,10.1875
1992-10-13,10.5
1992-10-14,10.5625
1992-10-15,10.25
1992-10-16,10.09375
1992-10-19,9.6875
1992-10-20,9.96875
1992-10-21,10.125
1992-10-22,10.4375
1992-10-23,10.3125
1992-10-26,10.1875
1992-10-27,10.09375
1992-10-28,9.875
1992-10-29,9.875
1992-10-30,10.0
1992-11-02,10.0
1992-11-03,10.09375
1992-11-04,10.09375
1992-11-05,10.03125
1992-11-06,10.09375
1992-11-09,9.71875
1992-11-10,9.71875
1992-11-11,9.625
1992-11-12,9.78125
1992-11-13,9.84375
1992-11-16,9.65625
1992-11-17,9.5
1992-11-18,9.46875
1992-11-19,9.28125
1992-11-20,9.4375
1992-11-23,9.28125
1992-11-24,9.21875
1992-11-25,9.1875
1992-11-27,9.3125
1992-11-30,9.875
1992-12-01,10.0625
1992-12-02,10.0625
1992-12-03,10.1875
1992-12-04,10.1875
1992-12-07,10.375
1992-12-08,10.53125
1992-12-09,10.4375
1992-12-10,10.3125
1992-12-11,10.25
1992-12-14,10.25
1992-12-15,9.9375
1992-12-16,10.03125
1992-12-17,10.25
1992-12-18,10.5
1992-12-21,10.46875
1992-12-22,10.375
1992-12-23,10.40625
1992-12-24,10.40625
1992-12-28,10.40625
1992-12-29,10.40625
1992-12-30,10.3125
1992-12-31,10.34375
1993-01-04,10.375
1993-01-05,10.375
1993-01-06,10.4375
1993-01-07,10.5625
1993-01-08,10.40625
1993-01-11,10.5
1993-01-12,10.21875
1993-01-13,9.96875
1993-01-14,10.1875
1993-01-15,10.125
1993-01-18,10.0625
1993-01-19,10.0625
1993-01-20,10.0625
1993-01-21,10.1875
1993-01-22,10.1875
1993-01-25,10.25
1993-01-26,10.25
1993-01-27,10.25
1993-01-28,10.25
1993-01-29,10.125
1993-02-01,10.1875
1993-02-02,10.0625
1993-02-03,9.84375
1993-02-04,9.8125
1993-02-05,9.84375
1993-02-08,9.9375
1993-02-09,9.8125
1993-02-10,9.65625
1993-02-11,9.4375
1993-02-12,9.625
1993-02-16,9.75
1993-02-17,9.5625
1993-02-18,9.46875
1993-02-19,9.53125
1993-02-22,9.625
1993-02-23,9.75
1993-02-24,9.5
1993-02-25,9.625
1993-02-26,9.6875
1993-03-01,9.875
1993-03-02,9.90625
1993-03-03,10.0
1993-03-04,10.125
1993-03-05,10.25
1993-03-08,10.3125
1993-03-09,10.21875
1993-03-10,10.03125
1993-03-11,9.9375
1993-03-12,9.8125
1993-03-15,9.875
1993-03-16,9.96875
1993-03-17,9.96875
1993-03-18,10.3125
1993-03-19,10.25
1993-03-22,10.03125
1993-03-23,10.125
1993-03-24,10.1875
1993-03-25,10.1875
1993-03-26,10.21875
1993-03-29,10.1875
1993-03-30,10.5
1993-03-31,10.6875
1993-04-01,10.78125
1993-04-02,10.78125
1993-04-05,10.625
1993-04-06,10.21875
1993-04-07,10.125
1993-04-08,10.15625
1993-04-12,10.25
1993-04-13,10.4375
1993-04-14,10.53125
1993-04-15,10.375
1993-04-16,10.0625
1993-04-19,10.1875
1993-04-20,10.28125
1993-04-21,9.875
1993-04-22,10.03125
1993-04-23,10.375
1993-04-26,10.5625
1993-04-27,10.5625
1993-04-28,10.375
1993-04-29,10.40625
1993-04-30,10.375
1993-05-03,10.40625
1993-05-04,10.3125
1993-05-05,10.0625
1993-05-06,9.9375
1993-05-07,9.875
1993-05-10,9.625
1993-05-11,9.59375
1993-05-12,9.9375
1993-05-13,9.8125
1993-05-14,9.9375
1993-05-17,9.96875
1993-05-18,10.03125
1993-05-19,10.1875
1993-05-20,10.125
1993-05-21,10.0625
1993-05-24,10.1875
1993-05-25,10.4375
1993-05-26,10.5625
1993-05-27,10.4375
1993-05-28,10.59375
1993-06-01,10.5
1993-06-02,10.5625
1993-06-03,10.5
1993-06-04,10.125
1993-06-07,10.40625
1993-06-08,10.375
1993-06-09,10.53125
1993-06-10,10.3125
1993-06-11,10.15625
1993-06-14,10.21875
1993-06-15,10.15625
1993-06-16,10.0
1993-06-17,10.125
1993-06-18,10.0
1993-06-21,10.125
1993-06-22,9.90625
1993-06-23,9.875
1993-06-24,9.875
1993-06-25,10.0
1993-06-28,10.25
1993-06-29,10.34375
1993-06-30,10.21875
1993-07-01,10.4375
1993-07-02,10.375
1993-07-06,10.59375
1993-07-07,10.375
1993-07-08,10.375
1993-07-09,10.34375
1993-07-12,10.21875
1993-07-13,10.28125
1993-07-14,10.3125
1993-07-15,10.21875
1993-07-16,10.125
1993-07-19,10.3125
1993-07-20,10.40625
1993-07-21,10.40625
1993-07-22,10.25
1993-07-23,10.3125
1993-07-26,10.25
1993-07-27,10.28125
1993-07-28,10.25
1993-07-29,10.21875
1993-07-30,10.21875
1993-08-02,10.375
1993-08-03,10.5625
1993-08-04,10.46875
1993-08-05,10.40625
1993-08-06,10.3125
1993-08-09,10.15625
1993-08-10,10.25
1993-08-11,10.25
1993-08-12,10.28125
1993-08-13,10.15625
1993-08-16,10.28125
1993-08-17,10.3125
1993-08-18,10.59375
1993-08-19,10.5
1993-08-20,10.59375
1993-08-23,10.625
1993-08-24,10.6875
1993-08-25,10.71875
1993-08-26,10.90625
1993-08-27,11.09375
1993-08-30,11.03125
1993-08-31,11.1875
1993-09-01,11.1875
1993-09-02,11.1875
1993-09-03,11.21875
1993-09-07,11.0625
1993-09-08,11.0
1993-09-09,11.25
1993-09-10,11.0
1993-09-13,10.875
1993-09-14,10.9375
1993-09-15,10.6875
1993-09-16,10.6875
1993-09-17,10.78125
1993-09-20,10.625
1993-09-21,10.5625
1993-09-22,10.59375
1993-09-23,10.59375
1993-09-24,10.59375
1993-09-27,10.84375
1993-09-28,10.75
1993-09-29,10.53125
1993-09-30,10.4375
1993-10-01,10.4375
1993-10-04,10.53125
1993-10-05,10.5
1993-10-06,10.625
1993-10-07,10.59375
1993-10-08,10.8125
1993-10-11,10.71875
1993-10-12,10.625
1993-10-13,10.375
1993-10-14,10.375
1993-10-15,10.15625
1993-10-18,10.0
1993-10-19,9.875
1993-10-20,10.125
1993-10-21,10.21875
1993-10-22,10.21875
1993-10-25,10.28125
1993-10-26,10.3125
1993-10-27,10.1875
1993-10-28,10.3125
1993-10-29,10.3125
1993-11-01,10.21875
1993-11-02,10.1875
1993-11-03,10.1875
1993-11-04,10.15625
1993-11-05,10.09375
1993-11-08,10.0
1993-11-09,9.78125
1993-11-10,9.78125
1993-11-11,9.6875
1993-11-12,9.875
1993-11-15,9.90625
1993-11-16,9.90625
1993-11-17,9.90625
1993-11-18,10.09375
1993-11-19,10.09375
1993-11-22,10.125
1993-11-23,10.25
1993-11-24,10.53125
1993-11-26,10.59375
1993-11-29,10.8125
1993-11-30,10.78125
1993-12-01,11.0
1993-12-02,11.0625
1993-12-03,10.84375
1993-12-06,11.0625
1993-12-07,11.15625
1993-12-08,11.28125
1993-12-09,11.5
1993-12-10,11.59375
1993-12-13,11.53125
1993-12-14,11.5
1993-12-15,11.4375
1993-12-16,11.59375
1993-12-17,11.71875
1993-12-20,11.6875
1993-12-21,11.65625
1993-12-22,11.65625
1993-12-23,11.90625
1993-12-27,12.0625
1993-12-28,12.03125
1993-12-29,12.1875
1993-12-30,12.21875
1993-12-31,12.21875
1994-01-03,12.125
1994-01-04,12.71875
1994-01-05,12.625
1994-01-06,12.40625
1994-01-07,12.75
1994-01-10,12.78125
1994-01-11,12.84375
1994-01-12,12.65625
1994-01-13,12.4375
1994-01-14,12.3125
1994-01-17,12.34375
1994-01-18,12.46875
1994-01-19,12.75
1994-01-20,13.25
1994-01-21,13.34375
1994-01-24,13.25
1994-01-25,13.0
1994-01-26,13.0
1994-01-27,13.03125
1994-01-28,13.25
1994-01-31,13.65625
1994-02-01,13.5
1994-02-02,13.65625
1994-02-03,13.34375
1994-02-04,12.90625
1994-02-07,13.15625
1994-02-08,13.09375
1994-02-09,13.0
1994-02-10,12.75
1994-02-11,12.5625
1994-02-14,12.71875
1994-02-15,12.71875
1994-02-16,12.9375
1994-02-17,12.84375
1994-02-18,12.71875
1994-02-22,12.28125
1994-02-23,12.4375
1994-02-24,12.4375
1994-02-25,12.5
1994-02-28,12.875
1994-03-01,13.0
1994-03-02,12.875
1994-03-03,12.78125
1994-03-04,12.8125
1994-03-07,12.9375
1994-03-08,12.8125
1994-03-09,12.9375
1994-03-10,12.9375
1994-03-11,12.75
1994-03-14,12.9375
1994-03-15,12.875
1994-03-16,13.03125
1994-03-17,13.28125
1994-03-18,13.09375
1994-03-21,12.9375
1994-03-22,13.09375
1994-03-23,12.84375
1994-03-24,12.78125
1994-03-25,12.9375
1994-03-28,12.9375
1994-03-29,12.75
1994-03-30,12.5
1994-03-31,12.46875
1994-04-04,12.1875
1994-04-05,12.53125
1994-04-06,12.6875
1994-04-07,12.8125
1994-04-08,12.8125
1994-04-11,12.90625
1994-04-12,12.9375
1994-04-13,12.9375
1994-04-14,13.0
1994-04-15,12.84375
1994-04-18,12.78125
1994-04-19,12.5
1994-04-20,12.34375
1994-04-21,12.3125
1994-04-22,12.46875
1994-04-25,12.46875
1994-04-26,12.6875
1994-04-28,12.90625
1994-04-29,13.09375
1994-05-02,13.09375
1994-05-03,12.96875
1994-05-04,12.875
1994-05-05,12.75
1994-05-06,13.0625
1994-05-09,12.75
1994-05-10,12.8125
1994-05-11,12.84375
1994-05-12,12.96875
1994-05-13,13.03125
1994-05-16,13.125
1994-05-17,13.4375
1994-05-18,13.375
1994-05-19,13.375
1994-05-20,13.3125
1994-05-23,13.25
1994-05-24,13.25
1994-05-25,12.96875
1994-05-26,12.9375
1994-05-27,12.96875
1994-05-31,13.03125
1994-06-01,12.875
1994-06-02,12.53125
1994-06-03,12.5625
1994-06-06,12.5625
1994-06-07,12.6875
1994-06-08,13.0
1994-06-09,13.1875
1994-06-10,13.25
1994-06-13,13.34375
1994-06-14,13.34375
1994-06-15,13.3125
1994-06-16,13.28125
1994-06-17,13.3125
1994-06-20,13.125
1994-06-21,13.0
1994-06-22,13.03125
1994-06-23,13.03125
1994-06-24,12.9375
1994-06-27,12.9375
1994-06-28,12.9375
1994-06-29,13.0
1994-06-30,13.0
1994-07-01,12.9375
1994-07-05,12.90625
1994-07-06,12.90625
1994-07-07,12.875
1994-07-08,12.90625
1994-07-11,12.90625
1994-07-12,12.8125
1994-07-13,12.90625
1994-07-14,13.21875
1994-07-15,13.3125
1994-07-18,13.34375
1994-07-19,13.46875
1994-07-20,13.3125
1994-07-21,13.375
1994-07-22,13.34375
1994-07-25,13.375
1994-07-26,13.21875
1994-07-27,13.09375
1994-07-28,13.1875
1994-07-29,13.46875
1994-08-01,13.78125
1994-08-02,13.96875
1994-08-03,13.84375
1994-08-04,13.65625
1994-08-05,13.8125
1994-08-08,13.75
1994-08-09,13.6875
1994-08-10,13.6875
1994-08-11,13.625
1994-08-12,13.71875
1994-08-15,13.625
1994-08-16,13.65625
1994-08-17,13.8125
1994-08-18,13.59375
1994-08-19,13.46875
1994-08-22,13.34375
1994-08-23,13.46875
1994-08-24,13.5625
1994-08-25,13.6875
1994-08-26,13.625
1994-08-29,13.5
1994-08-30,13.71875
1994-08-31,13.6875
1994-09-01,13.71875
1994-09-02,13.8125
1994-09-06,13.8125
1994-09-07,13.84375
1994-09-08,13.875
1994-09-09,13.96875
1994-09-12,14.0
1994-09-13,13.90625
1994-09-14,13.75
1994-09-15,13.875
1994-09-16,14.03125
1994-09-19,14.0625
1994-09-20,14.0625
1994-09-21,14.15625
1994-09-22,14.15625
1994-09-23,14.21875
1994-09-26,14.3125
1994-09-27,14.4375
1994-09-28,14.625
1994-09-29,14.375
1994-09-30,14.28125
1994-10-03,14.25
1994-10-04,14.15625
1994-10-05,14.1875
1994-10-06,14.0625
1994-10-07,14.125
1994-10-10,14.125
1994-10-11,14.1875
1994-10-12,14.25
1994-10-13,14.40625
1994-10-14,14.375
1994-10-17,14.40625
1994-10-18,14.4375
1994-10-19,14.375
1994-10-20,14.25
1994-10-21,14.1875
1994-10-24,14.28125
1994-10-25,14.1875
1994-10-26,14.125
1994-10-27,14.25
1994-10-28,14.125
1994-10-31,14.25
1994-11-01,14.3125
1994-11-02,14.21875
1994-11-03,13.875
1994-11-04,13.96875
1994-11-07,13.71875
1994-11-08,13.78125
1994-11-09,13.625
1994-11-10,13.71875
1994-11-11,13.4375
1994-11-14,13.5
1994-11-15,13.875
1994-11-16,13.8125
1994-11-17,13.6875
1994-11-18,13.5625
1994-11-21,13.625
1994-11-22,13.4375
1994-11-23,13.125
1994-11-25,13.0625
1994-11-28,13.15625
1994-11-29,13.3125
1994-11-30,13.40625
1994-12-01,13.4375
1994-12-02,13.375
1994-12-05,13.28125
1994-12-06,13.25
1994-12-07,13.25
1994-12-08,13.25
1994-12-09,13.125
1994-12-12,12.9375
1994-12-13,12.90625
1994-12-14,12.9375
1994-12-15,12.90625
1994-12-16,13.0625
1994-12-19,13.03125
1994-12-20,13.0625
1994-12-21,13.09375
1994-12-22,13.09375
1994-12-23,13.0
1994-12-27,12.875
1994-12-28,13.0625
1994-12-29,13.03125
1994-12-30,13.15625
1995-01-03,13.125
1995-01-04,12.875
1995-01-05,12.65625
1995-01-06,12.65625
1995-01-09,12.625
1995-01-10,12.40625
1995-01-11,12.4375
1995-01-12,12.375
1995-01-13,12.53125
1995-01-16,12.4375
1995-01-17,12.40625
1995-01-18,12.59375
1995-01-19,12.625
1995-01-20,12.40625
1995-01-23,12.21875
1995-01-24,12.28125
1995-01-25,12.375
1995-01-26,12.53125
1995-01-27,12.5
1995-01-30,12.375
1995-01-31,12.34375
1995-02-01,12.3125
1995-02-02,12.3125
1995-02-03,12.1875
1995-02-06,12.0
1995-02-07,11.9375
1995-02-08,11.875
1995-02-09,11.90625
1995-02-10,11.875
1995-02-13,11.96875
1995-02-14,12.0
1995-02-15,11.65625
1995-02-16,11.75
1995-02-17,11.5
1995-02-21,11.53125
1995-02-22,11.71875
1995-02-23,12.03125
1995-02-24,12.0625
1995-02-27,11.9375
1995-02-28,11.84375
1995-03-01,11.90625
1995-03-02,12.09375
1995-03-03,12.09375
1995-03-06,12.0625
1995-03-07,12.0
1995-03-08,12.28125
1995-03-09,12.3125
1995-03-10,12.3125
1995-03-13,12.125
1995-03-14,12.28125
1995-03-15,12.3125
1995-03-16,12.375
1995-03-17,12.40625
1995-03-20,12.5
1995-03-21,12.625
1995-03-22,12.625
