,CCLP
2014-08-27,26.489999771118164
2014-08-28,26.610000610351562
2014-08-29,26.989999771118164
2014-09-02,27.329999923706055
2014-09-03,27.31999969482422
2014-09-04,27.229999542236328
2014-09-05,27.25
2014-09-08,26.65999984741211
2014-09-09,26.149999618530273
2014-09-10,26.700000762939453
2014-09-11,26.899999618530273
2014-09-12,26.239999771118164
2014-09-15,25.899999618530273
2014-09-16,25.8700008392334
2014-09-17,25.739999771118164
2014-09-18,26.309999465942383
2014-09-19,25.59000015258789
2014-09-22,24.739999771118164
2014-09-23,24.469999313354492
2014-09-24,24.68000030517578
2014-09-25,24.139999389648438
2014-09-26,24.09000015258789
2014-09-29,24.18000030517578
2014-09-30,24.15999984741211
2014-10-01,24.0
2014-10-02,24.280000686645508
2014-10-03,24.110000610351562
2014-10-06,24.239999771118164
2014-10-07,23.690000534057617
2014-10-08,23.31999969482422
2014-10-09,22.93000030517578
2014-10-10,23.200000762939453
2014-10-13,22.719999313354492
2014-10-14,21.8700008392334
2014-10-15,21.719999313354492
2014-10-16,22.959999084472656
2014-10-17,23.850000381469727
2014-10-20,24.399999618530273
2014-10-21,24.1299991607666
2014-10-22,23.979999542236328
2014-10-23,23.709999084472656
2014-10-24,23.200000762939453
2014-10-27,23.190000534057617
2014-10-28,22.940000534057617
2014-10-29,22.270000457763672
2014-10-30,21.68000030517578
2014-10-31,21.450000762939453
2014-11-03,21.649999618530273
2014-11-04,21.389999389648438
2014-11-05,22.0
2014-11-06,22.5
2014-11-07,23.15999984741211
2014-11-10,22.889999389648438
2014-11-11,22.770000457763672
2014-11-12,22.68000030517578
2014-11-13,22.579999923706055
2014-11-14,22.329999923706055
2014-11-17,22.639999389648438
2014-11-18,22.979999542236328
2014-11-19,22.81999969482422
2014-11-20,22.899999618530273
2014-11-21,22.969999313354492
2014-11-24,22.979999542236328
2014-11-25,22.520000457763672
2014-11-26,22.5
2014-11-28,20.43000030517578
2014-12-01,19.239999771118164
2014-12-02,20.260000228881836
2014-12-03,20.8700008392334
2014-12-04,20.920000076293945
2014-12-05,20.170000076293945
2014-12-08,17.510000228881836
2014-12-09,18.010000228881836
2014-12-10,17.780000686645508
2014-12-11,17.260000228881836
2014-12-12,15.800000190734863
2014-12-15,13.899999618530273
2014-12-16,14.75
2014-12-17,15.430000305175781
2014-12-18,14.899999618530273
2014-12-19,15.220000267028809
2014-12-22,14.569999694824219
2014-12-23,13.90999984741211
2014-12-24,14.430000305175781
2014-12-26,14.079999923706055
2014-12-29,14.140000343322754
2014-12-30,13.640000343322754
2014-12-31,13.130000114440918
2015-01-02,14.670000076293945
2015-01-05,14.050000190734863
2015-01-06,13.489999771118164
2015-01-07,13.399999618530273
2015-01-08,13.399999618530273
2015-01-09,13.0
2015-01-12,12.850000381469727
2015-01-13,13.380000114440918
