,EDUT
2020-10-23,16.25
2020-10-26,16.170000076293945
2020-10-27,16.209999084472656
2020-10-28,15.859999656677246
2020-10-29,15.779999732971191
2020-10-30,15.399999618530273
2020-11-02,15.329999923706055
2020-11-03,15.493000030517578
2020-11-04,16.25
2020-11-05,16.510000228881836
2020-11-06,16.458999633789062
2020-11-09,16.05699920654297
2020-11-10,15.760000228881836
2020-11-11,15.937999725341797
2020-11-12,16.100000381469727
2020-11-13,16.139999389648438
2020-11-16,16.410999298095703
2020-11-17,16.489999771118164
2020-11-18,16.33300018310547
2020-11-19,16.670000076293945
2020-11-20,16.719999313354492
2020-11-23,16.709999084472656
2020-11-24,16.59000015258789
2020-11-25,16.959999084472656
2020-11-27,17.239999771118164
2020-11-30,17.176000595092773
2020-12-01,17.19300079345703
2020-12-02,17.05900001525879
2020-12-03,17.22100067138672
2020-12-04,17.207000732421875
2020-12-07,17.211999893188477
2020-12-08,17.28499984741211
2020-12-09,16.93400001525879
2020-12-10,17.209999084472656
2020-12-11,17.18000030517578
2020-12-14,17.5
2020-12-15,17.690000534057617
2020-12-16,17.860000610351562
2020-12-17,17.969999313354492
2020-12-18,17.860000610351562
2020-12-21,17.8799991607666
2020-12-22,17.979999542236328
2020-12-23,18.079999923706055
2020-12-24,18.110000610351562
2020-12-28,17.889999389648438
2020-12-29,17.70800018310547
2020-12-30,18.10300064086914
2020-12-31,18.1299991607666
2021-01-04,17.81999969482422
2021-01-05,18.0
2021-01-06,17.889999389648438
2021-01-07,17.8700008392334
2021-01-08,18.200000762939453
2021-01-11,18.139999389648438
2021-01-12,17.95199966430664
2021-01-13,18.0
2021-01-14,18.280000686645508
2021-01-15,18.049999237060547
2021-01-19,18.43000030517578
2021-01-20,18.799999237060547
2021-01-21,19.06100082397461
2021-01-22,19.059999465942383
2021-01-25,19.138999938964844
2021-01-26,19.3700008392334
2021-01-27,19.690000534057617
2021-01-28,19.1200008392334
2021-01-29,19.03700065612793
2021-02-01,19.108999252319336
2021-02-02,19.409000396728516
2021-02-03,19.489999771118164
2021-02-04,19.545000076293945
2021-02-05,19.874000549316406
2021-02-08,19.950000762939453
2021-02-09,20.31999969482422
2021-02-10,20.430999755859375
2021-02-11,20.600000381469727
2021-02-12,21.136999130249023
2021-02-16,21.110000610351562
2021-02-17,20.65999984741211
2021-02-18,20.479999542236328
2021-02-19,20.70599937438965
2021-02-22,19.924999237060547
2021-02-23,19.809999465942383
2021-02-24,19.531999588012695
2021-02-25,19.184999465942383
2021-02-26,19.062999725341797
2021-03-01,19.417999267578125
2021-03-02,19.31999969482422
2021-03-03,18.566999435424805
2021-03-04,18.165000915527344
2021-03-05,18.267000198364258
2021-03-08,17.760000228881836
2021-03-09,18.520000457763672
2021-03-10,17.8700008392334
2021-03-11,18.336999893188477
2021-03-12,18.43899917602539
2021-03-15,18.445999145507812
2021-03-16,18.450000762939453
2021-03-17,18.41699981689453
2021-03-18,18.016000747680664
2021-03-19,18.014999389648438
2021-03-22,18.100000381469727
2021-03-23,17.799999237060547
2021-03-24,17.19499969482422
2021-03-25,17.030000686645508
2021-03-26,16.579999923706055
2021-03-29,16.350000381469727
2021-03-30,16.350000381469727
2021-03-31,16.591999053955078
2021-04-01,16.809999465942383
2021-04-05,17.079999923706055
2021-04-06,17.209999084472656
2021-04-07,16.989999771118164
2021-04-08,16.989999771118164
2021-04-09,16.864999771118164
2021-04-12,16.780000686645508
2021-04-13,16.920000076293945
2021-04-14,16.829999923706055
2021-04-15,16.9950008392334
2021-04-16,17.06999969482422
2021-04-19,16.975000381469727
2021-04-20,17.059999465942383
2021-04-21,17.049999237060547
2021-04-22,17.25
2021-04-23,17.329999923706055
2021-04-26,17.540000915527344
2021-04-27,17.399999618530273
2021-04-28,17.420000076293945
2021-04-29,17.065000534057617
2021-04-30,16.7549991607666
2021-05-03,16.389999389648438
2021-05-04,16.1200008392334
2021-05-05,16.0
2021-05-06,15.690999984741211
2021-05-07,15.920000076293945
2021-05-10,15.526000022888184
2021-05-11,15.529999732971191
2021-05-12,15.0600004196167
2021-05-13,14.550000190734863
2021-05-14,14.850000381469727
