,APPS
2006-11-02,6.75
2006-11-03,7.5
2006-11-06,7.5
2006-11-07,6.75
2006-11-08,6.75
2006-11-09,6.75
2006-11-10,6.75
2006-11-13,7.5
2006-11-14,7.5
2006-11-15,6.75
2006-11-16,7.5
2006-11-17,7.5
2006-11-20,7.5
2006-11-21,7.550000190734863
2006-11-22,7.550000190734863
2006-11-24,7.550000190734863
2006-11-27,8.0
2006-11-28,8.75
2006-11-29,8.75
2006-11-30,8.75
2006-12-01,8.75
2006-12-04,8.75
2006-12-05,8.0
2006-12-06,8.0
2006-12-07,8.0
2006-12-08,8.0
2006-12-11,8.0
2006-12-12,8.0
2006-12-13,8.0
2006-12-14,8.0
2006-12-15,8.0
2006-12-18,8.0
2006-12-19,7.5
2006-12-20,7.5
2006-12-21,7.5
2006-12-22,7.5
2006-12-26,9.5
2006-12-27,7.5
2006-12-28,9.5
2006-12-29,10.25
2007-01-03,10.25
2007-01-04,10.0
2007-01-05,10.0
2007-01-08,10.0
2007-01-09,10.0
2007-01-10,10.0
2007-01-11,10.0
2007-01-12,10.0
2007-01-16,10.0
2007-01-17,8.75
2007-01-18,8.75
2007-01-19,10.0
2007-01-22,8.75
2007-01-23,8.75
2007-01-24,8.75
2007-01-25,10.0
2007-01-26,10.0
2007-01-29,10.0
2007-01-30,10.0
2007-01-31,10.100000381469727
2007-02-01,10.0
2007-02-02,10.0
2007-02-05,8.75
2007-02-06,8.75
2007-02-07,8.75
2007-02-08,8.75
2007-02-09,9.0
2007-02-12,9.0
2007-02-13,10.0
2007-02-14,10.0
2007-02-15,10.25
2007-02-16,10.25
2007-02-20,10.0
2007-02-21,10.0
2007-02-22,9.5
2007-02-23,9.5
2007-02-26,10.0
2007-02-27,10.25
2007-02-28,10.5
2007-03-01,10.5
2007-03-02,10.5
2007-03-05,10.5
2007-03-06,10.0
2007-03-07,10.0
2007-03-08,8.75
2007-03-09,8.75
2007-03-12,8.75
2007-03-13,8.75
2007-03-14,10.0
2007-03-15,10.0
2007-03-16,10.0
2007-03-19,10.0
2007-03-20,9.5
2007-03-21,8.75
2007-03-22,8.75
2007-03-23,10.0
2007-03-26,10.0
2007-03-27,11.25
2007-03-28,11.0
2007-03-29,11.0
2007-03-30,11.0
2007-04-02,11.0
2007-04-03,11.0
2007-04-04,11.0
2007-04-05,11.0
2007-04-09,10.0
2007-04-10,10.0
2007-04-11,10.0
2007-04-12,10.0
2007-04-13,10.0
2007-04-16,10.0
2007-04-17,10.0
2007-04-18,9.5
2007-04-19,9.5
2007-04-20,10.75
2007-04-23,10.75
2007-04-24,10.25
2007-04-25,10.0
2007-04-26,10.0
2007-04-27,10.25
2007-04-30,10.25
2007-05-01,10.25
2007-05-02,10.25
2007-05-03,10.25
2007-05-04,10.25
2007-05-07,10.25
2007-05-08,10.5
2007-05-09,10.5
2007-05-10,10.5
2007-05-11,10.5
2007-05-14,10.5
2007-05-15,10.5
2007-05-16,10.0
2007-05-17,9.75
2007-05-18,9.75
2007-05-21,9.5
2007-05-22,9.5
2007-05-23,10.0
2007-05-24,12.5
2007-05-25,12.5
2007-05-29,12.5
2007-05-30,12.5
2007-05-31,13.0
2007-06-01,12.5
2007-06-04,10.25
2007-06-05,10.25
2007-06-06,10.25
2007-06-07,13.75
2007-06-08,13.75
2007-06-11,13.75
2007-06-12,11.25
2007-06-13,11.25
2007-06-14,11.25
2007-06-15,12.75
2007-06-18,12.75
2007-06-19,11.5
2007-06-20,11.25
2007-06-21,11.25
2007-06-22,12.0
2007-06-25,12.0
2007-06-26,11.25
2007-06-27,11.25
2007-06-28,12.5
2007-06-29,15.0
2007-07-02,15.0
2007-07-03,15.0
2007-07-05,15.0
2007-07-06,11.75
2007-07-09,11.75
2007-07-10,14.5
2007-07-11,14.5
2007-07-12,14.5
2007-07-13,14.5
2007-07-16,14.5
2007-07-17,14.5
2007-07-18,14.25
2007-07-19,13.0
2007-07-20,13.0
2007-07-23,15.5
2007-07-24,15.5
2007-07-25,15.5
2007-07-26,13.050000190734863
2007-07-27,13.75
2007-07-30,13.75
2007-07-31,13.75
2007-08-01,13.75
2007-08-02,13.75
2007-08-03,13.75
2007-08-06,13.75
2007-08-07,13.75
2007-08-08,13.75
2007-08-09,13.75
2007-08-10,15.0
2007-08-13,15.0
2007-08-14,15.0
2007-08-15,17.5
2007-08-16,17.5
2007-08-17,17.5
2007-08-20,15.0
2007-08-21,15.0
2007-08-22,15.0
2007-08-23,15.0
2007-08-24,17.5
2007-08-27,15.0
2007-08-28,17.5
2007-08-29,18.75
2007-08-30,17.5
2007-08-31,18.25
2007-09-04,18.25
2007-09-05,17.5
2007-09-06,17.5
2007-09-07,17.5
2007-09-10,17.5
2007-09-11,17.5
2007-09-12,17.5
2007-09-13,19.5
2007-09-14,16.25
2007-09-17,16.25
2007-09-18,15.25
2007-09-19,15.25
2007-09-20,17.5
2007-09-21,15.75
2007-09-24,17.5
2007-09-25,16.0
2007-09-26,16.25
2007-09-27,17.149999618530273
2007-09-28,17.399999618530273
2007-10-01,16.5
2007-10-02,16.5
2007-10-03,18.700000762939453
2007-10-04,18.700000762939453
2007-10-05,17.0
2007-10-08,17.0
2007-10-09,16.75
2007-10-10,17.5
2007-10-11,17.5
2007-10-12,17.5
2007-10-15,16.75
2007-10-16,17.5
2007-10-17,17.5
2007-10-18,16.75
2007-10-19,12.5
2007-10-22,12.0
2007-10-23,12.0
2007-10-24,15.0
2007-10-25,15.0
2007-10-26,15.0
2007-10-29,15.0
2007-10-30,15.0
2007-10-31,15.0
2007-11-01,14.5
2007-11-02,13.25
2007-11-05,13.25
2007-11-06,13.25
2007-11-07,13.25
2007-11-08,13.25
2007-11-09,13.25
2007-11-12,13.25
2007-11-13,13.25
2007-11-14,12.5
2007-11-15,12.5
2007-11-16,13.75
2007-11-19,13.75
2007-11-20,14.25
2007-11-21,16.25
2007-11-23,16.25
2007-11-26,14.5
2007-11-27,14.5
2007-11-28,14.5
2007-11-29,14.5
2007-11-30,15.5
2007-12-03,16.25
2007-12-04,17.5
2007-12-05,17.5
2007-12-06,17.5
2007-12-07,16.25
2007-12-10,17.25
2007-12-11,17.5
2007-12-12,19.0
2007-12-13,19.0
2007-12-14,18.75
2007-12-17,18.75
2007-12-18,18.75
2007-12-19,20.0
2007-12-20,20.0
2007-12-21,20.049999237060547
2007-12-24,20.049999237060547
2007-12-26,19.950000762939453
2007-12-27,20.0
2007-12-28,21.25
2007-12-31,22.5
2008-01-02,23.25
2008-01-03,22.5
2008-01-04,21.75
2008-01-07,21.75
2008-01-08,21.75
2008-01-09,21.75
2008-01-10,21.75
2008-01-11,21.75
2008-01-14,20.0
2008-01-15,18.75
2008-01-16,18.75
2008-01-17,18.75
2008-01-18,21.25
2008-01-22,21.25
2008-01-23,21.25
2008-01-24,21.25
2008-01-25,22.5
2008-01-28,22.5
2008-01-29,22.5
2008-01-30,22.5
2008-01-31,22.5
2008-02-01,20.0
2008-02-04,20.0
2008-02-05,20.0
2008-02-06,20.0
2008-02-07,20.0
2008-02-08,20.0
2008-02-11,23.0
2008-02-12,23.75
2008-02-13,25.0
2008-02-14,25.0
2008-02-15,29.5
2008-02-19,29.5
2008-02-20,27.5
2008-02-21,28.75
2008-02-22,28.75
2008-02-25,26.25
2008-02-26,25.0
2008-02-27,22.5
2008-02-28,22.5
2008-02-29,22.5
2008-03-03,20.0
2008-03-04,23.75
2008-03-05,21.25
2008-03-06,26.25
2008-03-07,21.25
2008-03-10,21.25
2008-03-11,23.75
2008-03-12,26.25
2008-03-13,26.25
2008-03-14,26.25
2008-03-17,21.25
2008-03-18,25.0
2008-03-19,25.0
2008-03-20,25.0
2008-03-24,25.0
2008-03-25,27.5
2008-03-26,30.0
2008-03-27,30.0
2008-03-28,32.5
2008-03-31,29.950000762939453
2008-04-01,30.0
2008-04-02,30.0
2008-04-03,30.0
2008-04-04,26.25
2008-04-07,26.25
2008-04-08,26.25
2008-04-09,26.25
2008-04-10,26.25
2008-04-11,27.5
2008-04-14,27.5
2008-04-15,27.5
2008-04-16,26.25
2008-04-17,26.25
2008-04-18,26.25
2008-04-21,23.75
2008-04-22,23.75
2008-04-23,23.75
2008-04-24,25.0
2008-04-25,25.0
2008-04-28,25.0
2008-04-29,25.0
2008-04-30,28.0
2008-05-01,27.5
2008-05-02,27.5
2008-05-05,25.0
2008-05-06,25.0
2008-05-07,25.0
2008-05-08,25.0
2008-05-09,25.0
2008-05-12,25.0
2008-05-13,25.0
2008-05-14,25.0
2008-05-15,25.0
2008-05-16,25.0
2008-05-19,25.0
2008-05-20,25.0
2008-05-21,25.0
2008-05-22,25.0
2008-05-23,23.75
2008-05-27,21.25
2008-05-28,21.25
2008-05-29,20.0
2008-05-30,20.5
2008-06-02,20.5
2008-06-03,18.75
2008-06-04,16.25
2008-06-05,13.75
2008-06-06,10.0
2008-06-09,10.0
2008-06-10,10.0
2008-06-11,13.75
2008-06-12,13.75
2008-06-13,13.75
2008-06-16,13.75
2008-06-17,13.75
2008-06-18,13.75
2008-06-19,13.75
2008-06-20,13.75
2008-06-23,13.75
2008-06-24,13.0
2008-06-25,13.0
2008-06-26,13.0
2008-06-27,13.0
2008-06-30,14.5
2008-07-01,14.5
2008-07-02,14.5
2008-07-03,14.5
2008-07-07,10.0
2008-07-08,10.0
2008-07-09,10.0
2008-07-10,10.0
2008-07-11,10.0
2008-07-14,10.0
2008-07-15,10.0
2008-07-16,10.0
2008-07-17,10.0
2008-07-18,10.0
2008-07-21,10.0
2008-07-22,10.0
2008-07-23,13.75
2008-07-24,13.75
2008-07-25,13.75
2008-07-28,12.5
2008-07-29,12.5
2008-07-30,12.5
2008-07-31,12.5
2008-08-01,12.5
2008-08-04,12.5
2008-08-05,12.5
2008-08-06,12.5
2008-08-07,12.5
2008-08-08,12.5
2008-08-11,12.5
2008-08-12,12.5
2008-08-13,11.75
2008-08-14,11.5
2008-08-15,11.5
2008-08-18,10.5
2008-08-19,10.5
2008-08-20,10.5
2008-08-21,10.5
2008-08-22,10.5
2008-08-25,10.949999809265137
2008-08-26,10.5
2008-08-27,10.5
2008-08-28,11.0
2008-08-29,11.899999618530273
2008-09-02,11.5
2008-09-03,11.5
2008-09-04,11.5
2008-09-05,11.5
2008-09-08,11.5
2008-09-09,10.25
2008-09-10,11.0
2008-09-11,7.5
2008-09-12,10.75
2008-09-15,10.75
2008-09-16,10.75
2008-09-17,10.75
2008-09-18,10.75
2008-09-19,10.5
2008-09-22,10.5
2008-09-23,10.5
2008-09-24,10.5
2008-09-25,11.5
2008-09-26,12.0
2008-09-29,12.0
2008-09-30,12.0
2008-10-01,11.949999809265137
2008-10-02,11.0
2008-10-03,11.0
2008-10-06,11.199999809265137
2008-10-07,11.199999809265137
2008-10-08,11.199999809265137
2008-10-09,11.199999809265137
2008-10-10,11.0
2008-10-13,11.0
2008-10-14,11.0
2008-10-15,11.0
2008-10-16,11.0
2008-10-17,11.0
2008-10-20,11.0
2008-10-21,11.0
2008-10-22,11.0
2008-10-23,11.0
2008-10-24,7.5
2008-10-27,7.5
2008-10-28,9.5
2008-10-29,9.5
2008-10-30,9.5
2008-10-31,9.5
2008-11-03,9.5
2008-11-04,9.5
2008-11-05,9.5
2008-11-06,9.5
2008-11-07,9.5
2008-11-10,9.5
2008-11-11,7.5
2008-11-12,5.0
2008-11-13,8.75
2008-11-14,5.0
2008-11-17,5.0
2008-11-18,5.0
2008-11-19,5.0
2008-11-20,7.5
2008-11-21,3.0
2008-11-24,5.0
2008-11-25,5.0
2008-11-26,5.0
2008-11-28,7.5
2008-12-01,7.5
2008-12-02,5.300000190734863
2008-12-03,5.050000190734863
2008-12-04,5.050000190734863
2008-12-05,8.75
2008-12-08,8.75
2008-12-09,8.75
2008-12-10,8.75
2008-12-11,8.75
2008-12-12,8.75
2008-12-15,8.75
2008-12-16,8.75
2008-12-17,8.75
2008-12-18,8.75
2008-12-19,8.75
2008-12-22,8.75
2008-12-23,7.5
2008-12-24,7.5
2008-12-26,6.0
2008-12-29,6.0
2008-12-30,8.75
2008-12-31,8.75
2009-01-02,8.75
2009-01-05,8.75
2009-01-06,8.75
2009-01-07,7.25
2009-01-08,7.25
2009-01-09,7.25
2009-01-12,7.25
2009-01-13,7.0
2009-01-14,7.0
2009-01-15,7.0
2009-01-16,7.0
2009-01-20,7.0
2009-01-21,7.0
2009-01-22,7.0
2009-01-23,7.0
2009-01-26,7.0
2009-01-27,7.0
2009-01-28,7.0
2009-01-29,7.0
2009-01-30,7.0
2009-02-02,7.0
2009-02-03,7.0
2009-02-04,7.0
2009-02-05,7.0
2009-02-06,7.0
2009-02-09,7.0
2009-02-10,7.0
2009-02-11,7.0
2009-02-12,7.0
2009-02-13,7.0
2009-02-17,7.0
2009-02-18,6.75
2009-02-19,6.25
2009-02-20,5.050000190734863
2009-02-23,5.050000190734863
2009-02-24,2.5999999046325684
2009-02-25,4.550000190734863
2009-02-26,4.550000190734863
2009-02-27,2.549999952316284
2009-03-02,4.25
2009-03-03,4.25
2009-03-04,4.25
2009-03-05,4.25
2009-03-06,4.25
2009-03-09,4.25
2009-03-10,4.25
2009-03-11,4.25
2009-03-12,4.25
2009-03-13,4.25
2009-03-16,4.25
2009-03-17,4.25
2009-03-18,4.25
2009-03-19,4.400000095367432
2009-03-20,4.400000095367432
2009-03-23,4.449999809265137
2009-03-24,4.449999809265137
2009-03-25,4.449999809265137
2009-03-26,4.449999809265137
2009-03-27,4.449999809265137
2009-03-30,4.550000190734863
2009-03-31,4.550000190734863
2009-04-01,4.550000190734863
2009-04-02,4.550000190734863
2009-04-03,4.550000190734863
2009-04-06,4.550000190734863
2009-04-07,4.550000190734863
2009-04-08,4.25
2009-04-09,4.25
2009-04-13,4.25
2009-04-14,4.25
2009-04-15,3.25
2009-04-16,3.25
2009-04-17,3.25
2009-04-20,3.25
2009-04-21,3.25
2009-04-22,3.25
2009-04-23,4.449999809265137
2009-04-24,4.449999809265137
2009-04-27,4.449999809265137
2009-04-28,4.449999809265137
2009-04-29,4.5
2009-04-30,4.5
2009-05-01,2.25
2009-05-04,2.5
2009-05-05,2.5
2009-05-06,2.5
2009-05-07,2.5
2009-05-08,1.5499999523162842
2009-05-11,1.5499999523162842
2009-05-12,1.5499999523162842
2009-05-13,1.5499999523162842
2009-05-14,1.5499999523162842
2009-05-15,2.75
2009-05-18,2.5
2009-05-19,2.5
2009-05-20,2.5
2009-05-21,2.5
2009-05-22,2.5
2009-05-26,2.5
2009-05-27,2.6500000953674316
2009-05-28,3.75
2009-05-29,3.0
2009-06-01,3.0
2009-06-02,3.0
2009-06-03,2.9000000953674316
2009-06-04,2.950000047683716
2009-06-05,2.950000047683716
2009-06-08,3.0
2009-06-09,2.5999999046325684
2009-06-10,3.0
2009-06-11,2.75
2009-06-12,3.0
2009-06-15,3.75
2009-06-16,3.75
2009-06-17,3.0
2009-06-18,3.0
2009-06-19,3.049999952316284
2009-06-22,3.049999952316284
2009-06-23,3.049999952316284
2009-06-24,3.049999952316284
2009-06-25,3.049999952316284
2009-06-26,3.049999952316284
2009-06-29,3.0
2009-06-30,3.0
2009-07-01,3.0
2009-07-02,2.950000047683716
2009-07-06,2.950000047683716
2009-07-07,2.75
2009-07-08,2.75
2009-07-09,2.75
2009-07-10,2.75
2009-07-13,2.75
2009-07-14,2.75
2009-07-15,2.75
2009-07-16,2.75
2009-07-17,2.75
2009-07-20,2.75
2009-07-21,2.0999999046325684
2009-07-22,2.0999999046325684
2009-07-23,2.0999999046325684
2009-07-24,2.0999999046325684
2009-07-27,2.0999999046325684
2009-07-28,2.0999999046325684
2009-07-29,2.0999999046325684
2009-07-30,2.549999952316284
2009-07-31,2.75
2009-08-03,2.25
2009-08-04,2.75
2009-08-05,2.75
2009-08-06,2.75
2009-08-07,2.0999999046325684
2009-08-10,2.0999999046325684
2009-08-11,2.0999999046325684
2009-08-12,2.049999952316284
2009-08-13,2.049999952316284
2009-08-14,2.049999952316284
2009-08-17,2.049999952316284
2009-08-18,2.049999952316284
2009-08-19,2.049999952316284
2009-08-20,2.049999952316284
2009-08-21,1.9500000476837158
2009-08-24,1.9500000476837158
2009-08-25,1.9500000476837158
2009-08-26,1.9500000476837158
2009-08-27,1.9500000476837158
2009-08-28,2.0
2009-08-31,2.049999952316284
2009-09-01,2.049999952316284
2009-09-02,2.049999952316284
2009-09-03,2.049999952316284
2009-09-04,2.0
2009-09-08,2.0
2009-09-09,2.0
2009-09-10,2.0
2009-09-11,2.25
2009-09-14,2.25
2009-09-15,2.25
2009-09-16,2.25
2009-09-17,2.25
2009-09-18,2.25
2009-09-21,2.0999999046325684
2009-09-22,2.0999999046325684
2009-09-23,2.4000000953674316
2009-09-24,2.4000000953674316
2009-09-25,2.5
2009-09-28,2.5
2009-09-29,2.5
2009-09-30,2.5
2009-10-01,2.25
2009-10-02,2.25
2009-10-05,2.4000000953674316
2009-10-06,2.5
2009-10-07,2.5
2009-10-08,2.3499999046325684
2009-10-09,2.3499999046325684
2009-10-12,2.3499999046325684
2009-10-13,2.3499999046325684
2009-10-14,2.3499999046325684
2009-10-15,2.5
2009-10-16,2.5
2009-10-19,2.049999952316284
2009-10-20,2.049999952316284
2009-10-21,2.049999952316284
2009-10-22,2.5
2009-10-23,2.200000047683716
2009-10-26,2.200000047683716
2009-10-27,2.200000047683716
2009-10-28,2.0999999046325684
2009-10-29,2.25
2009-10-30,2.450000047683716
2009-11-02,2.5
2009-11-03,2.5
2009-11-04,2.200000047683716
2009-11-05,2.200000047683716
2009-11-06,2.200000047683716
2009-11-09,2.5
2009-11-10,2.5
2009-11-11,2.5
2009-11-12,2.5
2009-11-13,2.5
2009-11-16,2.5
2009-11-17,2.4000000953674316
2009-11-18,2.4000000953674316
2009-11-19,2.4000000953674316
2009-11-20,2.4000000953674316
2009-11-23,2.4000000953674316
2009-11-24,2.4000000953674316
2009-11-25,2.4000000953674316
2009-11-27,2.4000000953674316
2009-11-30,2.4000000953674316
2009-12-01,2.4000000953674316
2009-12-02,1.9500000476837158
2009-12-03,1.7999999523162842
2009-12-04,1.7999999523162842
2009-12-07,1.7999999523162842
2009-12-08,1.7999999523162842
2009-12-09,1.7999999523162842
2009-12-10,1.7999999523162842
2009-12-11,1.7999999523162842
2009-12-14,1.7999999523162842
2009-12-15,1.7999999523162842
2009-12-16,1.75
2009-12-17,1.75
2009-12-18,1.75
2009-12-21,1.75
2009-12-22,1.75
2009-12-23,1.7999999523162842
2009-12-24,2.5
2009-12-28,2.5
2009-12-29,2.5
2009-12-30,2.5
2009-12-31,2.5
2010-01-04,1.899999976158142
2010-01-05,1.899999976158142
2010-01-06,2.5
2010-01-07,2.5
2010-01-08,1.899999976158142
2010-01-11,1.899999976158142
2010-01-12,1.899999976158142
2010-01-13,1.899999976158142
2010-01-14,2.5
2010-01-15,2.5
2010-01-19,1.899999976158142
2010-01-20,2.25
2010-01-21,2.25
2010-01-22,1.899999976158142
2010-01-25,2.25
2010-01-26,2.25
2010-01-27,1.899999976158142
2010-01-28,1.899999976158142
2010-01-29,1.899999976158142
2010-02-01,2.25
2010-02-02,2.25
2010-02-03,2.25
2010-02-04,1.850000023841858
2010-02-05,2.0
2010-02-08,2.0
2010-02-09,2.0
2010-02-10,2.0
2010-02-11,2.0
2010-02-12,2.0
2010-02-16,2.0
2010-02-17,2.0
2010-02-18,2.0
2010-02-19,2.0
2010-02-22,2.0
2010-02-23,2.0
2010-02-24,2.0
2010-02-25,2.0
2010-02-26,2.0
2010-03-01,2.0
2010-03-02,2.0
2010-03-03,1.5
2010-03-04,1.5
2010-03-05,1.5
2010-03-08,2.0
2010-03-09,2.0
2010-03-10,2.0
2010-03-11,2.0
2010-03-12,2.0
2010-03-15,2.0
2010-03-16,2.0
2010-03-17,2.0
2010-03-18,2.0
2010-03-19,2.0
2010-03-22,2.0
2010-03-23,2.0
2010-03-24,2.0
2010-03-25,2.0
2010-03-26,2.0
2010-03-29,2.0
2010-03-30,2.0
2010-03-31,2.0
2010-04-01,1.5
2010-04-05,1.5
2010-04-06,1.5
2010-04-07,1.5
2010-04-08,1.5
2010-04-09,1.5
2010-04-12,1.5
2010-04-13,1.0499999523162842
2010-04-14,1.5
2010-04-15,1.5
2010-04-16,1.5
2010-04-19,1.5
2010-04-20,1.5
2010-04-21,1.0499999523162842
2010-04-22,1.4500000476837158
2010-04-23,1.4500000476837158
2010-04-26,1.4500000476837158
2010-04-27,1.5
2010-04-28,1.5
2010-04-29,1.5
2010-04-30,1.5
2010-05-03,1.5
2010-05-04,1.5
2010-05-05,1.5
2010-05-06,1.5
2010-05-07,1.5
2010-05-10,1.5
2010-05-11,1.5
2010-05-12,1.5
2010-05-13,1.5
2010-05-14,1.5
2010-05-17,1.5
2010-05-18,1.5
2010-05-19,1.5
2010-05-20,1.5
2010-05-21,1.5
2010-05-24,1.75
2010-05-25,1.75
2010-05-26,1.75
2010-05-27,1.75
2010-05-28,1.75
2010-06-01,1.75
2010-06-02,1.75
2010-06-03,1.75
2010-06-04,1.0
2010-06-07,1.0
2010-06-08,1.0
2010-06-09,1.0
2010-06-10,1.0
2010-06-11,1.149999976158142
2010-06-14,1.149999976158142
2010-06-15,1.149999976158142
2010-06-16,1.149999976158142
2010-06-17,1.149999976158142
2010-06-18,1.149999976158142
2010-06-21,1.75
2010-06-22,1.75
2010-06-23,1.75
2010-06-24,1.75
2010-06-25,1.75
2010-06-28,2.0
2010-06-29,1.75
2010-06-30,1.75
2010-07-01,1.75
2010-07-02,1.75
2010-07-06,1.75
2010-07-07,1.75
2010-07-08,1.75
2010-07-09,1.75
2010-07-12,1.75
2010-07-13,1.75
2010-07-14,1.75
2010-07-15,1.75
2010-07-16,1.75
2010-07-19,1.75
2010-07-20,1.75
2010-07-21,1.75
2010-07-22,1.75
2010-07-23,1.75
2010-07-26,1.75
2010-07-27,1.75
2010-07-28,1.75
2010-07-29,1.75
2010-07-30,1.75
2010-08-02,1.75
2010-08-03,1.75
2010-08-04,1.75
2010-08-05,1.75
2010-08-06,1.75
2010-08-09,1.75
2010-08-10,1.7000000476837158
2010-08-11,1.7000000476837158
2010-08-12,1.7000000476837158
2010-08-13,1.7000000476837158
2010-08-16,1.7000000476837158
2010-08-17,1.7000000476837158
2010-08-18,1.7000000476837158
2010-08-19,1.7000000476837158
2010-08-20,1.7000000476837158
2010-08-23,1.7000000476837158
2010-08-24,1.7000000476837158
2010-08-25,1.7000000476837158
2010-08-26,1.7000000476837158
2010-08-27,1.7000000476837158
2010-08-30,1.7000000476837158
2010-08-31,1.7000000476837158
2010-09-01,2.5
2010-09-02,2.1500000953674316
2010-09-03,2.1500000953674316
2010-09-07,2.1500000953674316
2010-09-08,2.1500000953674316
2010-09-09,1.9500000476837158
2010-09-10,1.9500000476837158
2010-09-13,1.9500000476837158
2010-09-14,1.9500000476837158
2010-09-15,1.9500000476837158
2010-09-16,1.9500000476837158
2010-09-17,1.9500000476837158
2010-09-20,1.9500000476837158
2010-09-21,1.9500000476837158
2010-09-22,1.9500000476837158
2010-09-23,1.9500000476837158
2010-09-24,1.9500000476837158
2010-09-27,1.9500000476837158
2010-09-28,1.9500000476837158
2010-09-29,1.9500000476837158
2010-09-30,1.9500000476837158
2010-10-01,1.9500000476837158
2010-10-04,1.9500000476837158
2010-10-05,1.9500000476837158
2010-10-06,1.9500000476837158
2010-10-07,1.9500000476837158
2010-10-08,1.9500000476837158
2010-10-11,1.9500000476837158
2010-10-12,1.9500000476837158
2010-10-13,1.9500000476837158
2010-10-14,1.9500000476837158
2010-10-15,1.9500000476837158
2010-10-18,1.9500000476837158
2010-10-19,1.9500000476837158
2010-10-20,1.9500000476837158
2010-10-21,1.399999976158142
2010-10-22,1.7000000476837158
2010-10-25,1.7000000476837158
2010-10-26,1.649999976158142
2010-10-27,1.0499999523162842
2010-10-28,1.600000023841858
2010-10-29,1.600000023841858
2010-11-01,1.7000000476837158
2010-11-02,1.7000000476837158
2010-11-03,1.7000000476837158
2010-11-04,1.649999976158142
2010-11-05,1.7000000476837158
2010-11-08,1.7000000476837158
2010-11-09,1.7000000476837158
2010-11-10,1.7000000476837158
2010-11-11,1.7000000476837158
2010-11-12,1.7000000476837158
2010-11-15,1.7000000476837158
2010-11-16,1.7000000476837158
2010-11-17,1.7000000476837158
2010-11-18,1.149999976158142
2010-11-19,1.149999976158142
2010-11-22,1.149999976158142
2010-11-23,1.7000000476837158
2010-11-24,1.7000000476837158
2010-11-26,1.7000000476837158
2010-11-29,1.7000000476837158
2010-11-30,1.7000000476837158
2010-12-01,1.7000000476837158
2010-12-02,1.7000000476837158
2010-12-03,1.7000000476837158
2010-12-06,1.7000000476837158
2010-12-07,1.7000000476837158
2010-12-08,1.7000000476837158
2010-12-09,1.7000000476837158
2010-12-10,1.7000000476837158
2010-12-13,1.7000000476837158
2010-12-14,1.7000000476837158
2010-12-15,1.7000000476837158
2010-12-16,1.7000000476837158
2010-12-17,1.7000000476837158
2010-12-20,1.7000000476837158
2010-12-21,1.7000000476837158
2010-12-22,1.7000000476837158
2010-12-23,1.600000023841858
2010-12-27,1.600000023841858
2010-12-28,1.600000023841858
2010-12-29,1.600000023841858
2010-12-30,1.4500000476837158
2010-12-31,1.4500000476837158
2011-01-03,1.399999976158142
2011-01-04,1.399999976158142
2011-01-05,1.399999976158142
2011-01-06,1.399999976158142
2011-01-07,1.399999976158142
2011-01-10,1.399999976158142
2011-01-11,1.399999976158142
2011-01-12,1.399999976158142
2011-01-13,1.399999976158142
2011-01-14,1.399999976158142
2011-01-18,1.399999976158142
2011-01-19,1.399999976158142
2011-01-20,1.399999976158142
2011-01-21,1.399999976158142
2011-01-24,1.399999976158142
2011-01-25,1.399999976158142
2011-01-26,1.399999976158142
