,ABTX
2016-05-26,23.969999313354492
2016-05-27,24.1299991607666
2016-05-31,23.8799991607666
2016-06-01,24.329999923706055
2016-06-02,24.719999313354492
2016-06-03,24.65999984741211
2016-06-06,25.079999923706055
2016-06-07,24.770000457763672
2016-06-08,24.920000076293945
2016-06-09,24.25
2016-06-10,24.670000076293945
2016-06-13,23.600000381469727
2016-06-14,22.829999923706055
2016-06-15,23.579999923706055
2016-06-16,24.8700008392334
2016-06-17,24.549999237060547
2016-06-20,25.100000381469727
2016-06-21,24.549999237060547
2016-06-22,24.059999465942383
2016-06-23,25.25
2016-06-24,24.450000762939453
2016-06-27,22.1200008392334
2016-06-28,23.479999542236328
2016-06-29,24.309999465942383
2016-06-30,24.8799991607666
2016-07-01,24.020000457763672
2016-07-05,23.489999771118164
2016-07-06,23.90999984741211
2016-07-07,24.559999465942383
2016-07-08,25.1299991607666
2016-07-11,25.0
2016-07-12,25.079999923706055
2016-07-13,25.09000015258789
2016-07-14,25.040000915527344
2016-07-15,24.81999969482422
2016-07-18,25.440000534057617
2016-07-19,25.190000534057617
2016-07-20,25.020000457763672
2016-07-21,24.799999237060547
2016-07-22,25.280000686645508
2016-07-25,25.229999542236328
2016-07-26,24.950000762939453
2016-07-27,25.43000030517578
2016-07-28,25.809999465942383
2016-07-29,25.260000228881836
2016-08-01,24.719999313354492
2016-08-02,24.5
2016-08-03,24.139999389648438
2016-08-04,24.700000762939453
2016-08-05,25.3700008392334
2016-08-08,25.389999389648438
2016-08-09,24.920000076293945
2016-08-10,24.790000915527344
2016-08-11,25.34000015258789
2016-08-12,25.309999465942383
2016-08-15,25.690000534057617
2016-08-16,26.15999984741211
2016-08-17,26.170000076293945
2016-08-18,26.040000915527344
2016-08-19,26.0
2016-08-22,26.059999465942383
2016-08-23,26.059999465942383
2016-08-24,26.06999969482422
2016-08-25,26.18000030517578
2016-08-26,26.280000686645508
2016-08-29,26.290000915527344
2016-08-30,26.170000076293945
2016-08-31,26.25
2016-09-01,26.190000534057617
2016-09-02,26.25
2016-09-06,27.489999771118164
2016-09-07,27.489999771118164
2016-09-08,27.75
2016-09-09,27.440000534057617
2016-09-12,27.899999618530273
2016-09-13,27.670000076293945
2016-09-14,27.809999465942383
2016-09-15,28.0
2016-09-16,27.899999618530273
2016-09-19,28.18000030517578
2016-09-20,28.450000762939453
2016-09-21,26.760000228881836
2016-09-22,26.329999923706055
2016-09-23,26.170000076293945
2016-09-26,26.049999237060547
2016-09-27,26.65999984741211
2016-09-28,26.68000030517578
2016-09-29,26.209999084472656
2016-09-30,27.0
2016-10-03,26.81999969482422
2016-10-04,27.15999984741211
2016-10-05,27.68000030517578
2016-10-06,27.229999542236328
2016-10-07,27.260000228881836
2016-10-10,27.989999771118164
2016-10-11,27.670000076293945
2016-10-12,27.729999542236328
2016-10-13,27.09000015258789
2016-10-14,26.809999465942383
2016-10-17,27.799999237060547
2016-10-18,27.649999618530273
2016-10-19,27.549999237060547
2016-10-20,27.25
2016-10-21,27.5
2016-10-24,28.0
2016-10-25,27.350000381469727
2016-10-26,26.399999618530273
2016-10-27,26.350000381469727
2016-10-28,26.200000762939453
2016-10-31,26.350000381469727
2016-11-01,25.850000381469727
2016-11-02,25.399999618530273
2016-11-03,26.049999237060547
2016-11-04,26.149999618530273
2016-11-07,26.850000381469727
2016-11-08,26.799999237060547
2016-11-09,27.299999237060547
2016-11-10,28.299999237060547
2016-11-11,30.600000381469727
2016-11-14,30.649999618530273
2016-11-15,30.950000762939453
2016-11-16,31.25
2016-11-17,30.850000381469727
2016-11-18,30.899999618530273
2016-11-21,30.75
2016-11-22,30.799999237060547
2016-11-23,30.899999618530273
2016-11-25,31.149999618530273
2016-11-28,30.799999237060547
2016-11-29,30.799999237060547
2016-11-30,30.600000381469727
2016-12-01,30.799999237060547
2016-12-02,30.549999237060547
2016-12-05,30.850000381469727
2016-12-06,30.850000381469727
2016-12-07,30.799999237060547
2016-12-08,32.04999923706055
2016-12-09,33.95000076293945
2016-12-12,32.95000076293945
2016-12-13,33.95000076293945
2016-12-14,34.0
2016-12-15,33.54999923706055
2016-12-16,35.29999923706055
2016-12-19,35.150001525878906
2016-12-20,36.54999923706055
2016-12-21,36.29999923706055
2016-12-22,36.150001525878906
2016-12-23,36.20000076293945
2016-12-27,36.099998474121094
2016-12-28,36.150001525878906
2016-12-29,36.150001525878906
2016-12-30,36.150001525878906
2017-01-03,35.849998474121094
2017-01-04,35.900001525878906
2017-01-05,34.70000076293945
2017-01-06,35.25
2017-01-09,35.04999923706055
2017-01-10,34.95000076293945
2017-01-11,35.099998474121094
2017-01-12,34.29999923706055
2017-01-13,34.54999923706055
2017-01-17,33.349998474121094
2017-01-18,33.650001525878906
2017-01-19,33.20000076293945
2017-01-20,33.650001525878906
2017-01-23,33.400001525878906
2017-01-24,34.25
2017-01-25,33.849998474121094
2017-01-26,33.849998474121094
2017-01-27,34.0
2017-01-30,33.75
2017-01-31,32.45000076293945
2017-02-01,32.0
2017-02-02,31.399999618530273
2017-02-03,32.20000076293945
2017-02-06,33.099998474121094
2017-02-07,33.150001525878906
2017-02-08,32.900001525878906
2017-02-09,33.0
2017-02-10,33.349998474121094
2017-02-13,33.900001525878906
2017-02-14,33.95000076293945
2017-02-15,35.0
2017-02-16,35.400001525878906
2017-02-17,36.099998474121094
2017-02-21,36.0
2017-02-22,36.54999923706055
2017-02-23,36.900001525878906
2017-02-24,36.650001525878906
2017-02-27,36.79999923706055
2017-02-28,36.900001525878906
2017-03-01,38.400001525878906
2017-03-02,38.0
2017-03-03,37.5
2017-03-06,37.0
2017-03-07,37.0
2017-03-08,36.95000076293945
2017-03-09,36.70000076293945
2017-03-10,36.54999923706055
2017-03-13,36.54999923706055
2017-03-14,36.599998474121094
2017-03-15,36.54999923706055
2017-03-16,36.70000076293945
2017-03-17,37.29999923706055
2017-03-20,37.20000076293945
2017-03-21,35.79999923706055
2017-03-22,34.599998474121094
2017-03-23,35.099998474121094
2017-03-24,35.04999923706055
2017-03-27,35.400001525878906
2017-03-28,36.0
2017-03-29,35.70000076293945
2017-03-30,36.900001525878906
2017-03-31,37.20000076293945
2017-04-03,37.5
2017-04-04,38.349998474121094
2017-04-05,38.0
2017-04-06,38.150001525878906
2017-04-07,38.099998474121094
2017-04-10,38.0
2017-04-11,38.25
2017-04-12,37.0
2017-04-13,36.45000076293945
2017-04-17,36.79999923706055
2017-04-18,36.95000076293945
2017-04-19,36.849998474121094
2017-04-20,37.45000076293945
2017-04-21,37.349998474121094
2017-04-24,37.150001525878906
2017-04-25,38.70000076293945
2017-04-26,38.849998474121094
2017-04-27,39.650001525878906
2017-04-28,39.04999923706055
2017-05-01,39.29999923706055
2017-05-02,39.150001525878906
2017-05-03,39.150001525878906
2017-05-04,39.400001525878906
2017-05-05,39.400001525878906
2017-05-08,39.45000076293945
2017-05-09,39.150001525878906
2017-05-10,39.0
2017-05-11,38.79999923706055
2017-05-12,38.95000076293945
2017-05-15,39.04999923706055
2017-05-16,39.099998474121094
2017-05-17,37.849998474121094
2017-05-18,38.099998474121094
2017-05-19,38.150001525878906
2017-05-22,37.70000076293945
2017-05-23,38.125
2017-05-24,38.150001525878906
2017-05-25,38.04999923706055
2017-05-26,38.20000076293945
2017-05-30,38.25
2017-05-31,38.75
2017-06-01,38.650001525878906
2017-06-02,38.54999923706055
2017-06-05,38.400001525878906
2017-06-06,38.45000076293945
2017-06-07,38.45000076293945
2017-06-08,39.0
2017-06-09,39.849998474121094
2017-06-12,39.95000076293945
2017-06-13,39.79999923706055
2017-06-14,39.650001525878906
2017-06-15,39.599998474121094
2017-06-16,39.29999923706055
2017-06-19,39.29999923706055
2017-06-20,39.150001525878906
2017-06-21,37.650001525878906
2017-06-22,37.75
2017-06-23,37.29999923706055
2017-06-26,37.75
2017-06-27,37.25
2017-06-28,38.25
2017-06-29,38.5
2017-06-30,38.29999923706055
2017-07-03,39.20000076293945
2017-07-05,39.54999923706055
2017-07-06,38.5
2017-07-07,38.900001525878906
2017-07-10,39.5
2017-07-11,38.400001525878906
2017-07-12,39.29999923706055
2017-07-13,39.20000076293945
2017-07-14,39.25
2017-07-17,39.099998474121094
2017-07-18,39.29999923706055
2017-07-19,39.400001525878906
2017-07-20,39.400001525878906
2017-07-21,39.0
2017-07-24,39.150001525878906
2017-07-25,38.400001525878906
2017-07-26,38.45000076293945
2017-07-27,38.0
2017-07-28,37.45000076293945
2017-07-31,37.54999923706055
2017-08-01,38.0
2017-08-02,37.75
2017-08-03,37.0
2017-08-04,37.04999923706055
2017-08-07,37.150001525878906
2017-08-08,36.95000076293945
2017-08-09,36.650001525878906
2017-08-10,36.099998474121094
2017-08-11,36.0
2017-08-14,37.20000076293945
2017-08-15,37.099998474121094
2017-08-16,36.099998474121094
2017-08-17,35.54999923706055
2017-08-18,35.5
2017-08-21,35.45000076293945
2017-08-22,35.5
2017-08-23,35.349998474121094
2017-08-24,35.599998474121094
2017-08-25,35.900001525878906
2017-08-28,34.0
2017-08-29,33.20000076293945
2017-08-30,34.150001525878906
2017-08-31,34.04999923706055
2017-09-01,34.5
2017-09-05,33.29999923706055
2017-09-06,33.04999923706055
2017-09-07,32.650001525878906
2017-09-08,31.850000381469727
2017-09-11,33.54999923706055
2017-09-12,33.650001525878906
2017-09-13,34.45000076293945
2017-09-14,34.099998474121094
2017-09-15,34.29999923706055
2017-09-18,34.849998474121094
2017-09-19,35.29999923706055
2017-09-20,36.25
2017-09-21,35.900001525878906
2017-09-22,36.0
2017-09-25,36.150001525878906
2017-09-26,36.099998474121094
2017-09-27,37.150001525878906
2017-09-28,36.900001525878906
2017-09-29,36.79999923706055
2017-10-02,37.25
2017-10-03,37.70000076293945
2017-10-04,37.400001525878906
2017-10-05,37.79999923706055
2017-10-06,37.54999923706055
2017-10-09,37.849998474121094
2017-10-10,38.349998474121094
2017-10-11,38.54999923706055
2017-10-12,38.54999923706055
2017-10-13,38.400001525878906
2017-10-16,38.5
2017-10-17,38.54999923706055
2017-10-18,38.75
2017-10-19,38.900001525878906
2017-10-20,39.0
2017-10-23,38.650001525878906
2017-10-24,39.0
2017-10-25,39.04999923706055
2017-10-26,39.0
2017-10-27,39.150001525878906
2017-10-30,38.849998474121094
2017-10-31,39.20000076293945
2017-11-01,38.29999923706055
2017-11-02,38.900001525878906
2017-11-03,38.650001525878906
2017-11-06,38.29999923706055
2017-11-07,37.20000076293945
2017-11-08,37.20000076293945
2017-11-09,36.849998474121094
2017-11-10,37.25
2017-11-13,37.650001525878906
2017-11-14,37.900001525878906
2017-11-15,38.0
2017-11-16,38.79999923706055
2017-11-17,39.099998474121094
2017-11-20,39.400001525878906
2017-11-21,39.04999923706055
2017-11-22,38.5
2017-11-24,38.349998474121094
2017-11-27,38.45000076293945
2017-11-28,39.54999923706055
