,CTSO
2008-04-17,5.25
2008-04-18,5.25
2008-04-21,5.25
2008-04-22,5.25
2008-04-23,4.5
2008-04-24,4.25
2008-04-25,4.0
2008-04-28,4.0
2008-04-29,4.0
2008-04-30,4.75
2008-05-01,4.75
2008-05-02,5.0
2008-05-05,4.25
2008-05-06,4.25
2008-05-07,4.0
2008-05-08,4.0
2008-05-09,4.0
2008-05-12,4.0
2008-05-13,4.0
2008-05-14,4.0
2008-05-15,4.0
2008-05-16,4.0
2008-05-19,4.0
2008-05-20,4.0
2008-05-21,4.0
2008-05-22,4.0
2008-05-23,4.0
2008-05-27,4.0
2008-05-28,4.0
2008-05-29,4.0
2008-05-30,4.0
2008-06-02,3.75
2008-06-03,3.75
2008-06-04,3.75
2008-06-05,3.75
2008-06-06,3.75
2008-06-09,3.5
2008-06-10,3.5
2008-06-11,3.5
2008-06-12,3.25
2008-06-13,3.25
2008-06-16,3.25
2008-06-17,3.5
2008-06-18,3.5
2008-06-19,3.5
2008-06-20,3.5
2008-06-23,3.5
2008-06-24,3.5
2008-06-25,3.5
2008-06-26,2.75
2008-06-27,3.75
2008-06-30,2.5
2008-07-01,3.25
2008-07-02,1.75
2008-07-03,1.75
2008-07-07,1.625
2008-07-08,1.625
2008-07-09,1.625
2008-07-10,3.0
2008-07-11,4.25
2008-07-14,4.25
2008-07-15,3.0
2008-07-16,3.0
2008-07-17,3.0
2008-07-18,3.0
2008-07-21,3.0
2008-07-22,2.5
2008-07-23,2.5
2008-07-24,3.0
2008-07-25,2.75
2008-07-28,2.75
2008-07-29,2.75
2008-07-30,2.75
2008-07-31,2.75
2008-08-01,2.75
2008-08-04,2.75
2008-08-05,1.75
2008-08-06,2.75
2008-08-07,2.75
2008-08-08,4.5
2008-08-11,4.5
2008-08-12,4.5
2008-08-13,4.5
2008-08-14,5.0
2008-08-15,4.5
2008-08-18,4.5
2008-08-19,4.5
2008-08-20,4.5
2008-08-21,4.5
2008-08-22,4.5
2008-08-25,4.5
2008-08-26,3.75
2008-08-27,4.5
2008-08-28,4.0
2008-08-29,4.0
2008-09-02,3.25
2008-09-03,3.375
2008-09-04,2.875
2008-09-05,2.875
2008-09-08,2.625
2008-09-09,2.625
2008-09-10,2.625
2008-09-11,2.75
2008-09-12,2.75
2008-09-15,2.5
2008-09-16,2.5
2008-09-17,2.0
2008-09-18,2.0
2008-09-19,3.25
2008-09-22,3.25
2008-09-23,3.25
2008-09-24,2.0
2008-09-25,2.0
2008-09-26,2.0
2008-09-29,2.0
2008-09-30,3.0
2008-10-01,3.0
2008-10-02,2.0
2008-10-03,2.0
2008-10-06,2.5
2008-10-07,1.5
2008-10-08,2.5
2008-10-09,2.5
2008-10-10,1.0
2008-10-13,1.0
2008-10-14,1.0
2008-10-15,1.0
2008-10-16,1.0
2008-10-17,2.5
2008-10-20,2.75
2008-10-21,2.75
2008-10-22,3.25
2008-10-23,2.75
2008-10-24,2.0
2008-10-27,2.0
2008-10-28,2.0
2008-10-29,2.0
2008-10-30,1.75
2008-10-31,1.75
2008-11-03,1.75
2008-11-04,2.0
2008-11-05,2.0
2008-11-06,2.0
2008-11-07,2.0
2008-11-10,2.0
2008-11-11,2.0
2008-11-12,1.75
2008-11-13,0.75
2008-11-14,1.524999976158142
2008-11-17,1.0
2008-11-18,1.0
2008-11-19,1.0
2008-11-20,0.75
2008-11-21,0.75
2008-11-24,1.0
2008-11-25,1.0
2008-11-26,1.25
2008-11-28,1.0
2008-12-01,1.0
2008-12-02,1.0
2008-12-03,1.0
2008-12-04,1.0
2008-12-05,1.0
2008-12-08,2.0
2008-12-09,2.25
2008-12-10,2.5
2008-12-11,2.5
2008-12-12,4.25
2008-12-15,4.25
2008-12-16,4.25
2008-12-17,3.25
2008-12-18,3.25
2008-12-19,3.5
2008-12-22,2.25
2008-12-23,2.25
2008-12-24,2.25
2008-12-26,3.0
2008-12-29,2.25
2008-12-30,2.25
2008-12-31,2.0
2009-01-02,2.0
2009-01-05,2.0
2009-01-06,2.0
2009-01-07,3.125
2009-01-08,3.25
2009-01-09,4.25
2009-01-12,4.5
2009-01-13,3.0
2009-01-14,3.0
2009-01-15,3.75
2009-01-16,3.75
2009-01-20,3.5
2009-01-21,3.5
2009-01-22,4.5
2009-01-23,4.25
2009-01-26,4.25
2009-01-27,4.0
2009-01-28,4.25
2009-01-29,3.75
2009-01-30,3.75
2009-02-02,3.75
2009-02-03,4.25
2009-02-04,3.5
2009-02-05,3.75
2009-02-06,3.5
2009-02-09,3.25
2009-02-10,3.0
2009-02-11,2.75
2009-02-12,2.75
2009-02-13,3.75
2009-02-17,2.75
2009-02-18,2.75
2009-02-19,2.75
2009-02-20,3.25
2009-02-23,3.25
2009-02-24,2.7249999046325684
2009-02-25,2.5
2009-02-26,2.75
2009-02-27,3.5
2009-03-02,2.25
2009-03-03,2.875
2009-03-04,2.875
2009-03-05,2.125
2009-03-06,3.25
2009-03-09,2.75
2009-03-10,3.25
2009-03-11,3.25
2009-03-12,3.25
2009-03-13,3.0
2009-03-16,3.0
2009-03-17,3.0
2009-03-18,3.0
2009-03-19,3.0
2009-03-20,2.5
2009-03-23,2.5
2009-03-24,2.5
2009-03-25,2.5
2009-03-26,2.5
2009-03-27,2.75
2009-03-30,2.25
2009-03-31,2.5
2009-04-01,2.5
2009-04-02,2.5
2009-04-03,2.5
2009-04-06,2.5
2009-04-07,2.5
2009-04-08,2.5
2009-04-09,2.75
2009-04-13,2.75
2009-04-14,2.75
2009-04-15,3.5
2009-04-16,2.75
2009-04-17,3.375
2009-04-20,3.375
2009-04-21,2.875
2009-04-22,2.25
2009-04-23,2.25
2009-04-24,2.0
2009-04-27,2.25
2009-04-28,2.25
2009-04-29,2.25
2009-04-30,2.0
2009-05-01,2.375
2009-05-04,2.0250000953674316
2009-05-05,2.25
2009-05-06,2.375
2009-05-07,2.0
2009-05-08,2.125
2009-05-11,1.75
2009-05-12,1.75
2009-05-13,1.5
2009-05-14,1.774999976158142
2009-05-15,2.125
2009-05-18,2.0
2009-05-19,2.0
2009-05-20,1.75
2009-05-21,1.875
2009-05-22,1.875
2009-05-26,1.774999976158142
2009-05-27,2.1500000953674316
2009-05-28,2.75
2009-05-29,2.875
2009-06-01,2.5
2009-06-02,2.0250000953674316
2009-06-03,2.875
2009-06-04,3.0
2009-06-05,3.0
2009-06-08,2.5
2009-06-09,2.325000047683716
2009-06-10,2.25
2009-06-11,2.875
2009-06-12,2.5
2009-06-15,2.5
2009-06-16,2.5
2009-06-17,2.25
2009-06-18,2.325000047683716
2009-06-19,2.125
2009-06-22,2.075000047683716
2009-06-23,2.125
2009-06-24,1.975000023841858
2009-06-25,1.975000023841858
2009-06-26,1.9500000476837158
2009-06-29,2.0
2009-06-30,1.975000023841858
2009-07-01,1.875
2009-07-02,1.9249999523162842
2009-07-06,1.875
2009-07-07,1.875
2009-07-08,1.5
2009-07-09,1.7000000476837158
2009-07-10,1.524999976158142
2009-07-13,1.5
2009-07-14,1.475000023841858
2009-07-15,1.75
2009-07-16,1.75
2009-07-17,1.75
2009-07-20,1.75
2009-07-21,1.75
2009-07-22,1.625
2009-07-23,1.75
2009-07-24,1.75
2009-07-27,1.7999999523162842
2009-07-28,1.625
2009-07-29,1.5499999523162842
2009-07-30,1.725000023841858
2009-07-31,1.625
2009-08-03,1.5
2009-08-04,1.625
2009-08-05,1.5
2009-08-06,1.625
2009-08-07,1.5
2009-08-10,1.524999976158142
2009-08-11,1.899999976158142
2009-08-12,2.0
2009-08-13,2.0
2009-08-14,1.875
2009-08-17,1.7000000476837158
2009-08-18,1.850000023841858
2009-08-19,1.8250000476837158
2009-08-20,1.875
2009-08-21,1.649999976158142
2009-08-24,1.850000023841858
2009-08-25,2.0
2009-08-26,1.975000023841858
2009-08-27,1.899999976158142
2009-08-28,1.774999976158142
2009-08-31,1.6749999523162842
2009-09-01,1.75
2009-09-02,1.625
2009-09-03,1.75
2009-09-04,1.725000023841858
2009-09-08,1.75
2009-09-09,1.75
2009-09-10,1.649999976158142
2009-09-11,1.7000000476837158
2009-09-14,1.774999976158142
2009-09-15,1.774999976158142
2009-09-16,1.875
2009-09-17,1.75
2009-09-18,1.75
2009-09-21,2.2249999046325684
2009-09-22,3.0
2009-09-23,2.75
2009-09-24,2.25
2009-09-25,2.5
2009-09-28,3.0
2009-09-29,4.025000095367432
2009-09-30,3.674999952316284
2009-10-01,3.875
2009-10-02,4.0
2009-10-05,4.125
2009-10-06,5.5
2009-10-07,5.0
2009-10-08,4.875
2009-10-09,4.875
2009-10-12,4.875
2009-10-13,4.5
2009-10-14,3.674999952316284
2009-10-15,3.7750000953674316
2009-10-16,4.800000190734863
2009-10-19,5.5
2009-10-20,8.0
2009-10-21,10.75
2009-10-22,9.199999809265137
2009-10-23,5.875
2009-10-26,7.0
2009-10-27,6.099999904632568
2009-10-28,5.75
2009-10-29,5.5
2009-10-30,5.25
2009-11-02,4.0
2009-11-03,4.824999809265137
2009-11-04,4.625
2009-11-05,4.75
2009-11-06,4.75
2009-11-09,4.625
2009-11-10,4.75
2009-11-11,4.474999904632568
2009-11-12,4.425000190734863
2009-11-13,5.125
2009-11-16,5.675000190734863
2009-11-17,5.074999809265137
2009-11-18,4.75
2009-11-19,4.625
2009-11-20,4.375
2009-11-23,4.375
2009-11-24,4.25
2009-11-25,4.224999904632568
2009-11-27,4.25
2009-11-30,3.6500000953674316
2009-12-01,3.5
2009-12-02,3.2249999046325684
2009-12-03,3.4749999046325684
2009-12-04,4.0
2009-12-07,4.0
2009-12-08,3.5
2009-12-09,3.200000047683716
2009-12-10,3.25
2009-12-11,3.5
2009-12-14,3.75
2009-12-15,3.75
2009-12-16,3.5
2009-12-17,3.5
2009-12-18,3.3499999046325684
2009-12-21,3.625
2009-12-22,3.25
2009-12-23,3.5
2009-12-24,3.5
2009-12-28,3.5
2009-12-29,3.4000000953674316
2009-12-30,4.5
2009-12-31,4.75
2010-01-04,6.125
2010-01-05,5.050000190734863
2010-01-06,5.625
2010-01-07,5.0
2010-01-08,5.25
2010-01-11,5.25
2010-01-12,4.25
2010-01-13,4.375
2010-01-14,4.625
2010-01-15,4.375
2010-01-19,4.625
2010-01-20,4.5
2010-01-21,4.25
2010-01-22,4.375
2010-01-25,4.375
2010-01-26,4.5
2010-01-27,4.5
2010-01-28,4.5
2010-01-29,4.375
2010-02-01,4.275000095367432
2010-02-02,4.25
2010-02-03,5.199999809265137
2010-02-04,6.5
2010-02-05,5.25
2010-02-08,4.875
2010-02-09,4.474999904632568
2010-02-10,4.625
2010-02-11,4.5
2010-02-12,4.875
2010-02-16,4.75
2010-02-17,4.875
2010-02-18,4.724999904632568
2010-02-19,4.550000190734863
2010-02-22,4.5
2010-02-23,4.324999809265137
2010-02-24,4.375
2010-02-25,4.375
2010-02-26,4.175000190734863
2010-03-01,4.125
2010-03-02,3.875
2010-03-03,4.125
2010-03-04,4.0
2010-03-05,4.125
2010-03-08,3.950000047683716
2010-03-09,3.9749999046325684
2010-03-10,4.0
2010-03-11,3.924999952316284
2010-03-12,4.0
2010-03-15,3.7750000953674316
2010-03-16,3.825000047683716
2010-03-17,3.75
2010-03-18,3.75
2010-03-19,3.8499999046325684
2010-03-22,3.7750000953674316
2010-03-23,3.875
2010-03-24,3.799999952316284
2010-03-25,3.875
2010-03-26,3.8499999046325684
2010-03-29,3.8499999046325684
2010-03-30,3.8499999046325684
2010-03-31,4.349999904632568
2010-04-01,4.125
2010-04-05,3.7750000953674316
2010-04-06,3.75
2010-04-07,3.5
2010-04-08,3.5
2010-04-09,3.375
2010-04-12,3.625
2010-04-13,3.25
2010-04-14,3.5
2010-04-15,3.549999952316284
2010-04-16,3.5
2010-04-19,3.450000047683716
2010-04-20,3.3499999046325684
2010-04-21,3.25
2010-04-22,3.5
2010-04-23,3.4749999046325684
2010-04-26,3.375
2010-04-27,3.25
2010-04-28,3.299999952316284
2010-04-29,3.299999952316284
2010-04-30,3.174999952316284
2010-05-03,3.0
2010-05-04,3.0
2010-05-05,2.875
2010-05-06,2.875
2010-05-07,2.875
2010-05-10,2.75
2010-05-11,3.0
2010-05-12,2.9749999046325684
2010-05-13,2.875
2010-05-14,2.7249999046325684
2010-05-17,2.549999952316284
2010-05-18,2.625
2010-05-19,2.625
2010-05-20,2.25
2010-05-21,2.0
2010-05-24,2.0
2010-05-25,1.9249999523162842
2010-05-26,1.9249999523162842
2010-05-27,1.774999976158142
2010-05-28,1.75
2010-06-01,1.75
2010-06-02,1.875
2010-06-03,1.850000023841858
2010-06-04,1.875
2010-06-07,1.75
2010-06-08,1.725000023841858
2010-06-09,1.75
2010-06-10,1.875
2010-06-11,1.75
2010-06-14,1.725000023841858
2010-06-15,2.200000047683716
2010-06-16,1.975000023841858
2010-06-17,1.9249999523162842
2010-06-18,2.200000047683716
2010-06-21,2.299999952316284
2010-06-22,2.5
2010-06-23,2.25
2010-06-24,2.3499999046325684
2010-06-25,2.125
2010-06-28,2.375
2010-06-29,2.200000047683716
2010-06-30,2.174999952316284
2010-07-01,2.0999999046325684
2010-07-02,2.0999999046325684
2010-07-06,2.125
2010-07-07,2.25
2010-07-08,2.25
2010-07-09,2.049999952316284
2010-07-12,2.049999952316284
2010-07-13,2.25
2010-07-14,2.25
2010-07-15,2.299999952316284
2010-07-16,2.25
2010-07-19,2.299999952316284
2010-07-20,2.25
2010-07-21,2.25
2010-07-22,2.25
2010-07-23,2.25
2010-07-26,2.25
2010-07-27,2.25
2010-07-28,2.25
2010-07-29,2.325000047683716
2010-07-30,2.325000047683716
2010-08-02,2.325000047683716
2010-08-03,2.25
2010-08-04,2.25
2010-08-05,2.25
2010-08-06,2.25
2010-08-09,2.200000047683716
2010-08-10,2.200000047683716
2010-08-11,2.049999952316284
2010-08-12,2.125
2010-08-13,2.200000047683716
2010-08-16,2.0999999046325684
2010-08-17,2.0
2010-08-18,2.0
2010-08-19,1.975000023841858
2010-08-20,2.049999952316284
2010-08-23,2.0
2010-08-24,1.975000023841858
2010-08-25,1.9249999523162842
2010-08-26,1.7999999523162842
2010-08-27,2.0
2010-08-30,2.075000047683716
2010-08-31,1.9500000476837158
2010-09-01,2.0
2010-09-02,2.0
2010-09-03,2.0
2010-09-07,2.0
2010-09-08,1.875
2010-09-09,2.0
2010-09-10,2.0
2010-09-13,1.975000023841858
2010-09-14,2.125
2010-09-15,2.0999999046325684
2010-09-16,2.0250000953674316
2010-09-17,2.049999952316284
2010-09-20,2.049999952316284
2010-09-21,2.049999952316284
2010-09-22,2.049999952316284
2010-09-23,2.049999952316284
2010-09-24,2.075000047683716
2010-09-27,2.25
2010-09-28,2.299999952316284
2010-09-29,2.2750000953674316
2010-09-30,2.299999952316284
2010-10-01,2.299999952316284
2010-10-04,2.25
2010-10-05,2.25
2010-10-06,2.174999952316284
2010-10-07,2.2750000953674316
2010-10-08,2.75
2010-10-11,3.125
2010-10-12,3.375
2010-10-13,3.174999952316284
2010-10-14,3.375
2010-10-15,3.375
2010-10-18,3.25
2010-10-19,3.125
2010-10-20,3.0
2010-10-21,2.674999952316284
2010-10-22,2.825000047683716
2010-10-25,3.0
2010-10-26,2.9000000953674316
2010-10-27,3.049999952316284
2010-10-28,3.0
2010-10-29,2.8499999046325684
2010-11-01,2.5999999046325684
2010-11-02,2.7249999046325684
2010-11-03,2.75
2010-11-04,2.9000000953674316
2010-11-05,2.7750000953674316
2010-11-08,2.700000047683716
2010-11-09,2.625
2010-11-10,2.5999999046325684
2010-11-11,2.575000047683716
2010-11-12,2.549999952316284
2010-11-15,2.5250000953674316
2010-11-16,2.5
2010-11-17,2.2249999046325684
2010-11-18,2.3499999046325684
2010-11-19,2.25
2010-11-22,2.299999952316284
2010-11-23,2.25
2010-11-24,2.325000047683716
2010-11-26,2.5
2010-11-29,2.5
2010-11-30,2.375
2010-12-01,2.424999952316284
2010-12-02,2.75
2010-12-03,3.0
2010-12-06,2.825000047683716
2010-12-07,2.7750000953674316
2010-12-08,2.8499999046325684
2010-12-09,2.799999952316284
2010-12-10,3.0
2010-12-13,2.825000047683716
2010-12-14,2.75
2010-12-15,2.5999999046325684
2010-12-16,2.75
2010-12-17,2.549999952316284
2010-12-20,2.5
2010-12-21,2.625
2010-12-22,2.75
2010-12-23,2.75
2010-12-27,2.75
2010-12-28,2.9749999046325684
2010-12-29,3.5250000953674316
2010-12-30,3.625
2010-12-31,3.5
2011-01-03,3.375
2011-01-04,3.049999952316284
2011-01-05,3.424999952316284
2011-01-06,3.799999952316284
2011-01-07,3.75
2011-01-10,3.25
2011-01-11,3.299999952316284
2011-01-12,3.1500000953674316
2011-01-13,3.125
2011-01-14,3.5
2011-01-18,3.299999952316284
2011-01-19,3.5999999046325684
2011-01-20,3.5
2011-01-21,3.5
2011-01-24,3.5
2011-01-25,3.7249999046325684
2011-01-26,3.950000047683716
2011-01-27,4.199999809265137
2011-01-28,4.0
2011-01-31,3.825000047683716
2011-02-01,3.625
2011-02-02,3.875
2011-02-03,4.449999809265137
2011-02-04,4.25
2011-02-07,3.875
2011-02-08,4.0
2011-02-09,4.0
2011-02-10,4.025000095367432
2011-02-11,4.050000190734863
2011-02-14,4.125
2011-02-15,4.224999904632568
2011-02-16,4.125
2011-02-17,4.099999904632568
2011-02-18,4.0
2011-02-22,3.75
2011-02-23,3.5250000953674316
2011-02-24,3.674999952316284
2011-02-25,3.700000047683716
2011-02-28,3.9000000953674316
2011-03-01,3.950000047683716
2011-03-02,3.9749999046325684
2011-03-03,3.9749999046325684
2011-03-04,4.0
2011-03-07,3.7750000953674316
2011-03-08,3.625
2011-03-09,3.625
2011-03-10,3.6500000953674316
2011-03-11,3.75
2011-03-14,3.5
2011-03-15,3.700000047683716
2011-03-16,3.5
2011-03-17,3.549999952316284
2011-03-18,3.424999952316284
2011-03-21,3.575000047683716
2011-03-22,4.0
2011-03-23,3.799999952316284
2011-03-24,4.0
2011-03-25,4.125
2011-03-28,4.074999809265137
2011-03-29,4.25
2011-03-30,4.25
2011-03-31,9.725000381469727
2011-04-01,8.875
2011-04-04,7.25
2011-04-05,8.699999809265137
2011-04-06,8.199999809265137
2011-04-07,8.0
2011-04-08,6.625
2011-04-11,6.5
2011-04-12,5.925000190734863
2011-04-13,6.375
2011-04-14,6.224999904632568
2011-04-15,6.150000095367432
2011-04-18,6.5
2011-04-19,6.375
2011-04-20,6.375
2011-04-21,6.375
2011-04-25,5.75
2011-04-26,5.449999809265137
