,BWAY
2020-05-15,7.90500020980835
2020-05-18,8.25100040435791
2020-05-19,8.272000312805176
2020-05-20,8.239999771118164
2020-05-21,8.0
2020-05-22,8.270000457763672
2020-05-26,7.925000190734863
2020-05-27,7.889999866485596
2020-05-28,7.809999942779541
2020-05-29,7.800000190734863
2020-06-01,7.3520002365112305
2020-06-02,7.290999889373779
2020-06-03,6.789999961853027
2020-06-04,6.800000190734863
2020-06-05,6.900000095367432
2020-06-08,7.019999980926514
2020-06-09,7.301000118255615
2020-06-10,7.400000095367432
2020-06-11,6.809999942779541
2020-06-12,7.320000171661377
2020-06-15,6.951000213623047
2020-06-16,6.920000076293945
2020-06-17,6.869999885559082
2020-06-18,6.460000038146973
2020-06-19,6.360000133514404
2020-06-22,6.199999809265137
2020-06-23,6.249000072479248
2020-06-24,6.1519999504089355
2020-06-25,6.039999961853027
2020-06-26,6.059999942779541
2020-06-29,5.889999866485596
2020-06-30,5.920000076293945
2020-07-01,5.989999771118164
2020-07-02,6.039999961853027
2020-07-06,5.949999809265137
2020-07-07,5.75
2020-07-08,5.670000076293945
2020-07-09,5.519999980926514
2020-07-10,5.550000190734863
2020-07-13,5.730000019073486
2020-07-14,5.900000095367432
2020-07-15,5.820000171661377
2020-07-16,5.789999961853027
2020-07-17,5.769999980926514
2020-07-20,5.880000114440918
2020-07-21,5.880000114440918
2020-07-22,6.0
2020-07-23,6.480000019073486
2020-07-24,6.400000095367432
2020-07-27,6.150000095367432
2020-07-28,6.099999904632568
2020-07-29,6.039999961853027
2020-07-30,5.909999847412109
2020-07-31,5.952000141143799
2020-08-03,6.179999828338623
2020-08-04,6.090000152587891
2020-08-05,6.079999923706055
2020-08-06,6.105000019073486
2020-08-07,6.159999847412109
2020-08-10,6.090000152587891
2020-08-11,6.269999980926514
2020-08-12,6.610000133514404
2020-08-13,6.829999923706055
2020-08-14,6.949999809265137
2020-08-17,7.0
2020-08-18,6.840000152587891
2020-08-19,6.659999847412109
2020-08-20,6.420000076293945
2020-08-21,6.480000019073486
2020-08-24,7.349999904632568
2020-08-25,7.900000095367432
2020-08-26,7.630000114440918
2020-08-27,7.400000095367432
2020-08-28,7.670000076293945
2020-08-31,7.849999904632568
2020-09-01,8.0
2020-09-02,7.75
2020-09-03,6.940000057220459
