,ATT
2006-06-27,17.733200073242188
2006-06-28,18.008899688720703
2006-06-29,17.91699981689453
2006-06-30,17.549400329589844
2006-07-03,17.457599639892578
2006-07-05,17.641300201416016
2006-07-06,17.365699768066406
2006-07-07,17.273799896240234
2006-07-10,17.181900024414062
2006-07-11,17.273799896240234
2006-07-12,17.273799896240234
2006-07-13,17.457599639892578
2006-07-14,17.549400329589844
2006-07-17,17.273799896240234
2006-07-18,17.549400329589844
2006-07-19,17.457599639892578
2006-07-20,17.641300201416016
2006-07-21,17.641300201416016
2006-07-24,17.365699768066406
2006-07-25,17.641300201416016
2006-07-26,17.457599639892578
2006-07-27,17.457599639892578
2006-07-28,17.457599639892578
2006-07-31,17.641300201416016
2006-08-01,17.457599639892578
2006-08-02,17.549400329589844
2006-08-03,17.549400329589844
