,BLUE
2013-11-27,20.010000228881836
2013-11-29,20.420000076293945
2013-12-02,20.700000762939453
2013-12-03,22.260000228881836
2013-12-04,22.139999389648438
2013-12-05,21.1200008392334
2013-12-06,21.65999984741211
2013-12-09,21.719999313354492
2013-12-10,22.399999618530273
2013-12-11,21.6299991607666
2013-12-12,21.020000457763672
2013-12-13,20.270000457763672
2013-12-16,20.149999618530273
2013-12-17,19.479999542236328
2013-12-18,20.469999313354492
2013-12-19,20.510000228881836
2013-12-20,20.729999542236328
2013-12-23,20.8799991607666
2013-12-24,20.979999542236328
2013-12-26,21.420000076293945
2013-12-27,21.18000030517578
2013-12-30,20.799999237060547
2013-12-31,20.979999542236328
2014-01-02,20.8700008392334
2014-01-03,21.290000915527344
2014-01-06,21.31999969482422
2014-01-07,21.469999313354492
2014-01-08,21.43000030517578
2014-01-09,22.030000686645508
2014-01-10,21.790000915527344
2014-01-13,21.649999618530273
2014-01-14,22.049999237060547
2014-01-15,22.549999237060547
2014-01-16,23.989999771118164
2014-01-17,23.700000762939453
2014-01-21,24.020000457763672
2014-01-22,25.030000686645508
2014-01-23,23.209999084472656
2014-01-24,21.649999618530273
2014-01-27,20.739999771118164
2014-01-28,21.729999542236328
2014-01-29,20.989999771118164
2014-01-30,22.31999969482422
2014-01-31,22.170000076293945
2014-02-03,20.670000076293945
2014-02-04,20.790000915527344
2014-02-05,19.59000015258789
2014-02-06,20.030000686645508
2014-02-07,20.1299991607666
2014-02-10,22.059999465942383
2014-02-11,22.579999923706055
2014-02-12,22.420000076293945
2014-02-13,21.979999542236328
2014-02-14,21.690000534057617
2014-02-18,22.59000015258789
2014-02-19,22.049999237060547
2014-02-20,23.43000030517578
2014-02-21,23.540000915527344
2014-02-24,24.25
2014-02-25,24.329999923706055
2014-02-26,25.579999923706055
2014-02-27,27.40999984741211
2014-02-28,25.5
2014-03-03,24.469999313354492
2014-03-04,25.329999923706055
2014-03-05,25.90999984741211
2014-03-06,24.100000381469727
2014-03-07,25.950000762939453
2014-03-10,26.149999618530273
2014-03-11,26.3799991607666
2014-03-12,26.93000030517578
2014-03-13,26.829999923706055
2014-03-14,27.389999389648438
2014-03-17,27.200000762939453
2014-03-18,27.540000915527344
2014-03-19,27.299999237060547
2014-03-20,26.829999923706055
2014-03-21,25.25
2014-03-24,23.350000381469727
2014-03-25,23.8700008392334
2014-03-26,21.90999984741211
2014-03-27,22.479999542236328
2014-03-28,22.31999969482422
2014-03-31,22.739999771118164
2014-04-01,22.530000686645508
2014-04-02,23.110000610351562
2014-04-03,21.8700008392334
2014-04-04,20.920000076293945
2014-04-07,21.5
2014-04-08,21.809999465942383
2014-04-09,22.719999313354492
2014-04-10,21.520000457763672
2014-04-11,20.920000076293945
2014-04-14,21.06999969482422
2014-04-15,20.260000228881836
2014-04-16,19.530000686645508
2014-04-17,19.899999618530273
2014-04-21,20.479999542236328
2014-04-22,21.40999984741211
2014-04-23,20.239999771118164
2014-04-24,19.950000762939453
2014-04-25,19.440000534057617
2014-04-28,19.719999313354492
