,CLDX
1987-04-01,900.0
1987-04-02,945.0
1987-04-03,922.5
1987-04-06,922.5
1987-04-07,922.5
1987-04-08,900.0
1987-04-09,922.5
1987-04-10,900.0
1987-04-13,855.0
1987-04-14,855.0
1987-04-15,787.5
1987-04-16,832.5
1987-04-20,787.5
1987-04-21,787.5
1987-04-22,787.5
1987-04-23,765.0
1987-04-24,765.0
1987-04-27,810.0
1987-04-28,810.0
1987-04-29,810.0
1987-04-30,810.0
1987-05-01,787.5
1987-05-04,765.0
1987-05-05,742.5
1987-05-06,787.5
1987-05-07,787.5
1987-05-08,787.5
1987-05-11,765.0
1987-05-12,787.5
1987-05-13,765.0
1987-05-14,742.5
1987-05-15,742.5
1987-05-18,765.0
1987-05-19,720.0
1987-05-20,675.0
1987-05-21,675.0
1987-05-22,720.0
1987-05-26,697.5
1987-05-27,720.0
1987-05-28,742.5
1987-05-29,742.5
1987-06-01,720.0
1987-06-02,720.0
1987-06-03,720.0
1987-06-04,720.0
1987-06-05,720.0
1987-06-08,742.5
1987-06-09,742.5
1987-06-10,720.0
1987-06-11,787.5
1987-06-12,855.0
1987-06-15,810.0
1987-06-16,832.5
1987-06-17,855.0
1987-06-18,855.0
1987-06-19,832.5
1987-06-22,855.0
1987-06-23,832.5
1987-06-24,855.0
1987-06-25,810.0
1987-06-26,855.0
1987-06-29,855.0
1987-06-30,855.0
1987-07-01,855.0
1987-07-02,832.5
1987-07-06,832.5
1987-07-07,843.75
1987-07-08,877.5
1987-07-09,900.0
1987-07-10,855.0
1987-07-13,832.5
1987-07-14,855.0
1987-07-15,832.5
1987-07-16,810.0
1987-07-17,810.0
1987-07-20,765.0
1987-07-21,765.0
1987-07-22,720.0
1987-07-23,742.5
1987-07-24,720.0
1987-07-27,720.0
1987-07-28,720.0
1987-07-29,720.0
1987-07-30,720.0
1987-07-31,720.0
1987-08-03,742.5
1987-08-04,742.5
1987-08-05,720.0
1987-08-06,720.0
1987-08-07,720.0
1987-08-10,720.0
1987-08-11,720.0
1987-08-12,675.0
1987-08-13,675.0
1987-08-14,697.5
1987-08-17,697.5
1987-08-18,697.5
1987-08-19,720.0
1987-08-20,675.0
1987-08-21,697.5
1987-08-24,697.5
1987-08-25,697.5
1987-08-26,675.0
1987-08-27,697.5
1987-08-28,697.5
1987-08-31,675.0
1987-09-01,652.5
1987-09-02,675.0
1987-09-03,675.0
1987-09-04,630.0
1987-09-08,630.0
1987-09-09,652.5
1987-09-10,652.5
1987-09-11,652.5
1987-09-14,742.5
1987-09-15,720.0
1987-09-16,697.5
1987-09-17,720.0
1987-09-18,720.0
1987-09-21,720.0
1987-09-22,675.0
1987-09-23,675.0
1987-09-24,720.0
1987-09-25,675.0
1987-09-28,720.0
1987-09-29,765.0
1987-09-30,742.5
1987-10-01,765.0
1987-10-02,776.25
1987-10-05,765.0
1987-10-06,765.0
1987-10-07,765.0
1987-10-08,765.0
1987-10-09,765.0
1987-10-12,742.5
1987-10-13,742.5
1987-10-14,720.0
1987-10-15,720.0
1987-10-16,675.0
1987-10-19,562.5
1987-10-20,450.0
1987-10-21,517.5
1987-10-22,517.5
1987-10-23,517.5
1987-10-26,450.0
1987-10-27,427.5
1987-10-28,450.0
1987-10-29,450.0
1987-10-30,540.0
1987-11-02,562.5
1987-11-03,562.5
1987-11-04,540.0
1987-11-05,540.0
1987-11-06,540.0
1987-11-09,540.0
1987-11-10,540.0
1987-11-11,517.5
1987-11-12,517.5
1987-11-13,517.5
1987-11-16,517.5
1987-11-17,517.5
1987-11-18,506.25
1987-11-19,495.0
1987-11-20,517.5
1987-11-23,472.5
1987-11-24,495.0
1987-11-25,495.0
1987-11-27,450.0
1987-11-30,427.5
1987-12-01,438.75
1987-12-02,450.0
1987-12-03,427.5
1987-12-04,405.0
1987-12-07,360.0
1987-12-08,360.0
1987-12-09,360.0
1987-12-10,360.0
1987-12-11,382.5
1987-12-14,405.0
1987-12-15,450.0
1987-12-16,427.5
1987-12-17,450.0
1987-12-18,450.0
1987-12-21,495.0
1987-12-22,472.5
1987-12-23,472.5
1987-12-24,472.5
1987-12-28,472.5
1987-12-29,495.0
1987-12-30,540.0
1987-12-31,540.0
1988-01-04,562.5
1988-01-05,607.5
1988-01-06,652.5
1988-01-07,697.5
1988-01-08,675.0
1988-01-11,630.0
1988-01-12,585.0
1988-01-13,697.5
1988-01-14,652.5
1988-01-15,675.0
1988-01-18,697.5
1988-01-19,675.0
1988-01-20,652.5
1988-01-21,652.5
1988-01-22,652.5
1988-01-25,652.5
1988-01-26,652.5
1988-01-27,630.0
1988-01-28,652.5
1988-01-29,652.5
1988-02-01,630.0
1988-02-02,630.0
1988-02-03,630.0
1988-02-04,630.0
1988-02-05,652.5
1988-02-08,630.0
1988-02-09,630.0
1988-02-10,585.0
1988-02-11,585.0
1988-02-12,630.0
1988-02-16,585.0
1988-02-17,585.0
1988-02-18,607.5
1988-02-19,562.5
1988-02-22,585.0
1988-02-23,585.0
1988-02-24,607.5
1988-02-25,630.0
1988-02-26,630.0
1988-02-29,607.5
1988-03-01,607.5
1988-03-02,630.0
1988-03-03,607.5
1988-03-04,630.0
1988-03-07,641.25
1988-03-08,630.0
1988-03-09,607.5
1988-03-10,585.0
1988-03-11,562.5
1988-03-14,607.5
1988-03-15,585.0
1988-03-16,607.5
1988-03-17,585.0
1988-03-18,607.5
1988-03-21,585.0
1988-03-22,585.0
1988-03-23,585.0
1988-03-24,585.0
1988-03-25,562.5
1988-03-28,562.5
1988-03-29,540.0
1988-03-30,562.5
1988-03-31,540.0
1988-04-04,562.5
1988-04-05,585.0
1988-04-06,585.0
1988-04-07,585.0
1988-04-08,585.0
1988-04-11,540.0
1988-04-12,585.0
1988-04-13,585.0
1988-04-14,585.0
1988-04-15,585.0
1988-04-18,585.0
1988-04-19,652.5
1988-04-20,630.0
1988-04-21,607.5
1988-04-22,607.5
1988-04-25,585.0
1988-04-26,630.0
1988-04-27,585.0
1988-04-28,585.0
1988-04-29,585.0
1988-05-02,585.0
1988-05-03,585.0
1988-05-04,585.0
1988-05-05,562.5
1988-05-06,607.5
1988-05-09,562.5
1988-05-10,585.0
1988-05-11,585.0
1988-05-12,573.75
1988-05-13,562.5
1988-05-16,562.5
1988-05-17,562.5
1988-05-18,562.5
1988-05-19,562.5
1988-05-20,517.5
1988-05-23,562.5
1988-05-24,562.5
1988-05-25,540.0
1988-05-26,562.5
1988-05-27,540.0
1988-05-31,540.0
1988-06-01,540.0
1988-06-02,540.0
1988-06-03,540.0
1988-06-06,517.5
1988-06-07,472.5
1988-06-08,517.5
1988-06-09,517.5
1988-06-10,540.0
1988-06-13,540.0
1988-06-14,540.0
1988-06-15,540.0
1988-06-16,540.0
1988-06-17,540.0
1988-06-20,517.5
1988-06-21,517.5
1988-06-22,517.5
1988-06-23,495.0
1988-06-24,540.0
1988-06-27,540.0
1988-06-28,540.0
1988-06-29,540.0
1988-06-30,540.0
1988-07-01,540.0
1988-07-05,540.0
1988-07-06,540.0
1988-07-07,540.0
1988-07-08,495.0
1988-07-11,495.0
1988-07-12,517.5
1988-07-13,495.0
1988-07-14,472.5
1988-07-15,472.5
1988-07-18,495.0
1988-07-19,472.5
1988-07-20,472.5
1988-07-21,450.0
1988-07-22,495.0
1988-07-25,450.0
1988-07-26,450.0
1988-07-27,472.5
1988-07-28,472.5
1988-07-29,472.5
1988-08-01,450.0
1988-08-02,472.5
1988-08-03,472.5
1988-08-04,495.0
1988-08-05,495.0
1988-08-08,495.0
1988-08-09,495.0
1988-08-10,472.5
1988-08-11,495.0
1988-08-12,472.5
1988-08-15,472.5
1988-08-16,495.0
1988-08-17,495.0
1988-08-18,495.0
1988-08-19,472.5
1988-08-22,472.5
1988-08-23,472.5
1988-08-24,472.5
1988-08-25,472.5
1988-08-26,495.0
1988-08-29,472.5
1988-08-30,495.0
1988-08-31,472.5
1988-09-01,495.0
1988-09-02,495.0
1988-09-06,450.0
1988-09-07,495.0
1988-09-08,495.0
1988-09-09,495.0
1988-09-12,495.0
1988-09-13,472.5
1988-09-14,495.0
1988-09-15,450.0
1988-09-16,495.0
1988-09-19,472.5
1988-09-20,495.0
1988-09-21,495.0
1988-09-22,472.5
1988-09-23,450.0
1988-09-26,450.0
1988-09-27,450.0
1988-09-28,450.0
1988-09-29,450.0
1988-09-30,450.0
1988-10-03,472.5
1988-10-04,483.75
1988-10-05,472.5
1988-10-06,472.5
1988-10-07,472.5
1988-10-10,472.5
1988-10-11,495.0
1988-10-12,495.0
1988-10-13,472.5
1988-10-14,495.0
1988-10-17,495.0
1988-10-18,450.0
1988-10-19,450.0
1988-10-20,450.0
1988-10-21,450.0
1988-10-24,450.0
1988-10-25,472.5
1988-10-26,450.0
1988-10-27,450.0
1988-10-28,461.25
1988-10-31,450.0
1988-11-01,472.5
1988-11-02,450.0
1988-11-03,427.5
1988-11-04,427.5
1988-11-07,405.0
1988-11-08,427.5
1988-11-09,427.5
1988-11-10,405.0
1988-11-11,427.5
1988-11-14,405.0
1988-11-15,405.0
1988-11-16,405.0
1988-11-17,382.5
1988-11-18,360.0
1988-11-21,382.5
1988-11-22,382.5
1988-11-23,382.5
1988-11-25,405.0
1988-11-28,382.5
1988-11-29,405.0
1988-11-30,405.0
1988-12-01,405.0
1988-12-02,382.5
1988-12-05,382.5
1988-12-06,382.5
1988-12-07,382.5
1988-12-08,405.0
1988-12-09,360.0
1988-12-12,382.5
1988-12-13,382.5
1988-12-14,382.5
1988-12-15,348.75
1988-12-16,360.0
1988-12-19,371.25
1988-12-20,348.75
1988-12-21,371.25
1988-12-22,360.0
1988-12-23,360.0
1988-12-27,382.5
1988-12-28,360.0
1988-12-29,371.25
1988-12-30,360.0
1989-01-03,371.25
1989-01-04,371.25
1989-01-05,371.25
1989-01-06,371.25
1989-01-09,371.25
1989-01-10,371.25
1989-01-11,360.0
1989-01-12,393.75
1989-01-13,427.5
1989-01-16,405.0
1989-01-17,405.0
1989-01-18,382.5
1989-01-19,393.75
1989-01-20,393.75
1989-01-23,427.5
1989-01-24,427.5
1989-01-25,405.0
1989-01-26,393.75
1989-01-27,405.0
1989-01-30,405.0
1989-01-31,405.0
1989-02-01,405.0
1989-02-02,405.0
1989-02-03,405.0
1989-02-06,416.25
1989-02-07,450.0
1989-02-08,450.0
1989-02-09,450.0
1989-02-10,438.75
1989-02-13,438.75
1989-02-14,405.0
1989-02-15,405.0
1989-02-16,405.0
1989-02-17,416.25
1989-02-21,405.0
1989-02-22,427.5
1989-02-23,405.0
1989-02-24,393.75
1989-02-27,405.0
1989-02-28,405.0
1989-03-01,393.75
1989-03-02,427.5
1989-03-03,427.5
1989-03-06,427.5
1989-03-07,450.0
1989-03-08,472.5
1989-03-09,517.5
1989-03-10,495.0
1989-03-13,506.25
1989-03-14,517.5
1989-03-15,562.5
1989-03-16,585.0
1989-03-17,573.75
1989-03-20,540.0
1989-03-21,562.5
1989-03-22,607.5
1989-03-23,607.5
1989-03-27,585.0
1989-03-28,551.25
1989-03-29,551.25
1989-03-30,573.75
1989-03-31,562.5
1989-04-03,573.75
1989-04-04,573.75
1989-04-05,585.0
1989-04-06,641.25
1989-04-07,630.0
1989-04-10,630.0
1989-04-11,630.0
1989-04-12,596.25
1989-04-13,596.25
1989-04-14,607.5
1989-04-17,630.0
1989-04-18,652.5
1989-04-19,652.5
1989-04-20,607.5
1989-04-21,607.5
1989-04-24,630.0
1989-04-25,618.75
1989-04-26,630.0
1989-04-27,652.5
1989-04-28,675.0
1989-05-01,663.75
1989-05-02,697.5
1989-05-03,675.0
1989-05-04,686.25
1989-05-05,652.5
1989-05-08,652.5
1989-05-09,630.0
1989-05-10,630.0
1989-05-11,630.0
1989-05-12,630.0
1989-05-15,607.5
1989-05-16,641.25
1989-05-17,630.0
1989-05-18,630.0
1989-05-19,607.5
1989-05-22,630.0
1989-05-23,607.5
1989-05-24,630.0
1989-05-25,596.25
1989-05-26,630.0
1989-05-30,630.0
1989-05-31,641.25
1989-06-01,641.25
1989-06-02,652.5
1989-06-05,675.0
1989-06-06,675.0
1989-06-07,675.0
1989-06-08,697.5
1989-06-09,765.0
1989-06-12,708.75
1989-06-13,742.5
1989-06-14,720.0
1989-06-15,697.5
1989-06-16,720.0
1989-06-19,742.5
1989-06-20,720.0
1989-06-21,720.0
1989-06-22,697.5
1989-06-23,697.5
1989-06-26,697.5
1989-06-27,742.5
1989-06-28,731.25
1989-06-29,720.0
1989-06-30,697.5
1989-07-03,708.75
1989-07-05,731.25
1989-07-06,697.5
1989-07-07,742.5
1989-07-10,731.25
1989-07-11,720.0
1989-07-12,697.5
1989-07-13,708.75
1989-07-14,708.75
1989-07-17,708.75
1989-07-18,697.5
1989-07-19,697.5
1989-07-20,697.5
1989-07-21,697.5
1989-07-24,708.75
1989-07-25,697.5
1989-07-26,675.0
1989-07-27,697.5
1989-07-28,697.5
1989-07-31,652.5
1989-08-01,697.5
1989-08-02,675.0
1989-08-03,652.5
1989-08-04,652.5
1989-08-07,652.5
1989-08-08,652.5
1989-08-09,652.5
1989-08-10,652.5
1989-08-11,675.0
1989-08-14,675.0
1989-08-15,675.0
1989-08-16,675.0
1989-08-17,675.0
1989-08-18,675.0
1989-08-21,675.0
1989-08-22,675.0
1989-08-23,652.5
1989-08-24,652.5
1989-08-25,675.0
1989-08-28,697.5
1989-08-29,720.0
1989-08-30,720.0
1989-08-31,708.75
1989-09-01,720.0
1989-09-05,720.0
1989-09-06,720.0
1989-09-07,720.0
1989-09-08,742.5
1989-09-11,765.0
1989-09-12,765.0
1989-09-13,787.5
1989-09-14,787.5
1989-09-15,765.0
1989-09-18,765.0
1989-09-19,720.0
1989-09-20,720.0
1989-09-21,742.5
1989-09-22,742.5
1989-09-25,742.5
1989-09-26,720.0
1989-09-27,697.5
1989-09-28,675.0
1989-09-29,697.5
1989-10-02,697.5
1989-10-03,765.0
1989-10-04,843.75
1989-10-05,810.0
1989-10-06,810.0
1989-10-09,810.0
1989-10-10,832.5
1989-10-11,832.5
1989-10-12,832.5
1989-10-13,742.5
1989-10-16,675.0
1989-10-17,720.0
1989-10-18,720.0
1989-10-19,832.5
1989-10-20,967.5
1989-10-23,1057.5
1989-10-24,1057.5
1989-10-25,1057.5
1989-10-26,1057.5
1989-10-27,967.5
1989-10-30,945.0
1989-10-31,990.0
1989-11-01,1035.0
1989-11-02,1147.5
1989-11-03,1215.0
1989-11-06,1237.5
1989-11-07,1170.0
1989-11-08,1170.0
1989-11-09,1035.0
1989-11-10,1080.0
1989-11-13,1125.0
1989-11-14,1102.5
1989-11-15,1102.5
1989-11-16,1102.5
1989-11-17,1102.5
1989-11-20,1080.0
1989-11-21,1080.0
1989-11-22,1035.0
1989-11-24,1035.0
1989-11-27,1012.5
1989-11-28,990.0
1989-11-29,945.0
1989-11-30,967.5
1989-12-01,967.5
1989-12-04,990.0
1989-12-05,945.0
1989-12-06,1057.5
1989-12-07,1012.5
1989-12-08,990.0
1989-12-11,1035.0
1989-12-12,967.5
1989-12-13,990.0
1989-12-14,967.5
1989-12-15,1012.5
1989-12-18,967.5
1989-12-19,967.5
1989-12-20,967.5
1989-12-21,810.0
1989-12-22,922.5
1989-12-26,922.5
1989-12-27,877.5
1989-12-28,877.5
1989-12-29,900.0
1990-01-02,900.0
1990-01-03,900.0
1990-01-04,900.0
1990-01-05,900.0
1990-01-08,832.5
1990-01-09,843.75
1990-01-10,877.5
1990-01-11,877.5
1990-01-12,832.5
1990-01-15,810.0
1990-01-16,832.5
1990-01-17,832.5
1990-01-18,810.0
1990-01-19,810.0
1990-01-22,810.0
1990-01-23,787.5
1990-01-24,810.0
1990-01-25,765.0
1990-01-26,810.0
1990-01-29,765.0
1990-01-30,731.25
1990-01-31,765.0
1990-02-01,787.5
1990-02-02,832.5
1990-02-05,765.0
1990-02-06,810.0
1990-02-07,900.0
1990-02-08,967.5
1990-02-09,922.5
1990-02-12,855.0
1990-02-13,832.5
1990-02-14,877.5
1990-02-15,877.5
1990-02-16,877.5
1990-02-20,843.75
1990-02-21,810.0
1990-02-22,832.5
1990-02-23,810.0
1990-02-26,821.25
1990-02-27,810.0
1990-02-28,810.0
1990-03-01,810.0
1990-03-02,810.0
1990-03-05,832.5
1990-03-06,855.0
1990-03-07,855.0
1990-03-08,855.0
1990-03-09,855.0
1990-03-12,832.5
1990-03-13,832.5
1990-03-14,832.5
1990-03-15,855.0
1990-03-16,832.5
1990-03-19,832.5
1990-03-20,855.0
1990-03-21,787.5
1990-03-22,787.5
1990-03-23,810.0
1990-03-26,787.5
1990-03-27,765.0
1990-03-28,742.5
1990-03-29,787.5
1990-03-30,787.5
1990-04-02,765.0
1990-04-03,787.5
1990-04-04,720.0
1990-04-05,720.0
1990-04-06,742.5
1990-04-09,742.5
1990-04-10,720.0
1990-04-11,731.25
1990-04-12,742.5
1990-04-16,697.5
1990-04-17,720.0
1990-04-18,697.5
1990-04-19,697.5
1990-04-20,697.5
1990-04-23,686.25
1990-04-24,697.5
1990-04-25,675.0
1990-04-26,697.5
1990-04-27,675.0
1990-04-30,675.0
1990-05-01,675.0
1990-05-02,675.0
1990-05-03,675.0
1990-05-04,742.5
1990-05-07,742.5
1990-05-08,720.0
1990-05-09,765.0
1990-05-10,787.5
1990-05-11,787.5
1990-05-14,765.0
1990-05-15,742.5
1990-05-16,742.5
1990-05-17,731.25
1990-05-18,697.5
1990-05-21,720.0
1990-05-22,697.5
1990-05-23,675.0
1990-05-24,697.5
1990-05-25,697.5
1990-05-29,697.5
1990-05-30,675.0
1990-05-31,675.0
1990-06-01,697.5
1990-06-04,697.5
1990-06-05,720.0
1990-06-06,720.0
1990-06-07,742.5
1990-06-08,720.0
1990-06-11,697.5
1990-06-12,675.0
1990-06-13,720.0
1990-06-14,697.5
1990-06-15,720.0
1990-06-18,697.5
1990-06-19,697.5
1990-06-20,742.5
1990-06-21,765.0
1990-06-22,765.0
1990-06-25,720.0
1990-06-26,720.0
1990-06-27,720.0
1990-06-28,697.5
1990-06-29,697.5
1990-07-02,720.0
1990-07-03,697.5
1990-07-05,708.75
1990-07-06,753.75
1990-07-09,787.5
1990-07-10,787.5
1990-07-11,810.0
1990-07-12,832.5
1990-07-13,922.5
1990-07-16,900.0
1990-07-17,810.0
1990-07-18,832.5
1990-07-19,855.0
1990-07-20,821.25
1990-07-23,832.5
1990-07-24,832.5
1990-07-25,810.0
1990-07-26,765.0
1990-07-27,742.5
1990-07-30,742.5
1990-07-31,787.5
1990-08-01,742.5
1990-08-02,742.5
1990-08-03,652.5
1990-08-06,652.5
1990-08-07,675.0
1990-08-08,675.0
1990-08-09,697.5
1990-08-10,686.25
1990-08-13,697.5
1990-08-14,663.75
1990-08-15,652.5
1990-08-16,675.0
1990-08-17,663.75
1990-08-20,652.5
1990-08-21,596.25
1990-08-22,562.5
1990-08-23,517.5
1990-08-24,472.5
1990-08-27,517.5
1990-08-28,540.0
1990-08-29,562.5
1990-08-30,540.0
1990-08-31,562.5
1990-09-04,562.5
1990-09-05,551.25
1990-09-06,562.5
1990-09-07,585.0
1990-09-10,562.5
1990-09-11,562.5
1990-09-12,562.5
1990-09-13,585.0
1990-09-14,596.25
1990-09-17,596.25
1990-09-18,585.0
1990-09-19,607.5
1990-09-20,596.25
1990-09-21,585.0
1990-09-24,585.0
1990-09-25,585.0
1990-09-26,540.0
1990-09-27,540.0
1990-09-28,517.5
1990-10-01,540.0
1990-10-02,540.0
1990-10-03,540.0
1990-10-04,540.0
1990-10-05,540.0
1990-10-08,540.0
1990-10-09,495.0
1990-10-10,517.5
1990-10-11,495.0
1990-10-12,517.5
1990-10-15,517.5
1990-10-16,517.5
1990-10-17,517.5
1990-10-18,495.0
1990-10-19,517.5
1990-10-22,495.0
1990-10-23,517.5
1990-10-24,517.5
1990-10-25,540.0
1990-10-26,562.5
1990-10-29,562.5
1990-10-30,562.5
1990-10-31,517.5
1990-11-01,562.5
1990-11-02,540.0
1990-11-05,540.0
1990-11-06,540.0
1990-11-07,562.5
1990-11-08,540.0
1990-11-09,540.0
1990-11-12,562.5
1990-11-13,540.0
1990-11-14,517.5
1990-11-15,495.0
1990-11-16,540.0
1990-11-19,506.25
1990-11-20,506.25
1990-11-21,540.0
1990-11-23,517.5
1990-11-26,495.0
1990-11-27,495.0
1990-11-28,551.25
1990-11-29,585.0
1990-11-30,585.0
1990-12-03,607.5
1990-12-04,607.5
1990-12-05,607.5
1990-12-06,562.5
1990-12-07,562.5
1990-12-10,540.0
1990-12-11,495.0
1990-12-12,517.5
1990-12-13,540.0
1990-12-14,540.0
1990-12-17,562.5
1990-12-18,562.5
1990-12-19,517.5
1990-12-20,562.5
1990-12-21,540.0
1990-12-24,540.0
1990-12-26,517.5
1990-12-27,517.5
1990-12-28,528.75
1990-12-31,528.75
1991-01-02,517.5
1991-01-03,517.5
1991-01-04,540.0
1991-01-07,562.5
1991-01-08,562.5
1991-01-09,540.0
1991-01-10,562.5
1991-01-11,562.5
1991-01-14,551.25
1991-01-15,540.0
1991-01-16,540.0
1991-01-17,562.5
1991-01-18,540.0
1991-01-21,540.0
1991-01-22,562.5
1991-01-23,540.0
1991-01-24,630.0
1991-01-25,697.5
1991-01-28,787.5
1991-01-29,787.5
1991-01-30,765.0
1991-01-31,765.0
1991-02-01,810.0
1991-02-04,877.5
1991-02-05,787.5
1991-02-06,832.5
1991-02-07,787.5
1991-02-08,765.0
1991-02-11,765.0
1991-02-12,765.0
1991-02-13,720.0
1991-02-14,787.5
1991-02-15,787.5
1991-02-19,810.0
1991-02-20,765.0
1991-02-21,787.5
1991-02-22,855.0
1991-02-25,855.0
1991-02-26,877.5
1991-02-27,855.0
1991-02-28,877.5
1991-03-01,832.5
1991-03-04,877.5
1991-03-05,832.5
1991-03-06,888.75
1991-03-07,855.0
1991-03-08,990.0
1991-03-11,1035.0
1991-03-12,1035.0
1991-03-13,1102.5
1991-03-14,1215.0
1991-03-15,1282.5
1991-03-18,1260.0
1991-03-19,1215.0
1991-03-20,1237.5
1991-03-21,1170.0
1991-03-22,1215.0
1991-03-25,1170.0
1991-03-26,1192.5
1991-03-27,1305.0
1991-03-28,1327.5
1991-04-01,1282.5
1991-04-02,1282.5
1991-04-03,1327.5
1991-04-04,1305.0
1991-04-05,1305.0
1991-04-08,1237.5
1991-04-09,1260.0
1991-04-10,1237.5
1991-04-11,1260.0
1991-04-12,1260.0
1991-04-15,1237.5
1991-04-16,1260.0
1991-04-17,1462.5
1991-04-18,1350.0
1991-04-19,1350.0
1991-04-22,1282.5
1991-04-23,1350.0
1991-04-24,1327.5
1991-04-25,1260.0
1991-04-26,1282.5
1991-04-29,1237.5
1991-04-30,1170.0
1991-05-01,1215.0
1991-05-02,1170.0
1991-05-03,1237.5
1991-05-06,1237.5
1991-05-07,1215.0
1991-05-08,1170.0
1991-05-09,1215.0
1991-05-10,1237.5
1991-05-13,1192.5
