,ACCD
2021-03-31,45.369998931884766
2021-04-01,46.86000061035156
2021-04-05,49.38999938964844
2021-04-06,48.7400016784668
2021-04-07,46.869998931884766
2021-04-08,46.810001373291016
2021-04-09,47.18000030517578
2021-04-12,47.36000061035156
2021-04-13,47.83000183105469
2021-04-14,46.70000076293945
2021-04-15,47.34000015258789
2021-04-16,47.689998626708984
2021-04-19,45.95000076293945
2021-04-20,44.349998474121094
2021-04-21,45.25
2021-04-22,45.84000015258789
2021-04-23,48.66999816894531
2021-04-26,49.709999084472656
2021-04-27,48.36000061035156
2021-04-28,49.36000061035156
2021-04-29,49.95000076293945
2021-04-30,50.150001525878906
2021-05-03,48.25
2021-05-04,46.209999084472656
2021-05-05,45.04999923706055
2021-05-06,41.09000015258789
2021-05-07,44.58000183105469
2021-05-10,42.65999984741211
2021-05-11,41.4900016784668
2021-05-12,40.83000183105469
2021-05-13,38.61000061035156
2021-05-14,42.5099983215332
