,CRNC
2020-01-15,21.520000457763672
2020-01-16,21.610000610351562
2020-01-17,21.56999969482422
2020-01-21,21.700000762939453
2020-01-22,22.84000015258789
2020-01-23,22.75
2020-01-24,22.579999923706055
2020-01-27,22.049999237060547
2020-01-28,23.440000534057617
2020-01-29,23.719999313354492
2020-01-30,22.079999923706055
2020-01-31,21.350000381469727
2020-02-03,21.09000015258789
2020-02-04,20.8799991607666
2020-02-05,20.579999923706055
2020-02-06,21.65999984741211
2020-02-07,22.34000015258789
2020-02-10,23.1299991607666
2020-02-11,22.15999984741211
2020-02-12,23.700000762939453
2020-02-13,24.440000534057617
2020-02-14,24.489999771118164
2020-02-18,24.299999237060547
2020-02-19,24.350000381469727
2020-02-20,25.510000228881836
2020-02-21,26.530000686645508
2020-02-24,26.649999618530273
2020-02-25,26.459999084472656
2020-02-26,23.9950008392334
2020-02-27,23.18000030517578
2020-02-28,21.709999084472656
2020-03-02,22.860000610351562
2020-03-03,23.260000228881836
2020-03-04,24.889999389648438
2020-03-05,22.139999389648438
2020-03-06,20.510000228881836
2020-03-09,18.219999313354492
2020-03-10,19.15999984741211
2020-03-11,18.610000610351562
2020-03-12,16.510000228881836
2020-03-13,17.6200008392334
2020-03-16,17.010000228881836
2020-03-17,15.770000457763672
2020-03-18,13.449999809265137
2020-03-19,14.539999961853027
2020-03-20,15.600000381469727
2020-03-23,14.210000038146973
2020-03-24,17.1200008392334
2020-03-25,16.3799991607666
2020-03-26,18.530000686645508
2020-03-27,17.510000228881836
2020-03-30,18.270000457763672
2020-03-31,15.399999618530273
2020-04-01,18.579999923706055
2020-04-02,18.049999237060547
2020-04-03,15.989999771118164
2020-04-06,18.329999923706055
2020-04-07,18.040000915527344
2020-04-08,18.780000686645508
2020-04-09,18.989999771118164
2020-04-13,19.6299991607666
2020-04-14,21.110000610351562
2020-04-15,20.31999969482422
2020-04-16,19.239999771118164
2020-04-17,20.3799991607666
2020-04-20,20.299999237060547
2020-04-21,19.049999237060547
2020-04-22,18.299999237060547
2020-04-23,18.100000381469727
2020-04-24,19.290000915527344
2020-04-27,21.110000610351562
2020-04-28,20.479999542236328
2020-04-29,22.700000762939453
2020-04-30,21.15999984741211
2020-05-01,20.670000076293945
2020-05-04,20.8799991607666
2020-05-05,20.059999465942383
2020-05-06,19.469999313354492
2020-05-07,21.829999923706055
2020-05-08,22.149999618530273
2020-05-11,23.850000381469727
2020-05-12,24.739999771118164
2020-05-13,23.579999923706055
2020-05-14,24.760000228881836
2020-05-15,25.700000762939453
2020-05-18,26.6200008392334
2020-05-19,26.790000915527344
2020-05-20,30.280000686645508
2020-05-21,32.060001373291016
2020-05-22,33.20000076293945
2020-05-26,32.5
2020-05-27,33.060001373291016
2020-05-28,27.71500015258789
2020-05-29,29.90999984741211
2020-06-01,35.0099983215332
2020-06-02,36.02000045776367
2020-06-03,38.0099983215332
2020-06-04,39.25
2020-06-05,35.689998626708984
2020-06-08,41.41999816894531
2020-06-09,42.459999084472656
2020-06-10,41.04999923706055
2020-06-11,38.72999954223633
2020-06-12,36.86000061035156
2020-06-15,40.775001525878906
2020-06-16,40.56999969482422
2020-06-17,41.58000183105469
2020-06-18,43.33000183105469
2020-06-19,44.400001525878906
2020-06-22,42.15999984741211
2020-06-23,41.84000015258789
2020-06-24,42.59000015258789
2020-06-25,42.189998626708984
2020-06-26,38.59000015258789
2020-06-29,38.66999816894531
2020-06-30,40.84000015258789
2020-07-01,41.7599983215332
2020-07-02,41.68000030517578
2020-07-06,42.560001373291016
2020-07-07,41.029998779296875
2020-07-08,40.65999984741211
2020-07-09,40.41999816894531
2020-07-10,38.81999969482422
2020-07-13,34.72999954223633
2020-07-14,36.209999084472656
2020-07-15,37.380001068115234
2020-07-16,36.27000045776367
2020-07-17,37.630001068115234
2020-07-20,39.959999084472656
2020-07-21,40.34000015258789
2020-07-22,40.2400016784668
2020-07-23,39.70000076293945
2020-07-24,37.84000015258789
2020-07-27,39.619998931884766
2020-07-28,39.619998931884766
2020-07-29,39.81999969482422
2020-07-30,40.18000030517578
2020-07-31,39.65999984741211
2020-08-03,41.47999954223633
2020-08-04,50.52000045776367
2020-08-05,54.41999816894531
2020-08-06,52.70000076293945
2020-08-07,50.33000183105469
2020-08-10,49.869998931884766
2020-08-11,48.689998626708984
2020-08-12,53.16999816894531
2020-08-13,52.79999923706055
2020-08-14,52.959999084472656
2020-08-17,56.70000076293945
2020-08-18,56.060001373291016
2020-08-19,54.189998626708984
2020-08-20,55.33000183105469
2020-08-21,55.38999938964844
2020-08-24,53.5
2020-08-25,53.68000030517578
2020-08-26,52.209999084472656
2020-08-27,51.56999969482422
2020-08-28,54.06999969482422
2020-08-31,53.20000076293945
2020-09-01,55.70000076293945
2020-09-02,53.650001525878906
2020-09-03,51.61000061035156
2020-09-04,49.83000183105469
2020-09-08,50.25
2020-09-09,52.119998931884766
2020-09-10,53.16999816894531
2020-09-11,51.52000045776367
2020-09-14,54.04999923706055
2020-09-15,57.90999984741211
2020-09-16,61.599998474121094
2020-09-17,56.9900016784668
2020-09-18,54.68000030517578
2020-09-21,54.380001068115234
2020-09-22,50.95000076293945
2020-09-23,48.81999969482422
2020-09-24,47.04999923706055
2020-09-25,48.04999923706055
2020-09-28,51.599998474121094
2020-09-29,51.52000045776367
2020-09-30,48.869998931884766
2020-10-01,49.7400016784668
2020-10-02,48.45000076293945
2020-10-05,50.0
2020-10-06,49.310001373291016
2020-10-07,52.84000015258789
2020-10-08,52.099998474121094
2020-10-09,53.7599983215332
2020-10-12,56.27000045776367
2020-10-13,55.689998626708984
2020-10-14,55.349998474121094
2020-10-15,53.279998779296875
2020-10-16,56.75
2020-10-19,57.56999969482422
2020-10-20,57.81999969482422
2020-10-21,58.90999984741211
2020-10-22,62.099998474121094
2020-10-23,65.19999694824219
2020-10-26,65.16000366210938
2020-10-27,63.349998474121094
2020-10-28,57.939998626708984
2020-10-29,59.4900016784668
2020-10-30,54.58000183105469
2020-11-02,55.9900016784668
2020-11-03,59.0
2020-11-04,61.31999969482422
2020-11-05,62.79999923706055
2020-11-06,63.81999969482422
2020-11-09,62.959999084472656
2020-11-10,63.09000015258789
2020-11-11,64.81999969482422
2020-11-12,64.0
2020-11-13,65.97000122070312
2020-11-16,72.52999877929688
2020-11-17,69.91000366210938
2020-11-18,70.6500015258789
2020-11-19,77.5199966430664
2020-11-20,84.06999969482422
2020-11-23,83.06999969482422
2020-11-24,86.72000122070312
2020-11-25,86.61000061035156
2020-11-27,90.5999984741211
2020-11-30,90.75
2020-12-01,91.73999786376953
2020-12-02,82.5
2020-12-03,86.05000305175781
2020-12-04,90.52999877929688
2020-12-07,85.2300033569336
2020-12-08,87.80999755859375
2020-12-09,87.77999877929688
2020-12-10,89.5
2020-12-11,90.22000122070312
2020-12-14,88.45999908447266
2020-12-15,91.0199966430664
2020-12-16,93.97000122070312
2020-12-17,102.5
2020-12-18,101.0199966430664
2020-12-21,102.2300033569336
2020-12-22,109.08000183105469
2020-12-23,108.1500015258789
2020-12-24,105.05999755859375
2020-12-28,103.66000366210938
2020-12-29,100.52999877929688
2020-12-30,102.38999938964844
2020-12-31,100.4800033569336
2021-01-04,101.77999877929688
2021-01-05,104.91000366210938
2021-01-06,104.08999633789062
2021-01-07,112.4800033569336
2021-01-08,102.73999786376953
2021-01-11,98.63999938964844
2021-01-12,104.80000305175781
2021-01-13,101.52999877929688
2021-01-14,113.9800033569336
2021-01-15,120.25
2021-01-19,119.05000305175781
2021-01-20,118.7300033569336
2021-01-21,121.3499984741211
2021-01-22,124.70999908447266
2021-01-25,119.16999816894531
2021-01-26,119.0
2021-01-27,113.9800033569336
2021-01-28,117.79000091552734
2021-01-29,111.91000366210938
2021-02-01,115.8499984741211
2021-02-02,117.94000244140625
2021-02-03,116.16000366210938
2021-02-04,118.69000244140625
2021-02-05,125.66999816894531
2021-02-08,120.76000213623047
2021-02-09,120.87999725341797
2021-02-10,127.12000274658203
2021-02-11,129.16000366210938
2021-02-12,133.42999267578125
2021-02-16,124.94999694824219
2021-02-17,124.76000213623047
2021-02-18,122.97000122070312
2021-02-19,127.81999969482422
2021-02-22,117.86000061035156
2021-02-23,114.3499984741211
2021-02-24,111.12000274658203
2021-02-25,105.44000244140625
2021-02-26,111.22000122070312
2021-03-01,117.72000122070312
2021-03-02,112.26000213623047
2021-03-03,103.05999755859375
2021-03-04,93.55000305175781
2021-03-05,90.73999786376953
2021-03-08,85.29000091552734
2021-03-09,95.33000183105469
2021-03-10,101.66999816894531
2021-03-11,112.61000061035156
2021-03-12,112.33999633789062
2021-03-15,112.24500274658203
2021-03-16,109.3499984741211
2021-03-17,109.31999969482422
2021-03-18,101.08999633789062
2021-03-19,102.58999633789062
2021-03-22,105.43000030517578
2021-03-23,99.80000305175781
2021-03-24,91.23999786376953
2021-03-25,92.58000183105469
2021-03-26,89.0250015258789
2021-03-29,84.13999938964844
2021-03-30,85.44999694824219
2021-03-31,89.58000183105469
2021-04-01,93.33999633789062
2021-04-05,94.66000366210938
2021-04-06,96.94000244140625
2021-04-07,94.33000183105469
2021-04-08,94.16999816894531
2021-04-09,92.69999694824219
2021-04-12,96.51000213623047
2021-04-13,94.26000213623047
2021-04-14,95.93000030517578
2021-04-15,98.36000061035156
2021-04-16,99.48999786376953
2021-04-19,91.16999816894531
2021-04-20,89.80000305175781
2021-04-21,91.23999786376953
2021-04-22,93.05999755859375
2021-04-23,90.9800033569336
2021-04-26,99.0999984741211
2021-04-27,98.63999938964844
2021-04-28,98.04000091552734
2021-04-29,97.01000213623047
2021-04-30,96.41000366210938
2021-05-03,96.12000274658203
2021-05-04,92.68000030517578
2021-05-05,93.25
2021-05-06,88.7699966430664
2021-05-07,89.41999816894531
2021-05-10,88.72000122070312
2021-05-11,85.58000183105469
2021-05-12,81.62999725341797
2021-05-13,82.26000213623047
2021-05-14,84.69999694824219
