,EYPT
2006-10-26,92.0
2006-10-27,94.80000305175781
2006-10-30,90.0
2006-10-31,94.0
2006-11-01,88.4000015258789
2006-11-02,86.0
2006-11-03,80.0
2006-11-06,78.4000015258789
2006-11-07,79.19999694824219
2006-11-08,80.80000305175781
2006-11-09,83.5999984741211
2006-11-10,87.5999984741211
2006-11-13,90.80000305175781
2006-11-14,86.80000305175781
2006-11-15,84.0
2006-11-16,78.0
2006-11-17,77.5999984741211
2006-11-20,79.5999984741211
2006-11-21,80.0
2006-11-22,79.5999984741211
2006-11-24,79.5999984741211
2006-11-27,78.80000305175781
2006-11-28,80.0
2006-11-29,80.0
2006-11-30,79.19999694824219
2006-12-01,80.0
2006-12-04,80.0
2006-12-05,80.0
2006-12-06,80.0
2006-12-07,80.0
2006-12-08,80.0
2006-12-11,78.4000015258789
2006-12-12,80.0
2006-12-13,78.0
2006-12-14,76.4000015258789
2006-12-15,76.4000015258789
2006-12-18,76.4000015258789
2006-12-19,76.4000015258789
2006-12-20,65.19999694824219
2006-12-21,71.5999984741211
2006-12-22,64.80000305175781
2006-12-26,75.19999694824219
2006-12-27,76.0
2006-12-28,76.80000305175781
2006-12-29,78.0
2007-01-03,76.80000305175781
2007-01-04,72.4000015258789
2007-01-05,66.0
2007-01-08,66.4000015258789
2007-01-09,70.4000015258789
2007-01-10,69.19999694824219
2007-01-11,69.19999694824219
2007-01-12,68.80000305175781
2007-01-16,67.19999694824219
2007-01-17,68.0
2007-01-18,66.80000305175781
2007-01-19,66.0
2007-01-22,66.0
2007-01-23,65.5999984741211
2007-01-24,66.0
2007-01-25,65.5999984741211
2007-01-26,66.0
2007-01-29,70.0
2007-01-30,65.19999694824219
2007-01-31,63.599998474121094
2007-02-01,65.19999694824219
2007-02-02,65.19999694824219
2007-02-05,65.5999984741211
2007-02-06,66.0
2007-02-07,64.80000305175781
2007-02-08,68.0
2007-02-09,71.5999984741211
2007-02-12,71.19999694824219
2007-02-13,72.0
2007-02-14,72.0
2007-02-15,74.0
2007-02-16,75.19999694824219
2007-02-20,73.5999984741211
2007-02-21,74.80000305175781
2007-02-22,71.5999984741211
2007-02-23,69.19999694824219
2007-02-26,71.5999984741211
2007-02-27,66.80000305175781
2007-02-28,64.0
2007-03-01,69.19999694824219
2007-03-02,70.0
2007-03-05,66.80000305175781
2007-03-06,66.0
2007-03-07,64.0
2007-03-08,64.4000015258789
2007-03-09,64.80000305175781
2007-03-12,68.0
2007-03-13,67.19999694824219
2007-03-14,66.80000305175781
2007-03-15,66.0
2007-03-16,65.5999984741211
2007-03-19,66.0
2007-03-20,74.0
2007-03-21,73.19999694824219
2007-03-22,72.0
2007-03-23,69.5999984741211
2007-03-26,74.0
2007-03-27,75.5999984741211
2007-03-28,76.0
2007-03-29,80.0
2007-03-30,81.5999984741211
2007-04-02,81.5999984741211
2007-04-03,81.5999984741211
2007-04-04,90.0
2007-04-05,75.19999694824219
2007-04-09,75.5999984741211
2007-04-10,76.0
2007-04-11,75.19999694824219
2007-04-12,75.19999694824219
2007-04-13,76.0
2007-04-16,71.5999984741211
2007-04-17,71.5999984741211
2007-04-18,69.19999694824219
2007-04-19,71.19999694824219
2007-04-20,71.5999984741211
2007-04-23,70.0
2007-04-24,69.5999984741211
2007-04-25,68.80000305175781
2007-04-26,67.19999694824219
2007-04-27,71.19999694824219
2007-04-30,70.80000305175781
2007-05-01,68.0
2007-05-02,65.19999694824219
2007-05-03,64.80000305175781
2007-05-04,66.80000305175781
2007-05-07,66.4000015258789
2007-05-08,66.80000305175781
2007-05-09,66.0
2007-05-10,65.5999984741211
2007-05-11,65.19999694824219
2007-05-14,62.0
2007-05-15,63.599998474121094
2007-05-16,63.599998474121094
2007-05-17,61.20000076293945
2007-05-18,62.0
2007-05-21,62.79999923706055
2007-05-22,59.599998474121094
2007-05-23,59.599998474121094
2007-05-24,60.79999923706055
2007-05-25,60.400001525878906
2007-05-29,57.20000076293945
2007-05-30,58.400001525878906
2007-05-31,60.0
2007-06-01,59.599998474121094
2007-06-04,58.400001525878906
2007-06-05,58.79999923706055
2007-06-06,59.20000076293945
2007-06-07,60.0
2007-06-08,58.400001525878906
2007-06-11,58.400001525878906
2007-06-12,58.400001525878906
2007-06-13,57.20000076293945
2007-06-14,56.400001525878906
2007-06-15,59.20000076293945
2007-06-18,57.599998474121094
2007-06-19,60.79999923706055
2007-06-20,59.20000076293945
2007-06-21,58.0
2007-06-22,58.0
2007-06-25,58.79999923706055
2007-06-26,58.0
2007-06-27,55.20000076293945
2007-06-28,60.400001525878906
2007-06-29,60.79999923706055
2007-07-02,47.20000076293945
2007-07-03,50.0
2007-07-05,49.20000076293945
2007-07-06,50.0
2007-07-09,48.0
2007-07-10,46.400001525878906
2007-07-11,46.0
2007-07-12,45.599998474121094
2007-07-13,48.0
2007-07-16,47.599998474121094
2007-07-17,45.20000076293945
2007-07-18,46.0
2007-07-19,47.599998474121094
2007-07-20,48.0
2007-07-23,47.599998474121094
2007-07-24,46.79999923706055
2007-07-25,46.0
2007-07-26,44.79999923706055
2007-07-27,46.400001525878906
2007-07-30,42.0
2007-07-31,43.20000076293945
2007-08-01,40.0
2007-08-02,40.0
2007-08-03,40.0
2007-08-06,40.0
2007-08-07,38.79999923706055
2007-08-08,38.0
2007-08-09,36.0
2007-08-10,35.20000076293945
2007-08-13,35.20000076293945
2007-08-14,33.599998474121094
2007-08-15,33.20000076293945
2007-08-16,31.600000381469727
2007-08-17,30.399999618530273
2007-08-20,32.0
2007-08-21,32.79999923706055
2007-08-22,32.400001525878906
2007-08-23,33.20000076293945
2007-08-24,33.20000076293945
2007-08-27,34.400001525878906
2007-08-28,30.399999618530273
2007-08-29,31.600000381469727
2007-08-30,34.400001525878906
2007-08-31,34.79999923706055
2007-09-04,37.20000076293945
2007-09-05,40.0
2007-09-06,39.599998474121094
2007-09-07,38.400001525878906
2007-09-10,38.0
2007-09-11,40.0
2007-09-12,41.599998474121094
2007-09-13,41.599998474121094
2007-09-14,41.20000076293945
2007-09-17,40.400001525878906
2007-09-18,39.599998474121094
2007-09-19,39.20000076293945
2007-09-20,39.599998474121094
2007-09-21,38.79999923706055
2007-09-24,36.79999923706055
2007-09-25,36.400001525878906
2007-09-26,34.79999923706055
2007-09-27,38.0
2007-09-28,40.400001525878906
2007-10-01,39.599998474121094
2007-10-02,39.20000076293945
2007-10-03,42.0
2007-10-04,42.0
2007-10-05,42.0
2007-10-08,45.20000076293945
2007-10-09,44.0
2007-10-10,46.0
2007-10-11,47.599998474121094
2007-10-12,46.79999923706055
2007-10-15,48.400001525878906
